date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,14.53,14.98,13.9,14.6,98000,False,ITTEFAQ
2021-04-27,14.27,14.98,14.26,14.91,92500,False,ITTEFAQ
2021-04-28,14.56,14.8,14.56,14.62,24000,False,ITTEFAQ
2021-04-29,15.34,15.34,14.3,14.34,36000,False,ITTEFAQ
2021-04-30,14.33,14.33,14.0,14.02,28500,False,ITTEFAQ
2021-05-03,13.82,13.98,13.5,13.61,58500,False,ITTEFAQ
2021-05-04,13.9,13.91,13.5,13.57,56000,False,ITTEFAQ
2021-05-05,13.8,13.8,13.65,13.68,48000,False,ITTEFAQ
2021-05-06,13.6,13.95,13.4,13.55,230000,False,ITTEFAQ
2021-05-17,13.85,14.05,13.7,13.91,390500,False,ITTEFAQ
2021-05-18,13.92,14.37,13.91,14.22,81500,False,ITTEFAQ
2021-05-19,14.24,15.1,14.24,14.8,399000,False,ITTEFAQ
2021-05-20,14.8,15.5,14.73,15.46,296000,False,ITTEFAQ
2021-05-21,15.5,15.98,15.16,15.49,190500,False,ITTEFAQ
2021-05-24,15.85,15.85,15.15,15.16,216500,False,ITTEFAQ
2021-05-25,15.49,15.8,15.27,15.65,782000,False,ITTEFAQ
2021-05-26,15.44,16.7,15.44,16.55,530500,False,ITTEFAQ
2021-05-27,16.01,17.79,16.01,17.68,1900500,False,ITTEFAQ
2021-05-28,18.0,18.68,17.85,18.42,2159000,False,ITTEFAQ
2021-05-31,18.5,19.8,18.5,19.48,4981000,False,ITTEFAQ
2021-06-01,19.9,20.0,19.0,19.89,2372000,False,ITTEFAQ
2021-06-02,19.53,19.95,19.25,19.27,1399500,False,ITTEFAQ
2021-06-03,19.27,20.71,19.27,20.15,10208000,False,ITTEFAQ
2021-06-04,20.5,21.1,20.1,20.51,6287500,False,ITTEFAQ
2021-06-07,20.8,22.04,20.33,21.85,9951500,False,ITTEFAQ
2021-06-08,22.4,22.5,21.1,21.19,3155000,False,ITTEFAQ
2021-06-09,21.3,21.3,20.4,20.8,1422000,False,ITTEFAQ
2021-06-10,21.0,21.2,20.5,20.79,1123000,False,ITTEFAQ
2021-06-11,21.0,21.1,19.7,20.15,2401000,False,ITTEFAQ
2021-06-14,20.52,20.9,18.8,19.86,2007500,False,ITTEFAQ
2021-06-15,19.7,20.11,19.0,19.11,1296000,False,ITTEFAQ
2021-06-16,19.16,19.45,18.95,19.21,914000,False,ITTEFAQ
2021-06-17,19.4,20.65,19.35,19.66,3664500,False,ITTEFAQ
2021-06-18,19.78,21.0,19.75,20.49,4395000,False,ITTEFAQ
2021-06-21,20.9,21.05,20.04,20.17,2554500,False,ITTEFAQ
2021-06-22,20.05,20.38,19.55,19.7,1105500,False,ITTEFAQ
2021-06-23,19.64,19.75,19.05,19.2,377500,False,ITTEFAQ
2021-06-24,19.25,20.2,19.12,19.28,1554000,False,ITTEFAQ
2021-06-25,19.3,19.68,18.85,19.07,1963500,False,ITTEFAQ
2021-06-28,19.22,19.22,18.5,18.56,311500,False,ITTEFAQ
2021-06-29,18.35,19.13,18.35,18.9,139500,False,ITTEFAQ
2021-06-30,19.24,19.29,18.9,18.95,127500,False,ITTEFAQ
2021-07-01,19.0,19.3,18.86,18.96,211000,False,ITTEFAQ
2021-07-02,19.0,19.0,18.32,18.52,802000,False,ITTEFAQ
2021-07-05,18.98,18.98,18.1,18.6,636000,False,ITTEFAQ
2021-07-06,18.6,19.2,18.51,18.59,335000,False,ITTEFAQ
2021-07-07,18.9,18.9,18.31,18.63,54000,False,ITTEFAQ
2021-07-08,18.41,18.94,18.02,18.89,329000,False,ITTEFAQ
2021-07-09,18.98,19.0,18.5,18.51,172000,False,ITTEFAQ
2021-07-12,18.9,18.9,18.51,18.73,214000,False,ITTEFAQ
2021-07-13,18.53,19.25,18.53,18.83,601500,False,ITTEFAQ
2021-07-14,18.84,18.92,18.41,18.48,109500,False,ITTEFAQ
2021-07-15,18.5,18.6,18.35,18.39,75500,False,ITTEFAQ
2021-07-16,18.5,19.41,18.4,18.48,640000,False,ITTEFAQ
2021-07-19,18.48,19.17,18.41,18.81,478500,False,ITTEFAQ
