date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,5.25,5.25,5.1,5.18,209000,False,JSBL
2021-04-27,5.16,5.16,5.1,5.15,178500,False,JSBL
2021-04-28,5.1,5.16,5.1,5.12,40500,False,JSBL
2021-04-29,5.04,5.18,5.01,5.14,3966500,False,JSBL
2021-04-30,5.14,5.14,5.05,5.08,159000,False,JSBL
2021-05-03,5.01,5.1,4.93,5.07,438500,False,JSBL
2021-05-04,5.05,5.09,5.0,5.0,114500,False,JSBL
2021-05-05,4.91,5.1,4.91,5.1,276000,False,JSBL
2021-05-06,5.1,5.15,5.05,5.15,13000,False,JSBL
2021-05-17,5.07,5.15,5.05,5.14,113000,False,JSBL
2021-05-18,5.1,5.15,5.1,5.15,10500,False,JSBL
2021-05-19,5.05,5.12,5.05,5.1,752500,False,JSBL
2021-05-20,5.39,5.39,5.11,5.29,813500,False,JSBL
2021-05-21,5.29,5.4,5.16,5.33,1285000,False,JSBL
2021-05-24,5.39,5.44,5.32,5.34,201000,False,JSBL
2021-05-25,5.3,5.5,5.3,5.43,800000,False,JSBL
2021-05-26,5.43,5.48,5.3,5.43,191000,False,JSBL
2021-05-27,5.45,5.8,5.36,5.69,2533500,False,JSBL
2021-05-28,5.65,5.92,5.65,5.77,8307500,False,JSBL
2021-05-31,5.72,5.85,5.67,5.75,613500,False,JSBL
2021-06-01,5.89,6.64,5.81,5.98,5142500,False,JSBL
2021-06-02,6.09,6.09,5.81,5.82,497500,False,JSBL
2021-06-03,5.97,6.0,5.81,5.85,2922000,False,JSBL
2021-06-04,5.82,5.95,5.81,5.88,160500,False,JSBL
2021-06-07,5.85,6.0,5.8,6.0,802500,False,JSBL
2021-06-08,5.99,6.18,5.88,5.92,8406000,False,JSBL
2021-06-09,6.09,6.25,5.9,5.91,7905000,False,JSBL
2021-06-10,6.09,6.03,5.8,5.82,5197500,True,JSBL
2021-06-11,5.94,6.05,5.8,5.8,6719500,False,JSBL
2021-06-14,5.86,5.96,5.76,5.79,1717000,False,JSBL
2021-06-15,5.89,6.08,5.5,5.79,2242500,False,JSBL
2021-06-16,5.79,5.85,5.77,5.79,144500,False,JSBL
2021-06-17,5.72,5.96,5.71,5.75,217500,False,JSBL
2021-06-18,5.85,5.87,5.7,5.71,254000,False,JSBL
2021-06-21,5.9,5.9,5.68,5.71,60000,False,JSBL
2021-06-22,5.65,5.75,5.65,5.71,298000,False,JSBL
2021-06-23,5.84,5.84,5.6,5.65,344500,False,JSBL
2021-06-24,5.65,5.78,5.65,5.67,27000,False,JSBL
2021-06-25,5.64,5.7,5.47,5.52,577500,False,JSBL
2021-06-28,5.51,5.69,5.25,5.31,1185000,False,JSBL
2021-06-29,5.45,5.48,5.4,5.41,16500,False,JSBL
2021-06-30,5.48,5.89,5.4,5.71,998000,False,JSBL
2021-07-01,5.61,5.7,5.4,5.49,413000,False,JSBL
2021-07-02,5.5,5.68,5.47,5.49,191000,False,JSBL
2021-07-05,5.5,5.59,5.4,5.4,307500,False,JSBL
2021-07-06,5.42,5.42,5.4,5.4,54000,False,JSBL
2021-07-07,5.4,5.57,5.3,5.55,665000,False,JSBL
2021-07-08,5.55,5.8,5.5,5.65,5487500,False,JSBL
2021-07-09,5.75,5.75,5.5,5.51,301000,False,JSBL
2021-07-12,5.5,5.7,5.5,5.54,106000,False,JSBL
2021-07-13,5.51,5.68,5.51,5.6,77000,False,JSBL
2021-07-14,5.55,5.55,5.5,5.5,261000,False,JSBL
2021-07-15,5.43,5.59,5.43,5.57,14000,False,JSBL
2021-07-16,5.55,5.58,5.5,5.58,209500,False,JSBL
2021-07-19,5.63,5.65,5.5,5.61,56500,False,JSBL
2021-07-23,5.61,5.64,5.5,5.53,75000,False,JSBL
2021-07-26,5.52,5.65,5.51,5.55,28000,False,JSBL
2021-07-27,5.55,5.63,5.46,5.48,162500,False,JSBL
2021-07-28,5.44,5.55,5.44,5.45,128500,False,JSBL
2021-07-29,5.45,5.45,5.32,5.33,94500,False,JSBL
2021-07-30,5.35,5.35,5.25,5.25,671500,False,JSBL
2021-08-02,5.24,5.38,5.24,5.34,22000,False,JSBL
2021-08-03,5.42,5.42,5.33,5.35,133000,False,JSBL
2021-08-04,5.41,5.41,5.3,5.32,106000,False,JSBL
2021-08-05,5.31,5.44,5.3,5.44,109000,False,JSBL
2021-08-06,5.33,5.44,5.33,5.36,77000,False,JSBL
2021-08-09,5.48,5.48,5.25,5.3,437000,False,JSBL
2021-08-10,5.27,5.3,5.21,5.22,285500,False,JSBL
2021-08-11,5.23,5.39,5.22,5.32,5000500,False,JSBL
2021-08-12,5.4,5.4,5.25,5.26,21000,False,JSBL
2021-08-13,5.3,5.3,5.25,5.29,45500,False,JSBL
2021-08-16,5.25,5.3,5.25,5.25,26000,False,JSBL
2021-08-17,5.3,5.3,5.3,5.3,500,False,JSBL
2021-08-20,5.37,5.37,5.35,5.35,6000,False,JSBL
2021-08-23,5.45,5.45,5.39,5.4,150000,False,JSBL
2021-08-24,5.37,5.48,5.36,5.48,79000,False,JSBL
2021-08-25,5.49,5.5,5.26,5.31,261500,False,JSBL
2021-08-26,5.23,5.28,5.05,5.16,187500,False,JSBL
2021-08-27,5.3,5.3,5.1,5.11,103500,False,JSBL
2021-08-30,5.18,5.2,5.18,5.2,10000,False,JSBL
2021-08-31,5.34,5.35,5.17,5.25,31000,False,JSBL
2021-09-01,5.15,5.25,5.12,5.16,574500,False,JSBL
2021-09-02,5.15,5.2,5.15,5.16,27000,False,JSBL
2021-09-03,5.27,5.4,5.17,5.24,1188500,False,JSBL
2021-09-06,5.18,5.18,5.15,5.16,14500,False,JSBL
2021-09-07,5.15,5.29,5.11,5.29,75500,False,JSBL
2021-09-08,5.29,5.29,5.11,5.17,174000,False,JSBL
2021-09-09,5.25,5.25,5.12,5.12,49000,False,JSBL
2021-09-10,5.13,5.15,5.12,5.12,61000,False,JSBL
2021-09-13,5.11,5.17,5.1,5.17,219500,False,JSBL
2021-09-14,5.15,5.2,5.02,5.07,237500,False,JSBL
2021-09-15,5.05,5.15,5.02,5.05,76500,False,JSBL
2021-09-16,5.02,5.7,5.02,5.53,2985000,False,JSBL
2021-09-17,5.5,5.8,5.5,5.63,2001000,False,JSBL
2021-09-20,5.65,5.66,5.35,5.44,892000,False,JSBL
2021-09-21,5.41,5.49,5.15,5.18,181000,False,JSBL
2021-09-22,5.25,5.25,4.96,5.08,556500,False,JSBL
2021-09-23,5.15,5.15,5.0,5.1,292000,False,JSBL
2021-09-24,4.98,5.15,4.98,5.0,896500,False,JSBL
2021-09-27,5.07,5.25,4.86,5.0,218500,False,JSBL
2021-09-28,5.02,5.08,5.02,5.08,6500,False,JSBL
2021-09-29,5.08,5.08,4.85,4.98,146500,False,JSBL
2021-09-30,5.0,5.15,4.95,5.11,13000,False,JSBL
2021-10-01,5.29,5.29,5.0,5.02,166000,False,JSBL
2021-10-04,5.24,5.24,5.03,5.1,38000,False,JSBL
2021-10-05,5.1,5.18,5.04,5.06,73500,False,JSBL
2021-10-06,5.25,5.25,4.95,4.98,102500,False,JSBL
2021-10-07,5.1,5.3,5.05,5.06,321500,False,JSBL
2021-10-08,5.19,5.19,5.0,5.0,41000,False,JSBL
2021-10-11,5.0,5.1,4.8,4.88,410000,False,JSBL
2021-10-12,4.82,5.0,4.75,5.0,2781500,False,JSBL
2021-10-13,4.9,5.04,4.9,4.99,55500,False,JSBL
2021-10-14,4.81,5.1,4.81,5.0,109500,False,JSBL
2021-10-15,4.97,5.0,4.86,4.9,318000,False,JSBL
2021-10-18,5.09,5.09,5.09,5.09,500,False,JSBL
2021-10-20,5.0,5.07,5.0,5.07,43000,False,JSBL
2021-10-21,5.0,5.3,5.0,5.13,904000,False,JSBL
2021-10-22,5.08,5.08,4.97,5.02,3034500,False,JSBL
2021-10-25,4.96,4.96,4.96,4.96,3000,False,JSBL
2021-10-26,5.14,5.14,4.96,4.97,13000,False,JSBL
2021-10-27,5.01,5.07,5.0,5.0,87000,False,JSBL
2021-10-28,5.01,5.01,4.94,4.95,82000,False,JSBL
2021-10-29,4.95,5.1,4.93,5.01,97500,False,JSBL
2021-11-01,5.01,5.12,4.9,4.95,2049500,False,JSBL
2021-11-02,5.0,5.05,4.96,5.0,293000,False,JSBL
2021-11-03,5.0,5.07,5.0,5.07,44000,False,JSBL
