date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,19.77,20.9,19.77,20.28,1912500,False,JSCL
2021-04-27,20.12,20.48,18.96,19.18,4174000,False,JSCL
2021-04-28,19.35,19.58,18.9,19.02,1650000,False,JSCL
2021-04-29,19.25,19.3,18.9,19.09,648500,False,JSCL
2021-04-30,19.35,19.85,18.7,18.93,1563500,False,JSCL
2021-05-03,18.9,18.9,17.52,17.82,1778500,False,JSCL
2021-05-04,18.0,18.33,17.98,18.07,1355500,False,JSCL
2021-05-05,18.3,19.1,18.22,18.78,1260000,False,JSCL
2021-05-06,18.98,19.6,18.73,19.36,1248500,False,JSCL
2021-05-17,19.8,20.74,19.41,20.2,4549500,False,JSCL
2021-05-18,20.3,20.84,19.86,20.44,5143500,False,JSCL
2021-05-19,20.0,21.97,19.82,21.97,8623000,False,JSCL
2021-05-20,22.69,23.61,22.35,23.61,15941000,False,JSCL
2021-05-21,23.9,23.9,22.31,22.65,9282500,False,JSCL
2021-05-24,22.8,23.5,22.75,22.94,4949500,False,JSCL
2021-05-25,23.28,23.98,23.12,23.33,6296500,False,JSCL
2021-05-26,23.64,24.9,23.45,24.43,10927000,False,JSCL
2021-05-27,24.39,24.9,23.7,23.94,5908500,False,JSCL
2021-05-28,23.89,24.19,22.8,22.92,4753000,False,JSCL
2021-05-31,23.2,23.59,22.8,23.04,5620000,False,JSCL
2021-06-01,23.2,23.49,22.5,22.69,3880500,False,JSCL
2021-06-02,23.1,23.7,22.82,23.0,5734500,False,JSCL
2021-06-03,23.05,23.8,22.91,23.15,3947500,False,JSCL
2021-06-04,23.2,23.65,23.05,23.14,2638500,False,JSCL
2021-06-07,23.7,24.87,23.7,24.87,10136500,False,JSCL
2021-06-08,25.84,26.4,25.1,25.39,15823500,False,JSCL
2021-06-09,25.55,25.99,23.95,24.16,7630000,False,JSCL
2021-06-10,24.2,24.75,23.8,24.25,3141500,False,JSCL
2021-06-11,24.55,25.55,24.3,24.59,7141500,False,JSCL
2021-06-14,25.15,25.42,24.51,24.66,6487500,False,JSCL
2021-06-15,24.85,25.0,23.9,24.44,5604500,False,JSCL
2021-06-16,24.54,24.88,24.11,24.28,7521500,False,JSCL
2021-06-17,24.45,24.6,23.51,23.71,4377000,False,JSCL
2021-06-18,23.71,24.2,23.35,23.44,2934500,False,JSCL
2021-06-21,23.4,23.79,22.79,22.87,1562500,False,JSCL
2021-06-22,22.9,23.25,22.56,22.82,2098000,False,JSCL
2021-06-23,23.06,23.38,22.71,22.8,3604500,False,JSCL
2021-06-24,22.95,23.39,22.8,22.97,2308000,False,JSCL
2021-06-25,23.2,23.5,22.64,22.96,2534500,False,JSCL
2021-06-28,22.52,23.25,21.4,21.74,13039000,False,JSCL
2021-06-29,21.84,22.75,21.84,22.34,2173000,False,JSCL
2021-06-30,22.5,23.05,22.4,22.56,3284500,False,JSCL
2021-07-01,22.74,23.45,22.74,23.01,3514000,False,JSCL
2021-07-02,23.28,23.48,22.72,22.79,1356000,False,JSCL
