date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,18.01,19.0,18.01,18.43,8500,False,JSML
2021-04-27,18.5,19.81,18.43,19.41,16000,False,JSML
2021-04-28,19.0,19.99,18.6,19.65,10000,False,JSML
2021-05-03,18.5,20.4,18.5,19.48,6500,False,JSML
2021-05-17,19.02,19.1,18.9,19.0,6500,False,JSML
2021-05-18,19.0,20.42,18.8,18.8,35000,False,JSML
2021-05-19,19.3,19.3,19.0,19.0,1500,False,JSML
2021-05-20,18.9,19.99,18.65,19.48,101000,False,JSML
2021-05-21,19.8,20.94,19.5,19.71,102000,False,JSML
2021-05-24,19.55,21.18,19.5,20.95,100500,False,JSML
2021-05-25,20.52,21.9,20.0,20.19,54000,False,JSML
2021-05-26,19.8,21.3,19.8,20.82,5500,False,JSML
2021-05-27,21.0,21.32,20.2,21.23,19000,False,JSML
2021-05-28,21.2,21.9,21.2,21.5,17000,False,JSML
2021-05-31,21.9,22.2,21.4,21.99,33500,False,JSML
2021-06-01,22.25,22.47,21.8,22.4,18500,False,JSML
2021-06-02,22.2,22.2,22.0,22.2,2000,False,JSML
2021-06-03,22.5,23.69,22.49,23.3,113500,False,JSML
2021-06-04,22.5,23.99,22.5,23.47,45000,False,JSML
2021-06-07,23.0,24.49,22.76,24.4,139500,False,JSML
2021-06-08,23.5,26.23,23.5,25.91,325000,False,JSML
2021-06-09,25.01,26.48,25.01,26.25,19000,False,JSML
2021-06-11,26.2,27.95,25.5,26.24,88000,False,JSML
2021-06-14,26.0,27.9,26.0,27.13,42500,False,JSML
2021-06-15,26.93,28.0,26.07,27.13,50500,False,JSML
2021-06-16,26.46,27.45,26.0,26.9,65000,False,JSML
2021-06-17,26.15,27.95,25.5,27.62,51000,False,JSML
2021-06-18,27.5,27.62,27.4,27.55,147000,False,JSML
2021-06-21,26.31,27.5,26.31,27.5,3500,False,JSML
2021-06-23,26.01,26.25,25.81,25.84,40500,False,JSML
2021-06-24,25.84,26.89,25.5,26.18,39500,False,JSML
2021-06-25,26.9,27.4,26.0,27.18,15500,False,JSML
2021-06-28,27.0,27.0,25.15,25.15,51000,False,JSML
2021-06-29,25.0,25.99,25.0,25.73,8500,False,JSML
2021-06-30,25.0,26.65,25.0,26.65,22000,False,JSML
2021-07-01,25.74,26.64,25.51,26.55,19500,False,JSML
2021-07-02,25.36,26.5,25.36,26.35,4500,False,JSML
2021-07-05,25.25,26.64,24.38,26.27,133000,False,JSML
2021-07-06,25.5,26.27,25.03,25.99,608000,False,JSML
2021-07-07,25.99,26.5,25.25,26.43,82000,False,JSML
2021-07-08,26.0,28.41,26.0,27.68,96500,False,JSML
2021-07-09,28.18,29.38,27.0,28.65,36000,False,JSML
2021-07-12,28.0,30.49,27.7,29.8,92000,False,JSML
2021-07-13,29.5,29.5,27.57,27.57,57000,False,JSML
2021-07-14,27.3,28.3,26.7,27.11,50500,False,JSML
2021-07-15,27.0,28.4,27.0,28.17,13000,False,JSML
2021-07-16,28.39,29.44,27.0,28.3,78500,False,JSML
2021-07-19,28.01,30.0,27.7,29.9,192000,False,JSML
2021-07-23,30.0,31.4,29.3,30.5,188000,False,JSML
2021-07-26,31.2,31.2,29.8,29.87,40000,False,JSML
2021-07-27,30.59,30.59,28.5,29.66,18000,False,JSML
2021-07-28,28.51,28.51,27.44,27.84,18000,False,JSML
2021-07-29,26.18,27.01,26.0,26.73,16000,False,JSML
2021-07-30,26.74,26.74,26.73,26.73,1500,False,JSML
2021-08-02,27.33,27.33,27.33,27.33,500,False,JSML
2021-08-03,27.58,27.58,27.58,27.58,1000,False,JSML
2021-08-04,27.58,27.6,27.58,27.6,1500,False,JSML
2021-08-05,27.01,28.0,27.0,27.75,2500,False,JSML
2021-08-09,27.0,27.0,26.0,26.29,15000,False,JSML
