date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,10.5,11.0,9.9,11.0,7000,False,KHSM
2021-04-28,11.5,11.5,11.0,11.5,2500,False,KHSM
2021-04-29,10.5,11.5,10.5,11.13,12000,False,KHSM
2021-04-30,12.13,12.13,12.0,12.0,10500,False,KHSM
2021-05-05,11.1,11.15,11.0,11.0,8000,False,KHSM
2021-05-17,11.0,11.0,10.0,10.0,11500,False,KHSM
2021-05-19,10.75,10.75,9.51,10.45,2000,False,KHSM
2021-05-21,9.66,10.9,9.66,10.7,4000,False,KHSM
2021-05-24,9.82,10.89,9.8,10.89,14500,False,KHSM
2021-05-25,10.95,10.95,10.11,10.11,1500,False,KHSM
2021-05-26,10.11,10.22,10.0,10.11,8000,False,KHSM
2021-05-27,10.0,11.11,10.0,10.89,16000,False,KHSM
2021-05-28,10.88,10.9,10.52,10.52,6000,False,KHSM
2021-05-31,10.52,11.5,10.52,10.99,13500,False,KHSM
2021-06-01,11.9,11.9,10.95,11.55,11500,False,KHSM
2021-06-02,11.45,11.55,10.99,10.99,2000,False,KHSM
2021-06-03,10.99,10.99,10.41,10.95,2000,False,KHSM
2021-06-04,11.0,11.4,11.0,11.0,3000,False,KHSM
2021-06-07,11.0,11.39,11.0,11.39,3000,False,KHSM
2021-06-08,11.0,11.3,11.0,11.3,1000,False,KHSM
2021-06-11,11.3,11.3,10.75,10.76,4000,False,KHSM
2021-06-14,10.5,10.5,10.5,10.5,2000,False,KHSM
2021-06-15,10.11,11.5,10.11,11.46,21500,False,KHSM
2021-06-16,12.0,12.19,11.5,11.97,18500,False,KHSM
2021-06-17,12.2,12.2,11.51,11.55,2000,False,KHSM
2021-06-21,11.25,11.45,11.1,11.22,2000,False,KHSM
2021-06-24,10.76,10.76,10.76,10.76,1000,False,KHSM
2021-06-25,10.75,11.0,10.75,11.0,3500,False,KHSM
2021-06-30,11.0,11.1,11.0,11.0,8500,False,KHSM
2021-07-01,10.63,11.8,10.63,11.05,13500,False,KHSM
2021-07-02,11.0,11.24,10.61,10.82,16500,False,KHSM
2021-07-05,10.85,11.3,10.85,11.1,6500,False,KHSM
2021-07-07,11.81,11.81,11.81,11.81,500,False,KHSM
2021-07-08,11.26,11.26,11.26,11.26,500,False,KHSM
2021-07-09,11.0,11.6,11.0,11.6,1000,False,KHSM
2021-07-12,11.49,11.5,11.49,11.5,1000,False,KHSM
2021-07-13,11.89,12.0,11.75,11.75,7000,False,KHSM
2021-07-14,11.99,12.0,11.3,11.4,3500,False,KHSM
2021-07-15,11.45,11.45,11.45,11.45,500,False,KHSM
2021-07-16,11.45,11.45,11.45,11.45,1500,False,KHSM
2021-07-19,11.2,12.45,11.2,12.28,9000,False,KHSM
