date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,385.0,392.99,383.0,387.14,1200,False,KHTC
2021-04-27,394.99,416.17,387.0,409.55,13900,False,KHTC
2021-04-28,414.98,414.98,378.84,402.17,14500,False,KHTC
2021-04-29,387.0,414.0,372.01,373.51,11800,False,KHTC
2021-04-30,350.0,360.0,345.5,349.35,5800,False,KHTC
2021-05-03,326.0,344.49,323.15,331.92,2500,False,KHTC
2021-05-04,340.0,356.8,340.0,355.77,2800,False,KHTC
2021-05-05,352.0,369.9,350.0,355.0,1600,False,KHTC
2021-05-06,367.5,367.99,367.5,367.75,400,False,KHTC
2021-05-17,374.0,385.0,356.0,363.59,5000,False,KHTC
2021-05-18,368.5,368.99,368.5,368.75,200,False,KHTC
2021-05-19,365.0,367.99,365.0,366.83,300,False,KHTC
2021-05-20,369.25,369.74,369.25,369.5,200,False,KHTC
2021-05-21,370.0,370.0,350.0,362.5,2300,False,KHTC
2021-05-24,360.0,389.68,352.0,376.79,37800,False,KHTC
2021-05-25,376.49,405.04,369.05,405.04,36600,False,KHTC
2021-05-26,434.0,434.0,400.0,413.27,41100,False,KHTC
2021-05-27,415.0,415.0,400.0,405.58,3600,False,KHTC
2021-05-28,409.99,417.0,397.0,399.14,7100,False,KHTC
2021-05-31,408.0,408.0,385.0,394.9,13500,False,KHTC
2021-06-01,390.0,399.95,385.1,399.32,15100,False,KHTC
2021-06-02,395.0,402.0,388.0,398.75,3800,False,KHTC
2021-06-03,399.14,399.97,391.0,396.04,1100,False,KHTC
2021-06-04,400.0,401.5,395.0,399.8,1500,False,KHTC
2021-06-07,400.0,404.0,396.0,400.16,1500,False,KHTC
2021-06-08,393.05,400.16,386.02,394.71,3000,False,KHTC
2021-06-09,387.0,390.0,383.1,389.95,1800,False,KHTC
2021-06-10,392.0,392.0,391.0,391.67,1000,False,KHTC
2021-06-11,379.0,393.49,379.0,390.4,500,False,KHTC
2021-06-14,380.01,392.99,380.01,392.75,300,False,KHTC
2021-06-15,394.0,398.99,390.0,395.83,1500,False,KHTC
2021-06-16,395.98,396.0,366.15,392.75,7600,False,KHTC
