date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,4.5,4.5,4.17,4.17,6500,False,KOHP
2021-04-27,4.1,4.12,4.06,4.12,13000,False,KOHP
2021-04-28,4.08,4.1,4.0,4.03,60500,False,KOHP
2021-04-29,3.9,4.2,3.9,3.97,18000,False,KOHP
2021-04-30,4.2,4.5,3.91,4.13,168500,False,KOHP
2021-05-03,4.01,4.3,4.01,4.12,9000,False,KOHP
2021-05-05,4.1,4.55,4.1,4.49,96000,False,KOHP
2021-05-06,4.32,4.54,4.32,4.54,6000,False,KOHP
2021-05-17,4.2,4.69,4.19,4.63,6000,False,KOHP
2021-05-18,4.64,4.64,4.64,4.64,500,False,KOHP
2021-05-19,4.7,4.7,4.3,4.33,2000,False,KOHP
2021-05-20,4.59,5.33,4.59,5.25,297000,False,KOHP
2021-05-21,5.23,6.25,5.0,6.21,1960500,False,KOHP
2021-05-24,6.3,7.21,6.0,7.21,1134000,False,KOHP
2021-05-25,7.29,8.21,7.29,8.21,1747500,False,KOHP
2021-05-26,8.25,9.18,7.21,7.39,3413500,False,KOHP
2021-05-27,7.37,7.37,6.62,6.79,199000,False,KOHP
2021-05-28,6.56,7.4,5.79,5.91,1879500,False,KOHP
2021-05-31,6.14,6.25,5.75,5.9,346000,False,KOHP
2021-06-01,5.73,6.0,5.71,5.8,178000,False,KOHP
2021-06-02,6.3,6.3,5.8,5.9,41500,False,KOHP
2021-06-03,6.02,6.05,5.85,5.87,41000,False,KOHP
2021-06-04,5.72,6.0,5.7,5.91,30000,False,KOHP
2021-06-07,6.02,6.4,5.8,5.91,137000,False,KOHP
2021-06-08,5.9,5.9,5.76,5.81,5000,False,KOHP
2021-06-09,5.79,5.8,5.45,5.5,56500,False,KOHP
2021-06-10,5.6,5.73,5.4,5.56,80000,False,KOHP
2021-06-11,5.45,5.9,5.4,5.46,145500,False,KOHP
2021-06-14,5.4,5.46,5.4,5.41,83000,False,KOHP
2021-06-15,5.4,5.4,5.15,5.2,76000,False,KOHP
2021-06-16,5.58,5.7,5.25,5.62,160500,False,KOHP
2021-06-17,5.69,5.69,5.36,5.48,5000,False,KOHP
2021-06-18,5.4,5.59,5.2,5.52,7500,False,KOHP
2021-06-21,5.6,5.6,5.35,5.6,2500,False,KOHP
2021-06-22,5.75,5.75,5.37,5.57,15000,False,KOHP
2021-06-23,5.57,5.57,5.42,5.42,12000,False,KOHP
2021-06-24,5.5,5.7,5.5,5.68,29500,False,KOHP
2021-06-25,6.0,6.68,5.9,6.05,856500,False,KOHP
2021-06-28,7.05,7.05,6.05,7.05,609500,False,KOHP
2021-06-29,7.01,7.4,6.65,6.72,1082500,False,KOHP
2021-06-30,6.85,6.99,6.55,6.6,374000,False,KOHP
2021-07-01,6.6,6.85,6.45,6.52,245000,False,KOHP
2021-07-02,6.26,6.74,6.26,6.4,61000,False,KOHP
2021-07-05,6.6,6.73,6.16,6.27,33000,False,KOHP
2021-07-06,6.4,6.4,5.81,6.04,49500,False,KOHP
2021-07-07,6.2,6.2,5.8,6.0,55500,False,KOHP
2021-07-08,5.8,6.1,5.8,6.1,20000,False,KOHP
2021-07-09,6.16,6.16,6.16,6.16,500,False,KOHP
2021-07-12,5.7,6.08,5.7,5.89,41000,False,KOHP
2021-07-13,5.85,6.0,5.69,5.79,39500,False,KOHP
2021-07-14,5.61,6.2,5.61,5.95,31000,False,KOHP
2021-07-15,6.2,6.2,6.0,6.1,38500,False,KOHP
2021-07-16,6.01,6.02,5.85,5.89,31000,False,KOHP
2021-07-19,6.19,6.2,5.92,5.99,16000,False,KOHP
2021-07-23,6.49,6.49,5.63,5.71,24000,False,KOHP
2021-07-26,5.9,5.98,5.7,5.71,23000,False,KOHP
2021-07-27,5.51,6.18,5.51,5.9,30500,False,KOHP
2021-07-28,5.69,5.8,5.6,5.6,29000,False,KOHP
2021-07-29,5.43,5.78,5.39,5.66,24000,False,KOHP
2021-07-30,5.46,5.5,5.26,5.32,9500,False,KOHP
2021-08-02,5.78,5.78,5.45,5.46,26000,False,KOHP
2021-08-03,5.5,5.79,5.47,5.68,32000,False,KOHP
2021-08-04,5.46,5.69,5.46,5.55,32000,False,KOHP
2021-08-05,5.89,6.2,5.71,5.95,45000,False,KOHP
2021-08-06,5.81,5.85,5.7,5.85,16000,False,KOHP
2021-08-09,5.79,5.8,5.5,5.54,23500,False,KOHP
2021-08-10,5.5,6.05,5.5,5.99,117000,False,KOHP
2021-08-11,6.0,6.99,6.0,6.94,1744000,False,KOHP
2021-08-12,7.44,7.44,6.56,6.69,574000,False,KOHP
2021-08-13,6.5,6.6,6.31,6.46,117000,False,KOHP
2021-08-16,6.78,6.93,6.5,6.58,219500,False,KOHP
2021-08-17,6.5,7.5,6.5,7.06,1042500,False,KOHP
2021-08-20,7.05,7.88,6.9,7.0,1024500,False,KOHP
2021-08-23,7.02,7.02,6.62,6.68,237500,False,KOHP
2021-08-24,6.55,6.7,6.51,6.53,119000,False,KOHP
2021-08-25,6.7,6.7,6.44,6.5,51500,False,KOHP
2021-08-26,6.5,6.8,6.41,6.54,27500,False,KOHP
2021-08-27,6.41,6.41,6.0,6.22,33500,False,KOHP
2021-08-30,6.7,6.7,6.5,6.5,1500,False,KOHP
2021-08-31,6.4,6.5,6.4,6.4,9500,False,KOHP
2021-09-01,6.45,6.49,6.3,6.37,25500,False,KOHP
2021-09-02,6.4,6.45,6.26,6.31,23500,False,KOHP
2021-09-03,6.3,6.5,6.05,6.31,17500,False,KOHP
2021-09-06,6.75,6.79,6.22,6.5,89000,False,KOHP
2021-09-07,6.8,6.8,6.35,6.49,49000,False,KOHP
2021-09-08,6.5,6.5,6.01,6.29,52000,False,KOHP
2021-09-09,6.3,6.55,6.15,6.18,39500,False,KOHP
2021-09-10,6.15,6.35,6.15,6.35,3500,False,KOHP
2021-09-13,6.2,6.4,6.2,6.23,11500,False,KOHP
2021-09-14,6.15,6.35,6.0,6.0,67500,False,KOHP
2021-09-15,6.02,6.1,5.86,6.1,35000,False,KOHP
2021-09-16,6.0,6.49,6.0,6.1,71500,False,KOHP
2021-09-17,6.0,6.0,6.0,6.0,2000,False,KOHP
2021-09-20,6.0,6.0,5.7,5.75,5500,False,KOHP
2021-09-21,5.75,5.75,5.55,5.6,25000,False,KOHP
2021-09-22,5.21,5.45,5.0,5.45,24000,False,KOHP
2021-09-23,5.35,5.35,5.0,5.08,16000,False,KOHP
2021-09-24,5.01,5.5,5.0,5.47,28000,False,KOHP
