date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,0.0,0.0,0.0,14.26,0,True,KOHTM
2021-04-28,15.32,15.32,15.32,15.32,500,False,KOHTM
2021-04-29,16.46,16.46,16.46,16.46,500,False,KOHTM
2021-04-30,17.69,17.69,17.69,17.69,1000,False,KOHTM
2021-05-03,17.76,19.0,16.67,17.79,5000,False,KOHTM
2021-05-04,16.7,16.7,16.7,16.7,500,False,KOHTM
2021-05-05,17.95,17.95,16.7,16.7,1000,False,KOHTM
2021-05-06,15.52,15.52,15.52,15.52,500,False,KOHTM
2021-05-17,15.01,15.01,15.01,15.01,500,False,KOHTM
2021-05-19,14.3,14.3,14.3,14.3,500,False,KOHTM
2021-05-21,0.0,0.0,0.0,14.39,0,True,KOHTM
2021-05-24,0.0,0.0,0.0,14.42,0,True,KOHTM
2021-05-25,14.0,14.0,14.0,14.0,500,False,KOHTM
2021-05-26,0.0,0.0,0.0,14.55,0,True,KOHTM
2021-05-27,0.0,0.0,0.0,14.81,0,True,KOHTM
2021-05-28,15.92,15.92,15.92,15.92,4000,False,KOHTM
2021-05-31,0.0,0.0,0.0,15.99,0,True,KOHTM
2021-06-01,17.18,17.18,17.18,17.18,500,False,KOHTM
2021-06-02,18.46,18.46,18.45,18.46,4000,False,KOHTM
2021-06-03,19.8,19.8,18.8,19.01,3000,False,KOHTM
2021-06-04,20.0,20.0,19.01,19.01,6500,False,KOHTM
2021-06-07,19.1,20.43,19.1,20.41,17500,False,KOHTM
2021-06-08,21.8,21.86,19.23,19.26,2000,False,KOHTM
2021-06-09,19.01,19.01,19.01,19.01,1000,False,KOHTM
2021-06-10,18.11,18.17,18.11,18.14,1000,False,KOHTM
2021-06-11,19.5,19.5,19.5,19.5,2000,False,KOHTM
2021-06-15,19.0,19.0,19.0,19.0,3000,False,KOHTM
2021-06-16,20.35,20.42,20.35,20.42,15500,False,KOHTM
2021-06-18,21.0,21.95,19.51,19.51,73500,False,KOHTM
2021-06-21,20.97,20.97,20.97,20.97,500,False,KOHTM
2021-06-22,22.54,22.54,22.54,22.54,26500,False,KOHTM
2021-06-23,24.15,24.15,20.91,22.07,37000,False,KOHTM
2021-06-24,21.95,22.5,21.95,22.01,3500,False,KOHTM
2021-06-25,20.36,22.93,20.36,20.5,7000,False,KOHTM
2021-06-28,22.0,22.03,19.05,22.03,19000,False,KOHTM
2021-06-29,21.5,23.24,21.11,23.24,4000,False,KOHTM
2021-06-30,24.45,24.5,24.45,24.5,1000,False,KOHTM
2021-07-01,23.0,24.48,22.75,23.23,8500,False,KOHTM
2021-07-02,24.58,24.63,22.0,22.5,15500,False,KOHTM
2021-07-05,21.5,22.5,21.5,21.58,3500,False,KOHTM
2021-07-06,22.0,22.0,22.0,22.0,500,False,KOHTM
2021-07-07,21.5,22.99,21.25,21.82,19000,False,KOHTM
2021-07-08,22.45,22.5,22.01,22.01,22500,False,KOHTM
2021-07-09,23.0,23.1,22.01,22.19,15500,False,KOHTM
2021-07-13,22.0,22.0,22.0,22.0,9000,False,KOHTM
2021-07-14,23.0,23.0,22.06,22.08,26000,False,KOHTM
2021-07-15,22.11,22.11,21.55,21.9,6000,False,KOHTM
2021-07-19,21.55,22.19,20.27,22.17,29500,False,KOHTM
2021-07-23,22.17,22.17,21.15,21.15,6000,False,KOHTM
2021-07-26,22.2,22.35,21.2,21.2,2500,False,KOHTM
2021-07-27,22.5,22.5,21.51,21.72,4000,False,KOHTM
2021-07-28,21.82,23.33,20.25,21.28,28000,False,KOHTM
2021-07-30,22.0,22.0,20.4,20.4,3000,False,KOHTM
2021-08-02,20.55,21.45,20.55,21.45,2000,False,KOHTM
2021-08-03,21.2,22.0,21.2,21.89,5500,False,KOHTM
2021-08-04,22.4,22.4,21.75,22.0,4000,False,KOHTM
2021-08-05,22.5,22.95,22.5,22.95,2000,False,KOHTM
2021-08-06,22.95,22.95,22.95,22.95,500,False,KOHTM
2021-08-09,22.15,22.15,22.15,22.15,500,False,KOHTM
2021-08-10,21.9,23.0,21.9,23.0,2000,False,KOHTM
2021-08-11,22.99,23.0,22.71,22.71,3000,False,KOHTM
2021-08-16,22.6,22.6,21.71,21.74,1500,False,KOHTM
2021-08-17,22.9,22.9,22.9,22.9,500,False,KOHTM
2021-08-20,23.85,23.9,23.0,23.01,4500,False,KOHTM
2021-08-23,23.0,23.2,23.0,23.2,4000,False,KOHTM
2021-08-24,23.0,23.5,22.95,23.0,15000,False,KOHTM
2021-08-25,23.1,23.1,23.05,23.08,2000,False,KOHTM
2021-08-26,23.3,23.3,23.01,23.2,2500,False,KOHTM
2021-08-27,22.01,23.9,22.01,22.5,6000,False,KOHTM
2021-08-31,23.0,23.0,23.0,23.0,500,False,KOHTM
2021-09-01,23.95,23.95,22.15,22.15,1000,False,KOHTM
2021-09-02,22.01,23.01,22.01,22.81,5000,False,KOHTM
2021-09-03,22.85,22.85,22.85,22.85,500,False,KOHTM
2021-09-08,22.9,23.0,21.15,21.15,2000,False,KOHTM
2021-09-09,22.65,22.73,22.65,22.73,7000,False,KOHTM
2021-09-10,22.01,22.01,22.01,22.01,500,False,KOHTM
2021-09-13,21.51,22.2,21.51,22.2,1500,False,KOHTM
2021-09-15,21.01,22.2,21.01,21.01,5500,False,KOHTM
2021-09-17,20.1,20.1,20.1,20.1,500,False,KOHTM
2021-09-20,21.6,21.6,21.6,21.6,500,False,KOHTM
2021-09-21,21.01,22.8,21.0,22.55,5000,False,KOHTM
2021-09-22,22.4,23.89,22.4,23.89,3500,False,KOHTM
2021-09-23,22.1,25.47,22.1,25.47,1500,False,KOHTM
2021-09-24,23.56,27.34,23.56,27.34,2500,False,KOHTM
2021-09-27,0.0,0.0,0.0,27.34,0,True,KOHTM
2021-09-28,0.0,0.0,0.0,27.07,0,True,KOHTM
2021-09-30,25.04,25.04,25.04,25.04,1500,False,KOHTM
2021-10-01,23.17,23.17,23.17,23.17,1500,False,KOHTM
2021-10-04,21.5,21.5,21.44,21.44,9000,False,KOHTM
2021-10-05,20.51,21.5,20.51,21.04,3500,False,KOHTM
2021-10-06,20.51,20.98,19.51,20.0,9500,False,KOHTM
2021-10-07,20.9,20.9,20.9,20.9,500,False,KOHTM
2021-10-08,22.15,22.19,22.15,22.19,1000,False,KOHTM
2021-10-11,20.53,21.25,20.53,20.56,5500,False,KOHTM
2021-10-12,19.35,19.35,19.35,19.35,500,False,KOHTM
2021-10-14,20.8,20.8,20.8,20.8,500,False,KOHTM
2021-10-15,19.02,21.0,19.02,20.9,10500,False,KOHTM
2021-10-18,19.35,19.35,19.35,19.35,1000,False,KOHTM
2021-10-20,19.0,19.0,18.7,18.7,5500,False,KOHTM
2021-10-21,20.1,20.1,18.76,18.76,1000,False,KOHTM
2021-10-22,18.25,18.25,18.25,18.25,500,False,KOHTM
2021-10-25,0.0,0.0,0.0,18.25,0,True,KOHTM
2021-10-27,19.6,19.6,19.6,19.6,4500,False,KOHTM
2021-10-28,20.5,20.59,20.5,20.55,1000,False,KOHTM
2021-10-29,21.65,21.7,19.15,20.57,3500,False,KOHTM
2021-11-01,19.2,19.5,19.2,19.5,1500,False,KOHTM
2021-11-04,20.75,20.79,20.75,20.77,1000,False,KOHTM
2021-11-09,22.1,22.15,19.35,19.35,2500,False,KOHTM
2021-11-10,18.3,18.3,18.3,18.3,500,False,KOHTM
2021-11-12,17.75,17.75,17.75,17.75,500,False,KOHTM
2021-11-16,17.75,17.75,17.75,17.75,500,False,KOHTM
2021-11-17,18.25,18.25,18.25,18.25,500,False,KOHTM
2021-11-18,17.8,17.8,17.8,17.8,500,False,KOHTM
2021-11-19,0.0,0.0,0.0,17.89,0,True,KOHTM
2021-11-22,17.5,18.99,17.25,18.05,12500,False,KOHTM
2021-11-23,18.8,18.84,17.0,17.92,4500,False,KOHTM
2021-11-24,18.4,18.44,16.75,17.72,2500,False,KOHTM
2021-11-25,18.4,18.44,18.4,18.44,1000,False,KOHTM
2021-11-26,18.9,18.94,18.9,18.94,1000,False,KOHTM
2021-11-29,19.3,19.34,19.3,19.34,1000,False,KOHTM
2021-12-01,18.0,18.1,17.89,18.1,9500,False,KOHTM
2021-12-02,17.2,17.2,17.0,17.0,1500,False,KOHTM
2021-12-03,16.01,16.01,16.01,16.01,500,False,KOHTM
2021-12-07,15.11,15.11,15.11,15.11,500,False,KOHTM
2021-12-13,14.61,14.61,14.61,14.61,1000,False,KOHTM
2021-12-14,15.4,15.7,15.4,15.7,2000,False,KOHTM
2021-12-15,16.5,16.8,16.5,16.74,4000,False,KOHTM
2021-12-29,17.5,17.5,17.45,17.45,3000,False,KOHTM
2022-01-11,17.45,17.45,17.45,17.45,500,False,KOHTM
2022-01-12,18.49,18.75,18.49,18.75,2000,False,KOHTM
2022-01-13,19.98,20.15,19.98,20.15,19000,False,KOHTM
2022-01-19,19.0,19.0,19.0,19.0,1500,False,KOHTM
2022-01-24,20.0,20.0,20.0,20.0,2500,False,KOHTM
2022-01-27,19.9,19.9,19.9,19.9,500,False,KOHTM
2022-02-01,19.05,19.5,19.05,19.21,2500,False,KOHTM
2022-02-02,20.2,20.2,20.2,20.2,5000,False,KOHTM
2022-02-03,20.8,20.8,20.8,20.8,1500,False,KOHTM
2022-02-04,19.65,20.09,19.26,19.92,4500,False,KOHTM
2022-02-07,19.3,19.3,19.3,19.3,500,False,KOHTM
2022-02-09,19.5,19.9,19.5,19.9,1500,False,KOHTM
2022-02-10,21.39,21.39,19.8,20.13,2500,False,KOHTM
2022-02-11,20.0,20.0,19.5,19.5,3500,False,KOHTM
2022-02-14,19.7,19.7,19.7,19.7,1000,False,KOHTM
2022-02-16,19.11,19.11,19.11,19.11,500,False,KOHTM
2022-02-17,19.52,19.52,19.52,19.52,500,False,KOHTM
2022-02-18,18.5,18.5,18.3,18.3,1000,False,KOHTM
2022-02-21,19.65,19.67,19.65,19.67,1000,False,KOHTM
2022-02-22,19.5,19.5,19.0,19.0,3500,False,KOHTM
2022-02-23,19.0,19.0,18.45,18.45,1000,False,KOHTM
2022-02-24,17.65,17.65,17.65,17.65,500,False,KOHTM
2022-02-25,18.1,18.1,17.2,17.2,1000,False,KOHTM
2022-02-28,17.01,17.01,17.01,17.01,500,False,KOHTM
2022-03-03,0.0,17.01,17.01,17.01,2000,True,KOHTM
2022-03-04,17.69,17.69,16.05,16.05,1000,False,KOHTM
2022-03-11,15.05,15.05,15.05,15.05,500,False,KOHTM
2022-03-30,14.25,14.25,14.25,14.25,500,False,KOHTM
2022-04-06,14.3,14.3,14.3,14.3,500,False,KOHTM
2022-04-27,14.05,14.05,14.05,14.05,1000,False,KOHTM
2022-04-28,15.1,15.1,15.1,15.1,500,False,KOHTM
2022-05-06,16.23,16.23,16.23,16.23,500,False,KOHTM
2022-05-09,17.43,17.43,17.4,17.4,1500,False,KOHTM
2022-05-11,16.1,16.1,16.1,16.1,1000,False,KOHTM
2022-05-25,0.0,0.0,0.0,16.2,0,True,KOHTM
2022-05-30,15.98,17.41,15.98,17.41,4500,False,KOHTM
2022-06-15,18.65,18.7,16.21,16.21,1500,False,KOHTM
2022-06-21,15.0,15.0,15.0,15.0,500,False,KOHTM
2022-06-22,16.12,16.12,16.12,16.12,2000,False,KOHTM
2022-07-05,16.2,17.32,16.2,16.31,2500,False,KOHTM
2022-07-18,0.0,0.0,0.0,16.49,0,True,KOHTM
2022-07-20,15.26,15.26,15.26,15.26,500,False,KOHTM
2022-07-21,16.0,16.0,16.0,16.0,15000,False,KOHTM
2022-07-27,16.0,16.0,16.0,16.0,10000,False,KOHTM
2022-08-11,15.5,15.5,15.5,15.5,25500,False,KOHTM
2022-08-16,16.0,16.0,16.0,16.0,3500,False,KOHTM
2022-08-17,17.15,17.2,17.15,17.2,5500,False,KOHTM
2022-08-18,18.0,18.0,18.0,18.0,1000,False,KOHTM
2022-08-19,18.5,18.5,16.65,16.65,2000,False,KOHTM
2022-08-23,16.65,16.65,16.65,16.65,500,False,KOHTM
2022-08-24,15.7,15.7,15.7,15.7,500,False,KOHTM
2022-08-26,15.2,15.2,15.2,15.2,2000,False,KOHTM
2022-08-29,16.3,16.3,16.3,16.3,2000,False,KOHTM
2022-09-14,15.2,15.85,15.08,15.85,6500,False,KOHTM
2022-09-19,16.0,16.0,16.0,16.0,1500,False,KOHTM
2022-09-26,0.0,0.0,0.0,15.85,0,True,KOHTM
2022-09-27,15.9,15.9,15.0,15.0,1000,False,KOHTM
2022-09-29,14.03,15.49,14.03,15.02,5500,False,KOHTM
2022-09-30,13.91,13.91,13.9,13.9,28500,False,KOHTM
2022-10-03,14.59,14.59,14.59,14.59,500,False,KOHTM
2022-10-04,14.7,14.7,14.7,14.7,500,False,KOHTM
2022-10-05,14.7,15.35,14.11,14.11,18500,False,KOHTM
2022-10-06,15.15,15.15,14.31,14.31,4000,False,KOHTM
2022-10-07,15.35,15.35,13.51,13.66,3000,False,KOHTM
2022-10-11,14.68,14.68,14.68,14.68,2500,False,KOHTM
2022-10-13,15.4,15.4,15.4,15.4,500,False,KOHTM
2022-10-14,15.79,15.79,15.79,15.79,500,False,KOHTM
2022-10-17,16.19,16.19,16.19,16.19,500,False,KOHTM
2022-10-18,16.3,16.3,14.98,14.99,24000,False,KOHTM
2022-10-19,14.22,14.22,14.2,14.21,1000,False,KOHTM
2022-10-21,14.01,14.01,14.01,14.01,500,False,KOHTM
2022-10-26,13.25,13.25,13.25,13.25,500,False,KOHTM
2022-10-27,14.25,14.25,14.25,14.25,1500,False,KOHTM
2022-10-28,13.36,13.36,13.36,13.36,500,False,KOHTM
2022-11-01,13.5,14.36,13.5,14.36,29000,False,KOHTM
2022-11-16,15.43,15.43,13.35,13.4,3000,False,KOHTM
2022-12-14,14.4,14.4,14.0,14.0,1500,False,KOHTM
2022-12-15,13.11,13.11,13.11,13.11,500,False,KOHTM
2022-12-19,12.11,12.11,12.11,12.11,500,False,KOHTM
2022-12-21,11.51,11.51,11.51,11.51,500,False,KOHTM
2023-01-09,11.01,11.01,11.01,11.01,500,False,KOHTM
2023-02-21,12.01,12.01,12.01,12.01,500,False,KOHTM
2023-02-22,0.0,0.0,0.0,12.85,0,True,KOHTM
2023-02-23,11.87,11.87,11.87,11.87,2000,False,KOHTM
2023-02-24,12.8,12.87,12.8,12.87,16000,False,KOHTM
2023-02-27,12.5,13.85,12.5,13.85,8000,False,KOHTM
2023-02-28,12.82,12.82,12.82,12.82,1500,False,KOHTM
2023-03-01,11.82,11.82,11.82,11.82,500,False,KOHTM
2023-03-06,12.82,12.82,12.82,12.82,500,False,KOHTM
2023-03-08,12.82,12.82,12.82,12.82,2000,False,KOHTM
2023-03-10,11.85,11.85,11.85,11.85,500,False,KOHTM
2023-03-13,11.51,11.51,11.51,11.51,500,False,KOHTM
2023-03-15,12.51,12.51,12.51,12.51,500,False,KOHTM
2023-03-21,11.55,11.55,11.55,11.55,500,False,KOHTM
2023-03-24,10.55,10.55,10.55,10.55,500,False,KOHTM
2023-03-27,0.0,0.0,0.0,10.99,0,True,KOHTM
2023-04-07,0.0,0.0,0.0,11.0,0,True,KOHTM
2023-04-17,11.01,11.01,11.01,11.01,2000,False,KOHTM
2023-04-18,12.01,12.01,12.01,12.01,1000,False,KOHTM
2023-04-27,12.0,12.0,12.0,12.0,500,False,KOHTM
2023-04-28,13.0,13.0,13.0,13.0,500,False,KOHTM
2023-05-10,12.0,12.0,12.0,12.0,500,False,KOHTM
2023-05-25,13.0,13.0,13.0,13.0,500,False,KOHTM
2023-05-30,14.0,14.0,14.0,14.0,500,False,KOHTM
2023-06-13,13.0,13.0,13.0,13.0,500,False,KOHTM
2023-06-19,12.0,12.0,12.0,12.0,500,False,KOHTM
2023-07-06,11.05,11.05,11.05,11.05,500,False,KOHTM
2023-07-14,10.31,10.31,10.3,10.3,1000,False,KOHTM
2023-07-17,10.8,11.3,10.8,11.3,25000,False,KOHTM
2023-07-18,11.99,12.3,11.99,12.3,6500,False,KOHTM
2023-07-19,11.3,11.3,11.3,11.3,500,False,KOHTM
2023-07-24,10.41,10.41,10.41,10.41,500,False,KOHTM
2023-07-25,0.0,0.0,0.0,10.85,0,True,KOHTM
2023-08-01,11.85,11.85,11.85,11.85,1500,False,KOHTM
2023-08-07,12.4,12.5,11.21,11.21,3000,False,KOHTM
2023-08-10,11.25,11.25,11.25,11.25,500,False,KOHTM
2023-08-18,0.0,0.0,0.0,11.72,0,True,KOHTM
2023-08-22,11.25,11.25,11.25,11.25,500,False,KOHTM
2023-09-08,12.25,12.25,12.25,12.25,500,False,KOHTM
2023-09-28,11.31,13.0,11.3,11.81,15500,False,KOHTM
2023-10-02,12.0,12.81,11.02,12.76,5500,False,KOHTM
2023-10-03,12.3,12.3,12.26,12.26,3000,False,KOHTM
2023-10-05,11.45,13.25,11.45,12.75,3500,False,KOHTM
2023-10-06,11.8,13.75,11.8,13.75,4500,False,KOHTM
2023-10-09,14.77,14.77,14.77,14.77,2500,False,KOHTM
2023-10-11,15.88,15.88,15.88,15.88,5000,False,KOHTM
2023-10-12,16.99,17.07,16.99,17.07,10000,False,KOHTM
2023-10-17,18.3,18.3,16.25,16.5,5000,False,KOHTM
2023-10-18,17.74,17.74,16.5,16.87,3000,False,KOHTM
2023-10-20,18.14,18.14,17.5,17.75,7500,False,KOHTM
2023-10-23,19.0,19.0,19.0,19.0,1000,False,KOHTM
2023-10-26,18.0,18.25,18.0,18.25,2000,False,KOHTM
2023-10-30,19.62,19.62,19.62,19.62,3000,False,KOHTM
2023-10-31,21.09,21.09,20.95,21.09,11500,False,KOHTM
2023-11-01,21.08,22.65,21.08,22.65,6000,False,KOHTM
2023-11-02,21.25,21.25,21.25,21.25,1500,False,KOHTM
2023-11-06,22.0,22.8,22.0,22.4,2000,False,KOHTM
2023-11-07,21.25,21.25,20.8,20.8,3000,False,KOHTM
2023-11-08,22.35,22.35,22.35,22.35,500,False,KOHTM
2023-11-10,20.67,23.95,20.67,23.48,9000,False,KOHTM
2023-11-13,21.73,21.73,21.72,21.72,1500,False,KOHTM
2023-11-14,21.72,21.72,21.72,21.72,500,False,KOHTM
2023-11-16,20.75,22.74,20.09,20.24,42000,False,KOHTM
2023-11-17,21.5,21.5,21.5,21.5,500,False,KOHTM
2023-11-20,22.45,22.45,20.0,22.4,4000,False,KOHTM
