date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,7.75,8.25,7.55,7.94,19500,False,KOIL
2021-04-27,8.0,8.24,7.9,7.99,15000,False,KOIL
2021-04-28,8.25,8.98,8.0,8.0,357500,False,KOIL
2021-04-29,8.2,8.25,8.2,8.24,15000,False,KOIL
2021-04-30,8.0,8.0,7.9,7.91,1500,False,KOIL
2021-05-03,7.85,7.85,7.85,7.85,500,False,KOIL
2021-05-04,7.85,7.85,7.85,7.85,1000,False,KOIL
2021-05-05,8.45,8.45,7.75,7.84,4500,False,KOIL
2021-05-06,7.85,8.1,7.84,8.1,1500,False,KOIL
2021-05-17,8.18,8.2,7.81,8.2,6500,False,KOIL
2021-05-18,8.2,8.2,8.18,8.18,7000,False,KOIL
2021-05-19,8.0,8.25,8.0,8.2,5500,False,KOIL
2021-05-20,8.2,8.2,8.01,8.02,12500,False,KOIL
2021-05-21,8.01,8.45,8.01,8.45,154000,False,KOIL
2021-05-24,8.2,8.5,8.11,8.47,35000,False,KOIL
2021-05-25,8.75,8.75,8.25,8.6,46000,False,KOIL
2021-05-26,8.7,8.76,8.31,8.45,28000,False,KOIL
2021-05-27,8.45,8.45,8.26,8.29,10000,False,KOIL
2021-05-28,8.25,8.25,8.25,8.25,11500,False,KOIL
2021-05-31,8.3,8.35,8.28,8.33,73000,False,KOIL
2021-06-01,8.4,8.6,8.05,8.45,174000,False,KOIL
2021-06-02,8.5,8.7,8.28,8.28,66000,False,KOIL
2021-06-03,8.5,8.7,8.35,8.44,154500,False,KOIL
2021-06-04,8.5,8.5,8.4,8.45,44000,False,KOIL
2021-06-07,8.27,8.45,8.25,8.26,26500,False,KOIL
2021-06-08,8.3,8.5,8.27,8.39,1181500,False,KOIL
2021-06-09,8.27,8.44,7.95,8.03,59500,False,KOIL
2021-06-10,8.19,8.39,8.0,8.23,97000,False,KOIL
2021-06-11,8.27,8.55,8.22,8.5,303500,False,KOIL
2021-06-14,8.5,8.79,8.4,8.4,184500,False,KOIL
2021-06-15,8.49,8.49,8.0,8.07,54500,False,KOIL
2021-06-16,8.25,9.07,8.24,9.07,3339000,False,KOIL
2021-06-17,9.4,9.99,9.03,9.11,2743500,False,KOIL
2021-06-18,9.16,9.19,8.7,8.85,587500,False,KOIL
2021-06-21,8.84,8.99,8.6,8.78,140500,False,KOIL
2021-06-22,8.62,8.9,8.51,8.67,156000,False,KOIL
2021-06-23,8.8,8.8,8.56,8.6,134000,False,KOIL
2021-06-24,8.6,8.7,8.41,8.53,119000,False,KOIL
2021-06-25,8.6,8.6,8.36,8.4,29500,False,KOIL
2021-06-28,8.65,8.65,8.1,8.27,52000,False,KOIL
2021-06-29,8.2,8.47,8.1,8.33,51500,False,KOIL
2021-06-30,8.49,8.83,8.4,8.54,111000,False,KOIL
2021-07-01,8.7,8.94,8.6,8.68,275000,False,KOIL
2021-07-02,8.71,9.44,8.71,9.03,701000,False,KOIL
2021-07-05,9.0,9.19,8.55,8.65,134000,False,KOIL
2021-07-06,8.94,8.94,8.51,8.66,64000,False,KOIL
2021-07-07,8.66,8.75,8.35,8.68,43000,False,KOIL
2021-07-08,8.7,8.85,8.68,8.73,58000,False,KOIL
2021-07-09,8.89,9.03,8.62,8.84,107000,False,KOIL
2021-07-12,8.84,8.85,8.15,8.45,72000,False,KOIL
2021-07-13,8.5,8.5,8.2,8.25,157500,False,KOIL
2021-07-14,8.3,8.56,8.2,8.42,46500,False,KOIL
2021-07-15,8.25,8.4,8.25,8.32,34000,False,KOIL
2021-07-16,8.35,8.5,8.25,8.4,14000,False,KOIL
2021-07-19,8.5,8.6,8.36,8.46,27000,False,KOIL
2021-07-23,8.55,8.55,8.32,8.35,13500,False,KOIL
2021-07-26,8.4,9.17,8.25,8.7,299000,False,KOIL
2021-07-27,8.75,8.99,8.55,8.66,84000,False,KOIL
2021-07-28,8.9,8.9,8.4,8.49,46000,False,KOIL
2021-07-29,8.5,8.5,8.28,8.43,53500,False,KOIL
2021-07-30,8.45,8.7,7.51,7.94,79000,False,KOIL
2021-08-02,8.0,8.4,8.0,8.2,53000,False,KOIL
2021-08-03,8.2,8.5,8.1,8.25,105000,False,KOIL
2021-08-04,8.25,8.5,8.25,8.32,128000,False,KOIL
2021-08-05,8.3,8.75,8.3,8.52,236000,False,KOIL
2021-08-06,8.69,8.69,8.3,8.36,85500,False,KOIL
2021-08-09,8.6,8.6,8.25,8.34,20500,False,KOIL
2021-08-10,8.03,8.25,8.02,8.2,80000,False,KOIL
2021-08-11,8.2,8.38,8.05,8.15,72500,False,KOIL
2021-08-12,8.2,8.2,7.8,8.0,38000,False,KOIL
2021-08-13,8.0,8.23,7.7,7.72,58500,False,KOIL
2021-08-16,8.0,8.15,7.7,7.75,94500,False,KOIL
2021-08-17,7.81,8.73,7.75,8.24,241500,False,KOIL
2021-08-20,8.25,8.35,8.0,8.35,21000,False,KOIL
2021-08-23,8.4,8.53,8.35,8.48,107000,False,KOIL
2021-08-24,8.4,8.55,8.2,8.31,49000,False,KOIL
2021-08-25,8.31,8.65,8.31,8.4,90000,False,KOIL
2021-08-26,8.35,9.09,8.35,8.49,591500,False,KOIL
2021-08-27,8.5,8.6,8.16,8.19,75000,False,KOIL
