date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,3.08,3.11,2.91,3.03,183000,False,KOSM
2021-04-27,3.02,3.11,3.0,3.03,218500,False,KOSM
2021-04-28,3.13,3.15,3.0,3.03,326000,False,KOSM
2021-04-29,3.11,3.14,3.0,3.04,140500,False,KOSM
2021-04-30,3.01,3.01,2.93,2.95,168000,False,KOSM
2021-05-03,2.86,3.0,2.8,2.83,307500,False,KOSM
2021-05-04,2.95,2.95,2.78,2.79,267000,False,KOSM
2021-05-05,2.9,2.94,2.77,2.85,197000,False,KOSM
2021-05-06,2.85,2.93,2.8,2.9,121000,False,KOSM
2021-05-17,2.96,3.15,2.95,3.1,340500,False,KOSM
2021-05-18,2.92,3.18,2.92,3.06,217000,False,KOSM
2021-05-19,3.01,3.1,3.0,3.06,443000,False,KOSM
2021-05-20,3.15,3.29,3.04,3.23,830000,False,KOSM
2021-05-21,3.29,3.6,3.21,3.54,2656500,False,KOSM
2021-05-24,3.54,4.15,3.54,4.03,3952500,False,KOSM
2021-05-25,4.09,4.09,3.65,3.75,3283000,False,KOSM
2021-05-26,3.83,3.9,3.55,3.85,3332000,False,KOSM
2021-05-27,3.96,4.09,3.7,3.72,2482500,False,KOSM
2021-05-28,3.62,3.75,3.6,3.66,533500,False,KOSM
2021-05-31,3.75,4.0,3.64,3.85,1920500,False,KOSM
2021-06-01,3.82,4.85,3.8,4.72,17589000,False,KOSM
2021-06-02,4.61,4.95,4.51,4.56,14234000,False,KOSM
2021-06-03,4.65,4.86,4.55,4.59,6283500,False,KOSM
2021-06-04,4.61,4.9,4.53,4.63,4687500,False,KOSM
2021-06-07,4.62,4.8,4.55,4.59,2567000,False,KOSM
2021-06-08,4.59,4.67,4.47,4.5,993000,False,KOSM
2021-06-09,4.66,4.66,4.38,4.41,1023000,False,KOSM
2021-06-10,4.49,5.3,4.32,5.08,16670500,False,KOSM
2021-06-11,5.23,5.53,5.13,5.33,24955500,False,KOSM
2021-06-14,5.4,5.49,4.92,5.02,6303500,False,KOSM
2021-06-15,5.0,5.05,4.7,4.72,3751500,False,KOSM
2021-06-16,4.81,5.72,4.78,5.72,26055000,False,KOSM
2021-06-17,6.0,6.1,5.5,5.55,24281000,False,KOSM
2021-06-18,5.55,5.85,5.31,5.52,5302000,False,KOSM
2021-06-21,5.57,5.92,5.45,5.64,4556500,False,KOSM
2021-06-22,5.77,5.84,5.32,5.39,2471500,False,KOSM
2021-06-23,5.4,5.45,5.05,5.15,2654500,False,KOSM
2021-06-24,5.17,5.4,5.01,5.07,2757000,False,KOSM
2021-06-25,5.11,5.29,4.8,5.07,2743000,False,KOSM
2021-06-28,5.01,5.08,4.79,4.81,1907500,False,KOSM
2021-06-29,4.85,5.05,4.85,4.93,1252000,False,KOSM
2021-06-30,5.04,5.14,4.85,5.07,1820000,False,KOSM
2021-07-01,5.02,5.74,5.02,5.57,10657000,False,KOSM
2021-07-02,5.55,6.37,5.55,6.19,28885000,False,KOSM
2021-07-05,6.38,6.56,6.16,6.21,14900500,False,KOSM
2021-07-06,6.21,6.25,5.66,5.72,6120500,False,KOSM
2021-07-07,5.7,5.75,4.75,5.42,5314500,False,KOSM
2021-07-08,5.5,5.73,5.5,5.61,2166000,False,KOSM
2021-07-09,5.7,6.17,5.5,5.82,11918500,False,KOSM
2021-07-12,5.88,5.9,5.61,5.67,4149000,False,KOSM
2021-07-13,5.62,5.79,5.45,5.49,2638500,False,KOSM
2021-07-14,5.6,5.7,5.4,5.49,2428000,False,KOSM
2021-07-15,5.5,5.6,5.4,5.5,1026000,False,KOSM
2021-07-16,5.61,5.72,5.3,5.34,3396000,False,KOSM
2021-07-19,5.35,5.6,5.25,5.27,2263500,False,KOSM
2021-07-23,5.27,5.39,5.19,5.21,484500,False,KOSM
2021-07-26,5.43,5.47,5.22,5.33,1850500,False,KOSM
2021-07-27,5.38,5.55,5.26,5.32,3051500,False,KOSM
2021-07-28,5.4,5.4,5.0,5.12,1340500,False,KOSM
2021-07-29,5.24,5.24,4.93,5.15,1808000,False,KOSM
2021-07-30,5.11,5.23,4.81,5.01,1206500,False,KOSM
2021-08-02,5.07,5.19,5.0,5.14,1308500,False,KOSM
2021-08-03,5.2,5.26,5.05,5.17,850000,False,KOSM
2021-08-04,5.16,5.3,5.05,5.21,2986000,False,KOSM
2021-08-05,5.29,5.92,5.25,5.66,16506000,False,KOSM
2021-08-06,5.79,5.79,5.25,5.28,3815500,False,KOSM
2021-08-09,5.28,5.38,5.06,5.13,1675000,False,KOSM
2021-08-10,5.23,5.27,4.97,5.21,1358000,False,KOSM
2021-08-11,5.21,5.29,5.16,5.21,448500,False,KOSM
2021-08-12,5.3,5.3,5.01,5.04,750500,False,KOSM
2021-08-13,5.19,5.19,4.93,5.06,851500,False,KOSM
2021-08-16,5.03,5.1,4.89,4.92,787500,False,KOSM
2021-08-17,5.01,5.09,4.98,5.04,297500,False,KOSM
2021-08-20,5.01,5.14,4.97,5.02,856500,False,KOSM
2021-08-23,5.05,5.39,5.05,5.27,2293500,False,KOSM
2021-08-24,5.34,5.49,5.17,5.18,2615000,False,KOSM
2021-08-25,5.3,5.65,5.3,5.4,13063000,False,KOSM
2021-08-26,5.45,6.03,5.4,5.72,21684000,False,KOSM
2021-08-27,5.85,5.85,5.22,5.37,5546000,False,KOSM
2021-08-30,5.63,5.7,5.3,5.5,10200500,False,KOSM
2021-08-31,5.55,5.75,5.4,5.43,2540500,False,KOSM
2021-09-01,5.4,5.74,5.2,5.64,6316000,False,KOSM
2021-09-02,5.77,6.07,5.64,5.72,17917500,False,KOSM
2021-09-03,5.73,5.95,5.5,5.88,6512000,False,KOSM
2021-09-06,6.2,6.88,6.2,6.88,15025500,False,KOSM
2021-09-07,7.32,7.44,6.51,6.81,33723000,False,KOSM
2021-09-08,6.9,7.18,6.6,7.08,18183500,False,KOSM
2021-09-09,7.25,7.44,6.81,6.84,12400500,False,KOSM
2021-09-10,6.75,6.86,6.22,6.48,6742000,False,KOSM
2021-09-13,6.36,6.67,6.21,6.24,3907500,False,KOSM
2021-09-14,6.34,6.65,6.27,6.5,7818000,False,KOSM
2021-09-15,6.63,6.67,6.31,6.45,3322000,False,KOSM
2021-09-16,6.35,6.5,6.21,6.37,1546500,False,KOSM
2021-09-17,6.44,6.75,6.21,6.43,8717000,False,KOSM
2021-09-20,6.4,6.57,6.25,6.33,2516000,False,KOSM
2021-09-21,6.38,6.4,5.8,5.93,3320500,False,KOSM
2021-09-22,5.82,5.96,4.95,5.32,4455000,False,KOSM
2021-09-23,5.4,5.73,5.03,5.09,3951000,False,KOSM
2021-09-24,5.05,5.34,4.9,5.13,2105500,False,KOSM
2021-09-27,5.1,5.26,4.9,5.03,1406500,False,KOSM
2021-09-28,5.1,5.63,5.08,5.54,1954500,False,KOSM
2021-09-29,5.65,5.7,5.0,5.04,3090000,False,KOSM
2021-09-30,5.05,5.2,4.91,5.14,1684500,False,KOSM
2021-10-01,5.12,5.28,5.12,5.22,568500,False,KOSM
2021-10-04,5.24,5.34,5.0,5.28,1180000,False,KOSM
2021-10-05,5.2,5.8,5.16,5.69,6377500,False,KOSM
2021-10-06,5.5,5.95,5.45,5.54,4998000,False,KOSM
2021-10-07,5.65,5.7,5.21,5.3,2306000,False,KOSM
2021-10-08,5.49,5.49,4.97,5.07,2698000,False,KOSM
2021-10-11,5.0,5.09,4.65,4.74,2168000,False,KOSM
2021-10-12,4.77,4.9,4.4,4.65,1174500,False,KOSM
2021-10-13,4.78,4.84,4.25,4.37,1757000,False,KOSM
2021-10-14,4.26,4.75,4.26,4.61,2099500,False,KOSM
2021-10-15,4.66,4.8,4.5,4.58,521000,False,KOSM
2021-10-18,4.4,4.56,4.37,4.43,660000,False,KOSM
2021-10-20,4.4,4.67,4.4,4.63,847500,False,KOSM
2021-10-21,4.65,4.7,4.43,4.45,532500,False,KOSM
2021-10-22,4.42,4.42,4.07,4.21,1129000,False,KOSM
2021-10-25,4.42,4.42,4.15,4.18,457500,False,KOSM
2021-10-26,4.3,4.35,4.15,4.2,441500,False,KOSM
2021-10-27,4.4,4.4,4.2,4.22,671000,False,KOSM
2021-10-28,4.16,4.35,4.12,4.31,485000,False,KOSM
2021-10-29,4.28,4.35,4.12,4.2,495500,False,KOSM
2021-11-01,4.28,4.5,4.26,4.38,1021000,False,KOSM
2021-11-02,4.5,4.5,4.33,4.44,793500,False,KOSM
2021-11-03,4.35,4.84,4.35,4.6,3597500,False,KOSM
2021-11-04,4.7,5.17,4.62,5.06,5583500,False,KOSM
2021-11-05,5.14,5.26,4.95,4.99,2057000,False,KOSM
2021-11-08,4.94,5.29,4.93,5.03,3396000,False,KOSM
2021-11-09,5.1,5.18,4.7,4.8,1770000,False,KOSM
2021-11-10,4.85,5.05,4.8,4.81,1820000,False,KOSM
2021-11-11,4.84,4.85,4.57,4.63,860500,False,KOSM
2021-11-12,4.6,4.73,4.4,4.45,739500,False,KOSM
2021-11-15,4.62,4.66,4.48,4.5,301000,False,KOSM
