date,open,high,low,close,volume,is_anomaly,ticker
2021-05-17,45.01,45.01,45.01,45.01,500,False,KPUS
2021-06-07,41.64,46.0,41.64,46.0,2000,False,KPUS
2021-06-14,49.45,49.45,49.45,49.45,500,False,KPUS
2021-06-16,52.99,52.99,52.99,52.99,500,False,KPUS
2021-06-18,55.0,56.96,55.0,56.96,2500,False,KPUS
2021-06-21,60.98,60.98,60.98,60.98,500,False,KPUS
2021-06-22,56.41,56.41,56.41,56.41,1000,False,KPUS
2021-06-23,52.18,55.98,52.18,52.18,4500,False,KPUS
2021-06-24,52.19,52.19,52.0,52.0,1000,False,KPUS
2021-06-29,55.78,55.78,55.78,55.78,500,False,KPUS
2021-06-30,51.6,51.71,51.6,51.67,3500,False,KPUS
2021-07-01,48.5,48.5,48.11,48.11,1000,False,KPUS
2021-07-02,51.49,51.49,44.51,44.51,1000,False,KPUS
2021-07-05,47.8,47.84,44.51,47.84,2000,False,KPUS
2021-07-06,44.27,51.42,44.27,51.25,3500,False,KPUS
2021-07-08,53.9,53.9,53.9,53.9,500,False,KPUS
2021-07-09,49.86,49.91,49.86,49.91,3500,False,KPUS
2021-07-12,52.9,52.9,52.9,52.9,500,False,KPUS
2021-07-13,48.94,52.84,48.94,50.89,1000,False,KPUS
2021-07-14,54.5,54.5,54.45,54.45,1000,False,KPUS
2021-07-15,50.37,54.5,50.37,53.47,2000,False,KPUS
2021-07-16,50.0,50.0,50.0,53.47,4000,True,KPUS
2021-07-19,54.5,57.48,54.5,57.48,5500,False,KPUS
2021-07-23,61.79,61.79,54.0,58.88,5000,False,KPUS
2021-07-26,63.29,63.29,63.0,63.0,1500,False,KPUS
2021-07-27,67.45,67.45,66.0,66.0,1000,False,KPUS
2021-07-28,70.9,70.9,70.9,70.9,500,False,KPUS
2021-07-29,75.89,75.89,65.59,65.59,2500,False,KPUS
2021-07-30,60.7,66.7,60.7,66.7,1000,False,KPUS
2021-08-02,69.9,69.95,61.8,62.6,4000,False,KPUS
2021-08-03,61.1,61.1,61.05,61.05,1000,False,KPUS
2021-08-04,62.9,65.3,60.53,65.0,4500,False,KPUS
2021-08-05,67.89,67.89,67.5,67.5,1500,False,KPUS
2021-08-06,66.9,72.56,66.9,72.56,2000,False,KPUS
2021-08-09,73.75,73.75,67.12,67.12,4000,False,KPUS
2021-08-11,62.15,62.15,62.15,62.15,500,False,KPUS
2021-08-12,64.64,66.81,64.64,66.81,2000,False,KPUS
2021-08-16,0.0,0.0,0.0,66.73,0,True,KPUS
2021-08-20,71.73,71.73,71.73,71.73,500,False,KPUS
2021-08-23,68.5,77.1,66.36,66.36,13000,False,KPUS
2021-08-24,62.05,66.99,61.5,61.6,12000,False,KPUS
2021-08-25,61.6,61.6,61.6,61.6,500,False,KPUS
2021-08-26,61.8,61.8,61.8,61.8,500,False,KPUS
2021-09-07,66.43,66.43,57.2,62.99,1500,False,KPUS
2021-09-08,58.3,58.4,58.3,58.35,1500,False,KPUS
2021-09-13,62.7,62.7,62.7,62.7,1000,False,KPUS
2021-09-14,64.6,67.0,59.0,59.0,2000,False,KPUS
2021-09-20,54.58,54.58,54.58,54.58,1000,False,KPUS
2021-09-21,50.75,50.75,50.49,50.55,3000,False,KPUS
2021-09-22,50.0,50.0,46.79,46.79,1000,False,KPUS
2021-09-24,48.95,48.95,48.95,48.95,500,False,KPUS
2021-09-29,45.28,45.28,45.28,45.28,1000,False,KPUS
2021-10-04,48.67,48.67,48.67,48.67,500,False,KPUS
2021-10-05,52.32,52.32,52.32,52.32,500,False,KPUS
2021-10-06,56.24,56.24,56.24,56.24,500,False,KPUS
2021-10-07,60.44,60.44,60.44,60.44,500,False,KPUS
2021-10-08,64.97,64.97,64.97,64.97,500,False,KPUS
2021-10-11,0.0,0.0,0.0,63.68,0,True,KPUS
2021-10-13,0.0,0.0,0.0,61.06,0,True,KPUS
2021-10-14,0.0,0.0,0.0,60.26,0,True,KPUS
2021-10-15,0.0,0.0,0.0,59.0,0,True,KPUS
2021-10-25,0.0,0.0,0.0,59.0,0,True,KPUS
2021-10-27,63.42,63.42,63.42,63.42,500,False,KPUS
2021-10-28,65.6,65.6,58.67,58.67,1000,False,KPUS
2021-10-29,0.0,0.0,0.0,58.67,0,True,KPUS
2021-11-01,0.0,0.0,0.0,57.87,0,True,KPUS
2021-11-03,62.21,62.21,54.0,58.92,2500,False,KPUS
2021-11-04,54.51,54.52,54.51,54.51,9500,False,KPUS
2021-11-05,50.43,54.0,50.43,50.47,10500,False,KPUS
2021-11-11,48.02,48.02,48.02,48.02,500,False,KPUS
2021-12-10,45.02,45.02,44.42,44.42,2500,False,KPUS
2021-12-22,45.1,45.5,45.1,45.5,1000,False,KPUS
2021-12-31,45.5,45.9,45.5,45.9,1500,False,KPUS
2022-01-03,48.49,49.34,48.49,49.34,12000,False,KPUS
2022-01-04,53.04,53.04,53.04,53.04,1000,False,KPUS
2022-01-05,57.0,57.0,57.0,57.0,3000,False,KPUS
2022-01-06,53.02,53.02,53.01,53.01,1000,False,KPUS
2022-01-13,56.98,56.98,55.0,56.98,5500,False,KPUS
2022-01-17,58.88,61.25,58.88,61.25,4500,False,KPUS
2022-01-19,65.84,65.84,65.84,65.84,2000,False,KPUS
2022-01-20,68.9,68.9,68.9,68.9,3000,False,KPUS
2022-01-25,0.0,0.0,0.0,68.76,0,True,KPUS
2022-01-27,63.61,63.61,63.61,63.61,500,False,KPUS
2022-01-31,68.38,68.38,68.38,68.38,1000,False,KPUS
2022-02-01,73.5,73.5,70.75,73.5,17000,False,KPUS
2022-02-02,79.01,79.01,79.01,79.01,500,False,KPUS
2022-02-03,84.93,84.93,84.93,84.93,500,False,KPUS
2022-02-04,91.29,91.29,84.93,91.29,2500,False,KPUS
2022-02-07,98.13,98.13,98.13,98.13,2000,False,KPUS
2022-02-08,105.46,105.48,105.46,105.48,3500,False,KPUS
2022-02-09,97.57,111.0,97.57,97.61,3000,False,KPUS
2022-02-10,90.5,90.5,90.29,90.29,2000,False,KPUS
2022-02-11,83.52,83.52,83.52,83.52,1500,False,KPUS
2022-02-14,77.26,89.78,77.26,89.78,9500,False,KPUS
2022-02-15,96.51,96.51,96.51,96.51,1500,False,KPUS
2022-02-16,103.74,103.74,103.74,103.74,500,False,KPUS
2022-02-17,111.52,111.52,111.52,111.52,4000,False,KPUS
2022-02-18,119.88,119.88,119.88,119.88,4500,False,KPUS
2022-02-21,128.87,128.87,128.87,128.87,1500,False,KPUS
2022-02-22,137.92,138.5,137.92,138.5,1500,False,KPUS
2022-02-23,145.0,148.8,145.0,146.9,1000,False,KPUS
2022-02-24,157.9,157.91,157.9,157.9,2000,False,KPUS
2022-02-25,160.0,169.74,160.0,169.74,3500,False,KPUS
2022-02-28,181.49,181.49,157.01,157.01,1500,False,KPUS
2022-03-01,145.24,168.0,145.24,168.0,3000,False,KPUS
2022-03-02,0.0,0.0,0.0,180.6,0,True,KPUS
2022-03-03,0.0,0.0,0.0,194.14,0,True,KPUS
2022-03-04,202.0,208.7,179.58,179.58,8500,False,KPUS
2022-03-07,0.0,0.0,0.0,174.08,0,True,KPUS
2022-03-08,0.0,0.0,0.0,169.72,0,True,KPUS
2022-03-09,0.0,0.0,0.0,163.25,0,True,KPUS
2022-03-10,0.0,0.0,0.0,151.01,0,True,KPUS
2022-03-11,139.69,139.69,139.69,139.69,500,False,KPUS
2022-03-14,129.22,129.22,129.22,129.22,500,False,KPUS
2022-03-15,125.01,138.5,119.53,138.5,3000,False,KPUS
2022-03-16,0.0,0.0,0.0,134.58,0,True,KPUS
2022-03-17,0.0,0.0,0.0,130.26,0,True,KPUS
2022-03-18,0.0,0.0,0.0,130.26,0,True,KPUS
2022-03-21,0.0,0.0,0.0,126.05,0,True,KPUS
2022-03-22,0.0,0.0,0.0,125.97,0,True,KPUS
2022-03-24,0.0,0.0,0.0,125.33,0,True,KPUS
2022-03-25,115.93,115.93,115.93,115.93,500,False,KPUS
2022-03-28,107.24,107.24,107.24,107.24,500,False,KPUS
2022-03-29,114.0,115.28,114.0,115.14,1500,False,KPUS
2022-03-30,123.76,123.76,106.51,106.51,4500,False,KPUS
2022-03-31,98.53,98.53,98.53,98.53,1000,False,KPUS
2022-04-05,91.15,91.15,91.15,91.15,500,False,KPUS
2022-04-06,84.32,84.32,84.32,84.32,3000,False,KPUS
2022-04-07,78.0,78.0,78.0,78.0,2500,False,KPUS
2022-04-08,72.16,72.16,72.15,72.15,1500,False,KPUS
2022-04-11,67.0,70.25,66.74,66.74,23500,False,KPUS
2022-04-12,61.74,64.7,61.74,61.74,9000,False,KPUS
2022-04-13,58.0,63.63,57.11,60.0,12000,False,KPUS
2022-04-15,60.0,60.0,57.0,59.75,6000,False,KPUS
2022-04-18,60.0,60.0,60.0,60.0,500,False,KPUS
2022-04-19,57.0,57.0,55.5,56.07,4000,False,KPUS
2022-04-20,52.1,52.95,51.87,51.87,7000,False,KPUS
2022-04-21,51.87,51.87,51.87,51.87,500,False,KPUS
2022-04-28,53.95,53.95,53.95,53.95,500,False,KPUS
2022-05-09,49.91,49.91,49.91,49.91,1000,False,KPUS
2022-05-10,46.2,46.2,46.2,46.2,1000,False,KPUS
2022-05-11,42.8,42.8,42.74,42.75,1500,False,KPUS
2022-05-12,40.75,42.5,40.5,42.5,2000,False,KPUS
2022-05-13,40.06,45.5,40.06,45.5,1000,False,KPUS
2022-05-16,48.9,48.91,48.69,48.69,1500,False,KPUS
2022-05-18,50.95,50.95,50.59,50.72,2500,False,KPUS
2022-05-19,53.5,53.5,49.75,49.75,2000,False,KPUS
2022-05-20,0.0,0.0,0.0,49.8,0,True,KPUS
2022-05-23,52.85,52.85,51.99,51.99,1500,False,KPUS
2022-05-27,53.0,53.05,53.0,53.05,2000,False,KPUS
2022-06-06,49.08,49.08,49.08,49.08,500,False,KPUS
2022-06-07,47.05,47.15,47.01,47.01,2000,False,KPUS
2022-06-08,43.65,43.65,43.65,43.65,500,False,KPUS
2022-06-10,42.06,43.0,40.5,43.0,2500,False,KPUS
2022-06-13,44.75,44.75,44.75,44.75,500,False,KPUS
2022-06-14,41.5,44.0,41.5,44.0,1000,False,KPUS
2022-06-15,46.9,46.95,46.9,46.95,1500,False,KPUS
2022-06-16,43.65,43.65,43.65,43.65,500,False,KPUS
2022-06-22,44.0,44.0,44.0,44.0,500,False,KPUS
2022-06-24,45.0,45.0,45.0,45.0,500,False,KPUS
2022-07-07,48.25,48.25,48.25,48.25,500,False,KPUS
2022-07-13,51.86,51.86,51.86,51.86,1500,False,KPUS
2022-07-14,55.74,55.74,50.1,55.74,3000,False,KPUS
2022-07-19,52.1,52.1,52.08,52.08,1000,False,KPUS
2022-07-20,51.0,51.0,51.0,51.0,500,False,KPUS
2022-07-22,54.8,54.8,54.8,54.8,500,False,KPUS
2022-07-26,58.75,58.75,58.75,58.75,500,False,KPUS
2022-07-27,61.95,61.95,61.95,61.95,500,False,KPUS
2022-07-28,60.0,60.0,57.5,57.5,2000,False,KPUS
2022-07-29,53.19,61.81,53.19,53.2,5000,False,KPUS
2022-08-02,53.2,53.2,53.2,53.2,1000,False,KPUS
2022-08-05,53.9,53.9,53.9,53.9,500,False,KPUS
2022-08-12,53.7,53.7,53.7,53.7,500,False,KPUS
2022-08-15,54.0,54.0,54.0,54.0,2000,False,KPUS
2022-08-16,53.55,53.55,53.55,53.55,500,False,KPUS
2022-08-31,0.0,0.0,0.0,53.53,0,True,KPUS
2022-10-21,0.0,53.53,53.53,53.53,500,True,KPUS
2022-11-23,0.0,0.0,0.0,52.3,0,True,KPUS
2022-11-24,48.38,54.0,48.38,53.95,3000,False,KPUS
2022-11-29,50.01,50.5,50.0,50.25,1500,False,KPUS
2022-12-01,50.0,50.0,50.0,50.0,500,False,KPUS
2022-12-08,46.5,46.5,46.5,46.5,500,False,KPUS
2022-12-12,47.0,47.0,47.0,47.0,500,False,KPUS
2022-12-15,46.0,46.0,46.0,46.0,1000,False,KPUS
2022-12-19,49.44,49.44,49.44,49.44,500,False,KPUS
2022-12-20,45.75,45.75,45.74,45.74,1500,False,KPUS
2022-12-21,48.9,48.9,48.9,48.9,500,False,KPUS
2022-12-22,48.5,48.5,48.5,48.5,500,False,KPUS
2022-12-23,44.87,44.87,44.87,44.87,1000,False,KPUS
2022-12-27,42.2,42.2,42.15,42.15,1500,False,KPUS
2022-12-28,41.0,41.0,41.0,41.0,1000,False,KPUS
2022-12-29,40.0,40.0,40.0,40.0,1000,False,KPUS
2023-01-13,38.0,38.0,38.0,38.0,1000,False,KPUS
2023-01-16,40.4,40.85,40.4,40.85,1500,False,KPUS
