date,open,high,low,close,volume,is_anomaly,ticker
2021-04-28,230.0,230.0,230.0,230.0,500,False,KSBP
2021-05-04,235.0,235.0,212.75,216.37,1000,False,KSBP
2021-05-05,0.0,216.37,216.37,216.37,100,True,KSBP
2021-05-06,210.0,215.0,210.0,212.5,200,False,KSBP
2021-05-17,212.5,212.5,207.2,209.85,200,False,KSBP
2021-05-18,199.5,209.85,199.5,205.25,500,False,KSBP
2021-05-19,210.0,219.0,209.9,215.0,1400,False,KSBP
2021-05-24,215.0,231.0,215.0,224.2,4200,False,KSBP
2021-05-25,240.98,241.0,224.2,240.0,3100,False,KSBP
2021-05-26,246.13,256.44,245.0,245.75,2800,False,KSBP
2021-05-27,245.75,245.75,245.75,245.75,500,False,KSBP
2021-05-28,250.0,250.0,234.9,241.5,600,False,KSBP
2021-06-01,243.0,243.0,240.05,243.0,3400,False,KSBP
2021-06-02,241.26,250.0,240.1,240.74,1400,False,KSBP
2021-06-03,244.0,245.0,244.0,244.0,500,False,KSBP
2021-06-07,245.01,246.0,244.0,245.0,2600,False,KSBP
2021-06-08,245.0,245.0,235.0,235.0,3700,False,KSBP
2021-06-09,240.0,240.0,227.0,229.52,3100,False,KSBP
2021-06-10,239.86,239.95,239.0,239.0,900,False,KSBP
2021-06-11,230.0,230.0,230.0,239.0,100,True,KSBP
2021-06-14,240.0,240.0,238.5,239.86,1200,False,KSBP
2021-06-15,239.0,239.0,238.0,238.67,300,False,KSBP
2021-06-16,235.0,235.0,234.95,234.97,2300,False,KSBP
2021-06-17,235.0,235.0,230.0,230.0,2600,False,KSBP
2021-06-22,235.0,239.0,235.0,238.4,700,False,KSBP
2021-06-23,235.5,235.5,235.5,235.5,200,False,KSBP
2021-06-24,235.5,240.0,231.0,240.0,3900,False,KSBP
2021-06-25,240.0,240.0,235.0,235.0,1600,False,KSBP
2021-06-28,237.0,237.0,235.0,236.0,200,False,KSBP
2021-06-29,222.22,222.22,221.51,221.87,200,False,KSBP
2021-06-30,221.0,221.0,221.0,221.87,200,True,KSBP
2021-07-01,224.0,224.92,224.0,224.92,300,False,KSBP
2021-07-02,222.0,226.0,222.0,224.0,200,False,KSBP
2021-07-05,224.0,224.0,221.8,222.2,700,False,KSBP
2021-07-06,218.0,222.0,218.0,222.0,1000,False,KSBP
2021-07-07,224.0,238.65,224.0,238.65,14500,False,KSBP
2021-07-08,251.91,256.54,236.0,256.54,35600,False,KSBP
2021-07-09,270.0,275.78,266.9,275.07,8500,False,KSBP
2021-07-12,280.0,295.7,280.0,295.7,3600,False,KSBP
2021-07-13,317.87,317.87,310.0,317.63,13200,False,KSBP
2021-07-14,317.63,317.63,294.15,310.0,6200,False,KSBP
2021-07-15,308.0,308.0,287.0,292.76,3900,False,KSBP
2021-07-16,292.77,297.9,292.77,295.0,700,False,KSBP
2021-07-19,294.0,295.0,294.0,294.33,300,False,KSBP
2021-07-23,272.3,290.0,272.26,274.93,4000,False,KSBP
2021-07-26,275.0,276.0,254.32,255.24,5700,False,KSBP
2021-07-27,253.0,254.0,245.05,248.5,1600,False,KSBP
2021-07-28,245.0,245.0,240.0,241.99,2700,False,KSBP
2021-07-29,236.0,239.0,225.0,239.0,4600,False,KSBP
2021-07-30,237.0,238.0,227.5,227.6,1300,False,KSBP
2021-08-02,235.0,237.9,235.0,237.9,1000,False,KSBP
2021-08-03,239.99,239.99,239.99,239.99,500,False,KSBP
2021-08-04,240.0,240.0,240.0,240.0,200,False,KSBP
2021-08-05,243.99,244.0,243.99,244.0,400,False,KSBP
2021-08-06,246.0,257.99,242.0,248.66,300,False,KSBP
2021-08-10,250.0,250.0,245.0,245.0,500,False,KSBP
2021-08-11,240.01,240.01,240.01,240.01,200,False,KSBP
2021-08-12,238.0,240.0,235.01,240.0,5100,False,KSBP
2021-08-13,240.0,240.0,240.0,240.0,300,False,KSBP
2021-08-24,240.0,240.0,223.5,225.8,2700,False,KSBP
2021-08-25,227.0,228.0,223.1,228.0,1000,False,KSBP
2021-08-26,224.0,228.0,224.0,226.13,1500,False,KSBP
2021-08-27,224.0,228.99,221.0,223.73,4700,False,KSBP
2021-08-30,221.0,222.0,220.0,220.01,1400,False,KSBP
2021-08-31,219.0,222.0,218.0,219.33,1200,False,KSBP
2021-09-01,220.0,220.0,220.0,219.33,100,True,KSBP
2021-09-02,220.0,222.0,219.0,221.0,800,False,KSBP
2021-09-03,222.0,222.0,222.0,222.0,500,False,KSBP
2021-09-07,223.0,223.9,223.0,223.3,400,False,KSBP
2021-09-08,220.0,225.0,220.0,224.59,1400,False,KSBP
2021-09-09,230.0,230.0,230.0,230.0,700,False,KSBP
2021-09-10,230.0,241.0,230.0,235.5,200,False,KSBP
2021-09-13,252.49,252.49,250.0,250.0,2000,False,KSBP
2021-09-23,242.0,242.0,242.0,250.0,500,True,KSBP
2021-09-24,231.3,231.3,231.3,231.3,400,False,KSBP
2021-09-28,231.3,231.3,231.3,231.3,100,False,KSBP
2021-09-29,231.3,231.3,231.3,231.3,100,False,KSBP
2021-10-01,231.3,231.3,231.3,231.3,100,False,KSBP
2021-10-05,239.9,239.9,215.0,219.96,1000,False,KSBP
2021-10-06,229.9,229.9,228.0,228.18,2000,False,KSBP
2021-10-07,212.0,238.0,212.0,218.5,400,False,KSBP
2021-10-08,229.9,229.9,220.0,220.0,800,False,KSBP
2021-10-12,224.0,224.0,204.0,209.0,2900,False,KSBP
2021-10-13,219.94,223.99,194.5,217.3,3400,False,KSBP
2021-10-14,201.01,229.99,201.01,229.99,300,False,KSBP
2021-10-15,213.0,213.0,213.0,229.99,100,True,KSBP
2021-10-20,229.98,229.98,229.98,229.99,100,True,KSBP
2021-10-21,213.0,213.9,213.0,213.9,2200,False,KSBP
