date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,0.7,0,True,KSTM
2021-10-29,0.0,0.0,0.0,0.7,0,True,KSTM
2024-06-03,1.7,1.7,1.7,1.7,23200,False,KSTM
2024-06-04,2.7,2.7,2.0,2.7,412453,False,KSTM
2024-06-05,3.68,3.7,3.5,3.7,178603,False,KSTM
2024-06-06,4.7,4.7,4.7,4.7,16154,False,KSTM
2024-06-07,5.7,5.7,5.31,5.67,180712,False,KSTM
2024-06-10,6.48,6.48,4.67,4.67,319917,False,KSTM
2024-06-11,4.1,4.3,3.67,3.71,159847,False,KSTM
2024-06-12,3.71,4.0,3.5,3.69,17046,False,KSTM
2024-06-13,3.56,4.18,3.31,3.53,11123,False,KSTM
2024-06-14,3.6,3.8,2.82,3.25,31861,False,KSTM
2024-06-20,3.85,3.85,3.35,3.7,7113,False,KSTM
2024-06-21,3.5,4.44,3.36,3.36,15226,False,KSTM
2024-06-24,3.8,3.8,3.31,3.36,7396,False,KSTM
2024-06-25,3.0,3.5,3.0,3.36,5,False,KSTM
2024-06-26,4.25,4.25,2.51,3.1,26949,False,KSTM
2024-06-27,3.1,3.79,3.1,3.45,13230,False,KSTM
2024-06-28,3.85,4.45,3.5,4.43,243666,False,KSTM
2024-07-01,4.06,4.73,4.06,4.21,54475,False,KSTM
2024-07-02,4.0,5.21,4.0,5.21,164318,False,KSTM
2024-07-03,5.45,5.45,4.6,4.77,133677,False,KSTM
2024-07-04,4.55,4.9,4.4,4.51,55499,False,KSTM
2024-07-05,4.8,4.8,4.15,4.42,19591,False,KSTM
2024-07-08,4.0,4.8,4.0,4.42,4,False,KSTM
2024-07-09,4.8,4.8,4.16,4.26,14017,False,KSTM
2024-07-10,4.8,4.8,4.2,4.3,1616,False,KSTM
2024-07-11,4.5,4.9,4.15,4.6,128185,False,KSTM
2024-07-12,4.25,4.89,4.25,4.62,33149,False,KSTM
2024-07-15,4.6,5.15,4.35,5.0,25884,False,KSTM
2024-07-18,4.6,4.8,4.0,4.06,36549,False,KSTM
2024-07-19,4.1,4.1,3.71,4.0,4617,False,KSTM
2024-07-22,4.79,4.79,3.5,3.61,34703,False,KSTM
2024-07-23,3.1,3.84,3.1,3.38,57309,False,KSTM
2024-07-24,3.49,4.14,3.15,3.73,81688,False,KSTM
2024-07-25,3.73,4.3,3.73,4.17,14919,False,KSTM
2024-07-26,4.29,4.29,3.59,3.6,79677,False,KSTM
2024-07-29,3.7,4.6,3.7,4.6,240140,False,KSTM
2024-07-30,5.49,5.6,5.49,5.6,117905,False,KSTM
2024-07-31,6.6,6.6,6.6,6.6,20706,False,KSTM
2024-08-01,7.6,7.6,7.6,7.6,6573,False,KSTM
2024-08-02,8.6,8.6,6.6,6.6,730973,False,KSTM
2024-08-05,5.9,6.39,5.7,5.77,109393,False,KSTM
2024-08-06,5.49,6.35,5.3,5.85,53798,False,KSTM
2024-08-07,5.74,6.4,5.15,6.1,78200,False,KSTM
2024-08-08,6.09,6.43,5.82,5.92,13011,False,KSTM
2024-08-09,5.15,6.65,5.15,6.4,32416,False,KSTM
2024-08-12,7.0,7.0,6.0,6.01,126265,False,KSTM
2024-08-13,6.44,6.44,5.05,5.31,192870,False,KSTM
2024-08-15,5.69,5.69,5.0,5.53,53113,False,KSTM
2024-08-16,5.6,5.6,5.1,5.1,48456,False,KSTM
2024-08-19,5.48,5.48,4.85,4.89,9818,False,KSTM
2024-08-20,4.61,4.89,4.5,4.88,22730,False,KSTM
2024-08-21,5.2,5.88,5.0,5.88,168038,False,KSTM
2024-08-22,6.49,6.8,5.6,5.98,194433,False,KSTM
2024-08-23,6.7,6.7,5.25,5.55,56511,False,KSTM
2024-08-26,5.21,5.58,5.11,5.53,13357,False,KSTM
2024-08-27,5.2,5.64,5.0,5.14,60436,False,KSTM
2024-08-28,5.3,6.14,5.1,6.14,442373,False,KSTM
2024-08-29,6.3,6.78,5.26,6.16,144821,False,KSTM
2024-08-30,6.35,7.16,5.9,6.25,554029,False,KSTM
2024-09-02,6.25,6.4,5.45,5.99,77143,False,KSTM
2024-09-03,5.35,5.79,5.35,5.52,228785,False,KSTM
2024-09-04,5.55,6.52,5.55,6.4,356348,False,KSTM
2024-09-05,6.15,6.5,6.0,6.27,76258,False,KSTM
2024-09-06,7.0,7.27,6.45,7.27,353567,False,KSTM
2024-09-09,7.8,8.27,7.55,8.21,251466,False,KSTM
2024-09-10,8.29,8.75,7.35,7.61,55097,False,KSTM
2024-09-11,8.0,8.01,7.1,7.22,59189,False,KSTM
2024-09-12,6.9,8.22,6.9,8.13,357637,False,KSTM
2024-09-13,8.75,8.75,7.25,7.41,136357,False,KSTM
