date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,35.0,35.0,31.35,33.95,4000,False,LEUL
2021-04-27,31.41,31.41,31.41,31.41,2500,False,LEUL
2021-04-28,29.31,29.31,29.07,29.09,3500,False,LEUL
2021-04-29,27.02,27.03,27.02,27.02,4000,False,LEUL
2021-04-30,28.0,28.0,28.0,28.0,1000,False,LEUL
2021-05-03,0.0,28.0,28.0,28.0,500,True,LEUL
2021-05-04,0.0,28.0,28.0,28.0,500,True,LEUL
2021-05-05,26.01,29.5,26.01,28.04,4000,False,LEUL
2021-05-06,26.0,29.0,25.94,28.06,5500,False,LEUL
2021-05-17,25.96,29.8,25.96,29.8,1000,False,LEUL
2021-05-18,27.71,29.74,27.71,29.74,1500,False,LEUL
2021-05-19,27.51,27.75,27.51,27.75,5000,False,LEUL
2021-05-20,26.01,26.9,25.67,25.67,35000,False,LEUL
2021-05-21,27.0,27.0,27.0,27.0,1000,False,LEUL
2021-05-24,25.01,27.0,24.98,24.98,14500,False,LEUL
2021-05-25,24.0,25.98,24.0,25.62,5000,False,LEUL
2021-05-26,26.0,26.39,23.7,23.96,15000,False,LEUL
2021-06-01,25.25,25.25,25.25,25.25,500,False,LEUL
2021-06-02,23.36,26.6,23.36,25.4,14000,False,LEUL
2021-06-03,24.01,25.49,24.01,25.49,1500,False,LEUL
2021-06-04,24.1,24.1,23.58,23.58,19500,False,LEUL
2021-06-07,22.01,22.7,21.82,21.82,36000,False,LEUL
2021-06-08,21.01,21.01,20.19,20.19,28000,False,LEUL
2021-06-09,19.25,19.71,18.68,18.73,195500,False,LEUL
2021-06-10,18.3,19.75,18.1,18.98,26500,False,LEUL
2021-06-11,19.6,19.6,17.56,17.96,28000,False,LEUL
2021-06-14,18.84,18.84,17.0,17.54,13000,False,LEUL
2021-06-15,17.5,17.89,17.0,17.08,10500,False,LEUL
2021-06-16,17.6,17.78,17.15,17.2,7500,False,LEUL
2021-06-17,17.35,17.4,17.0,17.2,15000,False,LEUL
2021-06-18,17.69,17.95,17.5,17.83,2500,False,LEUL
2021-06-21,17.83,18.49,17.43,18.2,11000,False,LEUL
2021-06-22,18.2,18.64,18.03,18.52,8000,False,LEUL
2021-06-23,18.5,18.65,18.5,18.65,2000,False,LEUL
2021-06-24,19.0,19.3,18.9,18.9,6500,False,LEUL
2021-06-28,18.9,18.9,18.0,18.0,5500,False,LEUL
2021-06-29,0.0,18.0,18.0,18.0,1000,True,LEUL
2021-06-30,18.06,18.06,18.05,18.05,1500,False,LEUL
2021-07-02,17.71,18.0,17.16,17.93,6000,False,LEUL
2021-07-05,17.55,18.05,17.03,18.05,2500,False,LEUL
2021-07-06,17.2,19.4,17.2,19.4,31500,False,LEUL
2021-07-07,20.0,20.2,19.4,19.59,45000,False,LEUL
2021-07-08,19.01,19.05,18.66,19.05,2500,False,LEUL
2021-07-09,19.0,19.5,18.6,19.01,7000,False,LEUL
2021-07-12,19.11,19.65,19.01,19.01,2500,False,LEUL
2021-07-13,18.75,18.9,18.6,18.73,6000,False,LEUL
2021-07-14,18.05,18.25,17.33,17.38,73500,False,LEUL
2021-07-15,17.2,17.7,17.02,17.7,14000,False,LEUL
2021-07-16,17.7,18.0,17.65,17.78,16500,False,LEUL
2021-07-19,17.99,18.49,17.7,17.7,5000,False,LEUL
2021-07-23,17.31,18.5,17.2,17.2,2000,False,LEUL
2021-07-26,17.2,18.0,17.01,17.46,13500,False,LEUL
