date,open,high,low,close,volume,is_anomaly,ticker
2026-02-18,2.39,2.39,1.73,1.86,10141401,False,LOADSR1
2026-02-19,1.85,1.85,1.49,1.5,5837088,False,LOADSR1
2026-02-20,1.5,1.6,1.25,1.3,2372058,False,LOADSR1
2026-02-23,1.2,1.47,1.01,1.12,3541195,False,LOADSR1
2026-02-24,1.03,1.16,0.9,1.05,1760788,False,LOADSR1
2026-02-25,1.05,1.15,0.78,0.81,3354730,False,LOADSR1
2026-02-26,0.84,0.84,0.6,0.64,3288589,False,LOADSR1
2026-02-27,0.78,0.78,0.27,0.4,5933990,False,LOADSR1
2026-03-02,0.2,0.34,0.12,0.16,7758325,False,LOADSR1
2026-03-03,0.16,0.29,0.12,0.19,6143675,False,LOADSR1
2026-03-04,0.17,0.2,0.03,0.09,21907705,False,LOADSR1
