date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,20.2,20.2,19.25,19.37,195500,False,MACFL
2021-04-27,19.21,19.7,19.1,19.41,57000,False,MACFL
2021-04-28,19.1,19.74,19.0,19.2,76000,False,MACFL
2021-04-29,19.55,19.55,19.05,19.1,51000,False,MACFL
2021-04-30,19.1,19.15,18.8,18.97,50500,False,MACFL
2021-05-03,19.99,19.99,18.3,18.43,59500,False,MACFL
2021-05-04,18.3,18.74,18.3,18.63,46500,False,MACFL
2021-05-05,18.85,19.65,18.65,18.85,29500,False,MACFL
2021-05-06,19.0,19.18,18.71,18.99,13000,False,MACFL
2021-05-17,19.5,19.7,18.76,19.19,56500,False,MACFL
2021-05-18,19.01,19.49,19.0,19.21,156000,False,MACFL
2021-05-19,19.0,20.65,18.8,20.24,775000,False,MACFL
2021-05-20,20.15,20.35,19.7,19.87,314500,False,MACFL
2021-05-21,19.87,20.7,19.66,20.26,458000,False,MACFL
2021-05-24,20.55,20.55,19.9,19.91,164500,False,MACFL
2021-05-25,20.64,20.64,19.9,20.04,141500,False,MACFL
2021-05-26,20.25,20.69,19.9,20.13,445500,False,MACFL
2021-05-27,20.14,20.28,19.56,19.81,206500,False,MACFL
2021-05-28,19.65,20.6,19.65,20.04,391000,False,MACFL
2021-05-31,20.2,20.99,20.04,20.77,573000,False,MACFL
2021-06-01,20.8,21.4,20.55,21.24,718500,False,MACFL
2021-06-02,21.45,21.45,20.43,20.51,378000,False,MACFL
2021-06-03,20.7,20.8,20.2,20.32,271000,False,MACFL
2021-06-04,20.41,21.7,20.41,21.28,708500,False,MACFL
2021-06-07,21.49,21.5,20.81,20.88,334000,False,MACFL
2021-06-08,20.85,21.59,20.6,21.14,440500,False,MACFL
2021-06-09,21.4,22.48,21.3,21.68,1388000,False,MACFL
2021-06-10,21.94,22.4,21.55,21.8,620500,False,MACFL
2021-06-11,21.9,22.35,21.4,21.51,667000,False,MACFL
2021-06-14,21.66,22.11,21.47,21.68,304000,False,MACFL
2021-06-15,21.4,21.9,21.31,21.49,225500,False,MACFL
2021-06-16,21.74,21.85,21.05,21.27,437500,False,MACFL
2021-06-17,21.2,21.74,21.05,21.31,227000,False,MACFL
2021-06-18,21.25,21.5,21.05,21.26,171000,False,MACFL
2021-06-21,21.26,22.35,21.15,21.68,324500,False,MACFL
2021-06-22,21.78,22.15,21.29,21.6,381000,False,MACFL
2021-06-23,21.9,23.22,21.51,22.94,3901500,False,MACFL
2021-06-24,23.1,24.05,23.1,23.57,2168500,False,MACFL
2021-06-25,23.4,24.48,22.52,24.1,1582500,False,MACFL
2021-06-28,24.2,25.33,22.5,23.66,1954500,False,MACFL
2021-06-29,23.97,24.3,23.5,23.55,530000,False,MACFL
2021-06-30,23.94,23.94,22.8,22.93,591000,False,MACFL
2021-07-01,23.0,23.95,23.0,23.31,564500,False,MACFL
2021-07-02,23.3,23.45,22.75,22.9,576000,False,MACFL
2021-07-05,22.8,22.8,21.9,22.48,1063000,False,MACFL
2021-07-06,22.68,23.74,22.5,22.75,1050500,False,MACFL
2021-07-07,22.6,22.9,22.41,22.7,405500,False,MACFL
2021-07-08,23.35,23.4,22.7,22.79,208000,False,MACFL
2021-07-09,22.5,22.85,22.5,22.77,128500,False,MACFL
2021-07-12,22.55,23.2,22.5,22.92,226500,False,MACFL
2021-07-13,22.65,23.29,22.6,22.75,252000,False,MACFL
2021-07-14,22.61,23.15,22.61,23.0,275500,False,MACFL
2021-07-15,23.15,23.4,22.75,22.8,118500,False,MACFL
2021-07-16,22.7,22.84,22.65,22.76,196000,False,MACFL
2021-07-19,22.8,23.0,22.75,22.85,161000,False,MACFL
2021-07-23,23.09,24.56,23.0,24.56,895500,False,MACFL
2021-07-26,26.4,26.4,25.4,26.4,3159000,False,MACFL
2021-07-27,26.2,28.1,25.71,26.37,3692500,False,MACFL
2021-07-28,26.45,28.34,26.35,28.34,3232500,False,MACFL
2021-07-29,28.99,28.99,26.8,27.63,1788000,False,MACFL
2021-07-30,27.97,29.7,27.15,27.42,981500,False,MACFL
2021-08-02,27.38,28.98,27.0,28.36,475000,False,MACFL
2021-08-03,28.9,29.16,27.77,28.15,1886500,False,MACFL
2021-08-04,28.5,29.14,28.02,28.09,1026500,False,MACFL
2021-08-05,28.25,28.3,27.15,27.36,564500,False,MACFL
2021-08-06,27.12,28.0,26.7,27.03,465000,False,MACFL
2021-08-09,27.01,27.4,25.6,25.98,237500,False,MACFL
2021-08-10,25.25,25.8,24.65,24.96,229000,False,MACFL
2021-08-11,25.0,26.3,24.96,26.01,366500,False,MACFL
2021-08-12,26.5,26.89,25.92,26.01,228000,False,MACFL
2021-08-13,25.75,25.89,25.1,25.28,61500,False,MACFL
2021-08-16,25.5,26.0,24.7,25.44,216500,False,MACFL
2021-08-17,25.14,26.15,25.14,26.0,88000,False,MACFL
2021-08-20,26.02,26.69,25.9,26.42,147000,False,MACFL
2021-08-23,26.3,27.3,26.3,26.53,277000,False,MACFL
2021-08-24,26.02,26.5,26.0,26.34,149500,False,MACFL
2021-08-25,26.49,26.49,25.75,25.75,31000,False,MACFL
2021-08-26,25.55,25.9,25.2,25.24,42500,False,MACFL
2021-08-27,24.7,25.9,24.05,24.62,207500,False,MACFL
2021-08-30,24.6,25.45,24.0,24.99,71500,False,MACFL
2021-08-31,25.22,25.44,24.8,25.03,57000,False,MACFL
2021-09-01,25.2,25.36,25.1,25.36,31500,False,MACFL
2021-09-02,25.0,25.29,24.4,24.56,113500,False,MACFL
2021-09-03,24.56,24.56,23.75,24.02,66500,False,MACFL
2021-09-06,24.85,24.85,23.8,24.09,89000,False,MACFL
2021-09-07,24.45,24.45,23.0,23.23,219500,False,MACFL
2021-09-08,23.4,23.6,22.5,22.76,136000,False,MACFL
2021-09-09,23.0,23.25,22.96,23.15,95000,False,MACFL
2021-09-10,23.48,23.49,23.0,23.43,21000,False,MACFL
2021-09-13,23.5,23.65,23.0,23.04,106500,False,MACFL
2021-09-14,23.11,23.84,23.0,23.61,599000,False,MACFL
2021-09-15,23.5,25.38,23.16,25.38,311000,False,MACFL
2021-09-16,25.5,25.8,24.25,24.49,282500,False,MACFL
2021-09-17,24.5,24.6,23.85,23.98,39000,False,MACFL
2021-09-20,23.6,23.99,23.0,23.3,57500,False,MACFL
2021-09-21,23.06,23.85,23.0,23.19,53500,False,MACFL
2021-09-22,22.6,23.72,21.46,23.14,148000,False,MACFL
2021-09-23,22.31,22.98,22.0,22.05,24000,False,MACFL
2021-09-24,21.52,21.52,20.6,20.9,24000,False,MACFL
2021-09-27,20.72,21.1,20.5,20.8,59500,False,MACFL
2021-09-28,21.0,21.25,20.0,20.62,119500,False,MACFL
2021-09-29,20.15,20.38,19.75,20.01,398500,False,MACFL
2021-09-30,19.9,20.75,19.9,20.29,18000,False,MACFL
2021-10-01,20.26,21.49,20.26,20.47,117000,False,MACFL
