date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,8.0,0,True,META
2021-10-29,0.0,0.0,0.0,8.0,0,True,META
2022-07-25,0.0,0.0,0.0,9.0,0,True,META
2022-07-26,0.0,0.0,0.0,10.0,0,True,META
2022-07-27,0.0,0.0,0.0,11.0,0,True,META
2022-07-28,0.0,0.0,0.0,11.99,0,True,META
2022-07-29,0.0,0.0,0.0,12.98,0,True,META
2022-08-01,0.0,0.0,0.0,13.98,0,True,META
2022-08-02,0.0,0.0,0.0,15.02,0,True,META
2022-08-03,0.0,0.0,0.0,16.14,0,True,META
2022-08-04,0.0,0.0,0.0,17.35,0,True,META
2022-08-05,0.0,17.35,17.35,18.65,0,True,META
2022-08-10,0.0,0.0,0.0,20.04,0,True,META
2022-08-11,0.0,0.0,0.0,21.52,0,True,META
2022-08-12,0.0,0.0,0.0,23.13,0,True,META
2022-08-15,0.0,0.0,0.0,24.86,0,True,META
2022-08-16,0.0,0.0,0.0,25.71,0,True,META
2022-08-17,0.0,0.0,0.0,27.35,0,True,META
2022-08-18,0.0,0.0,0.0,29.4,0,True,META
2022-08-19,0.0,0.0,0.0,31.6,0,True,META
2022-08-22,0.0,0.0,0.0,33.97,0,True,META
2022-08-23,0.0,0.0,0.0,36.51,0,True,META
2022-08-24,0.0,0.0,0.0,39.24,0,True,META
2022-08-25,0.0,0.0,0.0,42.18,0,True,META
2022-08-26,0.0,0.0,0.0,45.34,0,True,META
2022-08-29,0.0,0.0,0.0,48.74,0,True,META
2022-08-30,0.0,0.0,0.0,52.39,0,True,META
2022-08-31,0.0,0.0,0.0,56.3,0,True,META
2022-09-01,0.0,0.0,0.0,60.47,0,True,META
2022-09-02,0.0,0.0,0.0,65.0,0,True,META
2022-09-05,0.0,0.0,0.0,69.53,0,True,META
2022-09-06,0.0,0.0,0.0,74.23,0,True,META
2022-09-07,0.0,0.0,0.0,79.8,0,True,META
2022-09-08,0.0,0.0,0.0,85.78,0,True,META
2022-09-09,0.0,0.0,0.0,92.21,0,True,META
2022-09-12,0.0,0.0,0.0,99.07,0,True,META
2022-09-13,106.5,106.5,106.5,106.5,500,False,META
2022-09-14,114.48,114.48,113.1,114.48,173500,False,META
2022-09-15,123.05,123.06,121.06,123.06,144500,False,META
2022-09-16,29.07,29.07,25.03,25.03,464000,False,META
2022-09-19,23.16,23.85,23.16,23.16,34000,False,META
2022-09-20,21.43,21.43,21.43,21.43,16000,False,META
2022-09-21,19.83,19.83,19.83,19.83,6500,False,META
2022-09-22,18.35,18.98,18.35,18.36,129500,False,META
2022-09-23,19.19,19.73,18.31,19.71,197000,False,META
2022-09-26,20.4,20.5,19.3,19.41,74500,False,META
2022-09-27,19.51,19.85,18.9,19.02,39000,False,META
2022-09-28,17.6,18.65,17.6,17.6,235000,False,META
2022-09-29,16.5,16.95,16.28,16.28,707000,False,META
2022-09-30,16.5,16.5,15.06,15.06,290000,False,META
2022-10-03,14.76,15.48,13.94,14.49,782500,False,META
2022-10-04,14.26,14.73,14.1,14.34,32500,False,META
2022-10-05,14.15,14.68,13.51,13.84,188500,False,META
2022-10-06,14.19,14.87,14.1,14.87,600500,False,META
2022-10-07,15.5,15.89,14.14,14.3,777000,False,META
2022-10-10,14.25,14.25,13.41,13.53,456000,False,META
2022-10-11,13.53,14.2,13.25,13.92,315000,False,META
2022-10-12,13.8,14.0,13.4,13.5,93000,False,META
2022-10-13,13.7,13.7,13.2,13.41,36500,False,META
2022-10-14,13.49,13.58,13.25,13.32,40000,False,META
2022-10-17,13.13,14.32,13.13,14.31,1401500,False,META
2022-10-18,14.45,14.5,13.5,13.54,340000,False,META
2022-10-19,13.55,13.55,13.2,13.27,279500,False,META
2022-10-20,13.21,13.5,13.21,13.27,262500,False,META
2022-10-21,13.11,13.4,12.61,12.74,682500,False,META
2022-10-24,12.85,12.95,12.4,12.5,115000,False,META
2022-10-25,12.6,12.6,11.8,11.87,243000,False,META
2022-10-26,11.75,11.75,10.91,10.98,77000,False,META
2022-10-27,11.19,11.2,10.2,10.79,134000,False,META
2022-10-28,10.97,10.99,10.32,10.89,73500,False,META
2022-10-31,10.98,11.89,10.92,11.0,908000,False,META
2022-11-01,11.0,11.0,10.2,10.3,445500,False,META
2022-11-02,10.25,10.79,10.0,10.23,1021000,False,META
2022-11-03,10.45,10.5,10.02,10.09,288500,False,META
2022-11-04,10.0,10.4,9.75,10.02,275000,False,META
2022-11-07,10.25,10.65,10.0,10.28,875500,False,META
2022-11-08,10.39,10.4,10.0,10.16,88500,False,META
2022-11-10,10.1,11.16,10.1,10.77,858000,False,META
2022-11-11,10.55,11.7,10.3,11.19,411000,False,META
2022-11-14,11.34,11.95,11.0,11.47,432000,False,META
2022-11-15,11.5,11.84,11.15,11.35,203500,False,META
2022-11-16,11.5,12.1,11.5,11.72,486500,False,META
2022-11-17,11.65,11.75,11.5,11.53,258500,False,META
2022-11-18,11.36,11.36,11.0,11.01,57000,False,META
2022-11-21,11.18,11.3,11.01,11.06,26500,False,META
2022-11-22,11.01,11.38,10.8,10.83,80500,False,META
2022-11-23,10.75,10.9,10.65,10.73,35000,False,META
2022-11-24,10.8,10.97,10.7,10.81,27500,False,META
2022-11-25,10.93,10.95,9.81,10.49,132500,False,META
2022-11-28,10.15,10.25,9.9,10.0,63500,False,META
2022-11-29,10.0,10.13,9.7,10.13,80500,False,META
2022-11-30,10.29,10.75,10.2,10.5,68000,False,META
2022-12-01,10.65,11.34,10.51,11.02,383500,False,META
2022-12-02,11.0,11.24,10.75,10.87,47000,False,META
2022-12-05,10.6,10.87,10.3,10.34,43500,False,META
2022-12-06,10.25,10.5,10.15,10.43,30000,False,META
2022-12-07,10.45,10.74,10.37,10.44,16000,False,META
2022-12-08,10.14,10.4,10.1,10.21,42500,False,META
2022-12-09,10.13,10.65,10.13,10.22,14000,False,META
2022-12-12,10.22,10.6,10.2,10.21,25000,False,META
2022-12-13,10.11,10.11,10.09,10.1,31000,False,META
2022-12-14,10.1,10.11,10.1,10.11,14000,False,META
2022-12-15,10.01,10.19,10.0,10.07,32000,False,META
2022-12-16,10.0,10.1,10.0,10.02,16500,False,META
2022-12-19,9.85,10.0,9.7,9.78,18500,False,META
2022-12-20,9.55,9.55,8.78,8.96,60500,False,META
2022-12-21,8.3,8.98,8.3,8.85,36000,False,META
2022-12-22,8.52,9.19,8.4,8.89,31500,False,META
2022-12-23,8.65,8.89,8.65,8.86,8000,False,META
2022-12-26,8.78,9.0,8.5,8.6,30500,False,META
2022-12-27,8.35,8.83,8.21,8.55,33000,False,META
2022-12-28,8.5,8.55,8.0,8.14,29000,False,META
2022-12-29,8.15,8.25,8.0,8.25,23500,False,META
2022-12-30,8.08,8.5,8.01,8.26,35000,False,META
2023-01-02,8.4,8.69,8.26,8.5,26000,False,META
2023-01-03,8.36,8.37,8.27,8.33,12500,False,META
2023-01-04,8.5,8.5,8.15,8.16,3500,False,META
2023-01-05,8.45,8.45,8.0,8.12,36500,False,META
2023-01-06,8.0,8.19,7.9,8.19,16000,False,META
2023-01-09,7.88,7.9,7.8,7.9,7000,False,META
2023-01-10,8.0,8.2,7.9,8.2,29000,False,META
2023-01-11,8.24,8.24,7.9,7.97,22000,False,META
2023-01-12,8.05,8.3,7.97,8.05,20000,False,META
2023-01-13,7.8,7.98,7.75,7.98,36500,False,META
2023-01-16,7.6,7.7,7.51,7.7,4500,False,META
2023-01-17,7.52,7.52,6.7,6.84,139500,False,META
2023-01-18,6.85,6.89,6.61,6.72,9000,False,META
2023-01-19,7.0,7.48,6.33,7.15,52500,False,META
2023-01-20,7.35,7.35,7.0,7.25,4000,False,META
2023-01-23,7.0,7.25,6.4,6.49,211000,False,META
2023-01-24,6.5,6.67,6.5,6.5,27500,False,META
2023-01-25,6.65,6.78,6.55,6.56,75500,False,META
2023-01-26,6.6,7.56,6.6,7.56,723000,False,META
2023-01-27,7.4,7.43,6.84,6.95,64500,False,META
2023-01-30,6.99,7.0,6.25,6.31,71500,False,META
2023-01-31,6.79,6.79,6.45,6.72,13000,False,META
2023-02-01,6.55,6.72,6.51,6.51,17000,False,META
2023-02-02,6.51,6.78,6.5,6.69,14000,False,META
2023-02-03,6.9,6.9,6.3,6.54,16000,False,META
2023-02-06,6.69,7.4,6.65,7.16,47000,False,META
2023-02-07,7.11,7.25,7.0,7.21,32500,False,META
2023-02-08,7.0,7.34,7.0,7.27,3500,False,META
2023-02-09,7.35,8.27,7.35,8.04,503000,False,META
2023-02-10,8.06,8.6,7.61,7.88,269000,False,META
2023-02-13,8.15,8.25,7.9,8.1,106000,False,META
2023-02-14,8.14,8.2,7.85,8.0,16000,False,META
2023-02-15,7.81,8.15,7.81,8.01,4000,False,META
2023-02-16,7.82,8.05,7.82,8.02,22500,False,META
2023-02-17,8.0,8.0,7.57,7.75,112000,False,META
2023-02-20,7.6,7.8,7.52,7.52,5500,False,META
2023-02-21,7.42,7.6,7.2,7.6,13500,False,META
2023-02-22,7.37,7.85,7.37,7.64,24000,False,META
2023-02-23,7.8,7.8,7.35,7.42,24500,False,META
