date,open,high,low,close,volume,is_anomaly,ticker
2023-06-06,1.01,1.01,0.53,0.7,7359500,False,MODAMR1
2023-06-07,0.68,0.7,0.55,0.6,1078500,False,MODAMR1
2023-06-08,0.59,0.59,0.42,0.48,1037000,False,MODAMR1
2023-06-09,0.45,0.53,0.15,0.25,2183000,False,MODAMR1
2023-06-12,0.2,0.37,0.18,0.25,851000,False,MODAMR1
2023-06-13,0.33,0.33,0.24,0.26,159500,False,MODAMR1
2023-06-14,0.21,0.25,0.2,0.21,406500,False,MODAMR1
2023-06-15,0.3,0.3,0.16,0.17,846500,False,MODAMR1
2023-06-16,0.15,0.19,0.1,0.1,1334000,False,MODAMR1
2023-06-19,0.11,0.14,0.09,0.1,758000,False,MODAMR1
2023-06-20,0.07,0.12,0.07,0.08,708000,False,MODAMR1
2023-06-21,0.1,0.1,0.04,0.04,302500,False,MODAMR1
2023-06-22,0.04,0.04,0.03,0.03,496000,False,MODAMR1
2023-06-23,0.03,0.09,0.01,0.01,3713500,False,MODAMR1
