date,open,high,low,close,volume,is_anomaly,ticker
2025-06-17,49.5,49.5,49.5,49.5,4345,False,MUGHALC
2025-06-18,54.45,54.45,49.07,49.57,315249,False,MUGHALC
2025-06-19,50.89,50.89,44.75,45.65,78515,False,MUGHALC
2025-06-20,45.0,47.98,43.45,43.58,36745,False,MUGHALC
2025-06-23,40.1,42.0,39.22,39.33,207452,False,MUGHALC
2025-06-24,41.0,43.0,38.0,42.02,125266,False,MUGHALC
2025-06-25,41.0,43.0,40.51,41.13,13170,False,MUGHALC
2025-06-26,41.15,42.69,40.13,40.3,19139,False,MUGHALC
2025-06-27,40.0,42.98,40.0,41.97,54647,False,MUGHALC
2025-06-30,40.1,42.49,40.1,42.0,36900,False,MUGHALC
2025-07-01,42.99,42.99,41.03,41.32,5495,False,MUGHALC
2025-07-02,42.99,42.99,40.75,40.85,23168,False,MUGHALC
2025-07-03,40.85,41.96,40.3,40.93,56424,False,MUGHALC
2025-07-04,41.99,41.99,40.25,41.1,12003,False,MUGHALC
2025-07-07,40.7,41.49,40.66,40.71,15337,False,MUGHALC
2025-07-08,40.5,42.0,40.15,41.3,3437,False,MUGHALC
2025-07-09,40.01,41.0,40.01,40.8,2238,False,MUGHALC
2025-07-10,41.99,41.99,40.75,40.75,1541,False,MUGHALC
2025-07-11,41.45,42.0,40.56,41.72,40393,False,MUGHALC
2025-07-14,41.72,41.72,41.0,41.03,17136,False,MUGHALC
2025-07-15,41.0,41.49,40.75,40.75,7090,False,MUGHALC
2025-07-16,40.25,40.99,40.25,40.75,125,False,MUGHALC
2025-07-17,40.15,40.99,40.15,40.4,5416,False,MUGHALC
2025-07-18,40.11,40.59,40.0,40.55,6321,False,MUGHALC
2025-07-21,40.06,40.11,39.99,39.99,2910,False,MUGHALC
2025-07-22,39.5,39.69,39.0,39.23,5433,False,MUGHALC
2025-07-23,39.05,39.49,38.16,38.65,9171,False,MUGHALC
2025-07-24,38.0,40.38,38.0,38.65,200,False,MUGHALC
2025-07-25,41.95,41.95,39.5,39.5,2503,False,MUGHALC
2025-07-28,39.6,41.5,39.0,39.17,1840,False,MUGHALC
