date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,3.51,0,True,MWMP
2021-10-29,0.0,0.0,0.0,3.51,0,True,MWMP
2024-06-03,4.51,4.51,4.51,4.51,23802,False,MWMP
2024-06-04,5.51,5.51,5.51,5.51,43925,False,MWMP
2024-06-05,6.51,6.51,6.51,6.51,160953,False,MWMP
2024-06-06,7.51,7.51,7.51,7.51,24301,False,MWMP
2024-06-07,8.01,8.5,7.02,8.14,371987,False,MWMP
2024-06-10,7.8,7.8,7.14,7.14,176007,False,MWMP
2024-06-11,6.51,8.13,6.2,7.39,205843,False,MWMP
2024-06-12,6.7,8.39,6.52,8.39,290383,False,MWMP
2024-06-13,9.39,9.39,9.39,9.39,14249,False,MWMP
2024-06-14,10.39,10.39,10.39,10.39,81685,False,MWMP
2024-06-20,11.39,11.39,11.39,11.39,3002,False,MWMP
2024-06-21,12.0,12.39,11.15,12.39,336311,False,MWMP
2024-06-24,13.4,13.51,12.51,13.22,231229,False,MWMP
2024-06-25,13.99,14.41,13.15,14.18,124767,False,MWMP
2024-06-26,14.9,15.46,14.74,15.46,179854,False,MWMP
2024-06-27,16.5,16.85,16.5,16.85,61227,False,MWMP
2024-06-28,18.37,18.37,15.33,18.37,109206,False,MWMP
2024-07-01,20.02,20.02,20.01,20.02,56155,False,MWMP
2024-07-02,21.82,21.82,21.82,21.82,11725,False,MWMP
2024-07-03,23.78,23.78,23.78,23.78,9888,False,MWMP
2024-07-04,25.8,25.9,21.64,21.69,351975,False,MWMP
2024-07-05,20.1,21.49,19.74,19.74,243375,False,MWMP
2024-07-08,17.86,20.0,17.86,17.98,197653,False,MWMP
2024-07-09,17.25,18.5,16.27,16.28,358646,False,MWMP
2024-07-10,16.49,17.69,14.93,16.02,198820,False,MWMP
2024-07-11,15.07,17.49,15.07,16.12,90406,False,MWMP
2024-07-12,15.41,16.6,14.8,16.03,93379,False,MWMP
2024-07-15,17.0,17.0,16.0,16.1,62847,False,MWMP
2024-07-18,16.98,16.98,16.0,16.06,26668,False,MWMP
2024-07-19,16.01,16.01,15.05,15.49,36635,False,MWMP
2024-07-22,15.49,15.89,14.52,15.05,47575,False,MWMP
2024-07-23,15.25,15.45,14.11,14.4,9461,False,MWMP
2024-07-24,14.35,15.15,14.26,14.95,4767,False,MWMP
2024-07-25,15.01,15.01,14.06,14.89,1706,False,MWMP
2024-07-26,15.0,15.89,15.0,15.37,17534,False,MWMP
2024-07-29,15.98,16.91,15.98,16.91,73943,False,MWMP
2024-07-30,17.5,18.6,15.55,18.55,103702,False,MWMP
2024-07-31,18.7,20.33,18.7,18.75,132906,False,MWMP
2024-08-01,19.02,20.4,16.88,17.2,23500,False,MWMP
2024-08-02,17.02,17.95,16.17,16.42,13382,False,MWMP
2024-08-05,15.12,16.22,14.81,15.14,33512,False,MWMP
2024-08-06,15.05,16.19,14.25,14.78,37660,False,MWMP
2024-08-07,14.75,15.45,14.75,14.96,9672,False,MWMP
2024-08-08,15.98,15.98,14.81,15.18,690,False,MWMP
2024-08-09,16.39,16.39,15.0,15.88,3176,False,MWMP
2024-08-12,16.0,16.0,14.75,15.0,16596,False,MWMP
2024-08-13,15.0,15.7,14.32,14.72,2113,False,MWMP
2024-08-15,14.55,16.0,14.3,15.77,13324,False,MWMP
2024-08-16,15.02,16.8,15.02,15.77,39,False,MWMP
2024-08-19,15.02,16.0,14.5,15.5,9510,False,MWMP
2024-08-20,14.15,16.48,14.15,15.99,12843,False,MWMP
2024-08-21,15.4,16.7,15.4,16.51,1207,False,MWMP
2024-08-22,16.97,16.98,15.75,16.51,18172,False,MWMP
2024-08-23,16.02,18.0,14.86,15.77,35601,False,MWMP
2024-08-26,15.25,15.98,15.16,15.16,1557,False,MWMP
2024-08-27,15.8,16.68,15.25,16.64,17263,False,MWMP
2024-08-28,17.0,17.68,15.61,16.64,79,False,MWMP
2024-08-29,15.32,18.3,15.25,18.25,86209,False,MWMP
2024-08-30,19.99,20.08,19.0,20.08,53444,False,MWMP
2024-09-02,22.09,22.09,18.07,18.3,17803,False,MWMP
2024-09-03,17.51,17.97,17.51,17.51,1006,False,MWMP
2024-09-04,18.48,18.8,17.4,18.62,9404,False,MWMP
2024-09-05,17.27,18.5,17.27,18.5,2200,False,MWMP
2024-09-06,18.24,18.5,16.66,17.97,36411,False,MWMP
2024-09-09,16.55,19.77,16.55,19.1,8909,False,MWMP
2024-09-10,19.8,19.85,17.55,19.56,15260,False,MWMP
2024-09-11,19.49,19.5,19.49,19.5,1000,False,MWMP
2024-09-12,17.75,19.5,17.75,18.99,7015,False,MWMP
