date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,47.65,49.5,47.6,48.91,864500,False,NCL
2021-04-27,48.75,48.88,47.5,48.01,816500,False,NCL
2021-04-28,48.48,49.25,48.11,48.49,603500,False,NCL
2021-04-29,48.3,49.19,47.01,48.03,466000,False,NCL
2021-04-30,47.3,47.79,45.21,46.42,1149000,False,NCL
2021-05-03,46.0,46.0,42.94,43.58,2471000,False,NCL
2021-05-04,43.5,45.0,43.5,44.74,583000,False,NCL
2021-05-05,45.5,46.74,45.5,45.88,435000,False,NCL
2021-05-06,46.0,46.6,45.47,46.2,211500,False,NCL
2021-05-17,46.85,48.0,46.01,46.99,578000,False,NCL
2021-05-18,47.25,47.35,46.16,46.47,592500,False,NCL
2021-05-19,46.5,48.1,46.3,47.45,1140500,False,NCL
2021-05-20,46.35,47.99,46.35,47.81,555000,False,NCL
2021-05-21,48.0,48.7,47.4,48.56,1104000,False,NCL
2021-05-24,48.5,49.49,48.01,48.8,435500,False,NCL
2021-05-25,47.75,48.99,47.6,48.65,828000,False,NCL
2021-05-26,48.65,50.7,48.3,49.54,1951000,False,NCL
2021-05-27,48.55,49.75,47.8,48.0,1832500,False,NCL
2021-05-28,47.41,48.8,47.41,48.48,1718500,False,NCL
2021-05-31,48.48,52.11,48.25,52.11,6134000,False,NCL
2021-06-01,54.3,54.6,52.7,53.08,3852500,False,NCL
2021-06-02,53.45,53.5,52.5,52.88,1108000,False,NCL
2021-06-03,52.88,53.39,50.1,51.42,1724000,False,NCL
2021-06-04,51.5,51.99,51.06,51.53,507000,False,NCL
2021-06-07,52.0,52.5,51.71,51.95,2371000,False,NCL
2021-06-08,52.49,52.55,51.0,51.04,612000,False,NCL
2021-06-09,51.0,52.23,50.0,50.31,1667500,False,NCL
2021-06-10,50.6,52.7,50.5,52.48,2460500,False,NCL
2021-06-11,53.0,53.0,51.75,51.85,716000,False,NCL
2021-06-14,52.5,52.5,51.01,51.34,1067000,False,NCL
2021-06-15,50.06,51.99,50.06,51.04,499000,False,NCL
2021-06-16,50.8,51.0,50.15,50.57,494000,False,NCL
2021-06-17,50.9,51.19,49.66,50.05,586000,False,NCL
2021-06-18,51.15,52.1,49.51,50.6,5465000,False,NCL
2021-06-21,51.0,51.7,50.8,51.24,1701000,False,NCL
2021-06-22,51.25,53.85,51.0,53.3,7718500,False,NCL
2021-06-23,53.49,53.7,52.0,52.11,1724500,False,NCL
2021-06-24,52.48,52.49,51.3,51.5,671500,False,NCL
2021-06-25,51.11,51.7,50.61,51.26,1078000,False,NCL
2021-06-28,51.05,51.3,50.1,50.2,816000,False,NCL
2021-06-29,51.4,51.4,50.02,50.32,424000,False,NCL
2021-06-30,50.25,50.85,50.2,50.29,368500,False,NCL
2021-07-01,51.5,52.9,51.25,52.33,4603000,False,NCL
2021-07-02,53.2,53.25,51.25,51.5,1049500,False,NCL
2021-07-05,51.5,51.55,50.75,51.1,407000,False,NCL
2021-07-06,52.0,52.0,50.71,50.99,654000,False,NCL
2021-07-07,50.51,51.43,50.11,51.11,364000,False,NCL
2021-07-08,51.41,51.89,50.56,51.75,364000,False,NCL
2021-07-09,51.9,51.9,51.03,51.36,458500,False,NCL
2021-07-12,51.87,51.87,50.4,51.32,1259500,False,NCL
2021-07-13,51.15,51.45,50.71,50.82,869000,False,NCL
2021-07-14,51.0,54.63,50.8,54.63,7737500,False,NCL
2021-07-15,55.4,55.5,54.0,54.91,4591500,False,NCL
2021-07-16,54.51,54.69,53.2,53.71,1432500,False,NCL
2021-07-19,54.19,54.19,53.01,53.13,1326500,False,NCL
2021-07-23,53.85,53.85,52.16,52.45,784500,False,NCL
2021-07-26,52.99,54.0,52.55,53.51,1573000,False,NCL
2021-07-27,53.8,55.5,52.88,53.2,6993000,False,NCL
2021-07-28,53.21,53.89,51.51,52.08,2462000,False,NCL
2021-07-29,52.0,52.85,51.15,51.79,2463500,False,NCL
2021-07-30,51.7,52.5,51.1,51.64,798000,False,NCL
2021-08-02,51.75,53.9,51.71,53.26,1143500,False,NCL
2021-08-03,53.5,53.98,52.5,53.49,3959000,False,NCL
2021-08-04,53.65,53.85,53.0,53.49,2209000,False,NCL
2021-08-05,53.07,53.68,52.66,52.92,531000,False,NCL
2021-08-06,52.71,52.71,51.5,51.73,1930000,False,NCL
2021-08-09,52.3,52.3,50.81,51.15,1515000,False,NCL
2021-08-10,51.25,52.0,50.5,51.75,3076000,False,NCL
2021-08-11,52.0,52.48,51.15,51.43,3279500,False,NCL
2021-08-12,51.49,52.24,51.25,51.54,2931000,False,NCL
2021-08-13,51.5,51.73,50.76,51.01,341000,False,NCL
2021-08-16,50.81,51.8,50.29,51.09,816000,False,NCL
2021-08-17,51.25,51.93,51.15,51.31,1533000,False,NCL
2021-08-20,51.5,52.5,51.13,52.32,791500,False,NCL
2021-08-23,52.69,53.08,52.34,52.47,924500,False,NCL
2021-08-24,52.31,53.0,51.8,52.01,892500,False,NCL
2021-08-25,52.15,52.5,51.75,51.83,390500,False,NCL
2021-08-26,51.84,52.25,51.31,51.49,489500,False,NCL
2021-08-27,51.25,51.7,50.8,51.1,826500,False,NCL
2021-08-30,51.1,51.48,50.93,51.16,307500,False,NCL
2021-08-31,51.1,51.98,50.99,51.77,1832000,False,NCL
2021-09-01,51.5,53.5,51.5,53.01,4480500,False,NCL
2021-09-02,53.25,53.44,51.65,51.95,741500,False,NCL
2021-09-03,51.9,52.01,51.2,51.36,399500,False,NCL
2021-09-06,51.35,52.89,51.35,52.06,990000,False,NCL
2021-09-07,51.81,52.0,51.25,51.58,305000,False,NCL
2021-09-08,51.58,51.83,51.0,51.03,704000,False,NCL
2021-09-09,51.5,51.94,51.0,51.08,584000,False,NCL
2021-09-10,51.25,52.4,51.25,51.89,527500,False,NCL
2021-09-13,52.0,52.9,51.5,52.46,700000,False,NCL
2021-09-14,52.3,52.3,50.0,51.04,1426500,False,NCL
2021-09-15,50.75,51.69,50.48,51.3,580500,False,NCL
2021-09-16,51.4,52.4,51.01,51.77,1061500,False,NCL
2021-09-17,51.6,51.9,50.15,50.44,1070500,False,NCL
2021-09-20,50.25,50.69,50.11,50.5,286000,False,NCL
2021-09-21,50.21,51.69,49.6,50.15,954000,False,NCL
2021-09-22,50.15,50.49,49.05,49.93,2092500,False,NCL
2021-09-23,50.4,50.69,49.52,50.14,3069500,False,NCL
2021-09-24,50.02,50.02,48.1,49.65,2259000,False,NCL
2021-09-27,50.0,50.28,49.0,49.76,1015500,False,NCL
2021-09-28,50.02,51.65,48.7,49.9,17010500,False,NCL
2021-09-29,49.99,50.0,47.5,48.32,2628000,False,NCL
2021-09-30,48.33,49.9,47.71,49.52,1954000,False,NCL
2021-10-01,49.0,49.5,48.5,49.13,320500,False,NCL
2021-10-04,48.85,49.8,48.85,49.68,342000,False,NCL
2021-10-05,49.88,49.88,48.25,48.47,1411500,False,NCL
2021-10-06,48.25,49.05,48.15,48.67,644000,False,NCL
2021-10-07,49.0,49.1,48.65,48.7,331500,False,NCL
2021-10-08,48.7,48.99,48.45,48.79,165000,False,NCL
2021-10-11,48.3,48.95,47.5,48.22,1383500,False,NCL
2021-10-12,48.01,48.22,45.87,47.03,5171000,False,NCL
2021-10-13,47.25,47.3,45.5,45.72,3001000,False,NCL
2021-10-14,46.0,47.7,45.6,47.58,1342000,False,NCL
2021-10-15,47.21,48.9,47.12,48.51,1798000,False,NCL
2021-10-18,43.0,44.5,43.0,43.19,881000,False,NCL
2021-10-20,44.0,46.25,44.0,46.0,1373500,False,NCL
2021-10-21,45.75,46.5,45.5,46.38,1041000,False,NCL
2021-10-22,46.55,46.55,45.0,45.58,335500,False,NCL
2021-10-25,45.3,46.5,45.21,46.29,144000,False,NCL
2021-10-26,45.6,46.25,45.2,45.5,263500,False,NCL
2021-10-27,46.1,46.5,45.51,45.85,354000,False,NCL
2021-10-28,45.55,46.1,45.51,45.93,705000,False,NCL
2021-10-29,46.0,48.4,45.8,47.55,3604500,False,NCL
2021-11-01,48.5,48.7,47.45,47.55,1305000,False,NCL
2021-11-02,47.5,47.75,46.3,46.51,425000,False,NCL
2021-11-03,46.97,47.99,46.7,47.7,1556500,False,NCL
2021-11-04,47.2,47.84,47.01,47.78,253500,False,NCL
2021-11-05,47.7,48.24,47.49,47.59,708000,False,NCL
2021-11-08,47.02,47.89,46.52,46.68,321000,False,NCL
2021-11-09,46.68,46.69,44.9,45.05,989000,False,NCL
2021-11-10,45.5,46.49,44.61,44.75,484500,False,NCL
2021-11-11,45.0,45.0,44.01,44.27,172000,False,NCL
2021-11-12,44.5,44.5,42.65,43.16,299500,False,NCL
2021-11-15,43.12,44.65,42.8,43.14,215500,False,NCL
2021-11-16,43.36,44.6,43.3,44.31,213000,False,NCL
2021-11-17,43.55,44.25,43.13,43.46,381500,False,NCL
2021-11-18,43.51,43.79,42.85,43.0,502000,False,NCL
2021-11-19,43.49,45.0,43.15,44.18,664000,False,NCL
2021-11-22,43.7,43.7,42.76,43.4,546500,False,NCL
2021-11-23,43.11,43.6,42.9,43.01,2751500,False,NCL
2021-11-24,42.55,43.6,42.3,42.88,1167000,False,NCL
2021-11-25,42.66,43.4,42.66,43.08,312500,False,NCL
2021-11-26,42.83,43.38,42.05,42.82,736000,False,NCL
2021-11-29,42.1,44.7,42.1,44.28,1121500,False,NCL
2021-11-30,44.45,44.5,43.32,43.6,276000,False,NCL
2021-12-01,44.0,44.5,43.7,43.83,177000,False,NCL
2021-12-02,43.56,43.83,40.55,41.08,1149000,False,NCL
2021-12-03,40.0,41.5,38.5,39.61,1199500,False,NCL
2021-12-06,40.0,40.0,39.23,39.49,195000,False,NCL
2021-12-07,40.0,42.45,39.75,41.73,1252500,False,NCL
2021-12-08,42.65,43.75,41.52,43.06,1123500,False,NCL
2021-12-09,43.0,43.0,41.65,42.2,162000,False,NCL
2021-12-10,41.7,42.34,40.71,41.38,300500,False,NCL
