date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,14.25,14.54,14.15,14.25,25000,False,NCPL
2021-04-27,14.3,14.6,14.21,14.42,177000,False,NCPL
2021-04-28,14.48,14.5,14.16,14.37,218500,False,NCPL
2021-04-29,14.18,14.4,14.18,14.26,18500,False,NCPL
2021-04-30,14.2,14.21,14.0,14.03,64500,False,NCPL
2021-05-03,14.25,14.3,14.0,14.2,33000,False,NCPL
2021-05-04,14.2,14.35,14.06,14.25,22000,False,NCPL
2021-05-05,14.48,14.9,14.48,14.74,115000,False,NCPL
2021-05-06,14.5,14.7,14.3,14.39,356000,False,NCPL
2021-05-17,14.4,14.4,14.1,14.2,217000,False,NCPL
2021-05-18,14.22,14.35,14.2,14.24,147000,False,NCPL
2021-05-19,14.11,14.3,14.0,14.2,56000,False,NCPL
2021-05-20,14.4,14.4,14.15,14.15,27500,False,NCPL
2021-05-21,14.3,14.3,14.0,14.22,171000,False,NCPL
2021-05-24,14.2,14.39,14.17,14.29,307000,False,NCPL
2021-05-25,14.29,14.37,14.2,14.25,266000,False,NCPL
2021-05-26,14.35,14.35,14.06,14.32,90000,False,NCPL
2021-05-27,14.21,14.39,14.21,14.25,101500,False,NCPL
2021-05-28,14.3,14.55,14.25,14.34,210500,False,NCPL
2021-05-31,14.59,15.41,14.5,15.41,850000,False,NCPL
2021-06-01,15.55,16.56,15.55,16.56,956000,False,NCPL
2021-06-02,16.6,17.3,16.25,16.35,743000,False,NCPL
2021-06-03,16.36,16.7,16.35,16.44,238500,False,NCPL
2021-06-04,16.6,16.7,16.25,16.3,203000,False,NCPL
2021-06-07,17.4,17.4,16.4,16.5,356500,False,NCPL
2021-06-08,16.7,16.7,15.4,16.03,247500,False,NCPL
2021-06-09,16.03,16.3,15.76,15.9,122000,False,NCPL
2021-06-10,15.9,16.25,15.9,16.24,179500,False,NCPL
2021-06-11,16.22,16.75,15.51,16.15,280000,False,NCPL
2021-06-14,16.95,16.95,16.0,16.14,260500,False,NCPL
2021-06-15,16.39,16.39,15.76,15.99,126500,False,NCPL
2021-06-16,16.0,16.05,15.75,15.96,81500,False,NCPL
2021-06-17,15.85,15.9,15.55,15.59,82500,False,NCPL
2021-06-18,15.6,15.69,15.5,15.52,53000,False,NCPL
2021-06-21,15.4,15.75,15.3,15.54,96000,False,NCPL
2021-06-22,15.31,15.54,15.3,15.5,55500,False,NCPL
2021-06-23,15.5,15.5,15.25,15.3,89500,False,NCPL
2021-06-24,15.3,15.65,15.3,15.33,711500,False,NCPL
2021-06-25,15.3,15.4,15.11,15.22,132000,False,NCPL
2021-06-28,15.02,15.28,15.02,15.1,145500,False,NCPL
2021-06-29,15.25,15.25,15.02,15.06,18000,False,NCPL
2021-06-30,15.25,15.25,15.0,15.02,65000,False,NCPL
2021-07-01,16.14,16.14,16.14,16.14,90000,False,NCPL
2021-07-02,17.35,17.35,16.61,17.35,2470500,False,NCPL
2021-07-05,17.84,17.84,17.35,17.48,413000,False,NCPL
2021-07-06,17.54,17.54,16.71,16.82,231000,False,NCPL
2021-07-07,16.82,16.82,16.45,16.7,124000,False,NCPL
2021-07-08,17.09,17.09,16.55,16.9,33000,False,NCPL
2021-07-09,17.0,17.0,16.5,16.7,53500,False,NCPL
2021-07-12,16.5,16.75,16.5,16.51,47000,False,NCPL
2021-07-13,16.37,16.37,16.0,16.0,173500,False,NCPL
2021-07-14,16.0,16.0,15.55,15.61,72000,False,NCPL
2021-07-15,15.5,15.84,15.5,15.83,234000,False,NCPL
2021-07-16,15.54,15.9,15.54,15.77,47000,False,NCPL
2021-07-19,15.6,15.98,15.6,15.85,44000,False,NCPL
2021-07-23,15.62,15.9,15.5,15.55,62000,False,NCPL
2021-07-26,15.5,15.5,15.3,15.34,33000,False,NCPL
2021-07-27,15.4,15.7,15.0,15.1,157000,False,NCPL
2021-07-28,15.0,15.14,14.81,15.0,106500,False,NCPL
2021-07-29,14.95,15.19,14.85,15.17,115000,False,NCPL
2021-07-30,15.0,15.7,15.0,15.16,305000,False,NCPL
2021-08-02,15.44,15.44,14.1,14.44,1138000,False,NCPL
2021-08-03,14.65,14.75,14.22,14.37,350000,False,NCPL
2021-08-04,14.5,14.55,14.2,14.49,91500,False,NCPL
2021-08-05,14.88,14.88,14.31,14.51,49000,False,NCPL
2021-08-06,14.51,14.65,14.5,14.52,71000,False,NCPL
2021-08-09,14.52,14.89,14.28,14.3,358500,False,NCPL
2021-08-10,14.34,14.4,14.21,14.39,20000,False,NCPL
2021-08-11,14.5,14.5,14.25,14.27,24000,False,NCPL
2021-08-12,14.3,14.45,14.21,14.25,36500,False,NCPL
2021-08-13,14.21,14.48,14.2,14.28,37500,False,NCPL
2021-08-16,14.15,14.3,14.14,14.19,34500,False,NCPL
2021-08-17,14.19,14.23,14.13,14.22,17500,False,NCPL
2021-08-20,14.23,14.49,14.23,14.46,33500,False,NCPL
2021-08-23,14.5,14.65,14.45,14.56,47500,False,NCPL
2021-08-24,14.5,14.5,14.45,14.5,20000,False,NCPL
2021-08-25,14.31,14.5,14.0,14.06,98000,False,NCPL
2021-08-26,14.22,14.29,13.7,13.83,102500,False,NCPL
2021-08-27,13.81,13.9,12.8,13.69,116000,False,NCPL
2021-08-30,13.8,13.89,13.65,13.84,72500,False,NCPL
2021-08-31,13.86,13.86,13.75,13.79,52000,False,NCPL
2021-09-01,13.85,14.0,13.7,13.99,70000,False,NCPL
2021-09-02,13.99,14.25,13.8,13.82,162000,False,NCPL
2021-09-03,13.99,14.1,13.65,13.69,26000,False,NCPL
2021-09-06,13.66,13.78,13.6,13.69,44500,False,NCPL
2021-09-07,13.62,13.62,13.4,13.6,33000,False,NCPL
2021-09-08,13.46,13.48,13.15,13.19,114000,False,NCPL
2021-09-09,13.4,13.75,13.21,13.28,206000,False,NCPL
2021-09-10,13.47,13.47,13.28,13.38,29500,False,NCPL
2021-09-13,13.44,13.55,13.4,13.51,45500,False,NCPL
2021-09-14,13.6,13.98,13.5,13.53,158000,False,NCPL
2021-09-15,13.35,13.5,13.19,13.21,42500,False,NCPL
2021-09-16,13.25,13.7,13.1,13.48,116500,False,NCPL
2021-09-17,13.3,13.65,13.3,13.45,25500,False,NCPL
2021-09-20,13.12,13.29,13.1,13.2,50000,False,NCPL
2021-09-21,13.25,13.25,13.07,13.13,82000,False,NCPL
2021-09-22,13.07,13.07,12.85,12.95,81500,False,NCPL
2021-09-23,13.0,13.0,12.81,12.84,187500,False,NCPL
2021-09-24,12.82,13.14,12.82,13.01,49000,False,NCPL
2021-09-27,13.0,13.1,12.9,13.03,75000,False,NCPL
2021-09-28,12.81,14.0,12.5,13.02,294000,False,NCPL
2021-09-29,13.03,13.03,12.45,12.46,274500,False,NCPL
2021-09-30,12.99,12.99,12.35,12.46,87000,False,NCPL
2021-10-01,12.68,12.68,12.0,12.14,265000,False,NCPL
2021-10-04,12.25,12.8,12.25,12.7,14500,False,NCPL
2021-10-05,12.71,12.9,12.6,12.61,61000,False,NCPL
2021-10-06,12.62,12.7,12.5,12.5,30500,False,NCPL
2021-10-07,12.35,12.6,12.35,12.5,37000,False,NCPL
2021-10-08,12.63,12.64,12.15,12.45,32500,False,NCPL
2021-10-11,12.15,12.3,11.9,11.96,100000,False,NCPL
2021-10-12,11.8,11.95,11.5,11.9,76500,False,NCPL
2021-10-13,11.95,12.15,11.69,11.74,34000,False,NCPL
2021-10-14,11.74,12.1,11.74,12.04,20000,False,NCPL
2021-10-15,12.0,12.18,12.0,12.1,47500,False,NCPL
2021-10-18,12.1,12.1,11.85,11.94,27000,False,NCPL
2021-10-20,12.0,12.18,12.0,12.1,30000,False,NCPL
2021-10-21,12.1,12.25,12.1,12.23,54500,False,NCPL
2021-10-22,12.23,12.23,12.0,12.0,58500,False,NCPL
2021-10-25,12.49,12.99,12.25,12.38,74000,False,NCPL
2021-10-26,12.25,12.25,12.05,12.08,12500,False,NCPL
2021-10-27,12.3,12.3,12.2,12.2,1000,False,NCPL
2021-10-28,12.02,12.04,12.02,12.03,17000,False,NCPL
2021-10-29,12.2,12.25,12.03,12.16,53000,False,NCPL
2021-11-01,12.3,12.69,12.3,12.4,82000,False,NCPL
2021-11-02,12.41,12.41,12.07,12.18,716500,False,NCPL
2021-11-03,12.12,12.58,12.12,12.53,86500,False,NCPL
2021-11-04,12.5,12.57,12.31,12.55,43500,False,NCPL
2021-11-05,12.5,12.8,12.5,12.77,332500,False,NCPL
2021-11-08,12.55,12.85,12.55,12.7,84000,False,NCPL
2021-11-09,12.55,12.65,12.25,12.5,134000,False,NCPL
2021-11-10,12.31,12.7,12.3,12.56,12000,False,NCPL
2021-11-11,12.56,12.65,12.56,12.65,71000,False,NCPL
2021-11-12,12.78,12.9,12.6,12.6,79000,False,NCPL
2021-11-15,12.79,12.79,12.6,12.6,38500,False,NCPL
2021-11-16,12.8,12.9,12.65,12.85,109000,False,NCPL
2021-11-17,13.0,13.7,13.0,13.39,272500,False,NCPL
2021-11-18,13.49,13.91,13.39,13.72,355500,False,NCPL
2021-11-19,13.8,13.9,13.51,13.8,97500,False,NCPL
2021-11-22,13.6,13.61,13.0,13.1,362500,False,NCPL
2021-11-23,13.25,13.25,12.6,13.01,286500,False,NCPL
2021-11-24,12.53,12.98,12.53,12.86,47000,False,NCPL
2021-11-25,12.56,12.85,12.5,12.58,35500,False,NCPL
2021-11-26,12.55,12.65,12.5,12.53,30000,False,NCPL
2021-11-29,12.35,12.9,12.35,12.59,53000,False,NCPL
2021-11-30,12.71,13.0,12.71,12.89,28000,False,NCPL
2021-12-01,12.75,13.4,12.75,13.06,70500,False,NCPL
2021-12-02,12.97,12.97,12.06,12.11,864500,False,NCPL
2021-12-03,12.2,12.25,12.2,12.24,31500,False,NCPL
2021-12-06,12.25,12.4,12.25,12.39,50500,False,NCPL
2021-12-07,12.5,12.5,12.32,12.46,226500,False,NCPL
2021-12-08,12.98,12.98,12.0,12.49,548500,False,NCPL
2021-12-09,12.26,12.65,12.25,12.61,53500,False,NCPL
2021-12-10,12.51,12.6,12.5,12.6,36500,False,NCPL
2021-12-13,12.6,12.6,12.25,12.27,139000,False,NCPL
2021-12-14,12.3,12.5,12.06,12.5,77500,False,NCPL
2021-12-15,12.5,13.2,12.5,12.63,206000,False,NCPL
2021-12-16,12.51,12.68,12.26,12.32,19000,False,NCPL
2021-12-17,12.4,12.57,12.4,12.41,64000,False,NCPL
2021-12-20,12.7,13.41,12.7,13.41,451000,False,NCPL
2021-12-21,14.0,14.41,14.0,14.41,978000,False,NCPL
2021-12-22,14.64,15.25,14.1,15.06,473500,False,NCPL
2021-12-23,15.03,16.18,14.99,16.18,510500,False,NCPL
2021-12-24,17.39,17.39,16.8,17.33,2058000,False,NCPL
2021-12-27,17.0,17.74,17.0,17.49,843000,False,NCPL
2021-12-28,17.75,17.75,16.3,16.5,333500,False,NCPL
2021-12-29,16.55,16.6,15.75,15.97,380500,False,NCPL
2021-12-30,16.0,16.7,15.7,16.52,668000,False,NCPL
2021-12-31,16.59,16.6,15.91,16.0,246500,False,NCPL
2022-01-03,16.25,16.25,15.8,15.93,270000,False,NCPL
2022-01-04,16.36,16.36,15.77,15.81,144500,False,NCPL
2022-01-05,15.9,16.2,15.7,16.08,524500,False,NCPL
2022-01-06,16.08,17.25,16.0,17.07,434500,False,NCPL
2022-01-07,16.9,17.05,16.4,16.46,541000,False,NCPL
2022-01-10,16.9,17.15,16.65,17.0,1257000,False,NCPL
2022-01-11,17.05,17.1,17.0,17.04,160500,False,NCPL
2022-01-12,17.0,17.13,17.0,17.01,790500,False,NCPL
2022-01-13,17.0,17.15,17.0,17.06,482500,False,NCPL
2022-01-14,17.0,17.5,17.0,17.01,389500,False,NCPL
2022-01-17,17.0,17.01,16.81,17.0,94500,False,NCPL
2022-01-18,17.0,17.02,16.85,17.0,237500,False,NCPL
2022-01-19,17.0,17.05,16.91,16.93,198000,False,NCPL
2022-01-20,16.93,16.99,16.7,16.8,118000,False,NCPL
2022-01-21,16.85,17.0,16.65,16.8,106000,False,NCPL
2022-01-24,16.75,16.75,16.3,16.74,134000,False,NCPL
2022-01-25,16.75,17.1,16.74,16.87,181500,False,NCPL
2022-01-26,16.55,16.85,16.25,16.54,58000,False,NCPL
2022-01-27,16.7,16.99,16.26,16.28,73000,False,NCPL
2022-01-28,16.52,16.65,16.44,16.6,86000,False,NCPL
2022-01-31,16.6,16.65,16.4,16.49,60500,False,NCPL
2022-02-01,16.5,16.75,16.5,16.5,65500,False,NCPL
2022-02-02,16.5,16.6,16.25,16.35,56500,False,NCPL
2022-02-03,16.36,16.6,16.35,16.38,20000,False,NCPL
2022-02-04,16.31,16.5,16.25,16.5,47500,False,NCPL
2022-02-07,16.49,16.49,16.15,16.16,75500,False,NCPL
2022-02-08,16.26,17.37,16.18,17.37,318000,False,NCPL
2022-02-09,17.99,18.67,17.75,18.67,798000,False,NCPL
2022-02-10,19.2,19.24,18.01,18.11,482000,False,NCPL
2022-02-11,18.2,18.2,17.8,18.0,176500,False,NCPL
2022-02-14,17.97,18.05,17.7,18.01,230500,False,NCPL
2022-02-15,18.2,18.29,17.3,17.5,735000,False,NCPL
2022-02-16,17.35,17.89,17.3,17.5,70500,False,NCPL
2022-02-17,17.5,17.6,17.25,17.5,105500,False,NCPL
2022-02-18,17.5,18.6,17.5,18.4,163000,False,NCPL
2022-02-21,18.25,18.85,17.02,17.02,805500,False,NCPL
2022-02-22,15.75,15.75,15.75,15.75,48500,False,NCPL
2022-02-23,15.02,16.05,15.01,15.73,936000,False,NCPL
