date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,12.03,12.22,12.03,12.22,10000,False,NITGETF
2021-04-29,0.0,0.0,0.0,12.16,0,True,NITGETF
2021-04-30,12.13,12.13,11.82,11.82,10000,False,NITGETF
2021-05-04,11.74,11.79,11.74,11.79,1500,False,NITGETF
2021-05-05,0.0,0.0,0.0,11.91,0,True,NITGETF
2021-05-06,12.2,12.2,11.91,12.2,4000,False,NITGETF
2021-05-17,0.0,12.2,12.2,12.2,5000,True,NITGETF
2021-05-18,12.1,12.1,12.1,12.1,1000,False,NITGETF
2021-05-19,12.13,12.13,12.13,12.13,5000,False,NITGETF
2021-05-20,12.43,12.43,12.43,12.43,1000,False,NITGETF
2021-05-24,12.14,12.16,12.14,12.16,4000,False,NITGETF
2021-05-25,0.0,12.16,12.16,12.16,500,True,NITGETF
2021-05-26,12.29,12.29,12.29,12.29,500,False,NITGETF
2021-05-27,12.41,12.73,12.41,12.73,7500,False,NITGETF
2021-06-02,12.63,12.98,12.63,12.98,2500,False,NITGETF
2021-06-03,12.62,12.62,12.62,12.62,500,False,NITGETF
2021-06-04,12.92,12.92,12.92,12.92,1000,False,NITGETF
2021-06-08,0.0,0.0,0.0,12.85,0,True,NITGETF
2021-06-09,0.0,0.0,0.0,12.74,0,True,NITGETF
2021-06-10,0.0,0.0,0.0,12.7,0,True,NITGETF
2021-06-14,12.66,12.66,12.66,12.66,2000,False,NITGETF
2021-06-16,12.66,12.66,12.66,12.66,1000,False,NITGETF
2021-06-23,12.79,12.79,12.79,12.79,500,False,NITGETF
2021-06-25,12.21,12.21,12.2,12.2,2000,False,NITGETF
2021-06-28,12.53,12.53,12.53,12.53,500,False,NITGETF
2021-06-29,12.68,12.68,12.68,12.68,500,False,NITGETF
2021-07-05,12.56,12.58,12.32,12.55,20500,False,NITGETF
2021-07-07,12.56,12.75,12.56,12.75,6000,False,NITGETF
2021-07-08,12.1,12.1,11.85,11.85,11500,False,NITGETF
2021-07-12,11.76,11.76,11.76,11.76,1000,False,NITGETF
2021-07-14,11.5,11.5,11.5,11.5,11000,False,NITGETF
2021-07-15,11.53,11.53,11.53,11.53,2000,False,NITGETF
2021-07-16,11.54,11.54,11.54,11.54,10000,False,NITGETF
2021-07-19,11.8,11.8,11.8,11.8,1000,False,NITGETF
2021-07-27,11.3,11.3,11.3,11.3,10000,False,NITGETF
2021-07-28,11.48,11.48,11.48,11.48,1500,False,NITGETF
2021-08-05,11.5,11.5,11.5,11.5,2000,False,NITGETF
2021-08-09,11.71,11.71,11.71,11.71,1000,False,NITGETF
2021-08-10,11.25,11.9,11.25,11.9,4000,False,NITGETF
2021-08-11,0.0,0.0,0.0,11.86,0,True,NITGETF
2021-08-12,11.3,11.78,11.3,11.64,13000,False,NITGETF
2021-08-13,11.73,11.8,11.72,11.72,15000,False,NITGETF
2021-08-16,11.5,11.5,11.5,11.5,1000,False,NITGETF
2021-08-20,11.43,11.43,11.43,11.43,500,False,NITGETF
2021-08-24,0.0,0.0,0.0,11.48,0,True,NITGETF
2021-08-31,11.55,11.55,11.55,11.55,1000,False,NITGETF
2021-09-01,11.51,11.51,11.51,11.51,500,False,NITGETF
2021-09-02,11.86,11.86,11.86,11.86,500,False,NITGETF
2021-09-03,11.5,11.5,11.5,11.5,500,False,NITGETF
2021-09-09,0.0,0.0,0.0,11.48,0,True,NITGETF
2021-09-20,11.2,11.2,11.2,11.2,1000,False,NITGETF
2021-09-22,10.99,10.99,10.99,10.99,10000,False,NITGETF
2021-09-27,11.18,11.18,11.0,11.0,10000,False,NITGETF
2021-09-29,11.44,11.44,11.44,11.44,2000,False,NITGETF
2021-09-30,11.15,11.15,11.15,11.15,1500,False,NITGETF
2021-10-01,10.78,10.78,10.78,10.78,1000,False,NITGETF
2021-10-04,0.0,0.0,0.0,10.79,0,True,NITGETF
2021-10-05,11.21,11.35,11.18,11.35,442500,False,NITGETF
2021-10-06,0.0,0.0,0.0,11.23,0,True,NITGETF
2021-10-11,0.0,0.0,0.0,11.18,0,True,NITGETF
2021-10-12,0.0,0.0,0.0,11.09,0,True,NITGETF
2021-10-14,0.0,0.0,0.0,10.93,0,True,NITGETF
2021-10-21,0.0,0.0,0.0,10.97,0,True,NITGETF
2021-10-22,0.0,0.0,0.0,11.23,0,True,NITGETF
2021-10-25,0.0,0.0,0.0,11.23,0,True,NITGETF
2021-10-28,11.7,11.7,11.7,11.7,500,False,NITGETF
2021-10-29,11.3,11.3,11.0,11.0,10000,False,NITGETF
2021-11-01,0.0,0.0,0.0,11.18,0,True,NITGETF
2021-11-02,0.0,0.0,0.0,11.28,0,True,NITGETF
2021-11-03,0.0,0.0,0.0,11.31,0,True,NITGETF
2021-11-04,11.34,11.34,11.34,11.34,500,False,NITGETF
2021-11-05,11.86,11.86,11.86,11.86,500,False,NITGETF
2021-11-08,11.9,11.9,11.9,11.9,10000,False,NITGETF
2021-11-09,11.84,11.86,11.75,11.75,17500,False,NITGETF
2021-11-12,11.66,11.66,11.66,11.66,1000,False,NITGETF
2021-11-15,0.0,0.0,0.0,11.63,0,True,NITGETF
2021-11-23,11.2,11.2,11.2,11.2,10000,False,NITGETF
2021-12-06,0.0,0.0,0.0,11.19,0,True,NITGETF
2021-12-13,10.85,10.85,10.85,10.85,500,False,NITGETF
2021-12-22,0.0,0.0,0.0,10.92,0,True,NITGETF
2021-12-30,11.08,11.08,11.08,11.08,500,False,NITGETF
2022-01-04,11.29,11.29,11.29,11.29,500,False,NITGETF
2022-01-05,11.3,11.3,11.3,11.3,500,False,NITGETF
2022-01-06,11.53,11.53,11.32,11.53,10500,False,NITGETF
2022-01-07,11.3,11.33,11.3,11.33,30000,False,NITGETF
2022-01-11,11.33,11.45,11.33,11.45,5000,False,NITGETF
2022-01-14,11.25,11.25,11.25,11.25,500,False,NITGETF
2022-01-27,11.16,11.16,11.16,11.16,10500,False,NITGETF
2022-02-03,11.5,11.5,11.5,11.5,500,False,NITGETF
2022-02-04,11.3,11.3,11.3,11.3,10000,False,NITGETF
2022-02-10,11.35,11.35,11.35,11.35,35000,False,NITGETF
2022-02-18,0.0,11.35,11.35,11.35,4500,True,NITGETF
2022-02-22,11.05,11.05,11.05,11.05,500,False,NITGETF
2022-03-01,10.94,11.05,10.94,10.94,11000,False,NITGETF
2022-03-02,10.83,10.83,10.83,10.83,3000,False,NITGETF
2022-03-03,11.1,11.1,11.1,11.1,4000,False,NITGETF
2022-03-07,10.83,10.83,10.83,10.83,1500,False,NITGETF
2022-03-08,10.77,10.77,10.77,10.77,500,False,NITGETF
2022-03-09,10.74,10.74,10.74,10.74,500,False,NITGETF
2022-03-10,10.91,10.91,10.91,10.91,500,False,NITGETF
2022-03-14,10.88,10.88,10.88,10.88,500,False,NITGETF
2022-03-15,10.82,10.82,10.82,10.82,1000,False,NITGETF
2022-03-16,10.84,10.84,10.84,10.84,2000,False,NITGETF
2022-03-21,0.0,0.0,0.0,10.79,0,True,NITGETF
2022-03-24,10.75,10.75,10.75,10.75,500,False,NITGETF
2022-04-01,10.87,11.02,10.87,11.02,100000,False,NITGETF
2022-04-05,10.71,10.71,10.71,10.71,10000,False,NITGETF
2022-04-06,10.69,10.75,10.69,10.75,5500,False,NITGETF
2022-04-07,10.71,10.71,10.71,10.71,5500,False,NITGETF
2022-04-08,10.76,10.76,10.76,10.76,5000,False,NITGETF
2022-04-11,11.13,11.32,11.13,11.32,12500,False,NITGETF
2022-04-12,11.22,11.22,11.22,11.22,500,False,NITGETF
2022-05-10,0.0,0.0,0.0,10.71,0,True,NITGETF
2022-05-13,10.5,10.5,10.5,10.5,1000,False,NITGETF
2022-05-18,10.61,10.61,10.61,10.61,1000,False,NITGETF
2022-06-06,10.15,10.15,10.15,10.15,6000,False,NITGETF
2022-06-09,10.36,10.36,10.36,10.36,2000,False,NITGETF
2022-06-10,10.35,10.35,10.35,10.35,1500,False,NITGETF
2022-06-16,0.0,0.0,0.0,10.17,0,True,NITGETF
2022-06-24,9.94,9.94,9.94,9.94,500,False,NITGETF
2022-06-30,9.92,9.92,9.92,9.92,2000,False,NITGETF
2022-07-01,9.97,9.97,9.97,9.97,3500,False,NITGETF
2022-07-13,10.09,10.09,10.09,10.09,10000,False,NITGETF
2022-07-18,10.09,10.09,10.09,10.09,10000,False,NITGETF
2022-07-19,9.97,9.97,9.97,9.97,5000,False,NITGETF
2022-07-26,9.78,9.78,9.78,9.78,500,False,NITGETF
2022-08-04,10.09,10.09,10.09,10.09,5000,False,NITGETF
2022-08-22,0.0,0.0,0.0,10.35,0,True,NITGETF
2022-08-23,10.62,10.62,10.62,10.62,10000,False,NITGETF
2022-08-26,10.55,10.55,10.55,10.55,500,False,NITGETF
2022-09-02,10.35,10.35,10.35,10.35,5500,False,NITGETF
2022-09-12,10.22,10.22,10.22,10.22,500,False,NITGETF
2022-10-19,10.25,10.25,10.25,10.25,500,False,NITGETF
2022-10-25,0.0,0.0,0.0,10.35,0,True,NITGETF
2022-11-02,10.34,10.34,10.34,10.34,1000,False,NITGETF
2022-11-03,0.0,0.0,0.0,10.33,0,True,NITGETF
2022-11-07,10.33,10.33,10.33,10.33,500,False,NITGETF
2022-11-16,10.64,10.64,10.64,10.64,15000,False,NITGETF
2022-11-23,10.68,10.68,10.68,10.68,500,False,NITGETF
2022-11-25,10.75,10.75,10.75,10.75,500,False,NITGETF
2022-11-28,10.59,10.59,10.59,10.59,1000,False,NITGETF
2022-12-02,0.0,10.59,10.59,10.59,2000,True,NITGETF
2022-12-19,10.39,10.39,10.39,10.39,500,False,NITGETF
2022-12-21,10.19,10.19,10.19,10.19,10000,False,NITGETF
2023-01-05,10.4,10.4,10.4,10.4,25500,False,NITGETF
2023-01-11,10.43,10.44,10.43,10.44,1500,False,NITGETF
2023-02-02,0.0,0.0,0.0,10.66,0,True,NITGETF
2023-02-07,11.01,11.01,11.01,11.01,3500,False,NITGETF
2023-02-23,10.81,10.81,10.81,10.81,500,False,NITGETF
2023-03-09,10.97,10.97,10.97,10.97,500,False,NITGETF
2023-03-13,11.12,11.12,11.12,11.12,1000,False,NITGETF
2023-03-22,10.81,10.82,10.81,10.82,5500,False,NITGETF
2023-04-04,10.59,10.59,10.59,10.59,5000,False,NITGETF
2023-05-05,11.29,11.29,11.29,11.29,25500,False,NITGETF
2023-05-30,11.18,11.92,11.18,11.92,11000,False,NITGETF
2023-07-11,10.92,10.92,10.89,10.89,1000,False,NITGETF
2023-07-21,11.21,11.21,11.21,11.21,5000,False,NITGETF
2023-08-03,12.04,12.04,12.04,12.04,1000,False,NITGETF
2023-08-17,11.86,11.86,11.86,11.86,500,False,NITGETF
2023-08-18,11.95,11.95,11.95,11.95,9000,False,NITGETF
2023-08-21,11.72,11.72,11.71,11.71,10000,False,NITGETF
2023-08-24,11.87,11.87,11.87,11.87,500,False,NITGETF
2023-10-02,11.37,11.37,11.37,11.37,1500,False,NITGETF
2023-10-18,0.0,0.0,0.0,12.0,0,True,NITGETF
2023-10-20,12.34,12.34,12.34,12.34,500,False,NITGETF
2023-10-23,12.5,12.5,12.5,12.5,500,False,NITGETF
2023-10-31,12.8,12.8,12.8,12.8,500,False,NITGETF
2023-11-02,12.72,12.72,12.72,12.72,500,False,NITGETF
2023-11-06,12.91,12.91,12.91,12.91,4000,False,NITGETF
2023-11-08,13.3,13.3,13.3,13.3,3000,False,NITGETF
2023-11-10,13.42,13.42,13.42,13.42,10000,False,NITGETF
2023-11-13,13.69,13.69,13.69,13.69,500,False,NITGETF
2023-11-14,13.74,13.74,13.74,13.74,4000,False,NITGETF
2023-11-20,13.61,13.61,13.61,13.61,1000,False,NITGETF
2023-11-24,14.08,14.08,14.08,14.08,1000,False,NITGETF
2023-11-28,14.48,14.48,14.48,14.48,3000,False,NITGETF
2023-12-01,14.73,14.73,14.73,14.73,500,False,NITGETF
2023-12-05,14.98,14.98,14.98,14.98,7000,False,NITGETF
2023-12-06,15.28,15.3,15.28,15.3,1500,False,NITGETF
2023-12-08,15.66,15.66,15.66,15.66,5000,False,NITGETF
2023-12-11,15.41,15.41,15.41,15.41,1000,False,NITGETF
2023-12-13,0.0,0.0,0.0,15.41,20000,True,NITGETF
2023-12-15,0.0,0.0,0.0,15.6,0,True,NITGETF
2023-12-21,0.0,0.0,0.0,15.0,0,True,NITGETF
2023-12-22,14.84,14.84,14.84,14.84,1000,False,NITGETF
2023-12-26,14.56,14.56,14.44,14.44,1000,False,NITGETF
2023-12-27,14.33,14.34,14.33,14.34,1000,False,NITGETF
2023-12-28,0.0,0.0,0.0,14.7,0,True,NITGETF
2024-01-01,0.0,0.0,0.0,14.9,0,True,NITGETF
2024-01-03,15.45,15.45,15.45,15.45,500,False,NITGETF
2024-01-04,15.37,15.37,15.37,15.37,3000,False,NITGETF
2024-01-12,0.0,0.0,0.0,15.45,0,True,NITGETF
2024-01-19,15.32,15.32,15.3,15.3,1000,False,NITGETF
2024-01-22,15.2,15.2,15.2,15.2,1500,False,NITGETF
2024-01-23,15.41,15.41,15.41,15.41,500,False,NITGETF
2024-01-25,15.66,15.66,15.66,15.66,2500,False,NITGETF
2024-02-02,15.31,15.31,15.31,15.31,500,False,NITGETF
2024-02-07,15.57,15.57,15.57,15.57,500,False,NITGETF
