date,open,high,low,close,volume,is_anomaly,ticker
2021-05-03,0.0,0.0,0.0,23.12,0,True,NSRM
2021-05-26,21.39,21.4,21.39,21.39,2000,False,NSRM
2021-05-27,19.82,19.82,19.82,19.82,1500,False,NSRM
2021-05-31,21.0,21.0,21.0,21.0,500,False,NSRM
2021-06-01,19.46,19.46,19.46,19.46,500,False,NSRM
2021-06-08,20.91,20.91,19.46,20.91,1000,False,NSRM
2021-06-09,22.47,22.47,22.47,22.47,4000,False,NSRM
2021-06-10,24.14,24.14,23.99,24.13,2500,False,NSRM
2021-06-11,25.86,25.88,25.84,25.88,1500,False,NSRM
2021-06-14,27.48,27.48,27.47,27.47,1000,False,NSRM
2021-06-29,0.0,0.0,0.0,27.2,0,True,NSRM
2021-06-30,27.0,27.0,25.17,25.17,2000,False,NSRM
2021-07-01,0.0,0.0,0.0,24.95,0,True,NSRM
2021-07-02,23.08,24.89,23.08,24.24,5500,False,NSRM
2021-07-05,24.24,24.24,24.24,24.24,1000,False,NSRM
2021-07-06,22.43,22.43,22.43,22.43,1000,False,NSRM
2021-07-07,20.9,20.9,20.9,20.9,1000,False,NSRM
2021-07-08,21.05,21.05,21.05,21.05,1500,False,NSRM
2021-07-12,21.05,21.05,21.05,21.05,1000,False,NSRM
2021-07-14,20.21,20.21,20.21,20.21,1000,False,NSRM
2021-07-23,20.31,20.31,20.31,20.31,2000,False,NSRM
2021-07-27,21.05,21.05,21.05,21.05,500,False,NSRM
2021-07-29,20.05,20.05,20.05,20.05,1000,False,NSRM
2021-08-04,21.0,21.0,21.0,21.0,500,False,NSRM
2021-08-09,22.1,22.2,22.1,22.2,2000,False,NSRM
2021-08-12,22.2,22.2,22.2,22.2,2000,False,NSRM
2021-08-16,21.2,21.2,21.2,21.2,2000,False,NSRM
2021-08-17,22.75,22.79,22.75,22.79,3000,False,NSRM
2021-08-31,22.79,22.79,21.1,21.1,1500,False,NSRM
2021-09-01,19.62,22.67,19.62,22.67,6500,False,NSRM
2021-09-09,20.98,20.98,20.98,20.98,500,False,NSRM
