date,open,high,low,close,volume,is_anomaly,ticker
2021-10-25,0.0,0.0,0.0,5.5,0,True,OBOY
2021-10-29,0.0,0.0,0.0,5.5,0,True,OBOY
2021-12-13,6.5,6.5,6.5,6.5,1500,False,OBOY
2021-12-14,7.5,7.5,7.5,7.5,6500,False,OBOY
2021-12-15,8.5,8.5,8.5,8.5,11500,False,OBOY
2021-12-16,9.5,9.5,9.5,9.5,49500,False,OBOY
2021-12-17,10.5,10.5,10.5,10.5,44000,False,OBOY
2021-12-20,11.5,11.5,11.5,11.5,10500,False,OBOY
2021-12-21,12.5,12.5,12.5,12.5,11000,False,OBOY
2021-12-22,13.5,13.5,13.5,13.5,136500,False,OBOY
2021-12-23,14.51,14.51,14.51,14.51,23000,False,OBOY
2021-12-24,15.59,15.59,15.59,15.59,34000,False,OBOY
2021-12-27,16.75,16.75,15.5,16.75,596000,False,OBOY
2021-12-28,18.0,18.0,18.0,18.0,98000,False,OBOY
2021-12-29,19.35,19.35,19.35,19.35,55500,False,OBOY
2021-12-30,20.8,20.8,20.8,20.8,16500,False,OBOY
2021-12-31,22.36,22.36,22.36,22.36,40500,False,OBOY
2022-01-03,24.03,24.03,24.0,24.03,227500,False,OBOY
2022-01-04,25.83,25.83,22.7,25.83,913500,False,OBOY
2022-01-05,27.7,27.76,26.5,27.76,296000,False,OBOY
2022-01-06,29.84,29.84,27.0,28.93,571500,False,OBOY
2022-01-07,28.5,28.5,26.77,26.77,283500,False,OBOY
2022-01-10,24.77,24.77,24.77,24.77,27000,False,OBOY
2022-01-11,22.92,22.92,22.92,22.92,3500,False,OBOY
2022-01-12,21.7,24.63,21.21,21.21,1119500,False,OBOY
2022-01-13,20.52,20.8,19.62,19.62,399000,False,OBOY
2022-01-14,19.0,21.09,18.15,19.94,838000,False,OBOY
2022-01-17,19.51,20.19,18.71,19.19,278000,False,OBOY
2022-01-18,18.8,20.62,18.8,20.62,263000,False,OBOY
2022-01-19,22.16,22.16,21.7,22.12,582000,False,OBOY
2022-01-20,22.12,23.25,21.11,22.04,377500,False,OBOY
2022-01-21,22.3,22.4,21.26,21.32,328500,False,OBOY
2022-01-24,20.51,22.0,20.5,20.85,222000,False,OBOY
2022-01-25,20.99,21.0,19.29,19.31,148000,False,OBOY
2022-01-26,19.29,19.49,19.0,19.26,40500,False,OBOY
2022-01-27,19.25,19.25,17.82,17.98,108000,False,OBOY
2022-01-28,18.0,18.89,17.5,18.32,138500,False,OBOY
2022-01-31,18.32,18.5,17.8,18.33,34500,False,OBOY
2022-02-01,18.07,19.45,17.66,19.27,101500,False,OBOY
2022-02-02,19.5,20.71,19.41,20.71,200000,False,OBOY
2022-02-03,22.26,22.26,22.2,22.26,219500,False,OBOY
2022-02-04,23.0,23.92,22.01,23.75,779000,False,OBOY
2022-02-07,24.17,24.3,21.97,22.07,306500,False,OBOY
2022-02-08,22.49,22.49,20.5,21.36,232500,False,OBOY
2022-02-09,21.79,22.96,21.26,22.96,212500,False,OBOY
2022-02-10,23.5,23.5,21.5,22.06,260500,False,OBOY
2022-02-11,22.8,22.8,21.76,21.97,35500,False,OBOY
2022-02-14,22.52,22.52,21.0,21.12,84500,False,OBOY
2022-02-15,21.25,21.3,20.4,21.15,78000,False,OBOY
2022-02-16,21.15,22.73,21.15,22.73,251000,False,OBOY
2022-02-17,23.0,24.43,23.0,24.43,461500,False,OBOY
2022-02-18,25.0,26.1,24.43,24.64,536000,False,OBOY
2022-02-21,23.75,25.51,22.8,22.8,362500,False,OBOY
2022-02-22,21.7,22.5,21.09,21.09,178000,False,OBOY
2022-02-23,20.27,20.6,19.55,19.88,392000,False,OBOY
2022-02-24,18.6,19.2,18.39,18.39,199000,False,OBOY
2022-02-25,17.55,18.8,17.02,17.02,217500,False,OBOY
2022-02-28,17.0,18.29,16.0,18.29,270000,False,OBOY
2022-03-01,18.6,19.66,18.6,19.66,207500,False,OBOY
2022-03-02,20.0,20.88,19.0,19.89,232500,False,OBOY
2022-03-03,19.35,20.33,19.35,19.98,119000,False,OBOY
2022-03-04,20.0,20.43,19.5,19.62,45000,False,OBOY
2022-03-07,19.0,19.0,18.15,18.15,138500,False,OBOY
2022-03-08,18.15,18.5,18.0,18.06,39500,False,OBOY
2022-03-09,18.0,18.03,17.1,17.29,42500,False,OBOY
2022-03-10,18.58,18.58,17.29,18.58,4000,False,OBOY
2022-03-11,19.97,19.97,19.51,19.97,437500,False,OBOY
2022-03-14,20.4,20.4,18.48,18.64,92500,False,OBOY
2022-03-15,18.06,19.68,18.0,19.14,210500,False,OBOY
2022-03-16,19.02,19.02,18.26,18.64,117500,False,OBOY
2022-03-17,19.0,19.0,18.1,18.21,18500,False,OBOY
2022-03-18,18.21,18.21,16.85,16.99,126000,False,OBOY
2022-03-21,17.75,18.26,17.75,18.26,63000,False,OBOY
2022-03-22,19.62,19.62,19.25,19.62,305500,False,OBOY
2022-03-24,20.7,20.95,19.5,19.96,303500,False,OBOY
2022-03-25,19.99,20.15,18.98,19.31,158000,False,OBOY
2022-03-28,19.29,19.31,18.4,18.73,32500,False,OBOY
2022-03-29,19.4,19.44,18.5,19.1,119000,False,OBOY
2022-03-30,19.34,19.39,18.2,18.76,49000,False,OBOY
2022-03-31,18.95,18.95,18.6,18.82,17000,False,OBOY
2022-04-01,18.95,20.1,18.95,19.88,108000,False,OBOY
2022-04-04,18.5,19.88,18.5,18.7,13000,False,OBOY
2022-04-05,19.49,19.49,18.45,18.9,36500,False,OBOY
2022-04-06,19.95,19.95,18.5,19.13,14000,False,OBOY
2022-04-07,18.65,18.65,18.0,18.1,51000,False,OBOY
2022-04-08,18.02,18.4,17.0,17.54,305500,False,OBOY
