date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,25.55,25.85,25.25,25.8,26500,False,OLPL
2021-04-27,25.75,25.9,25.75,25.83,42500,False,OLPL
2021-04-28,25.97,26.24,25.8,25.87,21000,False,OLPL
2021-04-29,25.53,25.94,25.53,25.91,17000,False,OLPL
2021-04-30,25.7,26.0,25.5,25.89,20000,False,OLPL
2021-05-03,25.5,26.21,25.5,25.99,101500,False,OLPL
2021-05-04,25.99,26.2,25.99,26.13,10500,False,OLPL
2021-05-05,25.95,26.1,25.95,26.0,20500,False,OLPL
2021-05-06,26.0,26.0,26.0,26.0,63000,False,OLPL
2021-05-17,26.24,26.49,25.5,26.0,276000,False,OLPL
2021-05-18,26.15,26.4,26.1,26.3,21500,False,OLPL
2021-05-19,26.4,26.94,26.29,26.5,37000,False,OLPL
2021-05-20,26.89,26.95,26.25,26.25,91000,False,OLPL
2021-05-21,25.65,26.8,25.65,26.49,72000,False,OLPL
2021-05-24,26.73,26.75,26.51,26.68,386000,False,OLPL
2021-05-25,26.83,27.75,26.6,27.54,115500,False,OLPL
2021-05-26,27.9,28.5,27.75,28.28,135500,False,OLPL
2021-05-27,28.49,28.49,28.1,28.3,45000,False,OLPL
2021-05-28,25.11,26.3,25.0,25.9,80000,False,OLPL
2021-05-31,26.05,26.25,26.05,26.15,22000,False,OLPL
2021-06-01,26.1,26.49,25.75,25.87,187000,False,OLPL
2021-06-02,25.85,26.19,25.85,25.9,86500,False,OLPL
2021-06-03,25.66,26.0,25.65,25.9,87000,False,OLPL
2021-06-04,25.7,26.0,25.7,26.0,31000,False,OLPL
2021-06-07,26.62,26.62,25.7,25.8,67500,False,OLPL
2021-06-08,25.65,25.65,25.52,25.52,27000,False,OLPL
2021-06-09,25.75,26.0,25.75,26.0,16500,False,OLPL
2021-06-10,26.0,26.0,25.54,26.0,21500,False,OLPL
2021-06-15,25.55,26.0,25.55,26.0,9000,False,OLPL
2021-06-16,25.99,26.0,25.9,25.9,10500,False,OLPL
2021-06-17,26.0,26.0,25.75,25.89,28000,False,OLPL
2021-06-18,25.76,25.98,25.52,25.96,45500,False,OLPL
2021-06-21,25.99,26.0,25.7,26.0,30000,False,OLPL
2021-06-22,26.01,26.59,25.56,26.3,105500,False,OLPL
2021-06-23,26.01,26.01,26.0,26.0,1500,False,OLPL
2021-06-24,26.05,26.05,25.8,26.0,2500,False,OLPL
2021-06-25,26.0,26.75,25.56,26.0,60000,False,OLPL
2021-06-28,26.0,26.0,25.75,26.0,4500,False,OLPL
2021-06-29,26.0,26.0,25.5,25.5,47000,False,OLPL
2021-06-30,25.5,25.75,25.5,25.75,15500,False,OLPL
2021-07-01,25.51,25.99,25.5,25.75,74500,False,OLPL
2021-07-02,25.75,26.0,25.75,26.0,64500,False,OLPL
2021-07-05,26.0,26.0,25.6,25.63,19500,False,OLPL
2021-07-06,25.75,25.75,25.6,25.67,108000,False,OLPL
2021-07-07,25.52,25.75,25.4,25.75,20000,False,OLPL
2021-07-08,25.9,25.9,25.5,25.5,5500,False,OLPL
2021-07-09,25.55,25.55,25.55,25.55,3500,False,OLPL
2021-07-12,25.27,25.5,25.0,25.29,371000,False,OLPL
2021-07-13,25.45,25.8,25.39,25.39,23000,False,OLPL
2021-07-14,25.26,25.39,25.2,25.2,23000,False,OLPL
2021-07-15,25.45,25.45,25.35,25.35,9000,False,OLPL
2021-07-16,25.5,25.98,25.32,25.32,15000,False,OLPL
2021-07-19,25.32,25.32,25.32,25.32,2500,False,OLPL
2021-07-23,25.78,25.78,25.14,25.5,60500,False,OLPL
2021-07-26,25.5,25.84,25.15,25.84,97000,False,OLPL
2021-07-27,25.37,25.5,25.36,25.5,35000,False,OLPL
2021-07-28,25.25,25.5,25.25,25.45,42500,False,OLPL
2021-07-29,25.45,25.45,25.0,25.08,400000,False,OLPL
2021-07-30,25.26,25.9,24.9,25.0,93000,False,OLPL
2021-08-02,24.75,25.5,24.75,25.49,14500,False,OLPL
2021-08-03,25.0,25.49,24.84,25.0,350500,False,OLPL
2021-08-04,25.1,25.1,24.97,24.97,101000,False,OLPL
2021-08-05,24.95,25.0,24.95,25.0,101000,False,OLPL
2021-08-06,25.0,25.0,24.51,24.99,71500,False,OLPL
2021-08-09,25.0,25.0,24.5,24.5,126500,False,OLPL
2021-08-10,24.41,24.8,24.41,24.6,4000,False,OLPL
2021-08-11,24.9,25.0,24.5,24.5,99500,False,OLPL
2021-08-12,24.3,24.75,24.3,24.5,4000,False,OLPL
2021-08-13,24.5,24.5,24.5,24.5,500,False,OLPL
2021-08-16,24.5,24.5,24.0,24.0,116500,False,OLPL
2021-08-17,24.49,24.7,23.5,23.52,345000,False,OLPL
2021-08-20,23.81,24.0,23.5,23.96,128000,False,OLPL
2021-08-23,24.0,24.46,23.9,24.17,571500,False,OLPL
2021-08-24,24.01,24.15,23.8,23.82,622500,False,OLPL
2021-08-25,24.0,24.0,23.83,23.9,97000,False,OLPL
2021-08-26,23.91,24.0,23.8,23.81,63000,False,OLPL
2021-08-27,23.8,23.8,23.65,23.65,19500,False,OLPL
2021-08-30,23.55,23.6,23.5,23.5,34500,False,OLPL
2021-08-31,23.95,23.95,23.5,23.9,29500,False,OLPL
2021-09-01,23.65,23.65,23.61,23.65,5500,False,OLPL
2021-09-02,23.84,24.0,23.51,23.6,19000,False,OLPL
2021-09-03,23.8,23.8,23.55,23.64,2500,False,OLPL
2021-09-06,23.89,23.89,23.73,23.85,5500,False,OLPL
2021-09-07,23.41,23.54,23.41,23.54,7500,False,OLPL
2021-09-08,23.54,23.74,23.52,23.74,7000,False,OLPL
2021-09-09,23.5,23.8,23.5,23.8,6500,False,OLPL
2021-09-10,23.7,23.8,23.6,23.7,27500,False,OLPL
2021-09-13,23.6,23.75,23.6,23.7,22500,False,OLPL
2021-09-14,23.6,23.7,23.4,23.5,59500,False,OLPL
2021-09-15,23.31,23.5,23.31,23.5,16500,False,OLPL
2021-09-16,23.9,24.0,23.5,23.97,60500,False,OLPL
2021-09-17,23.5,24.0,23.5,23.91,219500,False,OLPL
2021-09-20,23.76,23.89,23.75,23.89,10000,False,OLPL
2021-09-21,24.48,24.48,23.75,23.75,52500,False,OLPL
2021-09-22,23.95,24.0,23.5,23.92,31000,False,OLPL
2021-09-23,23.92,24.09,23.5,23.75,410500,False,OLPL
2021-09-24,23.75,24.0,23.75,23.83,98500,False,OLPL
2021-09-27,23.8,24.0,23.8,23.99,156000,False,OLPL
2021-09-28,23.95,24.0,23.9,23.94,181000,False,OLPL
2021-09-29,23.76,24.0,23.76,23.84,77500,False,OLPL
2021-09-30,23.99,24.0,23.8,23.83,38500,False,OLPL
2021-10-01,23.85,24.0,23.85,23.98,488000,False,OLPL
2021-10-04,23.98,24.75,23.76,23.79,390500,False,OLPL
2021-10-05,23.81,24.0,23.79,23.8,206500,False,OLPL
2021-10-06,23.8,24.0,23.71,23.73,329500,False,OLPL
2021-10-07,23.8,23.82,23.65,23.74,119000,False,OLPL
2021-10-08,23.8,23.8,23.7,23.7,108000,False,OLPL
2021-10-11,23.75,23.75,23.5,23.69,254000,False,OLPL
2021-10-12,23.5,23.75,23.5,23.7,107000,False,OLPL
2021-10-13,23.79,23.8,23.65,23.65,81500,False,OLPL
2021-10-14,23.79,23.8,23.5,23.7,183000,False,OLPL
2021-10-15,22.5,22.5,21.7,22.03,21500,False,OLPL
2021-10-18,22.0,22.03,21.73,21.8,41000,False,OLPL
2021-10-20,22.15,22.23,22.12,22.15,46000,False,OLPL
2021-10-21,22.15,22.25,22.15,22.18,44000,False,OLPL
2021-10-22,22.25,22.25,22.0,22.07,144000,False,OLPL
2021-10-25,22.04,22.05,21.99,22.0,273000,False,OLPL
2021-10-26,22.0,22.0,21.91,21.93,96500,False,OLPL
2021-10-27,22.0,22.0,21.9,21.9,18000,False,OLPL
2021-10-28,21.9,22.0,21.9,21.97,58500,False,OLPL
2021-10-29,21.71,22.0,21.01,22.0,44000,False,OLPL
2021-11-01,22.25,22.25,21.95,22.0,54500,False,OLPL
2021-11-02,22.0,22.0,21.97,22.0,136000,False,OLPL
2021-11-03,22.0,22.0,21.96,21.97,41000,False,OLPL
2021-11-04,22.01,22.12,21.6,21.81,65000,False,OLPL
2021-11-05,21.99,22.0,21.85,22.0,158000,False,OLPL
2021-11-08,22.0,22.0,21.97,22.0,37500,False,OLPL
2021-11-09,21.99,22.0,21.89,21.99,71000,False,OLPL
2021-11-10,22.0,22.0,21.9,21.9,89000,False,OLPL
2021-11-11,21.95,21.95,21.95,21.95,28500,False,OLPL
2021-11-12,22.0,22.0,21.8,21.85,37000,False,OLPL
2021-11-15,22.0,22.0,21.51,21.97,44500,False,OLPL
2021-11-16,22.0,22.0,21.91,22.0,85500,False,OLPL
2021-11-17,21.92,22.0,21.92,21.96,2500,False,OLPL
2021-11-18,21.85,22.0,21.75,21.75,277500,False,OLPL
2021-11-19,21.99,21.99,21.71,21.8,68000,False,OLPL
2021-11-22,21.8,21.8,21.5,21.52,121500,False,OLPL
2021-11-23,21.8,21.8,21.58,21.8,51500,False,OLPL
2021-11-24,21.7,21.79,21.41,21.7,9000,False,OLPL
2021-11-25,21.8,21.99,21.7,21.79,45500,False,OLPL
2021-11-26,21.8,21.8,21.7,21.8,41000,False,OLPL
2021-11-29,21.6,21.8,21.59,21.8,38500,False,OLPL
2021-11-30,21.8,21.8,21.8,21.8,18000,False,OLPL
2021-12-01,21.8,21.8,21.7,21.74,13500,False,OLPL
2021-12-02,21.7,21.7,21.35,21.4,48500,False,OLPL
2021-12-03,21.35,21.9,21.35,21.77,11500,False,OLPL
2021-12-06,21.77,21.77,21.77,21.77,1000,False,OLPL
2021-12-07,21.8,21.8,21.5,21.53,5000,False,OLPL
2021-12-08,21.7,21.75,21.7,21.7,5000,False,OLPL
2021-12-09,21.7,21.7,21.7,21.7,500,False,OLPL
2021-12-10,21.01,21.46,20.26,21.4,19000,False,OLPL
2021-12-13,21.7,21.7,21.25,21.25,33500,False,OLPL
2021-12-14,21.5,21.6,21.5,21.6,3000,False,OLPL
2021-12-15,21.65,21.8,21.65,21.76,29500,False,OLPL
2021-12-16,21.7,21.8,21.65,21.7,15500,False,OLPL
2021-12-17,21.01,21.7,21.01,21.69,79000,False,OLPL
2021-12-20,21.7,21.7,21.65,21.66,53000,False,OLPL
2021-12-21,21.8,21.8,21.61,21.61,41500,False,OLPL
2021-12-22,21.55,21.6,21.5,21.6,71000,False,OLPL
2021-12-23,21.46,21.6,21.46,21.46,56500,False,OLPL
2021-12-24,21.5,21.75,21.4,21.43,682500,False,OLPL
2021-12-27,21.65,21.65,21.46,21.5,59500,False,OLPL
2021-12-28,21.75,21.8,21.45,21.46,123500,False,OLPL
2021-12-29,21.46,21.5,21.45,21.5,1081500,False,OLPL
2021-12-30,21.5,21.5,21.45,21.5,80500,False,OLPL
2021-12-31,21.5,21.5,21.35,21.5,15000,False,OLPL
2022-01-03,21.9,21.9,21.4,21.51,17000,False,OLPL
2022-01-04,21.5,21.55,21.5,21.51,36500,False,OLPL
2022-01-05,21.51,21.99,21.41,21.9,60000,False,OLPL
2022-01-06,21.5,21.65,21.5,21.55,21000,False,OLPL
2022-01-07,21.6,21.6,21.6,21.6,6000,False,OLPL
2022-01-10,21.6,21.85,21.6,21.6,43500,False,OLPL
2022-01-11,21.6,21.65,21.6,21.65,16500,False,OLPL
2022-01-12,21.74,22.0,21.46,21.49,327500,False,OLPL
2022-01-13,21.5,21.5,21.46,21.5,78500,False,OLPL
2022-01-14,21.99,21.99,21.43,21.43,19000,False,OLPL
2022-01-17,21.43,21.5,21.4,21.5,27000,False,OLPL
2022-01-18,21.5,21.5,21.5,21.5,18000,False,OLPL
2022-01-19,21.9,21.9,21.42,21.42,79000,False,OLPL
2022-01-20,21.31,21.5,21.3,21.3,42500,False,OLPL
2022-01-21,21.5,21.5,21.25,21.36,23500,False,OLPL
2022-01-24,21.48,21.5,21.48,21.48,21000,False,OLPL
2022-01-25,21.1,21.5,21.1,21.45,83500,False,OLPL
2022-01-26,21.49,21.49,21.45,21.49,6500,False,OLPL
2022-01-27,21.49,21.49,21.38,21.48,14500,False,OLPL
2022-01-28,21.49,21.49,21.4,21.4,143500,False,OLPL
2022-01-31,21.4,21.4,21.4,21.4,59500,False,OLPL
2022-02-01,21.4,21.5,21.4,21.49,113500,False,OLPL
2022-02-02,21.49,21.5,21.45,21.5,543500,False,OLPL
2022-02-03,21.5,21.5,21.48,21.5,384000,False,OLPL
2022-02-04,21.5,21.55,21.45,21.5,487500,False,OLPL
2022-02-07,21.49,21.5,21.36,21.5,386000,False,OLPL
2022-02-08,21.5,21.75,21.4,21.5,83500,False,OLPL
2022-02-09,21.55,21.65,21.55,21.6,62000,False,OLPL
2022-02-10,21.99,22.89,21.91,22.0,48000,False,OLPL
2022-02-11,22.0,22.25,21.56,22.24,67000,False,OLPL
2022-02-14,22.0,22.1,21.95,22.0,92000,False,OLPL
2022-02-15,21.03,22.0,21.03,22.0,48500,False,OLPL
2022-02-16,22.0,22.25,22.0,22.1,43000,False,OLPL
2022-02-17,22.39,22.39,22.02,22.02,22000,False,OLPL
2022-02-18,22.39,22.99,22.39,22.92,117000,False,OLPL
2022-02-21,22.8,22.85,22.6,22.85,21500,False,OLPL
2022-02-22,22.83,22.83,21.14,21.14,241500,False,OLPL
2022-02-23,20.52,21.25,20.52,21.2,84500,False,OLPL
2022-02-24,21.2,21.65,20.8,20.85,94000,False,OLPL
2022-02-25,21.1,21.1,21.0,21.01,38500,False,OLPL
2022-02-28,21.5,21.5,21.0,21.01,25500,False,OLPL
2022-03-01,21.1,21.35,21.0,21.35,88000,False,OLPL
2022-03-02,21.35,21.7,21.21,21.35,7000,False,OLPL
2022-03-03,21.35,21.4,21.35,21.4,22000,False,OLPL
2022-03-04,21.15,21.5,21.15,21.5,27500,False,OLPL
2022-03-07,21.4,21.4,20.9,20.9,224500,False,OLPL
2022-03-08,20.91,20.95,20.85,20.85,50000,False,OLPL
2022-03-09,20.78,21.24,20.78,21.24,1000,False,OLPL
2022-03-10,21.6,21.6,21.1,21.15,34000,False,OLPL
2022-03-11,21.3,21.5,21.21,21.4,23500,False,OLPL
2022-03-14,21.0,21.4,21.0,21.02,31500,False,OLPL
2022-03-15,21.0,21.34,20.9,21.07,133500,False,OLPL
2022-03-16,21.49,21.49,21.49,21.49,1500,False,OLPL
2022-03-17,21.49,21.8,21.49,21.73,79000,False,OLPL
2022-03-18,21.1,21.7,21.1,21.58,49500,False,OLPL
2022-03-21,21.6,21.6,21.4,21.4,2500,False,OLPL
