date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,7.2,7.2,6.9,7.2,5000,False,ORM
2021-04-27,7.2,7.2,7.2,7.2,500,False,ORM
2021-05-06,6.7,7.2,6.7,7.2,1500,False,ORM
2021-05-17,7.45,8.0,7.45,7.85,4500,False,ORM
2021-05-18,7.8,7.8,6.85,7.08,1500,False,ORM
2021-05-21,7.15,7.15,7.15,7.15,500,False,ORM
2021-06-04,7.75,7.75,7.75,7.75,1500,False,ORM
2021-06-10,7.2,7.2,7.2,7.2,1000,False,ORM
2021-06-14,7.1,7.1,7.05,7.05,16500,False,ORM
2021-06-16,0.0,7.05,7.05,7.05,3000,True,ORM
2021-06-17,7.2,7.2,7.2,7.2,5500,False,ORM
2021-06-18,7.2,7.2,7.2,7.2,500,False,ORM
2021-06-23,7.0,7.0,7.0,7.0,1500,False,ORM
2021-06-24,7.0,7.0,7.0,7.0,39000,False,ORM
2021-06-25,7.0,7.0,7.0,7.0,500,False,ORM
2021-06-30,7.0,7.0,7.0,7.0,9000,False,ORM
2021-07-01,7.25,7.35,7.25,7.35,2000,False,ORM
2021-07-02,7.25,7.25,7.25,7.25,1000,False,ORM
2021-07-05,7.25,7.25,7.25,7.25,1000,False,ORM
2021-07-06,7.25,7.25,7.25,7.25,500,False,ORM
2021-07-07,7.25,7.35,7.25,7.35,1000,False,ORM
2021-07-08,7.0,7.35,7.0,7.0,3500,False,ORM
2021-07-09,7.25,7.25,7.25,7.25,500,False,ORM
2021-07-12,7.35,7.5,7.2,7.49,2500,False,ORM
2021-07-14,7.1,7.1,7.1,7.1,500,False,ORM
2021-07-15,7.2,7.2,7.2,7.2,3500,False,ORM
2021-07-16,7.5,7.5,7.5,7.5,1000,False,ORM
2021-07-19,7.15,7.15,7.15,7.15,1000,False,ORM
2021-07-26,7.74,7.74,7.15,7.74,2000,False,ORM
2021-07-28,7.35,7.5,7.35,7.5,9500,False,ORM
2021-07-29,7.35,7.5,7.35,7.5,2000,False,ORM
2021-07-30,7.35,7.35,7.3,7.3,2500,False,ORM
2021-08-02,7.35,7.4,7.35,7.4,4500,False,ORM
2021-08-03,7.74,7.74,7.4,7.46,12000,False,ORM
2021-08-04,7.5,7.7,7.5,7.67,24000,False,ORM
2021-08-05,7.97,7.97,7.51,7.51,3500,False,ORM
2021-08-06,7.99,7.99,7.5,7.52,13000,False,ORM
2021-08-09,7.74,8.0,7.5,7.5,9000,False,ORM
2021-08-11,7.11,7.85,7.11,7.29,23000,False,ORM
2021-08-13,7.01,7.01,7.01,7.01,1000,False,ORM
2021-08-17,0.0,7.01,7.01,7.01,500,True,ORM
2021-08-23,7.06,7.15,7.06,7.15,3000,False,ORM
2021-08-24,7.3,7.55,7.3,7.55,22000,False,ORM
2021-08-26,7.01,7.4,7.01,7.4,5500,False,ORM
2021-08-27,7.03,7.03,7.03,7.03,1000,False,ORM
2021-09-01,7.4,7.4,7.4,7.4,500,False,ORM
2021-09-03,7.2,7.2,7.2,7.2,500,False,ORM
2021-09-07,7.01,7.15,7.0,7.15,2000,False,ORM
2021-09-08,7.3,7.89,7.3,7.89,2500,False,ORM
2021-09-10,7.1,7.51,7.1,7.51,2000,False,ORM
2021-09-13,7.6,7.6,7.55,7.55,1500,False,ORM
2021-09-14,7.55,7.55,7.4,7.4,5000,False,ORM
2021-09-15,7.4,7.4,7.4,7.4,500,False,ORM
2021-09-17,8.0,8.04,8.0,8.02,2000,False,ORM
2021-09-20,8.0,8.02,8.0,8.0,2500,False,ORM
2021-09-21,7.2,7.2,7.2,7.2,500,False,ORM
2021-09-22,7.4,7.4,7.4,7.4,2000,False,ORM
2021-09-23,7.5,7.55,7.45,7.45,2000,False,ORM
2021-09-24,7.6,7.99,7.6,7.85,21000,False,ORM
2021-09-27,8.24,8.24,7.5,7.7,30000,False,ORM
2021-09-28,7.72,7.8,7.7,7.7,8000,False,ORM
2021-09-29,7.9,8.0,7.74,7.88,5500,False,ORM
2021-10-01,7.88,7.88,7.8,7.82,3500,False,ORM
2021-10-04,7.5,7.8,7.25,7.7,6000,False,ORM
2021-10-06,7.7,7.7,7.4,7.4,3500,False,ORM
2021-10-07,7.4,7.4,7.4,7.4,1000,False,ORM
2021-10-08,7.5,7.5,7.45,7.45,4000,False,ORM
2021-10-12,7.8,7.8,7.8,7.8,500,False,ORM
2021-10-13,7.21,7.75,7.02,7.61,9000,False,ORM
2021-10-14,7.61,7.94,7.61,7.86,9000,False,ORM
2021-10-15,6.87,7.2,6.86,7.06,31500,False,ORM
2021-10-18,7.06,7.06,7.06,7.06,5500,False,ORM
2021-10-25,0.0,0.0,0.0,7.06,0,True,ORM
2021-10-29,7.06,7.06,7.06,7.06,1500,False,ORM
2021-11-01,7.0,7.34,7.0,7.34,11000,False,ORM
2021-11-02,7.39,7.39,7.39,7.39,500,False,ORM
2021-11-04,7.2,7.3,7.15,7.3,13500,False,ORM
2021-11-08,7.28,7.28,7.28,7.28,500,False,ORM
2021-11-12,6.61,6.66,6.61,6.66,3500,False,ORM
2021-11-16,6.66,6.66,6.66,6.66,52000,False,ORM
2021-11-17,7.2,7.2,7.2,7.2,500,False,ORM
2021-11-19,6.61,6.61,6.61,6.61,500,False,ORM
2021-11-24,6.65,6.65,6.64,6.64,1000,False,ORM
2021-11-25,7.0,7.05,7.0,7.05,1000,False,ORM
2021-11-26,7.05,7.05,7.05,7.05,500,False,ORM
2021-11-29,7.0,7.0,7.0,7.0,1500,False,ORM
2021-11-30,7.3,7.3,7.1,7.17,3000,False,ORM
2021-12-07,7.01,7.01,7.01,7.01,500,False,ORM
