date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,3.86,3.95,3.82,3.84,776000,False,PACE
2021-04-27,3.85,4.4,3.8,4.17,4912500,False,PACE
2021-04-28,4.2,4.29,3.92,4.0,2791000,False,PACE
2021-04-29,4.0,4.1,3.95,4.02,975000,False,PACE
2021-04-30,4.02,4.02,3.85,3.88,225500,False,PACE
2021-05-03,3.85,3.85,3.31,3.66,276000,False,PACE
2021-05-04,3.67,3.87,3.61,3.83,526500,False,PACE
2021-05-05,3.89,3.94,3.79,3.8,330000,False,PACE
2021-05-06,3.85,3.9,3.78,3.85,552000,False,PACE
2021-05-17,3.86,4.03,3.86,4.01,1240500,False,PACE
2021-05-18,3.98,4.12,3.98,4.1,683500,False,PACE
2021-05-19,4.05,4.08,3.9,3.91,1341500,False,PACE
2021-05-20,4.1,4.43,4.0,4.3,6502000,False,PACE
2021-05-21,4.22,4.42,4.2,4.21,1631000,False,PACE
2021-05-24,4.29,4.95,4.29,4.56,15074500,False,PACE
2021-05-25,4.61,4.78,4.54,4.71,4586500,False,PACE
2021-05-26,4.7,5.38,4.63,5.26,19619000,False,PACE
2021-05-27,5.4,5.5,4.75,4.83,11271000,False,PACE
2021-05-28,4.89,5.1,4.82,4.88,3505000,False,PACE
2021-05-31,4.95,5.28,4.9,5.15,6207000,False,PACE
2021-06-01,5.44,5.57,5.2,5.27,13711500,False,PACE
2021-06-02,5.2,5.27,5.06,5.12,3532000,False,PACE
2021-06-03,5.19,5.2,5.02,5.05,2460500,False,PACE
2021-06-04,5.1,5.4,5.04,5.2,5315000,False,PACE
2021-06-07,5.25,5.5,5.21,5.42,8581500,False,PACE
2021-06-08,5.55,5.9,5.5,5.57,27979000,False,PACE
2021-06-09,5.65,5.72,5.32,5.38,6276500,False,PACE
2021-06-10,5.45,6.35,5.41,6.23,34539000,False,PACE
2021-06-11,6.25,6.7,6.1,6.37,34589000,False,PACE
2021-06-14,6.58,6.64,6.11,6.16,8959500,False,PACE
2021-06-15,6.23,6.45,5.95,6.25,9720000,False,PACE
2021-06-16,6.33,6.34,6.11,6.26,5529500,False,PACE
2021-06-17,6.22,6.54,6.07,6.21,15616500,False,PACE
2021-06-18,6.33,6.4,6.15,6.21,4114000,False,PACE
2021-06-21,6.25,6.28,5.86,5.9,6307500,False,PACE
2021-06-22,5.9,5.9,5.59,5.62,3155500,False,PACE
2021-06-23,5.6,5.93,5.6,5.85,4583000,False,PACE
2021-06-24,5.93,6.85,5.93,6.85,35667000,False,PACE
2021-06-25,7.15,7.65,6.84,6.96,45159000,False,PACE
2021-06-28,7.0,7.09,6.0,6.24,12136000,False,PACE
2021-06-29,6.22,7.24,6.07,7.06,16410500,False,PACE
2021-06-30,7.6,7.68,7.15,7.22,25988500,False,PACE
2021-07-01,7.2,7.99,7.15,7.64,29896000,False,PACE
2021-07-02,7.7,8.19,7.56,7.65,21687500,False,PACE
2021-07-05,7.65,7.82,7.3,7.59,10515500,False,PACE
2021-07-06,7.63,7.97,7.2,7.27,13515000,False,PACE
2021-07-07,7.25,7.39,7.1,7.16,4128500,False,PACE
2021-07-08,7.28,7.75,7.2,7.57,12243500,False,PACE
2021-07-09,7.65,8.17,7.42,7.88,27113500,False,PACE
2021-07-12,7.97,7.97,7.5,7.62,6029000,False,PACE
2021-07-13,7.65,7.93,7.54,7.59,4970500,False,PACE
2021-07-14,7.61,7.7,7.32,7.36,3227500,False,PACE
2021-07-15,7.48,7.88,7.36,7.61,8265000,False,PACE
2021-07-16,7.7,7.95,7.56,7.74,6863000,False,PACE
2021-07-19,7.89,8.03,7.72,7.77,7109500,False,PACE
2021-07-23,7.94,8.44,7.77,8.14,22591000,False,PACE
2021-07-26,8.29,8.35,8.0,8.03,7423000,False,PACE
2021-07-27,8.0,8.1,7.65,7.67,4476500,False,PACE
2021-07-28,7.8,7.88,7.35,7.41,5038000,False,PACE
2021-07-29,7.5,7.5,7.09,7.2,4605000,False,PACE
2021-07-30,7.3,7.5,7.05,7.16,4310000,False,PACE
2021-08-02,7.15,7.35,7.1,7.16,3084500,False,PACE
2021-08-03,7.18,7.69,7.17,7.42,8944500,False,PACE
2021-08-04,7.49,8.05,7.49,7.8,20237000,False,PACE
2021-08-05,7.78,7.95,7.51,7.6,2869000,False,PACE
2021-08-06,7.55,7.8,7.35,7.42,1979500,False,PACE
2021-08-09,7.55,7.77,7.1,7.16,2518000,False,PACE
2021-08-10,7.34,7.34,7.01,7.15,2222500,False,PACE
2021-08-11,7.3,7.55,7.15,7.34,4283000,False,PACE
2021-08-12,7.37,7.37,7.14,7.17,1187000,False,PACE
2021-08-13,7.28,7.28,7.1,7.12,859000,False,PACE
2021-08-16,7.07,7.2,6.85,6.91,1083500,False,PACE
2021-08-17,7.0,7.17,7.0,7.07,530500,False,PACE
2021-08-20,7.18,7.19,7.01,7.06,1418500,False,PACE
2021-08-23,7.18,7.41,7.06,7.26,2939500,False,PACE
2021-08-24,7.2,7.55,7.1,7.25,5690500,False,PACE
2021-08-25,7.3,7.39,7.16,7.18,1199500,False,PACE
2021-08-26,7.28,7.27,6.88,6.97,2525500,True,PACE
2021-08-27,7.0,7.0,6.72,6.75,2362500,False,PACE
2021-08-30,6.82,6.98,6.76,6.82,1832500,False,PACE
2021-08-31,6.95,7.06,6.85,6.87,2432500,False,PACE
2021-09-01,6.86,7.0,6.6,6.85,1792500,False,PACE
2021-09-02,6.94,6.94,6.7,6.73,1589500,False,PACE
2021-09-03,6.75,6.89,6.63,6.65,1539000,False,PACE
2021-09-06,6.67,7.15,6.67,6.93,5911000,False,PACE
2021-09-07,7.04,7.04,6.69,6.72,4786500,False,PACE
2021-09-08,6.75,6.8,6.65,6.73,1712500,False,PACE
2021-09-09,6.83,6.83,6.62,6.63,2313500,False,PACE
2021-09-10,6.64,6.7,6.3,6.42,1557500,False,PACE
2021-09-13,6.49,6.6,6.35,6.36,1414500,False,PACE
2021-09-14,6.52,6.52,5.93,6.42,3477500,False,PACE
2021-09-15,6.37,6.39,6.1,6.13,755500,False,PACE
2021-09-16,6.09,6.15,5.93,5.98,1840500,False,PACE
2021-09-17,6.09,6.2,5.95,5.98,2468000,False,PACE
2021-09-20,6.04,6.18,5.82,5.87,805000,False,PACE
2021-09-21,5.98,5.99,5.57,5.71,1690000,False,PACE
2021-09-22,5.67,5.71,4.85,5.17,3454500,False,PACE
2021-09-23,5.17,5.34,4.55,4.73,7469500,False,PACE
2021-09-24,4.85,5.13,4.6,4.87,2520000,False,PACE
2021-09-27,4.93,4.94,4.14,4.49,1276500,False,PACE
2021-09-28,4.74,5.04,4.52,4.96,2477500,False,PACE
2021-09-29,5.15,5.25,4.65,4.75,2044500,False,PACE
2021-09-30,4.65,4.94,4.55,4.91,602000,False,PACE
2021-10-01,4.9,4.98,4.75,4.8,667500,False,PACE
2021-10-04,4.7,4.94,4.65,4.9,1724500,False,PACE
2021-10-05,4.91,5.34,4.91,5.01,3692500,False,PACE
2021-10-06,5.01,5.09,4.8,4.82,704500,False,PACE
2021-10-07,4.9,4.96,4.76,4.8,793000,False,PACE
2021-10-08,4.8,4.9,4.6,4.65,583500,False,PACE
2021-10-11,4.62,4.74,4.2,4.27,1131000,False,PACE
2021-10-12,4.3,4.37,4.0,4.19,1149500,False,PACE
2021-10-13,4.33,4.68,4.03,4.12,2534000,False,PACE
2021-10-14,4.27,4.7,4.05,4.53,3284500,False,PACE
2021-10-15,4.6,4.7,4.3,4.38,1766500,False,PACE
2021-10-18,4.26,4.44,4.11,4.2,1675000,False,PACE
2021-10-20,4.12,4.4,4.12,4.36,1413000,False,PACE
2021-10-21,4.44,4.44,4.14,4.17,1629000,False,PACE
2021-10-22,4.3,4.3,4.06,4.14,720000,False,PACE
2021-10-25,4.2,4.2,4.06,4.1,283500,False,PACE
2021-10-26,4.1,4.16,4.07,4.12,260500,False,PACE
2021-10-27,4.1,4.3,4.1,4.15,933500,False,PACE
2021-10-28,4.15,4.28,4.11,4.22,699000,False,PACE
2021-10-29,4.18,4.23,4.05,4.1,1038500,False,PACE
2021-11-01,4.18,4.42,4.13,4.35,1693000,False,PACE
2021-11-02,4.43,4.55,4.29,4.4,2196000,False,PACE
2021-11-03,4.4,4.65,4.3,4.5,2034000,False,PACE
2021-11-04,4.5,5.5,4.5,5.5,15602500,False,PACE
2021-11-05,5.74,6.15,5.4,5.72,13003500,False,PACE
2021-11-08,5.7,6.02,5.54,5.64,3642500,False,PACE
2021-11-09,5.69,5.64,5.14,5.24,3728000,True,PACE
2021-11-10,5.24,5.4,4.98,5.21,1073500,False,PACE
2021-11-11,5.16,5.25,4.85,4.92,1638500,False,PACE
2021-11-12,4.99,4.99,4.65,4.71,1852000,False,PACE
2021-11-15,4.71,5.34,4.65,5.09,3351500,False,PACE
2021-11-16,5.1,5.29,5.0,5.15,1074000,False,PACE
2021-11-17,5.06,5.15,4.9,4.98,1195000,False,PACE
2021-11-18,5.09,5.09,4.79,4.87,770500,False,PACE
2021-11-19,5.0,5.0,4.75,4.8,889500,False,PACE
2021-11-22,4.8,4.8,4.57,4.61,680000,False,PACE
2021-11-23,4.74,4.74,4.46,4.5,716500,False,PACE
2021-11-24,4.4,4.54,4.2,4.24,1421500,False,PACE
2021-11-25,4.24,4.35,4.21,4.25,1329000,False,PACE
2021-11-26,4.3,4.4,4.1,4.21,1059500,False,PACE
2021-11-29,4.2,4.33,4.1,4.29,667000,False,PACE
2021-11-30,4.38,4.78,4.35,4.65,4180000,False,PACE
2021-12-01,4.78,4.93,4.66,4.73,1655000,False,PACE
2021-12-02,4.83,4.83,4.04,4.14,3812000,False,PACE
2021-12-03,4.17,4.28,3.9,4.04,1968000,False,PACE
2021-12-06,4.25,4.25,3.97,3.99,1221000,False,PACE
2021-12-07,4.0,4.26,3.97,4.18,1001000,False,PACE
2021-12-08,4.12,4.29,3.98,4.03,2262000,False,PACE
2021-12-09,4.02,4.04,3.88,3.9,1692500,False,PACE
2021-12-10,3.8,3.9,3.7,3.71,933500,False,PACE
2021-12-13,3.68,3.7,3.26,3.33,696000,False,PACE
2021-12-14,3.33,3.55,3.1,3.48,3298500,False,PACE
2021-12-15,3.81,4.1,3.6,3.98,4196000,False,PACE
2021-12-16,4.0,4.0,3.73,3.78,1459000,False,PACE
2021-12-17,3.94,3.95,3.4,3.81,1665500,False,PACE
2021-12-20,3.91,4.08,3.81,3.88,1188500,False,PACE
2021-12-21,3.96,4.05,3.82,3.84,896000,False,PACE
2021-12-22,3.82,3.9,3.74,3.76,516500,False,PACE
