date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,2.4,3.15,2.06,2.41,15000,False,PAKMI
2021-04-27,2.4,2.4,2.4,2.4,2000,False,PAKMI
2021-04-30,2.25,2.29,2.25,2.29,2500,False,PAKMI
2021-05-05,2.15,2.15,2.15,2.15,1500,False,PAKMI
2021-05-06,2.15,2.99,1.91,2.03,50500,False,PAKMI
2021-05-17,2.45,2.49,2.08,2.26,6000,False,PAKMI
2021-05-18,2.02,2.19,2.02,2.19,1000,False,PAKMI
2021-05-19,2.3,2.3,1.87,2.18,4500,False,PAKMI
2021-05-20,2.38,2.38,2.14,2.3,2000,False,PAKMI
2021-05-21,2.3,2.49,2.01,2.28,8500,False,PAKMI
2021-05-24,2.3,2.5,2.24,2.5,17500,False,PAKMI
2021-05-25,2.5,3.3,2.5,2.99,176500,False,PAKMI
2021-05-26,3.17,3.17,2.85,3.0,18500,False,PAKMI
2021-05-27,3.05,3.1,2.3,2.61,38500,False,PAKMI
2021-05-28,2.4,3.1,2.4,2.88,17500,False,PAKMI
2021-05-31,2.85,3.1,2.85,3.0,8000,False,PAKMI
2021-06-01,2.9,2.95,2.8,2.83,2500,False,PAKMI
2021-06-02,3.1,3.15,2.48,2.67,38000,False,PAKMI
2021-06-03,3.1,3.2,2.82,3.12,111500,False,PAKMI
2021-06-04,3.3,4.0,3.22,3.44,94500,False,PAKMI
2021-06-07,3.4,3.4,2.62,3.26,61000,False,PAKMI
2021-06-08,3.0,3.31,2.9,3.15,12000,False,PAKMI
2021-06-09,2.88,3.15,2.88,2.98,27500,False,PAKMI
2021-06-10,3.2,3.2,2.8,3.07,15000,False,PAKMI
2021-06-11,3.15,3.15,2.9,2.99,17500,False,PAKMI
2021-06-14,2.8,2.94,2.8,2.84,8000,False,PAKMI
2021-06-15,2.8,2.9,2.65,2.68,10000,False,PAKMI
2021-06-16,2.9,3.6,2.9,3.24,110500,False,PAKMI
2021-06-17,3.5,3.9,3.41,3.85,200500,False,PAKMI
2021-06-18,4.15,4.15,3.4,3.6,25000,False,PAKMI
2021-06-21,3.98,3.98,3.25,3.62,59500,False,PAKMI
2021-06-22,3.6,4.2,3.6,3.76,123500,False,PAKMI
2021-06-23,4.0,4.0,3.5,3.51,65000,False,PAKMI
2021-06-24,3.51,3.7,3.42,3.7,19000,False,PAKMI
2021-06-25,3.5,3.65,3.5,3.5,70500,False,PAKMI
2021-06-28,3.5,3.55,3.26,3.34,16000,False,PAKMI
2021-06-29,3.6,3.6,3.53,3.53,1000,False,PAKMI
2021-06-30,3.53,3.53,3.5,3.5,12000,False,PAKMI
2021-07-01,3.95,3.95,3.5,3.6,15500,False,PAKMI
2021-07-02,3.7,3.7,3.61,3.7,3000,False,PAKMI
