date,open,high,low,close,volume,is_anomaly,ticker
2025-12-31,19.82,19.82,19.82,19.82,612298,False,PAKQATAR
2026-01-01,21.8,21.8,21.8,21.8,718151,False,PAKQATAR
2026-01-02,23.98,23.98,23.01,23.98,35325054,False,PAKQATAR
2026-01-05,23.98,24.1,22.6,22.95,6866176,False,PAKQATAR
2026-01-06,22.46,24.5,22.46,23.7,5628914,False,PAKQATAR
2026-01-07,23.71,24.75,23.26,24.29,4968639,False,PAKQATAR
2026-01-08,24.4,24.5,23.72,23.77,1788877,False,PAKQATAR
2026-01-09,23.7,23.97,23.3,23.38,1270121,False,PAKQATAR
2026-01-12,23.3,23.45,22.99,23.01,809905,False,PAKQATAR
2026-01-13,23.01,23.5,22.5,23.24,1815737,False,PAKQATAR
2026-01-14,23.29,23.29,21.75,22.15,1596914,False,PAKQATAR
2026-01-15,22.47,22.9,21.91,22.06,1437744,False,PAKQATAR
2026-01-16,22.65,22.65,22.0,22.34,1036283,False,PAKQATAR
2026-01-19,22.34,22.7,22.0,22.22,1472826,False,PAKQATAR
2026-01-20,22.49,22.49,21.95,22.03,4420677,False,PAKQATAR
2026-01-21,22.15,23.45,22.01,22.94,3461463,False,PAKQATAR
2026-01-22,23.1,23.9,22.86,23.62,3688923,False,PAKQATAR
2026-01-23,23.7,24.05,23.09,23.47,1629840,False,PAKQATAR
2026-01-26,23.47,24.2,22.8,22.95,1011624,False,PAKQATAR
2026-01-27,22.8,23.1,22.61,22.66,400491,False,PAKQATAR
2026-01-28,22.99,22.99,22.6,22.67,252089,False,PAKQATAR
2026-01-29,22.88,22.89,21.7,21.87,789684,False,PAKQATAR
2026-01-30,22.2,22.39,21.9,21.98,296801,False,PAKQATAR
2026-02-02,22.0,22.18,21.55,21.64,529504,False,PAKQATAR
2026-02-03,21.89,22.0,21.7,21.9,170514,False,PAKQATAR
2026-02-04,22.05,22.35,21.79,22.1,432798,False,PAKQATAR
2026-02-06,22.1,22.38,21.81,21.94,318833,False,PAKQATAR
2026-02-09,22.12,23.69,21.95,22.55,3015852,False,PAKQATAR
2026-02-10,22.71,22.83,21.95,22.0,888580,False,PAKQATAR
2026-02-11,21.9,22.9,21.02,21.19,1391765,False,PAKQATAR
2026-02-12,21.39,21.39,20.31,20.74,492226,False,PAKQATAR
2026-02-13,20.6,20.97,20.32,20.65,194079,False,PAKQATAR
2026-02-16,20.75,20.75,19.8,20.13,362220,False,PAKQATAR
2026-02-17,20.7,21.47,18.75,19.3,996959,False,PAKQATAR
2026-02-18,19.71,20.0,19.26,19.88,272232,False,PAKQATAR
2026-02-19,19.88,20.29,18.91,19.13,257380,False,PAKQATAR
2026-02-20,19.01,19.48,18.25,18.61,330246,False,PAKQATAR
2026-02-23,18.35,18.99,17.1,17.64,368354,False,PAKQATAR
2026-02-24,17.12,18.49,17.0,17.26,792260,False,PAKQATAR
2026-02-25,17.49,17.5,16.9,17.14,183215,False,PAKQATAR
2026-02-26,17.13,18.85,17.13,18.55,278737,False,PAKQATAR
2026-02-27,18.49,18.49,17.51,18.13,159189,False,PAKQATAR
2026-03-02,16.8,17.5,16.32,16.37,621490,False,PAKQATAR
2026-03-03,16.2,18.01,15.6,17.4,247958,False,PAKQATAR
2026-03-04,17.55,17.9,16.72,16.96,356016,False,PAKQATAR
2026-03-05,17.0,17.3,16.96,17.25,206370,False,PAKQATAR
2026-03-06,17.99,17.99,16.83,16.91,90537,False,PAKQATAR
2026-03-09,16.79,16.79,15.24,15.78,338117,False,PAKQATAR
2026-03-10,16.16,17.34,16.16,16.92,127762,False,PAKQATAR
