date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,26.2,26.2,26.2,26.2,2000,False,PAKRI
2021-04-27,26.0,26.0,26.0,26.0,3000,False,PAKRI
2021-04-29,25.32,26.0,25.01,25.82,19500,False,PAKRI
2021-04-30,25.11,25.25,24.5,24.85,48500,False,PAKRI
2021-05-03,25.0,25.34,24.7,24.98,11500,False,PAKRI
2021-05-04,25.4,26.25,25.4,25.87,64500,False,PAKRI
2021-05-05,24.99,25.12,23.37,25.0,51000,False,PAKRI
2021-05-06,25.0,25.0,24.64,24.99,7000,False,PAKRI
2021-05-17,25.02,25.89,24.78,25.89,22500,False,PAKRI
2021-05-18,25.25,25.66,25.15,25.66,48500,False,PAKRI
2021-05-21,25.5,25.5,25.15,25.15,2000,False,PAKRI
2021-05-24,25.11,25.11,24.78,24.8,143500,False,PAKRI
2021-05-25,25.48,25.48,24.75,24.88,43500,False,PAKRI
2021-05-26,24.51,25.0,24.51,24.91,220000,False,PAKRI
2021-05-27,24.99,25.0,24.9,24.9,169000,False,PAKRI
2021-05-28,24.71,24.9,24.71,24.81,88500,False,PAKRI
2021-05-31,24.99,25.0,24.8,24.85,83500,False,PAKRI
2021-06-01,25.0,25.0,24.35,24.9,65000,False,PAKRI
2021-06-02,24.93,25.0,24.93,25.0,351000,False,PAKRI
2021-06-03,24.99,25.0,24.99,24.99,77500,False,PAKRI
2021-06-04,24.6,24.89,24.4,24.89,78500,False,PAKRI
2021-06-07,24.72,24.72,24.7,24.7,1000,False,PAKRI
2021-06-08,24.75,24.75,24.61,24.65,52000,False,PAKRI
2021-06-09,24.7,24.97,24.5,24.5,31000,False,PAKRI
2021-06-10,24.52,24.65,24.5,24.5,23000,False,PAKRI
2021-06-11,24.7,24.7,24.41,24.41,16000,False,PAKRI
2021-06-14,24.7,24.98,24.52,24.94,6500,False,PAKRI
2021-06-15,25.0,25.0,24.5,24.55,25000,False,PAKRI
2021-06-16,24.77,24.77,24.55,24.55,2500,False,PAKRI
2021-06-18,24.51,24.95,24.51,24.95,2000,False,PAKRI
2021-06-21,24.98,25.29,24.55,24.95,37500,False,PAKRI
2021-06-22,24.42,25.0,24.42,24.65,15500,False,PAKRI
2021-06-23,24.53,24.53,24.25,24.4,17500,False,PAKRI
2021-06-24,24.9,24.9,24.55,24.65,7000,False,PAKRI
2021-06-25,24.7,25.0,24.35,24.53,33000,False,PAKRI
2021-06-28,24.21,24.21,24.2,24.21,1000,False,PAKRI
2021-06-30,24.25,24.5,24.2,24.33,13500,False,PAKRI
2021-07-01,24.4,24.74,24.25,24.74,14000,False,PAKRI
2021-07-02,24.36,24.74,24.12,24.25,35500,False,PAKRI
2021-07-05,24.16,24.5,24.15,24.44,16500,False,PAKRI
2021-07-06,24.3,24.3,24.1,24.1,5500,False,PAKRI
2021-07-07,24.02,24.1,24.02,24.1,2000,False,PAKRI
2021-07-08,24.08,24.55,24.02,24.55,9500,False,PAKRI
