date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,1.15,1.17,1.1,1.13,427500,False,PASL
2021-04-27,1.13,1.14,1.07,1.08,698000,False,PASL
2021-04-28,1.1,1.13,1.04,1.06,1492000,False,PASL
2021-04-29,1.07,1.1,1.05,1.06,373000,False,PASL
2021-04-30,1.13,1.13,1.01,1.03,812500,False,PASL
2021-05-03,1.03,1.08,1.02,1.06,132500,False,PASL
2021-05-04,1.1,1.1,1.04,1.06,84500,False,PASL
2021-05-05,1.1,1.12,1.08,1.1,209500,False,PASL
2021-05-06,1.12,1.13,1.02,1.08,219500,False,PASL
2021-05-17,1.12,1.19,1.1,1.16,344500,False,PASL
2021-05-18,1.18,1.2,1.11,1.14,374000,False,PASL
2021-05-19,1.17,1.21,1.15,1.19,307000,False,PASL
2021-05-20,1.2,1.31,1.19,1.25,1513500,False,PASL
2021-05-21,1.28,1.38,1.25,1.37,3085500,False,PASL
2021-05-24,1.37,1.55,1.34,1.48,5180000,False,PASL
2021-05-25,1.45,1.6,1.45,1.57,3305000,False,PASL
2021-05-26,1.6,1.92,1.59,1.86,20531500,False,PASL
2021-05-27,1.9,2.0,1.56,1.61,22992000,False,PASL
2021-05-28,1.7,1.7,1.55,1.6,2274000,False,PASL
2021-05-31,1.69,1.7,1.58,1.65,4137000,False,PASL
2021-06-01,1.73,1.95,1.59,1.9,10859500,False,PASL
2021-06-02,1.96,2.11,1.85,1.91,11340000,False,PASL
2021-06-03,2.0,2.0,1.82,1.86,5168000,False,PASL
2021-06-04,1.62,1.86,1.28,1.52,26533500,False,PASL
2021-06-07,1.55,1.59,1.35,1.38,7885000,False,PASL
2021-06-08,1.44,1.53,1.31,1.48,4968000,False,PASL
2021-06-09,1.49,1.55,1.43,1.47,2847500,False,PASL
2021-06-10,1.48,1.54,1.42,1.48,2093000,False,PASL
2021-06-11,1.54,1.65,1.48,1.58,4968000,False,PASL
2021-06-14,1.64,1.64,1.53,1.55,2380000,False,PASL
2021-06-15,1.59,1.59,1.43,1.46,2041500,False,PASL
2021-06-16,1.5,1.59,1.4,1.57,2415500,False,PASL
2021-06-17,1.57,1.64,1.51,1.55,2494000,False,PASL
2021-06-18,1.58,1.58,1.49,1.5,1135000,False,PASL
2021-06-21,1.56,1.59,1.5,1.54,1101000,False,PASL
2021-06-22,1.5,1.57,1.48,1.48,777000,False,PASL
