date,open,high,low,close,volume,is_anomaly,ticker
2021-05-19,5.75,5.75,5.75,5.75,1000,False,PIM
2021-05-27,5.1,5.1,5.1,5.1,1000,False,PIM
2021-06-04,4.63,5.68,4.6,5.38,16500,False,PIM
2021-06-07,4.72,5.38,4.72,5.38,1000,False,PIM
2021-06-08,4.75,5.45,4.73,5.45,5500,False,PIM
2021-06-09,5.5,5.85,5.5,5.5,8000,False,PIM
2021-06-10,5.8,5.88,5.5,5.64,10500,False,PIM
2021-06-11,5.64,5.98,5.64,5.98,4000,False,PIM
2021-06-14,5.65,5.98,5.64,5.85,3000,False,PIM
2021-06-15,6.0,6.42,5.5,5.5,6000,False,PIM
2021-06-16,5.5,6.24,5.5,6.24,2500,False,PIM
2021-06-17,5.24,6.15,5.24,5.75,2000,False,PIM
2021-06-18,5.75,5.75,5.75,5.75,500,False,PIM
2021-06-21,5.6,6.33,5.6,6.33,2500,False,PIM
2021-06-23,6.3,6.34,5.75,6.21,6500,False,PIM
2021-06-24,6.05,6.05,6.01,6.01,1000,False,PIM
2021-06-25,5.75,5.75,5.75,5.75,1000,False,PIM
2021-06-30,4.77,6.5,4.77,6.33,47000,False,PIM
2021-07-01,6.19,6.19,5.51,6.18,1500,False,PIM
2021-07-02,6.25,6.4,6.25,6.37,7500,False,PIM
2021-07-06,6.0,6.0,6.0,6.0,3000,False,PIM
2021-07-07,6.0,6.45,6.0,6.0,21000,False,PIM
2021-07-08,5.5,6.2,5.25,6.19,14000,False,PIM
2021-07-09,5.55,6.15,5.55,6.15,1500,False,PIM
2021-07-12,6.15,7.15,5.75,6.89,14500,False,PIM
2021-07-13,6.5,6.5,6.5,6.5,4000,False,PIM
2021-07-14,6.9,7.05,6.0,6.63,60000,False,PIM
2021-07-15,6.1,6.88,6.1,6.54,6500,False,PIM
2021-07-16,7.0,7.04,6.5,6.52,5000,False,PIM
2021-07-19,7.0,7.24,6.15,7.04,15000,False,PIM
2021-07-23,6.5,7.69,6.04,6.63,16000,False,PIM
2021-07-26,6.35,6.99,6.35,6.89,14000,False,PIM
2021-07-27,6.9,6.99,6.5,6.5,16000,False,PIM
2021-07-28,6.8,6.89,6.8,6.89,4500,False,PIM
2021-07-30,6.88,6.88,6.88,6.88,500,False,PIM
2021-08-02,6.04,6.6,6.04,6.27,3000,False,PIM
2021-08-03,6.77,7.27,6.12,7.19,50500,False,PIM
2021-08-04,6.7,7.84,6.7,7.45,8000,False,PIM
2021-08-05,7.65,8.14,6.85,7.13,36000,False,PIM
2021-08-06,6.73,7.78,6.73,7.4,50500,False,PIM
2021-08-09,6.62,7.65,6.4,7.0,8500,False,PIM
2021-08-11,7.0,8.0,7.0,8.0,24000,False,PIM
2021-08-12,8.5,9.0,8.5,9.0,43000,False,PIM
2021-08-13,10.0,10.0,10.0,10.0,13000,False,PIM
2021-08-16,11.0,11.0,11.0,11.0,5000,False,PIM
2021-08-17,12.0,12.0,12.0,12.0,9000,False,PIM
2021-08-20,13.0,13.0,13.0,13.0,5500,False,PIM
2021-08-23,14.0,14.0,14.0,14.0,3500,False,PIM
2021-08-24,15.05,15.05,15.05,15.05,5000,False,PIM
2021-08-25,16.17,16.17,16.17,16.17,5000,False,PIM
2021-08-26,17.38,17.38,14.96,14.96,36000,False,PIM
2021-08-27,13.84,13.84,13.84,13.84,4500,False,PIM
2021-08-30,12.81,12.81,12.81,12.81,1500,False,PIM
2021-08-31,11.81,11.81,11.81,11.81,16500,False,PIM
2021-09-01,10.81,10.81,10.81,10.81,3500,False,PIM
2021-09-02,9.81,11.81,9.81,11.81,104500,False,PIM
2021-09-03,11.4,12.81,11.4,12.81,44000,False,PIM
2021-09-06,13.79,13.81,13.11,13.81,35000,False,PIM
2021-09-07,14.84,14.84,14.79,14.84,41000,False,PIM
2021-09-08,15.95,15.95,15.9,15.95,17500,False,PIM
2021-09-09,17.14,17.14,17.14,17.14,12000,False,PIM
2021-09-10,18.29,18.42,17.14,18.41,17500,False,PIM
2021-09-13,19.79,19.79,19.79,19.79,9500,False,PIM
2021-09-14,21.27,21.27,21.27,21.27,4000,False,PIM
2021-09-15,22.86,22.86,22.86,22.86,9000,False,PIM
2021-09-16,24.14,24.57,21.15,23.43,69000,False,PIM
2021-09-17,25.15,25.15,21.68,21.81,15000,False,PIM
2021-09-20,21.1,21.1,20.18,20.18,6500,False,PIM
2021-09-21,20.12,21.67,18.67,18.67,19500,False,PIM
2021-09-22,17.5,17.5,17.5,17.5,5500,False,PIM
2021-09-23,16.19,16.19,16.19,16.19,1000,False,PIM
2021-09-24,14.98,14.98,14.98,14.98,1500,False,PIM
2021-09-27,16.0,16.0,13.86,13.86,4000,False,PIM
2021-09-28,14.74,14.89,12.91,14.89,24000,False,PIM
2021-09-29,16.0,16.0,13.95,14.4,10000,False,PIM
2021-09-30,14.79,15.48,14.1,14.58,11000,False,PIM
2021-10-01,15.43,15.43,15.43,15.43,500,False,PIM
2021-10-04,15.0,15.0,15.0,15.0,500,False,PIM
2021-10-07,13.88,14.0,13.88,14.0,4000,False,PIM
2021-10-08,12.95,12.95,12.95,12.95,1000,False,PIM
2021-10-11,11.95,13.95,11.95,13.95,5000,False,PIM
2021-10-12,13.0,13.0,12.95,12.95,1000,False,PIM
2021-10-15,11.7,13.45,11.55,12.67,16500,False,PIM
2021-10-18,12.77,12.78,12.77,12.78,1500,False,PIM
2021-10-20,12.8,12.95,12.8,12.95,1000,False,PIM
2021-10-22,13.74,13.74,11.95,11.95,2000,False,PIM
2021-10-25,0.0,0.0,0.0,11.95,0,True,PIM
2021-10-29,10.95,12.95,10.95,12.95,3500,False,PIM
2021-11-01,13.1,13.2,13.0,13.2,3000,False,PIM
2021-11-02,13.5,13.8,13.5,13.8,3000,False,PIM
2021-11-03,14.83,14.83,12.77,12.92,13000,False,PIM
2021-11-04,12.92,12.92,12.92,12.92,500,False,PIM
2021-11-05,12.92,13.92,12.92,13.92,2000,False,PIM
2021-11-08,13.92,13.92,13.0,13.0,1000,False,PIM
2021-11-09,13.0,13.0,13.0,13.0,500,False,PIM
2021-11-10,12.98,12.98,12.1,12.1,1500,False,PIM
2021-11-11,12.99,13.1,11.11,11.11,8000,False,PIM
2021-11-12,10.12,11.0,10.12,10.58,1500,False,PIM
2021-11-15,10.58,10.58,10.58,10.58,1000,False,PIM
2021-11-16,11.5,11.58,11.5,11.58,4000,False,PIM
2021-11-17,12.0,12.58,11.11,11.31,6500,False,PIM
2021-11-18,12.31,12.31,12.31,12.31,1000,False,PIM
2021-11-19,13.3,13.31,11.31,11.31,5500,False,PIM
2021-11-24,12.25,12.31,12.0,12.29,4000,False,PIM
2021-11-25,13.29,13.29,13.29,13.29,500,False,PIM
2021-11-26,14.29,14.29,13.29,14.29,1000,False,PIM
2021-12-03,15.36,15.36,13.22,13.65,4000,False,PIM
2021-12-07,12.65,12.65,12.65,12.65,500,False,PIM
2021-12-08,13.65,13.65,11.7,11.7,3000,False,PIM
2021-12-09,11.7,11.7,11.7,11.7,500,False,PIM
2021-12-14,12.65,12.69,12.65,12.69,1000,False,PIM
2021-12-15,13.0,13.0,11.69,11.69,1000,False,PIM
2021-12-16,10.69,10.69,10.69,10.69,500,False,PIM
2021-12-17,9.85,9.85,9.85,9.85,500,False,PIM
2021-12-20,10.85,10.85,10.85,10.85,6000,False,PIM
2021-12-21,11.5,11.5,11.5,11.5,500,False,PIM
2021-12-23,10.8,11.8,10.8,11.8,1000,False,PIM
2021-12-28,12.4,12.4,12.4,12.4,500,False,PIM
2022-01-06,12.4,12.99,11.5,11.5,16000,False,PIM
2022-01-07,10.6,12.2,10.51,12.2,2500,False,PIM
2022-01-10,11.2,12.35,11.2,11.92,2500,False,PIM
2022-01-12,12.25,12.25,11.05,11.05,1000,False,PIM
2022-01-13,11.8,12.05,11.8,12.05,1000,False,PIM
