date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,2.62,3.39,2.62,3.39,7000,False,PKGI
2021-04-27,2.63,3.29,2.63,3.29,1000,False,PKGI
2021-04-28,3.34,3.35,3.34,3.35,1000,False,PKGI
2021-04-29,2.55,3.0,2.55,2.8,8500,False,PKGI
2021-04-30,3.15,3.8,3.06,3.06,24000,False,PKGI
2021-05-03,3.2,3.2,3.2,3.2,500,False,PKGI
2021-05-05,3.01,3.01,3.01,3.01,7000,False,PKGI
2021-05-06,3.46,3.5,3.4,3.48,43500,False,PKGI
2021-05-17,3.44,3.48,3.44,3.48,3500,False,PKGI
2021-05-18,4.0,4.0,3.5,3.5,47500,False,PKGI
2021-05-19,3.5,3.84,3.5,3.51,8000,False,PKGI
2021-05-20,3.51,3.51,3.5,3.5,105500,False,PKGI
2021-05-21,3.51,3.6,3.5,3.57,50500,False,PKGI
2021-05-24,3.49,3.49,3.49,3.49,500,False,PKGI
2021-05-25,3.78,3.78,3.78,3.78,1000,False,PKGI
2021-05-26,3.88,4.0,3.63,3.73,73000,False,PKGI
2021-05-27,3.89,3.95,3.73,3.95,20500,False,PKGI
2021-05-28,3.9,3.9,3.9,3.9,4500,False,PKGI
2021-05-31,3.9,3.9,3.9,3.9,18500,False,PKGI
2021-06-01,3.2,4.9,3.16,4.9,199500,False,PKGI
2021-06-02,5.1,5.7,5.05,5.58,169500,False,PKGI
2021-06-03,5.6,5.69,4.58,4.58,350500,False,PKGI
2021-06-04,3.8,4.24,3.8,3.97,120500,False,PKGI
2021-06-07,3.62,4.25,3.62,4.1,31000,False,PKGI
2021-06-08,3.81,4.2,3.81,4.0,2500,False,PKGI
2021-06-09,3.66,3.99,3.65,3.78,44000,False,PKGI
2021-06-10,3.77,4.06,3.7,4.04,454000,False,PKGI
2021-06-11,3.98,3.99,3.7,3.99,13500,False,PKGI
2021-06-14,3.98,3.98,3.97,3.97,2000,False,PKGI
2021-06-15,3.91,3.98,3.91,3.98,14500,False,PKGI
2021-06-16,3.64,3.9,3.64,3.76,14000,False,PKGI
2021-06-17,3.9,4.44,3.9,4.35,15500,False,PKGI
2021-06-18,3.72,4.29,3.72,4.04,16000,False,PKGI
2021-06-21,4.44,4.44,4.0,4.0,6500,False,PKGI
2021-06-22,4.15,4.15,4.0,4.09,4000,False,PKGI
2021-06-23,3.14,3.99,3.14,3.99,8000,False,PKGI
