date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,23.25,23.25,21.76,23.0,386000,False,PKGP
2021-04-27,23.2,23.25,22.3,22.97,270000,False,PKGP
2021-04-28,23.48,23.7,23.0,23.01,442000,False,PKGP
2021-04-29,23.0,23.05,23.0,23.05,136500,False,PKGP
2021-04-30,23.0,23.0,21.33,21.36,306500,False,PKGP
2021-05-03,21.12,21.54,20.5,21.5,227000,False,PKGP
2021-05-04,21.5,22.48,21.5,22.0,57500,False,PKGP
2021-05-05,23.1,23.65,23.01,23.65,309000,False,PKGP
2021-05-06,24.4,25.42,23.65,25.42,586500,False,PKGP
2021-05-17,25.4,26.25,25.0,26.1,562500,False,PKGP
2021-05-18,25.26,26.25,25.26,26.2,422000,False,PKGP
2021-05-19,26.31,26.5,25.9,26.1,482000,False,PKGP
2021-05-20,26.1,26.99,26.0,26.19,356000,False,PKGP
2021-05-21,26.6,26.6,26.0,26.01,61500,False,PKGP
2021-05-24,26.0,26.0,25.75,25.96,635500,False,PKGP
2021-05-25,26.7,26.7,25.8,25.8,25500,False,PKGP
2021-05-26,25.76,26.24,25.76,26.0,15000,False,PKGP
2021-05-27,25.78,26.05,25.78,26.0,1008500,False,PKGP
2021-05-28,26.0,26.5,25.85,26.0,106500,False,PKGP
2021-05-31,26.5,27.5,26.5,27.5,141500,False,PKGP
2021-06-01,27.39,28.0,27.39,27.7,83000,False,PKGP
2021-06-02,27.21,27.37,27.13,27.13,8500,False,PKGP
2021-06-03,27.55,28.55,27.55,28.08,135000,False,PKGP
2021-06-04,27.82,29.35,27.7,27.87,21500,False,PKGP
2021-06-07,29.96,29.96,29.96,29.96,1721500,False,PKGP
2021-06-08,31.9,31.9,27.72,28.05,483500,False,PKGP
2021-06-09,28.25,30.0,28.2,29.74,333000,False,PKGP
2021-06-10,29.5,30.12,29.0,29.5,80500,False,PKGP
2021-06-11,29.05,29.5,28.49,29.47,107000,False,PKGP
2021-06-14,29.7,29.7,28.25,28.72,177000,False,PKGP
2021-06-15,29.24,29.24,28.2,28.62,39500,False,PKGP
2021-06-16,29.19,29.19,28.5,28.84,18000,False,PKGP
2021-06-17,29.18,29.18,28.0,28.34,263500,False,PKGP
2021-06-18,28.69,28.69,27.5,27.96,274500,False,PKGP
2021-06-21,28.44,28.44,27.3,27.71,30500,False,PKGP
2021-06-22,28.29,28.3,27.01,27.77,34500,False,PKGP
2021-06-23,27.97,27.97,27.35,27.89,20500,False,PKGP
2021-06-24,27.99,27.99,27.11,27.26,23000,False,PKGP
2021-06-25,27.5,27.5,26.0,26.23,121500,False,PKGP
2021-06-28,26.25,27.45,25.8,26.49,77500,False,PKGP
2021-06-29,26.73,26.73,25.0,25.24,183000,False,PKGP
2021-06-30,25.89,25.97,24.0,24.66,405000,False,PKGP
2021-07-01,24.84,25.3,24.75,25.03,133000,False,PKGP
2021-07-02,25.5,25.97,25.02,25.92,80500,False,PKGP
2021-07-05,25.75,26.4,25.51,25.68,59500,False,PKGP
2021-07-06,25.62,26.34,23.76,23.97,278500,False,PKGP
2021-07-07,23.8,24.45,23.75,24.25,142000,False,PKGP
2021-07-08,24.25,24.49,24.0,24.44,29000,False,PKGP
2021-07-09,24.3,24.6,24.3,24.36,38500,False,PKGP
2021-07-12,24.45,24.55,24.0,24.0,159000,False,PKGP
2021-07-13,24.25,25.24,24.01,25.24,164000,False,PKGP
2021-07-14,24.52,25.3,24.51,25.19,70500,False,PKGP
2021-07-15,25.09,25.4,25.0,25.0,63500,False,PKGP
2021-07-16,24.95,25.5,23.5,23.65,1182000,False,PKGP
2021-07-19,24.04,25.42,24.04,25.42,270500,False,PKGP
2021-07-23,25.9,27.31,25.85,26.9,157000,False,PKGP
2021-07-26,26.9,28.0,26.4,27.45,96000,False,PKGP
2021-07-27,28.48,28.95,27.12,28.37,1006500,False,PKGP
2021-07-28,28.96,29.5,27.5,28.1,114000,False,PKGP
2021-07-29,27.1,28.46,26.5,27.89,72000,False,PKGP
2021-07-30,27.25,27.99,26.53,27.44,85500,False,PKGP
2021-08-02,27.52,27.52,26.25,27.36,34500,False,PKGP
2021-08-03,26.75,27.2,26.7,27.15,12000,False,PKGP
2021-08-04,26.7,27.01,26.52,27.0,9500,False,PKGP
2021-08-05,26.99,27.0,26.98,27.0,10000,False,PKGP
2021-08-06,26.75,27.43,26.4,27.0,8000,False,PKGP
2021-08-09,26.75,27.0,26.05,27.0,4500,False,PKGP
2021-08-10,26.51,26.96,26.0,26.96,34500,False,PKGP
2021-08-11,26.8,26.94,26.3,26.94,4500,False,PKGP
2021-08-12,26.28,26.89,26.02,26.89,10500,False,PKGP
2021-08-16,26.25,26.88,25.81,26.85,22000,False,PKGP
2021-08-17,26.84,26.84,25.8,26.45,43500,False,PKGP
2021-08-20,26.03,26.64,25.81,26.41,19500,False,PKGP
2021-08-23,26.35,26.5,26.35,26.5,9000,False,PKGP
2021-08-24,26.5,26.5,26.25,26.49,2000,False,PKGP
2021-08-25,26.6,27.0,24.51,24.51,749500,False,PKGP
2021-08-26,24.1,24.6,23.8,24.02,286500,False,PKGP
2021-08-27,24.48,24.48,24.48,24.48,1000,False,PKGP
2021-08-30,24.5,25.0,23.75,24.54,122000,False,PKGP
2021-08-31,24.5,25.0,24.5,25.0,52500,False,PKGP
2021-09-01,25.0,25.0,25.0,25.0,5500,False,PKGP
2021-09-02,25.1,25.1,25.0,25.0,111500,False,PKGP
2021-09-03,24.55,25.15,24.55,25.13,11000,False,PKGP
2021-09-06,25.0,25.0,25.0,25.0,57500,False,PKGP
2021-09-07,25.0,25.0,24.88,24.88,4000,False,PKGP
2021-09-08,24.0,24.01,24.0,24.01,9500,False,PKGP
2021-09-09,23.8,23.8,23.8,23.8,500,False,PKGP
2021-09-10,23.52,23.59,23.25,23.35,32000,False,PKGP
2021-09-13,23.25,23.9,23.02,23.7,6000,False,PKGP
2021-09-15,23.5,23.7,23.5,23.7,20500,False,PKGP
2021-09-16,23.6,23.79,23.6,23.79,5500,False,PKGP
2021-09-17,23.51,23.51,23.5,23.5,27000,False,PKGP
2021-09-20,23.99,23.99,23.99,23.99,500,False,PKGP
2021-09-22,23.01,23.99,23.01,23.99,1500,False,PKGP
2021-09-23,23.98,23.98,23.0,23.74,5500,False,PKGP
2021-09-24,23.11,24.14,23.0,24.14,44000,False,PKGP
2021-09-27,24.0,24.4,24.0,24.25,56500,False,PKGP
2021-09-28,24.25,24.4,24.25,24.4,6000,False,PKGP
2021-09-29,23.61,24.0,23.02,23.86,20000,False,PKGP
2021-09-30,24.39,24.39,24.39,24.39,500,False,PKGP
2021-10-01,23.32,24.25,23.32,24.24,18500,False,PKGP
2021-10-05,24.0,24.0,23.55,23.7,2500,False,PKGP
2021-10-06,23.53,23.7,23.53,23.7,4000,False,PKGP
2021-10-07,23.5,23.98,23.5,23.98,11500,False,PKGP
2021-10-08,22.98,24.7,22.0,23.32,27000,False,PKGP
2021-10-11,22.25,23.5,22.0,22.76,66000,False,PKGP
2021-10-12,22.07,23.29,21.5,22.67,34500,False,PKGP
2021-10-13,21.65,22.78,21.56,22.72,42000,False,PKGP
2021-10-14,21.5,23.24,21.02,22.73,15000,False,PKGP
2021-10-15,23.67,23.68,22.21,23.25,7500,False,PKGP
2021-10-18,23.24,23.24,23.24,23.24,1500,False,PKGP
2021-10-20,23.15,23.15,23.15,23.15,7000,False,PKGP
2021-10-21,23.25,23.48,23.25,23.48,7000,False,PKGP
2021-10-22,22.31,23.45,22.31,23.45,11500,False,PKGP
2021-10-25,23.4,23.51,23.4,23.5,37000,False,PKGP
2021-10-26,22.5,22.95,22.03,22.95,22000,False,PKGP
2021-10-27,22.13,23.0,22.13,23.0,3500,False,PKGP
2021-10-28,22.79,22.79,22.5,22.5,7500,False,PKGP
2021-10-29,23.0,23.0,22.4,23.0,24000,False,PKGP
2021-11-01,22.5,22.7,22.5,22.65,27000,False,PKGP
2021-11-02,22.5,23.0,22.5,23.0,29000,False,PKGP
2021-11-04,22.4,22.77,22.4,22.59,5500,False,PKGP
2021-11-05,22.7,22.7,22.5,22.57,1500,False,PKGP
2021-11-08,22.25,22.56,22.25,22.5,9000,False,PKGP
2021-11-09,22.51,22.9,22.25,22.5,77500,False,PKGP
2021-11-12,22.5,23.25,22.5,23.25,2000,False,PKGP
2021-11-16,23.0,24.99,23.0,24.99,1104000,False,PKGP
2021-11-17,25.88,26.74,24.51,26.44,84500,False,PKGP
2021-11-18,26.25,26.7,25.5,25.5,29500,False,PKGP
2021-11-19,25.5,26.5,25.5,26.5,1110500,False,PKGP
2021-11-23,25.5,25.99,25.5,25.5,46500,False,PKGP
2021-11-24,25.0,25.5,25.0,25.2,6000,False,PKGP
2021-11-25,25.0,25.1,25.0,25.1,4500,False,PKGP
2021-11-26,25.0,26.4,24.3,25.83,30000,False,PKGP
2021-11-29,25.75,26.5,25.75,26.41,78000,False,PKGP
2021-11-30,26.9,28.0,26.11,27.54,1593500,False,PKGP
2021-12-01,27.5,28.49,26.75,26.78,11500,False,PKGP
2021-12-02,26.75,26.75,26.26,26.26,10500,False,PKGP
2021-12-03,25.0,25.0,24.5,24.51,5500,False,PKGP
2021-12-06,25.0,25.0,25.0,25.0,500,False,PKGP
2021-12-07,25.0,25.5,25.0,25.5,34500,False,PKGP
2021-12-08,25.0,25.5,25.0,25.0,9000,False,PKGP
2021-12-09,25.0,26.0,25.0,25.09,37500,False,PKGP
2021-12-10,25.0,25.5,25.0,25.5,11000,False,PKGP
2021-12-13,25.75,26.0,25.5,25.82,59500,False,PKGP
2021-12-14,25.51,25.51,25.4,25.4,7500,False,PKGP
2021-12-15,25.55,26.49,25.55,26.0,7500,False,PKGP
2021-12-16,26.25,26.8,26.25,26.41,48500,False,PKGP
2021-12-17,26.5,28.39,24.7,25.09,235000,False,PKGP
2021-12-20,25.2,25.79,25.09,25.11,49000,False,PKGP
2021-12-21,25.01,25.69,25.01,25.26,28500,False,PKGP
2021-12-22,25.26,25.26,24.0,24.06,20000,False,PKGP
2021-12-23,24.05,24.11,24.0,24.1,17000,False,PKGP
2021-12-24,24.0,24.0,23.8,24.0,15500,False,PKGP
2021-12-27,24.3,24.4,24.15,24.15,3500,False,PKGP
2021-12-28,24.15,24.16,24.15,24.16,3500,False,PKGP
2021-12-29,24.16,24.7,23.8,24.04,14000,False,PKGP
2021-12-30,24.0,24.0,23.9,23.9,5500,False,PKGP
2021-12-31,23.8,24.2,23.8,24.0,5500,False,PKGP
2022-01-03,24.05,24.1,24.0,24.05,33500,False,PKGP
2022-01-04,24.0,24.1,23.95,23.98,47000,False,PKGP
2022-01-05,23.99,24.7,23.99,24.42,12500,False,PKGP
2022-01-06,24.3,24.3,24.3,24.3,500,False,PKGP
2022-01-07,24.95,24.95,24.95,24.95,500,False,PKGP
2022-01-10,24.25,24.9,23.81,24.22,20500,False,PKGP
2022-01-11,24.0,24.49,24.0,24.0,10500,False,PKGP
2022-01-12,24.0,24.0,23.92,23.92,14000,False,PKGP
2022-01-13,23.95,23.95,23.95,23.95,1000,False,PKGP
2022-01-14,24.1,25.39,24.1,24.15,3500,False,PKGP
2022-01-17,24.0,24.0,24.0,24.0,2500,False,PKGP
2022-01-19,24.0,24.0,23.6,23.6,101000,False,PKGP
2022-01-20,23.01,23.16,23.01,23.16,1000,False,PKGP
2022-01-21,23.4,23.4,23.3,23.3,2500,False,PKGP
2022-01-24,23.7,23.7,23.7,23.7,500,False,PKGP
2022-01-26,23.31,23.85,23.3,23.31,41500,False,PKGP
2022-01-27,23.9,23.91,23.89,23.91,6500,False,PKGP
2022-01-31,23.51,24.0,23.51,23.97,5500,False,PKGP
2022-02-01,23.51,23.9,23.32,23.5,19000,False,PKGP
2022-02-02,23.99,24.0,23.94,23.94,30500,False,PKGP
2022-02-03,24.0,24.0,24.0,24.0,5000,False,PKGP
2022-02-07,23.52,23.52,23.52,23.52,1000,False,PKGP
2022-02-08,23.21,25.28,23.21,24.98,168500,False,PKGP
2022-02-09,24.5,25.3,24.5,25.2,111000,False,PKGP
2022-02-10,25.2,25.2,24.8,24.97,20500,False,PKGP
2022-02-11,25.0,25.2,24.75,24.76,127500,False,PKGP
2022-02-14,24.5,24.5,24.26,24.26,7500,False,PKGP
2022-02-16,24.8,24.8,24.5,24.5,1500,False,PKGP
2022-02-17,24.5,24.5,24.5,24.5,25500,False,PKGP
2022-02-18,24.6,25.99,24.1,24.1,1500,False,PKGP
2022-02-21,24.5,24.5,24.5,24.5,34500,False,PKGP
2022-02-22,24.1,24.1,24.0,24.0,15500,False,PKGP
2022-02-25,24.24,25.7,22.2,22.2,48000,False,PKGP
2022-02-28,21.75,21.75,20.54,21.36,36000,False,PKGP
2022-03-01,21.02,21.02,19.87,20.2,157500,False,PKGP
2022-03-02,20.0,20.0,19.52,19.97,38500,False,PKGP
2022-03-03,19.95,19.95,19.5,19.7,11500,False,PKGP
2022-03-04,19.25,20.0,19.0,19.54,106000,False,PKGP
2022-03-07,19.5,19.94,18.08,18.46,107000,False,PKGP
2022-03-08,19.0,19.0,18.5,18.5,65500,False,PKGP
2022-03-09,18.51,19.88,18.51,19.62,81500,False,PKGP
2022-03-10,19.01,19.49,19.0,19.38,113500,False,PKGP
2022-03-11,19.0,19.0,19.0,19.0,28000,False,PKGP
2022-03-14,18.99,19.0,18.77,18.96,11500,False,PKGP
2022-03-15,19.35,19.35,19.35,19.35,500,False,PKGP
2022-03-16,19.94,19.98,19.15,19.95,2500,False,PKGP
2022-03-18,18.8,19.5,18.46,19.5,3500,False,PKGP
2022-03-21,19.0,19.87,19.0,19.58,5000,False,PKGP
2022-03-22,19.03,19.49,19.02,19.49,5500,False,PKGP
2022-03-24,19.02,19.48,19.02,19.48,1500,False,PKGP
2022-03-25,20.0,20.0,20.0,20.0,500,False,PKGP
2022-03-28,20.0,20.18,20.0,20.18,2500,False,PKGP
2022-03-29,20.18,20.5,19.85,19.85,39500,False,PKGP
2022-03-30,19.75,19.8,19.7,19.73,22000,False,PKGP
2022-03-31,19.52,20.24,19.52,20.24,22500,False,PKGP
2022-04-01,20.0,20.0,20.0,20.0,25000,False,PKGP
2022-04-04,19.01,19.99,19.01,19.99,4500,False,PKGP
2022-04-06,20.0,20.49,19.75,19.75,12500,False,PKGP
2022-04-07,19.99,20.0,19.99,20.0,1000,False,PKGP
2022-04-08,20.1,20.4,20.1,20.4,4500,False,PKGP
2022-04-11,20.99,20.99,20.15,20.97,39500,False,PKGP
2022-04-12,20.49,20.69,20.25,20.56,8000,False,PKGP
2022-04-13,20.51,20.51,20.25,20.28,17500,False,PKGP
2022-04-14,20.01,20.5,20.0,20.5,32500,False,PKGP
2022-04-15,20.67,20.67,20.67,20.67,500,False,PKGP
2022-04-18,20.01,20.01,20.01,20.01,2000,False,PKGP
2022-04-19,20.02,20.29,19.8,20.12,37500,False,PKGP
2022-04-20,20.5,20.5,19.5,20.11,88500,False,PKGP
2022-04-21,20.0,20.0,20.0,20.0,2000,False,PKGP
2022-04-22,20.35,20.35,20.35,20.35,500,False,PKGP
2022-04-25,20.35,20.35,20.3,20.3,68000,False,PKGP
2022-04-26,19.3,20.33,19.3,20.18,4500,False,PKGP
2022-04-27,20.2,20.2,20.2,20.2,2000,False,PKGP
2022-04-28,19.5,19.97,19.2,19.5,50000,False,PKGP
2022-05-06,19.0,19.5,19.0,19.5,3000,False,PKGP
2022-05-09,18.3,18.6,18.3,18.37,3000,False,PKGP
2022-05-10,19.05,19.05,19.0,19.05,3500,False,PKGP
2022-05-11,18.2,18.99,17.65,17.77,45000,False,PKGP
2022-05-13,18.84,18.84,18.84,18.84,10000,False,PKGP
