date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,835.02,899.99,835.0,867.5,100,False,PMPK
2021-04-27,868.0,899.99,850.0,899.5,580,False,PMPK
2021-04-28,949.0,966.96,900.0,912.5,320,False,PMPK
2021-04-29,900.01,900.01,898.8,898.9,360,False,PMPK
2021-04-30,850.0,850.0,850.0,850.0,200,False,PMPK
2021-05-04,824.0,850.0,824.0,834.37,180,False,PMPK
2021-05-06,834.37,834.37,834.37,834.37,20,False,PMPK
2021-05-17,850.0,896.94,850.0,890.19,980,False,PMPK
2021-05-18,956.0,956.95,920.0,920.01,420,False,PMPK
2021-05-19,891.06,900.0,890.0,900.0,520,False,PMPK
2021-05-20,860.0,945.0,856.0,862.46,380,False,PMPK
2021-05-21,851.0,925.0,851.0,899.97,200,False,PMPK
2021-05-24,855.52,967.46,855.52,946.23,460,False,PMPK
2021-05-25,1016.59,1017.0,950.0,963.6,760,False,PMPK
2021-05-26,999.99,1035.87,990.0,995.0,460,False,PMPK
2021-05-27,995.0,1000.0,970.0,972.78,1040,False,PMPK
2021-05-28,972.78,972.78,972.78,972.78,20,False,PMPK
2021-06-01,975.0,975.0,960.0,962.8,180,False,PMPK
2021-06-02,970.0,970.0,970.0,970.0,60,False,PMPK
2021-06-03,990.0,1000.0,990.0,995.0,40,False,PMPK
2021-06-07,1039.99,1039.99,1001.0,1017.5,180,False,PMPK
2021-06-08,1000.01,1017.5,1000.0,1003.5,560,False,PMPK
2021-06-09,1048.0,1078.76,1000.0,1000.33,260,False,PMPK
2021-06-10,1000.0,1000.0,1000.0,1000.0,60,False,PMPK
2021-06-11,980.01,999.99,980.0,987.88,360,False,PMPK
2021-06-14,1000.0,1028.0,1000.0,1025.75,320,False,PMPK
2021-06-15,1000.0,1030.0,1000.0,1030.0,360,False,PMPK
2021-06-16,1015.0,1025.0,1000.0,1021.67,260,False,PMPK
2021-06-17,1030.0,1030.0,1020.0,1020.0,120,False,PMPK
2021-06-21,1020.0,1020.0,1020.0,1020.0,80,False,PMPK
2021-06-24,1010.0,1020.0,1010.0,1020.0,80,False,PMPK
2021-06-28,1095.0,1095.0,1095.0,1020.0,20,True,PMPK
2021-06-29,990.0,1019.0,990.0,997.67,240,False,PMPK
2021-07-01,970.0,997.67,970.0,970.0,300,False,PMPK
2021-07-02,955.0,995.0,955.0,995.0,600,False,PMPK
2021-07-05,960.5,1000.0,960.5,1000.0,550,False,PMPK
2021-07-06,980.0,981.0,980.0,980.0,200,False,PMPK
2021-07-07,1049.5,1049.5,1049.5,1049.5,50,False,PMPK
2021-07-08,981.0,1039.98,981.0,1012.45,950,False,PMPK
2021-07-09,0.0,1012.45,1012.45,1012.45,400,True,PMPK
2021-07-12,955.0,1060.0,955.0,1020.63,450,False,PMPK
2021-07-14,970.0,971.0,970.0,970.25,200,False,PMPK
2021-07-15,975.01,980.01,975.01,980.01,150,False,PMPK
2021-07-26,940.41,950.0,940.0,950.0,700,False,PMPK
2021-07-27,940.0,940.0,940.0,940.0,50,False,PMPK
2021-07-28,950.0,950.0,950.0,950.0,50,False,PMPK
2021-08-05,890.0,920.0,890.0,920.0,100,False,PMPK
2021-08-06,964.98,964.98,964.98,964.98,100,False,PMPK
2021-08-11,999.99,999.99,925.0,930.0,250,False,PMPK
2021-08-16,0.0,930.0,930.0,930.0,100,True,PMPK
2021-08-20,0.0,930.0,930.0,930.0,400,True,PMPK
2021-08-23,930.5,930.5,930.0,930.0,150,False,PMPK
2021-08-24,974.99,974.99,974.99,974.99,100,False,PMPK
2021-08-26,902.0,984.9,902.0,984.9,400,False,PMPK
2021-08-27,0.0,984.9,984.9,984.9,300,True,PMPK
2021-08-30,0.0,984.9,984.9,984.9,100,True,PMPK
2021-08-31,912.51,912.51,912.5,912.51,200,False,PMPK
2021-09-01,977.0,977.0,977.0,977.0,100,False,PMPK
2021-09-02,922.0,922.0,922.0,922.0,50,False,PMPK
2021-09-16,915.0,915.0,915.0,915.0,100,False,PMPK
2021-09-20,860.0,860.0,860.0,860.0,50,False,PMPK
2021-09-21,835.02,850.0,834.0,834.0,350,False,PMPK
2021-09-22,835.0,835.0,800.0,800.0,350,False,PMPK
2021-09-30,775.0,800.0,746.0,764.31,300,False,PMPK
2021-10-07,775.0,775.0,775.0,775.0,200,False,PMPK
2021-10-12,775.0,775.0,775.0,775.0,150,False,PMPK
2021-10-21,833.12,833.12,833.0,833.0,100,False,PMPK
2021-10-25,0.0,0.0,0.0,833.0,0,True,PMPK
2021-10-27,895.45,895.45,895.45,895.45,50,False,PMPK
2021-10-29,0.0,0.0,0.0,895.45,0,True,PMPK
2021-11-01,835.0,835.0,830.0,830.0,250,False,PMPK
2021-11-08,786.0,786.0,786.0,786.0,150,False,PMPK
2021-11-16,752.01,752.01,752.01,752.01,50,False,PMPK
2021-11-18,750.0,778.99,750.0,778.99,150,False,PMPK
2021-11-22,725.01,750.0,725.0,750.0,200,False,PMPK
2021-11-26,806.0,806.0,750.0,806.0,300,False,PMPK
2021-12-01,746.0,765.0,746.0,765.0,100,False,PMPK
2021-12-02,730.37,730.37,730.37,730.37,50,False,PMPK
2021-12-03,777.75,777.75,777.75,777.75,50,False,PMPK
2021-12-06,725.01,725.01,725.0,725.0,300,False,PMPK
2021-12-08,750.0,750.05,750.0,750.05,150,False,PMPK
2021-12-10,748.0,748.0,748.0,748.0,50,False,PMPK
2021-12-15,750.0,750.0,750.0,750.0,50,False,PMPK
2021-12-21,740.0,745.0,700.02,745.0,250,False,PMPK
2021-12-23,749.99,749.99,749.99,749.99,50,False,PMPK
2021-12-28,715.0,715.0,715.0,715.0,50,False,PMPK
2021-12-29,765.0,768.0,765.0,768.0,150,False,PMPK
2021-12-31,822.19,822.19,822.0,822.0,100,False,PMPK
2022-01-03,772.0,772.0,772.0,772.0,100,False,PMPK
2022-01-04,785.0,785.0,785.0,785.0,50,False,PMPK
2022-01-05,762.0,762.0,762.0,762.0,50,False,PMPK
2022-01-12,800.0,800.0,800.0,800.0,150,False,PMPK
2022-01-24,741.0,770.0,740.0,770.0,150,False,PMPK
2022-01-31,760.0,760.0,750.0,750.0,250,False,PMPK
2022-02-03,720.06,738.89,720.0,738.89,550,False,PMPK
2022-02-07,0.0,0.0,0.0,736.21,0,True,PMPK
2022-02-10,0.0,736.21,736.21,736.21,50,True,PMPK
2022-02-11,759.98,759.98,759.98,759.98,50,False,PMPK
2022-02-16,703.01,703.01,703.01,703.01,100,False,PMPK
2022-02-23,650.29,750.3,650.29,683.5,950,False,PMPK
2022-03-04,719.9,719.9,719.9,719.9,50,False,PMPK
2022-03-08,0.0,0.0,0.0,719.38,0,True,PMPK
2022-03-09,670.0,675.0,670.0,675.0,150,False,PMPK
2022-03-11,724.9,724.9,724.9,724.9,250,False,PMPK
2022-03-17,671.0,671.0,671.0,671.0,50,False,PMPK
2022-04-13,650.0,650.0,650.0,650.0,100,False,PMPK
2022-04-19,630.0,630.0,630.0,630.0,250,False,PMPK
2022-04-20,625.0,625.0,600.0,607.61,900,False,PMPK
2022-04-28,600.0,600.0,600.0,600.0,100,False,PMPK
2022-05-09,590.0,590.0,590.0,590.0,50,False,PMPK
2022-05-10,585.0,585.0,585.0,585.0,100,False,PMPK
2022-05-11,552.5,552.5,541.13,541.13,550,False,PMPK
2022-05-26,580.0,580.0,580.0,580.0,50,False,PMPK
2022-05-27,538.0,538.0,536.53,536.53,100,False,PMPK
2022-05-30,545.0,545.0,526.0,526.0,1200,False,PMPK
2022-06-02,488.0,540.0,488.0,540.0,100,False,PMPK
2022-06-24,510.0,563.0,510.0,563.0,150,False,PMPK
2022-07-04,599.97,599.97,599.97,599.97,50,False,PMPK
2022-07-05,635.0,635.0,600.0,605.0,200,False,PMPK
2022-07-07,600.0,600.0,600.0,600.0,50,False,PMPK
2022-07-13,600.0,600.0,600.0,600.0,50,False,PMPK
2022-07-15,605.0,645.0,605.0,625.0,100,False,PMPK
2022-07-18,578.21,609.0,578.21,609.0,100,False,PMPK
2022-07-19,580.0,580.0,580.0,580.0,50,False,PMPK
2022-08-02,0.0,580.0,580.0,580.0,200,True,PMPK
2022-08-03,550.01,560.0,548.0,560.0,650,False,PMPK
2022-08-16,560.0,560.0,560.0,560.0,100,False,PMPK
2022-08-18,532.0,559.99,532.0,559.99,100,False,PMPK
2022-08-31,520.0,520.0,518.0,518.0,200,False,PMPK
2022-09-16,479.16,479.16,479.16,479.16,100,False,PMPK
2022-10-10,515.0,515.0,479.16,515.0,150,False,PMPK
2022-10-13,515.0,519.0,515.0,519.0,100,False,PMPK
2022-10-17,549.0,557.92,549.0,557.92,100,False,PMPK
2022-10-18,580.0,580.0,580.0,580.0,50,False,PMPK
2022-10-24,0.0,580.0,580.0,580.0,400,True,PMPK
2022-10-31,580.0,600.0,580.0,600.0,200,False,PMPK
2022-11-03,600.0,601.0,600.0,601.0,250,False,PMPK
2022-11-08,0.0,600.0,600.0,600.0,200,True,PMPK
2022-11-10,629.99,645.0,560.0,600.0,1150,False,PMPK
2022-11-11,575.01,630.0,575.01,618.75,450,False,PMPK
2022-11-14,0.0,618.75,618.75,618.75,200,True,PMPK
2022-11-15,590.11,598.0,580.12,580.12,300,False,PMPK
2022-11-16,580.0,580.0,577.0,577.0,200,False,PMPK
2022-11-17,580.0,580.0,580.0,577.0,150,True,PMPK
2022-11-18,580.0,580.0,580.0,577.0,100,True,PMPK
2022-11-24,565.0,565.0,565.0,565.0,50,False,PMPK
2022-12-01,565.0,565.0,565.0,565.0,200,False,PMPK
