date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,203.44,209.99,200.0,205.0,3300,False,POML
2021-04-27,201.0,204.99,200.0,202.7,8900,False,POML
2021-04-28,205.0,205.0,205.0,202.7,100,True,POML
2021-04-29,216.0,216.0,210.0,213.0,300,False,POML
2021-04-30,200.0,200.0,198.0,200.0,2200,False,POML
2021-05-03,200.0,200.0,199.0,199.17,2100,False,POML
2021-05-04,200.0,200.0,200.0,200.0,6100,False,POML
2021-05-05,200.0,201.0,200.0,200.25,1600,False,POML
2021-05-17,200.0,200.0,200.0,200.0,2000,False,POML
2021-05-18,200.02,200.02,200.0,200.01,200,False,POML
2021-05-20,205.49,209.0,205.49,208.0,1600,False,POML
2021-05-24,210.0,210.0,208.0,210.0,300,False,POML
2021-05-25,225.0,225.75,223.23,225.75,1700,False,POML
2021-05-26,242.68,242.68,242.68,242.68,2300,False,POML
2021-05-27,260.0,260.88,250.0,260.88,5100,False,POML
2021-05-28,279.98,280.44,279.98,280.44,17500,False,POML
2021-05-31,276.0,277.0,276.0,276.0,2500,False,POML
2021-06-02,275.5,275.5,274.0,275.0,6200,False,POML
2021-06-03,260.0,260.0,260.0,260.0,1200,False,POML
2021-06-04,270.0,278.9,261.0,278.0,4000,False,POML
2021-06-08,284.0,286.0,284.0,286.0,1100,False,POML
2021-06-14,270.0,284.0,270.0,284.0,4300,False,POML
2021-06-23,278.0,278.0,270.0,270.0,500,False,POML
2021-06-30,250.0,265.0,249.75,250.02,18500,False,POML
2021-07-02,240.0,240.05,240.0,240.03,200,False,POML
2021-07-06,240.03,240.03,240.03,240.03,500,False,POML
2021-07-07,249.1,249.1,249.1,249.1,500,False,POML
2021-07-08,230.5,235.0,230.42,231.37,14800,False,POML
2021-07-09,0.0,231.37,231.37,231.37,100,True,POML
2021-07-12,221.0,239.89,221.0,224.33,1100,False,POML
2021-07-13,224.33,231.5,222.0,229.3,1400,False,POML
2021-07-14,245.5,245.5,245.5,245.5,500,False,POML
2021-07-15,227.09,228.5,227.09,228.25,800,False,POML
2021-07-16,228.25,230.0,228.25,229.75,1100,False,POML
2021-07-23,230.0,230.0,225.0,227.5,300,False,POML
