date,open,high,low,close,volume,is_anomaly,ticker
2021-05-17,84.0,84.0,84.0,84.0,500,False,PPP
2021-05-19,80.0,84.8,80.0,84.8,2500,False,PPP
2021-05-20,84.0,87.5,84.0,85.75,4000,False,PPP
2021-05-21,88.5,88.5,88.5,88.5,1000,False,PPP
2021-05-27,94.0,94.0,90.0,91.25,3000,False,PPP
2021-05-28,93.99,93.99,93.99,93.99,500,False,PPP
2021-05-31,87.5,91.0,87.5,89.5,4000,False,PPP
2021-06-01,89.5,90.5,89.5,90.5,1000,False,PPP
2021-06-03,90.5,91.0,90.5,90.5,5500,False,PPP
2021-06-08,90.5,90.5,90.5,90.5,500,False,PPP
2021-06-17,85.0,90.0,85.0,87.5,1000,False,PPP
2021-06-23,90.0,90.0,90.0,90.0,3000,False,PPP
2021-06-24,90.95,90.95,90.0,90.0,1000,False,PPP
2021-06-25,90.0,90.0,90.0,90.0,1000,False,PPP
2021-06-28,89.9,89.9,85.01,89.7,1500,False,PPP
2021-06-30,85.0,85.0,85.0,89.7,500,True,PPP
2021-07-06,90.0,94.95,90.0,94.95,1000,False,PPP
2021-07-08,94.5,94.5,88.02,90.93,5000,False,PPP
2021-07-09,90.0,90.0,90.0,90.0,1500,False,PPP
2021-07-12,83.5,94.0,83.5,89.81,4000,False,PPP
2021-07-14,89.2,89.2,89.0,89.1,1000,False,PPP
2021-07-19,84.1,90.0,84.1,90.0,1500,False,PPP
2021-07-23,90.0,90.0,90.0,90.0,1000,False,PPP
2021-07-27,92.5,92.5,92.5,92.5,4500,False,PPP
2021-07-28,90.0,90.0,90.0,90.0,1000,False,PPP
2021-07-29,91.5,92.7,91.5,92.7,1000,False,PPP
2021-07-30,0.0,0.0,0.0,92.67,0,True,PPP
2021-08-02,90.0,90.0,90.0,90.0,500,False,PPP
2021-08-04,89.99,89.99,89.99,89.99,1000,False,PPP
2021-08-05,89.0,89.0,89.0,89.0,2000,False,PPP
2021-08-06,90.0,90.0,87.0,87.0,4500,False,PPP
2021-08-09,89.0,89.0,89.0,89.0,500,False,PPP
2021-08-24,85.27,85.47,85.27,85.47,1000,False,PPP
2021-08-25,90.0,90.0,89.89,89.9,1500,False,PPP
2021-09-01,83.5,89.9,83.5,88.48,5500,False,PPP
2021-09-08,85.1,87.5,85.1,87.5,1000,False,PPP
2021-09-09,87.0,89.89,87.0,89.89,2000,False,PPP
2021-09-10,86.0,89.5,86.0,89.5,1500,False,PPP
2021-09-13,85.85,88.95,85.85,88.73,7000,False,PPP
2021-09-16,93.5,93.5,89.95,89.95,5000,False,PPP
2021-09-17,83.21,88.75,83.21,86.81,7000,False,PPP
2021-09-21,85.85,85.85,85.85,85.85,500,False,PPP
2021-09-23,0.0,85.85,85.85,85.85,1000,True,PPP
2021-09-28,79.43,80.4,79.42,80.4,4000,False,PPP
2021-10-01,86.0,86.0,80.75,83.5,2000,False,PPP
2021-10-04,77.3,82.0,77.3,80.1,1500,False,PPP
2021-10-13,80.1,80.1,80.1,80.1,500,False,PPP
2021-10-14,80.1,80.4,77.1,80.4,1000,False,PPP
2021-10-25,0.0,0.0,0.0,80.4,0,True,PPP
