date,open,high,low,close,volume,is_anomaly,ticker
2026-02-10,15.4,15.4,15.4,15.4,385175,False,PQGTL
2026-02-11,16.94,16.94,16.03,16.33,19617514,False,PQGTL
2026-02-12,16.45,16.45,14.8,15.06,4900105,False,PQGTL
2026-02-13,15.15,15.15,14.5,14.87,1391294,False,PQGTL
2026-02-16,14.96,14.96,14.13,14.31,2553301,False,PQGTL
2026-02-17,14.12,14.5,13.8,14.16,1910221,False,PQGTL
2026-02-18,14.2,15.58,14.0,15.08,12101732,False,PQGTL
2026-02-19,15.5,15.56,13.9,14.02,7931695,False,PQGTL
2026-02-20,14.14,14.35,13.51,14.05,1033192,False,PQGTL
2026-02-23,14.05,14.2,13.4,13.55,1787281,False,PQGTL
2026-02-24,13.71,13.9,12.56,13.22,913288,False,PQGTL
2026-02-25,13.44,13.48,12.85,13.01,961900,False,PQGTL
2026-02-26,13.1,13.35,12.92,13.17,584529,False,PQGTL
2026-02-27,13.25,14.48,13.01,13.99,4794607,False,PQGTL
2026-03-02,13.0,13.85,12.59,12.66,1206174,False,PQGTL
2026-03-03,12.59,13.93,11.5,11.61,4279058,False,PQGTL
2026-03-04,11.8,11.99,10.51,11.02,735146,False,PQGTL
2026-03-05,11.45,11.95,11.0,11.13,1784085,False,PQGTL
2026-03-06,11.16,11.3,11.03,11.15,208130,False,PQGTL
2026-03-09,11.0,11.0,10.25,10.91,520876,False,PQGTL
2026-03-10,11.25,12.0,11.25,11.69,280122,False,PQGTL
2026-03-11,11.71,11.99,11.41,11.48,242636,False,PQGTL
2026-03-12,11.48,11.68,11.14,11.54,107169,False,PQGTL
2026-03-13,11.33,11.6,11.15,11.39,80804,False,PQGTL
2026-03-16,11.3,11.6,11.25,11.32,139152,False,PQGTL
2026-03-17,11.5,11.7,11.25,11.34,33492,False,PQGTL
2026-03-18,11.5,11.69,11.4,11.6,67723,False,PQGTL
2026-03-19,11.59,11.65,11.26,11.46,65703,False,PQGTL
2026-03-24,11.74,11.75,11.2,11.32,196985,False,PQGTL
2026-03-25,11.48,11.68,11.25,11.65,331881,False,PQGTL
2026-03-26,11.65,11.65,11.29,11.3,129429,False,PQGTL
2026-03-27,11.32,11.5,11.01,11.23,21503,False,PQGTL
2026-03-30,11.25,11.4,10.5,10.85,316962,False,PQGTL
2026-03-31,11.1,11.19,10.73,10.92,21101,False,PQGTL
2026-04-01,11.0,11.81,11.0,11.44,397166,False,PQGTL
2026-04-02,11.03,11.43,11.03,11.36,160960,False,PQGTL
2026-04-03,10.9,11.49,10.9,11.07,157896,False,PQGTL
2026-04-06,11.08,11.48,11.05,11.24,53300,False,PQGTL
2026-04-07,11.24,11.35,11.11,11.26,77519,False,PQGTL
2026-04-08,12.22,12.22,11.1,11.98,633161,False,PQGTL
2026-04-09,12.3,13.18,11.95,13.18,5235557,False,PQGTL
2026-04-10,13.5,14.5,13.5,13.82,5625783,False,PQGTL
2026-04-13,13.49,14.46,13.49,14.03,3500449,False,PQGTL
2026-04-14,14.04,14.46,14.04,14.24,1437221,False,PQGTL
2026-04-15,14.49,14.9,14.11,14.5,1824944,False,PQGTL
2026-04-16,14.6,14.75,14.2,14.35,766846,False,PQGTL
2026-04-17,14.5,14.8,14.31,14.76,1383499,False,PQGTL
2026-04-20,14.5,14.95,14.3,14.59,1269962,False,PQGTL
2026-04-21,14.6,14.82,13.52,14.6,1811751,False,PQGTL
2026-04-22,13.6,13.6,13.21,13.28,326377,False,PQGTL
2026-04-23,13.28,13.28,13.01,13.16,170970,False,PQGTL
2026-04-24,13.02,13.4,13.02,13.37,98245,False,PQGTL
