date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,15.97,16.1,15.51,15.9,220500,False,PREMA
2021-04-27,16.09,16.2,15.8,15.87,201000,False,PREMA
2021-04-28,16.1,16.99,16.0,16.65,519000,False,PREMA
2021-04-29,16.61,17.2,16.36,16.4,476000,False,PREMA
2021-04-30,16.12,16.94,15.94,16.3,135500,False,PREMA
2021-05-03,16.3,16.48,15.92,16.09,120000,False,PREMA
2021-05-04,16.35,16.35,16.03,16.09,68000,False,PREMA
2021-05-05,16.49,16.49,16.0,16.03,94500,False,PREMA
2021-05-06,16.03,16.35,16.02,16.27,50000,False,PREMA
2021-05-17,16.39,16.7,16.25,16.38,244500,False,PREMA
2021-05-18,16.5,16.8,16.34,16.58,736000,False,PREMA
2021-05-19,16.87,17.82,16.7,17.82,2423500,False,PREMA
2021-05-20,18.3,18.69,17.8,18.09,2778000,False,PREMA
2021-05-21,18.2,18.35,17.7,17.79,740000,False,PREMA
2021-05-24,18.0,18.07,17.5,17.54,465500,False,PREMA
2021-05-25,17.8,18.3,17.5,18.14,1019500,False,PREMA
2021-05-26,18.4,18.59,17.7,17.78,1914000,False,PREMA
2021-05-27,18.0,18.0,17.3,17.42,842500,False,PREMA
2021-05-28,17.05,17.85,17.1,17.56,719000,True,PREMA
2021-05-31,17.88,18.87,17.85,18.87,3371000,False,PREMA
2021-06-01,19.2,20.22,18.0,19.5,4775500,False,PREMA
2021-06-02,19.35,20.6,19.13,20.35,3440000,False,PREMA
2021-06-03,20.4,21.87,20.4,21.87,5371500,False,PREMA
2021-06-04,22.23,22.9,21.61,22.62,4525500,False,PREMA
2021-06-07,23.07,23.11,22.0,22.16,1996000,False,PREMA
2021-06-08,22.49,22.49,20.7,21.88,1331500,False,PREMA
2021-06-09,21.51,21.9,21.02,21.49,698500,False,PREMA
2021-06-10,21.47,21.8,21.15,21.67,695500,False,PREMA
2021-06-11,21.9,22.85,21.9,22.67,1850500,False,PREMA
2021-06-14,23.0,24.23,22.25,22.65,2685000,False,PREMA
2021-06-15,22.65,22.88,21.9,21.97,445500,False,PREMA
2021-06-16,22.35,22.35,20.7,20.87,598500,False,PREMA
2021-06-17,21.25,21.48,20.35,20.68,1144000,False,PREMA
2021-06-18,20.68,20.9,20.0,20.39,2608500,False,PREMA
2021-06-21,21.2,21.91,20.95,21.16,3458000,False,PREMA
2021-06-22,21.16,21.24,20.65,20.8,1230000,False,PREMA
2021-06-23,21.0,22.36,21.0,22.36,2152500,False,PREMA
2021-06-24,23.2,23.88,22.81,23.1,1874000,False,PREMA
2021-06-25,22.61,23.45,22.48,22.66,926000,False,PREMA
2021-06-28,22.95,22.95,21.1,21.41,385000,False,PREMA
2021-06-29,21.41,22.2,21.41,21.68,392500,False,PREMA
2021-06-30,21.5,23.3,21.4,23.3,2274000,False,PREMA
2021-07-01,23.69,24.88,23.5,24.18,1989000,False,PREMA
2021-07-02,24.0,24.0,23.0,23.13,1025500,False,PREMA
2021-07-05,23.0,23.38,22.0,22.49,499000,False,PREMA
2021-07-06,22.63,22.94,22.02,22.2,1053000,False,PREMA
2021-07-07,22.02,23.0,22.0,22.88,778500,False,PREMA
2021-07-08,22.89,23.39,22.6,22.7,574000,False,PREMA
2021-07-09,22.9,23.0,22.48,22.89,328000,False,PREMA
2021-07-12,22.9,22.9,22.4,22.53,178500,False,PREMA
2021-07-13,22.3,24.21,22.3,24.21,1736500,False,PREMA
2021-07-14,24.49,26.0,24.49,25.15,2435000,False,PREMA
2021-07-15,25.48,26.5,24.6,25.16,1910000,False,PREMA
2021-07-16,25.0,26.0,24.5,25.68,1894000,False,PREMA
2021-07-19,25.5,26.8,25.5,26.39,1420000,False,PREMA
2021-07-23,26.38,26.69,25.7,25.92,455500,False,PREMA
2021-07-26,26.0,26.35,25.68,25.9,720000,False,PREMA
2021-07-27,26.4,26.4,25.3,25.48,636500,False,PREMA
2021-07-28,25.47,25.48,24.25,24.48,569000,False,PREMA
2021-07-29,24.25,26.31,23.61,26.14,1611500,False,PREMA
2021-07-30,27.0,27.1,25.0,26.48,1711500,False,PREMA
2021-08-02,26.5,27.15,26.25,26.99,532500,False,PREMA
2021-08-03,27.25,29.01,27.1,28.96,2297000,False,PREMA
2021-08-04,29.5,31.13,29.5,31.13,1933500,False,PREMA
2021-08-05,31.89,32.24,30.25,30.54,1519500,False,PREMA
2021-08-06,30.85,31.45,29.9,30.03,537000,False,PREMA
2021-08-09,30.05,30.35,28.06,28.4,789000,False,PREMA
2021-08-10,28.03,30.53,28.01,30.53,1691500,False,PREMA
2021-08-11,31.04,31.64,30.0,30.32,2389000,False,PREMA
2021-08-12,30.21,30.6,28.9,29.04,505000,False,PREMA
2021-08-13,29.0,30.15,28.5,28.57,998000,False,PREMA
2021-08-16,28.09,30.71,28.0,29.66,3955000,False,PREMA
2021-08-17,29.66,30.35,28.9,29.75,1093000,False,PREMA
2021-08-20,30.0,30.49,29.11,29.79,801500,False,PREMA
2021-08-23,29.45,29.85,28.8,28.95,711500,False,PREMA
2021-08-24,28.81,29.3,28.25,28.47,980000,False,PREMA
2021-08-25,28.5,28.9,28.0,28.01,629000,False,PREMA
2021-08-26,28.0,28.2,27.3,27.54,997500,False,PREMA
2021-08-27,27.36,28.2,26.6,27.9,829000,False,PREMA
2021-08-30,28.21,28.43,27.35,27.63,293500,False,PREMA
2021-08-31,27.5,29.7,27.5,28.68,1586500,False,PREMA
2021-09-01,28.71,29.29,27.7,27.83,804000,False,PREMA
2021-09-02,27.68,28.0,27.5,27.56,491500,False,PREMA
2021-09-03,27.01,27.94,27.01,27.63,312000,False,PREMA
2021-09-06,27.59,27.6,27.21,27.28,97000,False,PREMA
2021-09-07,27.5,27.75,26.8,27.09,296000,False,PREMA
2021-09-08,27.0,27.15,26.7,27.01,169000,False,PREMA
2021-09-09,27.0,28.28,27.0,27.8,937000,False,PREMA
2021-09-10,27.99,29.88,27.99,29.88,2478000,False,PREMA
2021-09-13,30.02,31.88,30.0,30.26,1747000,False,PREMA
2021-09-14,29.16,30.4,29.15,29.9,454000,False,PREMA
2021-09-15,29.8,30.4,29.5,30.06,787500,False,PREMA
2021-09-16,30.01,30.75,30.01,30.44,292000,False,PREMA
2021-09-17,30.51,30.69,29.6,29.61,146500,False,PREMA
2021-09-20,29.75,29.8,29.01,29.51,268500,False,PREMA
2021-09-21,29.05,29.9,28.5,28.72,225500,False,PREMA
2021-09-22,28.8,29.5,27.0,28.12,454500,False,PREMA
2021-09-23,28.5,28.5,26.21,27.07,224500,False,PREMA
2021-09-24,27.0,28.0,26.5,27.9,337000,False,PREMA
2021-09-27,28.0,28.18,26.85,27.1,828500,False,PREMA
2021-09-28,27.0,28.68,27.0,28.37,315000,False,PREMA
2021-09-29,28.4,28.4,26.75,27.29,330000,False,PREMA
2021-09-30,27.85,27.85,26.9,27.36,325000,False,PREMA
2021-10-01,27.5,27.97,27.15,27.3,84500,False,PREMA
2021-10-04,27.01,29.29,27.01,28.9,318000,False,PREMA
2021-10-05,28.9,30.65,28.5,29.88,390000,False,PREMA
2021-10-06,30.0,30.0,28.5,28.53,149500,False,PREMA
2021-10-07,29.48,29.48,28.7,29.0,101500,False,PREMA
2021-10-08,29.01,29.5,28.0,28.2,131500,False,PREMA
2021-10-11,28.49,28.5,28.0,28.06,240500,False,PREMA
2021-10-12,28.1,28.4,27.95,28.09,126000,False,PREMA
2021-10-13,28.2,28.2,26.86,26.94,49500,False,PREMA
2021-10-14,27.5,28.96,27.5,28.67,314000,False,PREMA
2021-10-15,28.5,29.33,28.5,28.52,845000,False,PREMA
