date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,13.86,15.0,13.86,14.66,2214500,False,PSX
2021-04-27,14.66,14.9,14.5,14.66,793000,False,PSX
2021-04-28,14.82,15.0,14.65,14.75,471500,False,PSX
2021-04-29,14.66,14.75,14.6,14.7,242000,False,PSX
2021-04-30,14.7,15.01,14.5,14.96,1789500,False,PSX
2021-05-03,14.65,14.83,14.6,14.7,904500,False,PSX
2021-05-04,14.95,15.22,14.7,15.19,1062000,False,PSX
2021-05-05,15.25,15.5,15.01,15.46,1286000,False,PSX
2021-05-06,15.55,15.95,15.25,15.8,902500,False,PSX
2021-05-17,15.4,16.75,15.4,16.48,3619000,False,PSX
2021-05-18,16.7,16.8,16.2,16.33,736000,False,PSX
2021-05-19,16.2,16.2,15.52,16.06,943500,False,PSX
2021-05-20,15.76,16.25,15.62,15.92,1297500,False,PSX
2021-05-21,15.66,15.92,15.45,15.56,802500,False,PSX
2021-05-24,15.68,15.7,15.25,15.34,405500,False,PSX
2021-05-25,15.4,15.5,15.0,15.11,1212500,False,PSX
2021-05-26,15.34,15.7,15.05,15.49,2756000,False,PSX
2021-05-27,15.6,16.6,15.56,16.02,3940000,False,PSX
2021-05-28,16.19,17.22,16.0,17.22,5505000,False,PSX
2021-05-31,17.9,18.51,17.5,18.51,5059000,False,PSX
2021-06-01,18.99,19.89,18.65,19.89,13929500,False,PSX
2021-06-02,20.15,20.79,19.5,20.51,5033000,False,PSX
2021-06-03,20.7,21.0,20.16,20.51,4585500,False,PSX
2021-06-04,20.49,20.49,19.25,19.53,2826000,False,PSX
2021-06-07,19.3,20.0,19.3,19.42,1423000,False,PSX
2021-06-08,19.52,19.52,18.6,19.16,936000,False,PSX
2021-06-09,19.19,19.95,19.0,19.58,1129000,False,PSX
2021-06-10,19.89,20.59,19.66,20.13,2206000,False,PSX
2021-06-11,20.49,21.3,20.2,20.84,2439500,False,PSX
2021-06-14,22.35,22.35,21.2,21.86,3683000,False,PSX
2021-06-15,21.91,21.91,20.5,20.63,1893500,False,PSX
2021-06-16,20.6,20.87,20.2,20.23,486000,False,PSX
2021-06-17,20.11,21.74,19.98,21.07,5745000,False,PSX
2021-06-18,21.2,22.19,21.0,21.56,2495000,False,PSX
2021-06-21,22.0,22.6,21.12,22.04,2570000,False,PSX
2021-06-22,22.44,23.0,22.05,22.65,2752000,False,PSX
2021-06-23,22.89,23.24,22.3,22.39,1308000,False,PSX
2021-06-24,22.26,23.45,21.9,22.82,1868000,False,PSX
2021-06-25,23.09,23.1,21.95,22.03,1129000,False,PSX
2021-06-28,22.0,22.0,21.05,21.22,2039000,False,PSX
2021-06-29,21.55,21.8,21.01,21.06,343000,False,PSX
2021-06-30,21.25,22.5,21.25,22.31,2041500,False,PSX
2021-07-01,22.47,22.9,21.85,22.64,2955500,False,PSX
2021-07-02,22.31,22.9,22.01,22.2,615500,False,PSX
2021-07-05,22.5,22.5,21.6,21.85,751500,False,PSX
2021-07-06,22.0,22.0,21.25,21.46,579000,False,PSX
2021-07-07,21.75,21.75,21.12,21.24,386000,False,PSX
2021-07-08,21.5,21.65,21.13,21.47,1544000,False,PSX
2021-07-09,21.4,23.08,21.4,23.08,3038000,False,PSX
2021-07-12,23.75,24.81,23.08,24.81,6700500,False,PSX
2021-07-13,25.4,26.67,25.0,26.64,6897000,False,PSX
2021-07-14,27.16,28.63,25.5,28.36,11208000,False,PSX
2021-07-15,28.1,28.1,26.55,27.01,4613000,False,PSX
2021-07-16,27.01,27.01,26.0,26.22,5327000,False,PSX
2021-07-19,26.05,26.66,26.0,26.07,888000,False,PSX
2021-07-23,26.0,26.74,25.15,25.29,2814500,False,PSX
2021-07-26,25.19,25.8,24.31,24.52,2097000,False,PSX
2021-07-27,24.6,25.48,24.5,24.69,3198000,False,PSX
2021-07-28,24.9,24.9,23.41,23.59,2511000,False,PSX
2021-07-29,23.59,24.0,23.09,23.73,1921000,False,PSX
2021-07-30,23.75,25.3,23.75,24.65,3450000,False,PSX
2021-08-02,24.7,24.88,24.26,24.43,428000,False,PSX
2021-08-03,24.48,25.57,24.45,25.18,1958000,False,PSX
2021-08-04,25.45,26.25,25.3,25.66,2567500,False,PSX
2021-08-05,25.9,25.9,25.02,25.16,809000,False,PSX
2021-08-06,25.15,25.4,25.15,25.25,620000,False,PSX
2021-08-09,24.8,25.37,24.5,24.62,339500,False,PSX
2021-08-10,24.5,25.25,24.0,24.99,3287000,False,PSX
2021-08-11,25.25,25.4,24.5,24.57,763500,False,PSX
2021-08-12,24.75,24.75,24.06,24.15,300000,False,PSX
2021-08-13,24.19,24.4,24.0,24.03,174000,False,PSX
2021-08-16,24.49,24.5,23.5,23.94,989000,False,PSX
2021-08-17,24.19,24.25,23.75,23.95,357000,False,PSX
2021-08-20,23.8,24.44,23.7,23.96,424500,False,PSX
2021-08-23,24.01,25.0,23.91,24.14,1304000,False,PSX
2021-08-24,24.44,24.44,23.6,23.75,813500,False,PSX
2021-08-25,23.99,24.25,23.8,24.03,1935000,False,PSX
2021-08-26,24.05,24.05,23.75,23.99,713500,False,PSX
2021-08-27,23.76,24.05,23.48,23.69,860000,False,PSX
2021-08-30,23.99,24.08,23.48,23.53,342000,False,PSX
2021-08-31,23.69,24.0,23.6,23.65,74000,False,PSX
2021-09-01,23.66,24.25,23.1,23.54,1384000,False,PSX
2021-09-02,23.35,24.7,23.31,24.18,1410000,False,PSX
2021-09-03,24.03,24.58,23.9,24.0,327500,False,PSX
2021-09-06,24.2,24.2,23.51,23.64,185500,False,PSX
2021-09-07,23.6,23.76,22.13,22.66,1101000,False,PSX
2021-09-08,22.6,23.0,21.86,22.47,710000,False,PSX
2021-09-09,22.19,22.75,21.75,22.02,600500,False,PSX
2021-09-10,22.1,22.69,21.6,22.4,701500,False,PSX
2021-09-13,23.0,23.0,22.0,22.05,547000,False,PSX
2021-09-14,22.49,22.49,21.51,21.98,340000,False,PSX
2021-09-15,22.29,22.29,21.0,21.14,400500,False,PSX
2021-09-16,21.1,22.0,20.75,21.87,480000,False,PSX
2021-09-17,21.96,22.5,21.4,21.94,301000,False,PSX
2021-09-20,22.0,22.0,21.01,21.08,206500,False,PSX
2021-09-21,21.29,21.65,20.5,20.97,260000,False,PSX
2021-09-22,20.7,20.7,19.4,20.17,793000,False,PSX
2021-09-23,20.45,20.89,19.7,20.0,582000,False,PSX
2021-09-24,20.0,20.25,19.3,19.75,1135000,False,PSX
2021-09-27,19.74,19.74,18.51,18.94,293500,False,PSX
2021-09-28,18.93,19.44,18.56,19.28,138500,False,PSX
2021-09-29,19.5,19.5,17.84,17.91,1316000,False,PSX
2021-09-30,17.9,18.5,17.65,18.26,748500,False,PSX
2021-10-01,18.45,19.2,18.38,18.83,651000,False,PSX
2021-10-04,18.75,19.25,18.55,19.04,246000,False,PSX
2021-10-05,19.01,19.2,18.26,18.29,263000,False,PSX
2021-10-06,18.25,18.5,18.21,18.34,39000,False,PSX
2021-10-07,18.47,18.6,18.34,18.35,138500,False,PSX
2021-10-08,18.07,18.4,17.75,17.96,122000,False,PSX
