date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,63.58,68.75,63.0,67.85,790000,False,PTL
2021-04-27,67.51,67.51,66.0,66.13,310000,False,PTL
2021-04-28,65.4,65.98,64.0,64.43,154000,False,PTL
2021-04-29,64.52,65.2,64.0,64.1,37500,False,PTL
2021-04-30,64.1,64.48,63.5,63.94,54500,False,PTL
2021-05-03,62.65,64.3,62.65,63.01,67000,False,PTL
2021-05-04,63.01,63.49,62.5,62.99,128500,False,PTL
2021-05-05,63.0,63.0,59.99,60.77,1109000,False,PTL
2021-05-06,61.4,61.95,61.0,61.51,266000,False,PTL
2021-05-17,61.81,62.7,61.7,61.96,67500,False,PTL
2021-05-18,62.01,62.23,61.4,61.86,89500,False,PTL
2021-05-19,61.75,63.0,61.35,62.72,147000,False,PTL
2021-05-20,62.85,63.0,61.9,62.04,74500,False,PTL
2021-05-21,62.25,62.79,62.2,62.23,10500,False,PTL
2021-05-24,62.06,63.5,61.9,62.22,214500,False,PTL
2021-05-25,61.9,62.79,61.75,62.31,86000,False,PTL
2021-05-26,62.02,64.0,61.8,62.95,163500,False,PTL
2021-05-27,62.12,66.0,62.12,64.22,160500,False,PTL
2021-05-28,63.22,65.8,63.05,64.9,253500,False,PTL
2021-05-31,65.29,66.5,64.01,66.18,616000,False,PTL
2021-06-01,66.0,66.79,65.5,65.99,271500,False,PTL
2021-06-02,64.7,66.0,64.7,65.69,182500,False,PTL
2021-06-03,65.47,66.7,65.47,65.87,195500,False,PTL
2021-06-04,66.72,68.7,66.05,67.95,2178500,False,PTL
2021-06-07,68.5,69.89,67.55,68.73,1826500,False,PTL
2021-06-08,69.0,70.9,68.6,70.48,2163000,False,PTL
2021-06-09,71.0,71.7,68.35,68.59,1213000,False,PTL
2021-06-10,68.71,70.24,68.5,68.58,577000,False,PTL
2021-06-11,69.19,69.5,68.5,68.78,146000,False,PTL
2021-06-14,70.0,71.24,69.5,70.36,2166000,False,PTL
2021-06-15,71.0,71.0,68.0,68.53,268000,False,PTL
2021-06-16,68.7,69.6,67.65,68.24,349000,False,PTL
2021-06-17,67.97,68.5,67.5,67.83,88500,False,PTL
2021-06-18,68.9,71.0,68.08,68.74,717000,False,PTL
2021-06-21,68.05,69.38,67.0,67.87,235500,False,PTL
2021-06-22,68.5,68.5,67.55,68.02,332500,False,PTL
2021-06-23,67.6,70.88,67.6,68.42,368000,False,PTL
2021-06-24,68.15,69.9,68.0,69.0,273000,False,PTL
2021-06-25,68.2,69.5,68.0,68.67,241000,False,PTL
2021-06-28,68.1,68.87,66.72,66.86,209000,False,PTL
2021-06-29,67.01,68.47,67.01,67.74,123500,False,PTL
2021-06-30,68.0,70.5,67.09,69.13,574500,False,PTL
