date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,10.5,10.5,8.95,9.34,12000,False,QUET
2021-04-28,9.01,9.01,9.01,9.01,500,False,QUET
2021-04-30,9.49,9.49,9.4,9.45,1000,False,QUET
2021-05-18,9.65,9.65,9.65,9.65,1500,False,QUET
2021-05-20,9.3,9.3,9.3,9.3,1000,False,QUET
2021-05-25,9.5,9.5,9.5,9.5,500,False,QUET
2021-05-31,9.0,9.35,9.0,9.34,5000,False,QUET
2021-06-01,10.15,10.15,10.15,10.15,500,False,QUET
2021-06-03,9.17,9.17,9.15,9.15,3500,False,QUET
2021-06-04,9.5,9.5,9.5,9.5,500,False,QUET
2021-06-07,9.0,9.0,9.0,9.0,2000,False,QUET
2021-06-11,8.56,9.55,8.56,9.47,5500,False,QUET
2021-06-16,9.5,9.5,9.5,9.5,1000,False,QUET
2021-06-21,8.51,9.6,8.51,9.55,2500,False,QUET
2021-06-22,9.55,9.55,9.55,9.55,1500,False,QUET
2021-06-23,10.35,10.35,10.35,10.35,500,False,QUET
2021-06-24,9.9,9.9,9.9,9.9,500,False,QUET
2021-06-25,10.6,10.6,10.6,10.6,500,False,QUET
2021-06-30,10.85,11.55,10.85,11.25,5500,False,QUET
2021-07-01,10.5,10.56,10.5,10.53,2000,False,QUET
2021-07-02,11.3,11.3,11.3,11.3,500,False,QUET
2021-07-12,10.9,10.9,10.9,10.9,1000,False,QUET
2021-07-13,11.7,11.9,11.11,11.52,136000,False,QUET
2021-07-14,12.4,12.4,12.4,12.4,500,False,QUET
2021-07-15,11.4,12.7,11.4,12.2,2000,False,QUET
2021-07-16,12.9,12.9,12.9,12.9,500,False,QUET
2021-07-23,13.0,13.0,12.0,12.0,6000,False,QUET
2021-07-26,11.04,11.04,11.03,11.03,1500,False,QUET
2021-07-27,11.03,11.1,11.01,11.07,2500,False,QUET
2021-07-28,11.26,12.05,11.26,12.04,26000,False,QUET
2021-07-29,11.06,12.79,11.06,12.47,3000,False,QUET
2021-08-02,12.0,12.9,12.0,12.45,64500,False,QUET
2021-08-03,13.05,13.33,12.6,13.33,67500,False,QUET
2021-08-04,12.5,12.5,12.33,12.33,15500,False,QUET
2021-08-05,11.62,11.62,11.5,11.5,2000,False,QUET
2021-08-06,11.5,11.99,11.5,11.99,2500,False,QUET
2021-08-13,11.06,12.49,11.06,12.09,4000,False,QUET
2021-08-16,11.21,11.75,11.1,11.74,5500,False,QUET
2021-08-17,10.77,10.8,10.74,10.78,9500,False,QUET
2021-08-20,9.91,10.7,9.78,10.03,29500,False,QUET
2021-08-23,10.39,10.46,10.39,10.46,6000,False,QUET
2021-08-26,10.46,10.9,10.06,10.9,2000,False,QUET
2021-08-31,10.9,10.9,10.9,10.9,3000,False,QUET
2021-09-01,9.9,9.9,9.9,9.9,500,False,QUET
2021-09-03,10.89,10.89,10.89,10.89,500,False,QUET
2021-09-06,9.89,10.65,9.89,10.27,1000,False,QUET
2021-09-07,11.0,11.0,10.9,10.9,1000,False,QUET
2021-09-09,9.9,10.0,9.9,9.93,2000,False,QUET
2021-09-10,10.74,10.74,10.74,10.74,500,False,QUET
2021-09-14,10.74,11.74,9.74,11.29,29500,False,QUET
2021-09-15,12.2,12.2,10.32,11.49,4000,False,QUET
2021-09-16,10.55,11.39,10.55,10.74,3000,False,QUET
2021-09-17,11.73,11.73,11.73,11.73,1500,False,QUET
2021-09-21,11.7,11.73,10.73,10.73,9000,False,QUET
2021-09-22,9.74,11.09,9.74,11.09,1500,False,QUET
2021-09-24,0.0,11.09,11.09,11.09,13000,True,QUET
2021-09-27,11.09,11.09,11.09,11.09,500,False,QUET
2021-10-01,10.12,10.12,10.12,10.12,500,False,QUET
2021-10-05,10.45,10.45,10.45,10.45,1000,False,QUET
2021-10-06,10.99,10.99,10.99,10.99,500,False,QUET
2021-10-08,9.99,9.99,9.99,9.99,3500,False,QUET
2021-10-11,9.05,9.05,8.99,8.99,5000,False,QUET
2021-10-12,8.05,8.05,7.99,7.99,23000,False,QUET
2021-10-14,7.01,7.35,6.99,7.33,8500,False,QUET
2021-10-20,7.1,7.1,7.1,7.1,500,False,QUET
2021-10-21,7.6,7.6,7.49,7.6,3500,False,QUET
2021-10-22,6.65,7.5,6.65,7.25,7000,False,QUET
2021-10-25,0.0,0.0,0.0,7.25,0,True,QUET
2021-10-26,6.9,6.9,6.9,6.9,2500,False,QUET
2021-10-27,7.69,7.69,7.5,7.5,3000,False,QUET
2021-10-29,0.0,0.0,0.0,7.5,0,True,QUET
2021-11-01,6.61,6.61,6.61,6.61,500,False,QUET
2021-11-02,7.01,7.01,7.01,7.01,500,False,QUET
2021-11-03,7.1,7.1,7.02,7.02,1000,False,QUET
2021-11-04,7.3,7.62,7.0,7.62,4000,False,QUET
2021-11-09,6.62,6.62,6.62,6.62,1000,False,QUET
2021-11-11,7.13,7.13,6.62,6.62,1000,False,QUET
2021-11-15,7.0,7.0,7.0,7.0,2000,False,QUET
2021-11-17,7.01,7.01,7.01,7.0,500,True,QUET
2021-11-22,7.39,7.39,7.39,7.39,500,False,QUET
2021-11-23,7.39,7.39,7.39,7.39,500,False,QUET
2021-11-25,0.0,0.0,0.0,7.31,0,True,QUET
2021-12-13,6.32,6.32,6.32,6.32,1000,False,QUET
2021-12-15,6.01,6.01,6.01,6.01,500,False,QUET
2021-12-20,5.41,6.0,5.38,5.85,2500,False,QUET
2021-12-23,0.0,0.0,0.0,5.86,0,True,QUET
2021-12-24,6.7,6.85,6.7,6.85,423500,False,QUET
2021-12-28,6.87,6.87,6.87,6.87,1000,False,QUET
2021-12-29,6.91,6.91,6.9,6.91,1000,False,QUET
2021-12-31,7.65,7.65,7.65,7.65,500,False,QUET
2022-01-03,7.64,7.64,7.5,7.6,7500,False,QUET
2022-01-10,8.25,8.25,8.25,8.25,500,False,QUET
2022-01-11,8.4,9.25,8.4,8.82,3000,False,QUET
2022-01-12,8.71,9.53,8.71,9.5,6000,False,QUET
2022-01-13,8.55,8.55,8.52,8.52,3000,False,QUET
2022-01-17,9.0,9.0,9.0,9.0,500,False,QUET
2022-01-18,8.8,9.0,8.8,9.0,3000,False,QUET
2022-01-21,9.85,9.85,9.85,9.85,500,False,QUET
2022-01-24,10.2,10.2,10.2,10.2,500,False,QUET
2022-01-25,9.31,9.8,9.2,9.4,5500,False,QUET
2022-02-03,9.13,9.13,9.13,9.13,500,False,QUET
2022-02-08,9.0,9.0,8.61,8.61,1500,False,QUET
2022-02-09,8.25,9.4,8.25,8.83,1000,False,QUET
2022-02-16,0.0,0.0,0.0,8.48,0,True,QUET
2022-02-22,9.38,9.38,9.38,9.38,39500,False,QUET
2022-02-25,8.5,8.5,8.5,8.5,500,False,QUET
2022-02-28,9.5,9.5,9.49,9.5,13000,False,QUET
2022-03-01,9.99,10.0,9.5,9.5,3000,False,QUET
2022-03-02,9.8,9.85,9.75,9.8,3000,False,QUET
2022-03-03,9.9,10.35,9.8,9.85,3500,False,QUET
2022-03-14,9.02,9.22,9.02,9.21,3000,False,QUET
2022-03-16,9.35,9.35,9.35,9.35,500,False,QUET
2022-03-18,9.0,9.0,9.0,9.0,500,False,QUET
2022-03-25,8.3,9.0,8.3,9.0,2000,False,QUET
2022-04-01,9.24,9.25,9.24,9.25,5500,False,QUET
2022-04-15,9.0,9.0,9.0,9.0,1000,False,QUET
2022-04-18,9.0,9.0,8.85,8.93,2000,False,QUET
2022-04-20,8.7,8.7,8.7,8.7,500,False,QUET
2022-04-27,9.7,9.7,9.7,9.7,1000,False,QUET
2022-05-17,0.0,0.0,0.0,9.61,0,True,QUET
2022-05-18,8.99,8.99,8.61,8.61,6000,False,QUET
2022-06-02,7.77,7.99,7.61,7.99,3000,False,QUET
2022-06-15,7.0,8.9,7.0,8.83,3500,False,QUET
2022-06-20,8.0,8.8,8.0,8.0,1500,False,QUET
2022-06-27,7.31,7.38,7.0,7.38,29500,False,QUET
2022-06-28,6.99,6.99,6.99,6.99,500,False,QUET
2022-06-29,7.75,7.75,7.75,7.75,500,False,QUET
2022-07-01,8.45,8.45,8.45,8.45,500,False,QUET
2022-07-07,9.1,9.1,8.0,8.0,1000,False,QUET
2022-07-13,9.0,9.0,8.8,8.8,2000,False,QUET
2022-07-15,9.5,9.5,9.5,9.5,2500,False,QUET
2022-07-18,8.5,8.5,8.5,8.5,2000,False,QUET
2022-07-19,9.0,9.0,9.0,9.0,500,False,QUET
2022-07-25,8.0,8.0,8.0,8.0,1000,False,QUET
2022-07-26,8.35,8.35,8.35,8.35,500,False,QUET
2022-08-01,0.0,8.35,8.35,8.35,500,True,QUET
2022-08-02,7.4,7.7,7.4,7.68,1500,False,QUET
2022-08-03,8.0,8.0,8.0,8.0,1000,False,QUET
2022-08-12,7.61,7.65,7.61,7.65,1000,False,QUET
2022-08-16,7.5,7.5,7.5,7.5,500,False,QUET
2022-08-26,8.35,8.35,8.35,8.35,500,False,QUET
2022-08-29,8.35,8.35,8.35,8.35,1500,False,QUET
2022-08-30,9.1,9.1,9.1,9.1,500,False,QUET
2022-09-01,9.1,9.1,9.1,9.1,1000,False,QUET
2022-09-02,10.0,10.0,10.0,10.0,500,False,QUET
2022-09-08,10.9,10.9,9.0,9.0,2000,False,QUET
2022-09-16,8.21,8.29,8.21,8.29,1500,False,QUET
2022-09-19,8.99,8.99,8.99,8.99,500,False,QUET
2022-10-03,8.06,8.06,8.02,8.02,2000,False,QUET
2022-10-04,8.8,8.8,8.25,8.25,3500,False,QUET
2022-10-12,9.25,9.25,9.25,9.25,500,False,QUET
2022-10-13,9.0,9.74,9.0,9.07,15000,False,QUET
2022-10-20,8.75,8.75,8.75,8.75,2000,False,QUET
2022-10-24,8.5,8.5,8.5,8.5,2000,False,QUET
2022-10-31,8.25,8.5,8.0,8.0,6000,False,QUET
2022-11-02,8.5,9.0,8.5,9.0,15500,False,QUET
2022-11-03,9.85,10.0,9.85,10.0,1000,False,QUET
2022-11-04,9.0,9.0,9.0,9.0,6000,False,QUET
2022-11-08,8.4,10.0,8.4,10.0,56500,False,QUET
2022-11-10,9.1,11.0,9.1,11.0,22000,False,QUET
2022-11-11,12.0,12.0,12.0,12.0,19500,False,QUET
2022-11-14,13.0,13.0,12.8,13.0,43500,False,QUET
2022-11-15,13.94,14.0,13.94,14.0,38000,False,QUET
2022-11-16,14.51,15.05,12.95,15.04,94500,False,QUET
2022-11-17,15.04,16.16,15.04,16.16,131000,False,QUET
2022-11-18,16.45,17.37,16.16,17.37,98500,False,QUET
2022-11-21,18.3,18.67,18.3,18.66,71000,False,QUET
2022-11-22,19.25,20.05,18.66,20.05,86000,False,QUET
2022-11-23,21.0,21.55,20.25,21.55,59500,False,QUET
2022-11-24,21.8,23.16,21.8,22.88,43500,False,QUET
2022-11-25,24.48,24.48,21.17,21.17,20500,False,QUET
2022-11-28,19.59,19.59,19.59,19.59,3000,False,QUET
2022-11-29,18.13,21.05,18.13,21.05,44000,False,QUET
2022-11-30,21.1,21.1,19.48,19.48,3500,False,QUET
2022-12-01,20.0,20.94,20.0,20.92,114500,False,QUET
2022-12-02,19.42,21.0,19.42,20.74,1500,False,QUET
2022-12-05,19.24,21.46,19.24,21.46,13500,False,QUET
2022-12-06,20.05,20.05,19.86,19.86,6000,False,QUET
2022-12-07,18.38,20.49,18.38,18.38,108500,False,QUET
2022-12-09,17.5,19.0,17.5,18.75,1500,False,QUET
2022-12-15,17.35,17.35,17.35,17.35,1000,False,QUET
2022-12-16,16.05,16.05,16.05,16.05,500,False,QUET
2022-12-20,15.1,16.0,15.1,16.0,1000,False,QUET
2022-12-23,17.19,17.19,17.19,17.19,500,False,QUET
2022-12-26,16.4,16.4,16.4,16.4,500,False,QUET
2022-12-29,0.0,16.4,16.4,16.4,500,True,QUET
2023-01-05,15.2,15.2,15.2,15.2,500,False,QUET
2023-01-09,16.34,16.34,15.61,15.61,1000,False,QUET
2023-01-13,0.0,0.0,0.0,14.44,0,True,QUET
2023-01-19,0.0,14.44,14.44,14.44,3500,True,QUET
2023-02-02,0.0,14.44,14.44,14.44,500,True,QUET
2023-02-03,15.52,15.52,15.52,15.52,500,False,QUET
2023-02-06,14.5,14.5,14.36,14.36,1500,False,QUET
2023-02-07,13.29,13.29,13.29,13.29,3000,False,QUET
2023-02-13,12.29,12.29,12.29,12.29,500,False,QUET
2023-02-14,11.29,11.29,11.29,11.29,3500,False,QUET
2023-02-15,10.29,12.29,10.29,12.29,6000,False,QUET
2023-02-16,11.3,13.29,11.3,13.29,47000,False,QUET
2023-02-17,14.29,14.29,14.29,14.29,7500,False,QUET
2023-02-20,15.36,15.36,15.36,15.36,15500,False,QUET
2023-02-21,16.48,16.51,16.48,16.51,57500,False,QUET
2023-02-22,17.74,17.74,17.74,17.74,7000,False,QUET
2023-02-23,19.07,19.07,19.07,19.07,23000,False,QUET
2023-02-24,20.4,20.5,19.07,20.5,147500,False,QUET
2023-02-27,21.9,22.03,20.51,21.87,38500,False,QUET
2023-02-28,21.87,21.87,20.23,20.23,4000,False,QUET
2023-03-01,18.72,18.72,18.72,18.72,3000,False,QUET
2023-03-02,18.7,20.12,17.32,19.8,23500,False,QUET
2023-03-03,19.99,19.99,19.99,19.99,1000,False,QUET
2023-03-07,18.51,18.51,18.51,18.51,500,False,QUET
2023-03-14,0.0,18.51,18.51,18.51,500,True,QUET
2023-03-15,17.13,18.51,17.13,17.13,5500,False,QUET
2023-03-16,15.85,17.13,15.85,16.0,19000,False,QUET
2023-03-17,16.25,17.15,16.0,17.15,20000,False,QUET
2023-03-20,17.25,18.4,16.5,18.4,3500,False,QUET
2023-03-21,19.77,19.78,17.02,17.02,219500,False,QUET
2023-03-22,16.1,17.34,15.75,16.94,64500,False,QUET
2023-03-24,15.67,15.67,15.67,15.67,18000,False,QUET
2023-03-27,14.75,15.3,14.5,15.3,10000,False,QUET
2023-03-28,14.3,14.3,14.16,14.16,19000,False,QUET
2023-03-29,13.15,15.22,13.15,15.03,172500,False,QUET
2023-03-30,15.15,16.15,15.15,16.15,53500,False,QUET
2023-03-31,0.0,16.15,16.15,16.15,500,True,QUET
2023-04-06,15.11,16.77,15.11,16.77,1000,False,QUET
2023-04-12,15.52,15.52,15.52,15.52,3500,False,QUET
2023-04-13,15.52,15.52,15.52,15.52,2000,False,QUET
2023-04-17,15.52,16.25,15.52,15.89,3000,False,QUET
2023-04-26,16.6,16.6,15.89,16.5,130500,False,QUET
2023-04-27,15.5,16.4,15.5,16.4,5500,False,QUET
2023-04-28,15.3,15.3,15.3,15.3,2500,False,QUET
2023-05-02,16.0,16.0,16.0,16.0,1000,False,QUET
2023-05-04,14.8,14.8,14.8,14.8,1000,False,QUET
2023-05-05,14.3,15.37,14.25,15.37,19500,False,QUET
2023-05-08,15.75,15.75,15.75,15.75,97500,False,QUET
2023-05-11,0.0,15.75,15.75,15.75,13500,True,QUET
2023-05-17,14.57,14.57,14.57,14.57,3000,False,QUET
2023-05-18,15.34,15.39,15.34,15.37,1000,False,QUET
2023-05-29,15.74,15.74,15.74,15.74,19500,False,QUET
2023-06-07,16.25,16.25,14.56,14.56,5500,False,QUET
2023-06-08,13.51,14.97,13.5,14.97,3500,False,QUET
2023-06-09,13.85,14.69,13.85,14.41,3000,False,QUET
2023-06-13,0.0,0.0,0.0,14.41,357000,True,QUET
2023-06-14,13.33,13.33,13.33,13.33,500,False,QUET
2023-06-16,12.33,12.33,12.33,12.33,500,False,QUET
2023-06-19,13.33,13.33,13.33,13.33,500,False,QUET
2023-07-03,13.4,13.4,13.35,13.35,1000,False,QUET
2023-07-07,14.3,14.35,12.5,14.35,23500,False,QUET
2023-07-10,15.4,15.43,15.4,15.43,17000,False,QUET
2023-07-11,16.5,16.59,16.5,16.59,2000,False,QUET
2023-07-18,16.0,16.0,16.0,16.0,10000,False,QUET
2023-07-25,14.9,14.9,14.9,14.9,500,False,QUET
2023-07-31,14.9,15.0,14.9,15.0,1000,False,QUET
2023-08-01,14.9,15.25,13.95,15.25,1500,False,QUET
2023-08-03,14.11,14.11,14.11,14.11,1500,False,QUET
2023-08-04,14.11,14.11,14.11,14.11,500,False,QUET
2023-08-07,13.05,14.0,13.05,14.0,2500,False,QUET
2023-08-21,0.0,0.0,0.0,13.03,500,True,QUET
2023-08-22,12.03,12.03,12.03,12.03,14000,False,QUET
2023-08-23,11.03,12.0,11.03,11.03,27000,False,QUET
2023-08-24,10.03,10.03,10.03,10.03,13000,False,QUET
2023-08-25,9.03,10.5,9.03,9.65,275000,False,QUET
2023-08-28,9.3,9.3,9.26,9.26,4500,False,QUET
2023-08-30,9.55,9.65,9.0,9.0,2000,False,QUET
2023-08-31,9.2,9.2,9.02,9.02,2000,False,QUET
2023-09-04,8.5,10.02,8.5,9.86,13000,False,QUET
2023-09-05,10.86,10.86,9.81,10.86,39000,False,QUET
2023-09-06,11.47,11.86,11.47,11.84,90000,False,QUET
2023-09-07,12.1,12.1,10.9,10.94,21000,False,QUET
2023-09-08,10.9,11.4,10.9,11.4,4000,False,QUET
2023-09-13,10.4,10.5,10.4,10.5,1000,False,QUET
2023-09-14,10.5,11.0,10.5,10.5,4000,False,QUET
2023-09-15,10.1,10.5,10.1,10.5,10500,False,QUET
2023-09-20,10.5,11.5,10.5,11.38,23000,False,QUET
2023-09-21,12.38,12.38,11.0,11.0,10500,False,QUET
2023-09-22,11.0,11.0,10.5,10.5,9000,False,QUET
2023-09-26,10.45,10.45,10.13,10.13,2500,False,QUET
2023-09-27,10.0,10.0,10.0,10.0,5000,False,QUET
2023-09-28,10.0,10.0,9.75,10.0,6000,False,QUET
2023-10-02,9.14,11.0,9.14,10.49,10500,False,QUET
