date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,6.58,6.64,6.5,6.54,7000,False,REDCO
2021-04-27,6.4,6.49,6.27,6.32,10500,False,REDCO
2021-04-29,6.7,6.75,6.25,6.25,10500,False,REDCO
2021-04-30,6.25,6.25,5.8,5.99,34500,False,REDCO
2021-05-03,6.25,6.25,6.25,6.25,500,False,REDCO
2021-05-04,6.01,6.01,5.79,5.8,6500,False,REDCO
2021-05-05,5.98,5.99,5.75,5.86,53000,False,REDCO
2021-05-06,5.53,5.53,5.52,5.52,1500,False,REDCO
2021-05-17,5.97,6.25,5.97,6.0,13000,False,REDCO
2021-05-18,6.01,6.01,5.9,5.94,21500,False,REDCO
2021-05-19,6.0,6.15,6.0,6.14,12000,False,REDCO
2021-05-20,6.0,7.0,6.0,6.63,92000,False,REDCO
2021-05-21,6.95,7.1,6.5,6.75,19500,False,REDCO
2021-05-24,6.95,7.25,6.7,6.98,30500,False,REDCO
2021-05-25,6.75,6.98,6.7,6.98,13500,False,REDCO
2021-05-26,6.96,7.25,6.8,7.16,22500,False,REDCO
2021-05-27,6.76,7.25,6.76,6.9,52500,False,REDCO
2021-05-28,7.15,7.4,7.0,7.23,29000,False,REDCO
2021-05-31,7.45,8.11,7.45,7.96,86000,False,REDCO
2021-06-01,8.05,8.48,7.8,7.97,46500,False,REDCO
2021-06-02,7.99,8.0,7.7,7.79,29500,False,REDCO
2021-06-03,8.0,8.0,7.7,7.7,11500,False,REDCO
2021-06-04,7.94,7.94,7.5,7.68,6000,False,REDCO
2021-06-07,7.4,7.9,7.0,7.4,130000,False,REDCO
2021-06-08,7.26,7.36,7.26,7.32,3000,False,REDCO
2021-06-09,7.4,7.4,7.25,7.25,7500,False,REDCO
2021-06-10,7.3,7.5,7.3,7.5,27000,False,REDCO
2021-06-11,7.11,7.6,7.0,7.26,140000,False,REDCO
2021-06-14,7.15,7.24,6.75,7.23,24500,False,REDCO
2021-06-15,7.2,7.5,7.0,7.0,189500,False,REDCO
2021-06-16,6.78,7.6,6.0,7.5,262000,False,REDCO
