date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,41.0,41.0,40.75,41.0,21500,False,REWM
2021-04-27,41.0,44.07,40.0,44.07,80000,False,REWM
2021-04-28,47.37,47.37,47.37,47.37,5000,False,REWM
2021-04-29,50.9,50.92,48.6,50.92,74500,False,REWM
2021-04-30,51.89,51.9,47.11,47.29,17500,False,REWM
2021-05-03,46.0,48.0,46.0,46.2,9500,False,REWM
2021-05-04,46.3,46.3,45.0,45.06,15000,False,REWM
2021-05-05,47.85,48.43,47.85,48.43,22500,False,REWM
2021-05-06,49.9,52.06,49.48,51.72,69000,False,REWM
2021-05-17,55.0,55.59,54.0,55.48,57000,False,REWM
2021-05-18,55.0,58.4,55.0,57.73,25500,False,REWM
2021-05-19,58.0,58.0,56.0,57.67,18500,False,REWM
2021-05-20,56.55,56.98,54.0,54.79,65000,False,REWM
2021-05-21,56.0,57.0,55.5,55.6,11500,False,REWM
2021-05-24,55.7,59.7,55.7,59.7,61000,False,REWM
2021-05-25,59.0,59.4,58.0,58.3,18500,False,REWM
2021-05-26,58.9,61.65,58.9,60.59,38000,False,REWM
2021-05-27,61.0,63.0,61.0,62.23,64000,False,REWM
2021-05-28,63.4,63.5,61.11,61.66,26000,False,REWM
2021-05-31,60.0,60.01,56.0,58.84,57500,False,REWM
2021-06-01,57.4,58.4,57.4,58.4,29000,False,REWM
2021-06-02,58.51,61.0,58.0,59.29,45000,False,REWM
2021-06-03,63.65,63.65,59.0,60.45,26500,False,REWM
2021-06-04,61.74,61.74,59.5,60.0,46000,False,REWM
2021-06-07,56.04,60.91,56.04,60.4,8500,False,REWM
2021-06-08,59.07,59.9,59.01,59.9,3500,False,REWM
2021-06-09,58.01,58.8,58.01,58.1,11500,False,REWM
2021-06-10,58.1,59.0,57.51,58.9,8000,False,REWM
2021-06-11,60.0,60.0,58.69,58.69,2500,False,REWM
2021-06-14,58.55,59.0,57.6,57.76,7000,False,REWM
2021-06-15,58.5,60.8,58.5,60.8,17000,False,REWM
2021-06-16,59.9,62.97,59.9,62.0,183000,False,REWM
2021-06-17,63.0,66.65,61.5,66.65,254000,False,REWM
2021-06-18,71.64,71.64,71.64,71.64,47500,False,REWM
2021-06-21,77.01,77.01,77.01,77.01,3000,False,REWM
2021-06-22,80.0,80.0,71.35,76.56,156500,False,REWM
2021-06-23,82.3,82.3,77.41,80.49,43500,False,REWM
2021-06-24,80.0,81.0,78.06,79.5,24000,False,REWM
2021-06-25,80.0,80.0,75.25,77.56,22500,False,REWM
2021-06-28,75.05,75.05,73.61,73.91,8500,False,REWM
2021-06-29,75.0,76.0,72.0,72.49,14000,False,REWM
2021-06-30,72.0,75.2,72.0,72.41,65000,False,REWM
2021-07-01,72.0,73.49,72.0,73.49,4000,False,REWM
2021-07-02,73.49,73.99,72.0,73.99,14000,False,REWM
2021-07-05,73.0,73.0,72.76,73.0,2000,False,REWM
2021-07-06,71.41,72.1,71.36,71.8,5500,False,REWM
2021-07-07,72.0,72.0,70.0,70.0,3000,False,REWM
2021-07-08,72.01,72.25,69.0,69.43,24000,False,REWM
2021-07-09,69.36,70.1,69.36,69.93,23500,False,REWM
2021-07-12,70.0,70.0,69.0,69.0,15000,False,REWM
2021-07-13,68.0,70.0,68.0,70.0,3500,False,REWM
2021-07-14,70.0,70.95,70.0,70.0,11500,False,REWM
2021-07-15,70.0,70.0,69.0,69.38,3500,False,REWM
2021-07-16,69.02,72.0,69.02,70.0,4500,False,REWM
2021-07-19,69.0,69.98,68.51,69.98,6500,False,REWM
2021-07-23,67.0,69.0,66.51,68.65,5500,False,REWM
2021-07-26,69.9,70.0,69.25,70.0,7000,False,REWM
2021-07-27,70.0,73.0,69.0,72.19,17500,False,REWM
2021-07-28,72.99,72.99,68.0,68.25,34000,False,REWM
2021-07-29,68.2,69.99,67.36,68.43,13000,False,REWM
2021-07-30,71.0,71.89,68.01,68.51,20500,False,REWM
2021-08-02,69.01,70.5,69.0,69.96,7500,False,REWM
2021-08-03,70.0,70.0,70.0,70.0,7500,False,REWM
2021-08-04,71.9,72.35,71.0,72.23,30000,False,REWM
2021-08-05,73.0,75.99,72.7,75.13,36000,False,REWM
2021-08-06,75.01,75.16,75.0,75.15,3500,False,REWM
2021-08-09,75.0,75.0,69.52,69.79,55500,False,REWM
2021-08-10,70.0,71.0,69.0,70.0,8500,False,REWM
2021-08-11,71.9,72.9,70.0,71.0,18500,False,REWM
2021-08-12,71.0,71.0,70.0,70.0,3000,False,REWM
2021-08-16,67.0,72.5,67.0,70.67,8000,False,REWM
2021-08-17,72.0,73.4,71.0,72.44,21500,False,REWM
2021-08-20,72.89,73.89,72.0,73.88,8000,False,REWM
2021-08-23,74.0,78.22,74.0,78.0,18500,False,REWM
2021-08-24,75.0,80.0,75.0,79.54,32000,False,REWM
2021-08-25,79.49,80.0,78.0,79.01,22000,False,REWM
2021-08-26,79.85,80.0,79.0,79.0,5500,False,REWM
2021-08-27,78.0,79.0,76.7,78.47,6500,False,REWM
2021-08-30,77.0,80.0,77.0,79.0,12000,False,REWM
2021-08-31,80.0,83.98,78.06,79.93,40500,False,REWM
2021-09-01,80.5,81.5,78.26,79.11,28000,False,REWM
2021-09-02,79.0,80.0,78.0,78.67,16500,False,REWM
2021-09-03,78.0,78.0,72.77,72.86,123000,False,REWM
2021-09-06,73.5,75.0,71.25,73.81,20500,False,REWM
2021-09-07,73.85,75.0,71.0,72.0,31000,False,REWM
2021-09-08,72.0,72.0,70.0,71.14,12000,False,REWM
2021-09-09,70.51,72.0,70.51,71.0,11000,False,REWM
2021-09-10,71.01,74.0,71.0,73.94,15500,False,REWM
2021-09-13,73.0,73.0,70.0,70.57,28500,False,REWM
2021-09-14,70.05,70.57,70.01,70.01,11500,False,REWM
2021-09-15,69.0,70.0,69.0,70.0,3000,False,REWM
2021-09-16,73.9,73.9,70.0,70.01,10500,False,REWM
2021-09-17,69.98,72.0,69.05,69.05,7500,False,REWM
2021-09-20,70.0,72.0,68.51,70.0,22500,False,REWM
2021-09-21,70.0,72.0,70.0,70.75,25500,False,REWM
2021-09-22,70.0,72.79,66.1,69.43,47000,False,REWM
2021-09-23,71.5,72.99,68.5,69.0,38500,False,REWM
2021-09-24,68.0,72.0,68.0,71.1,20000,False,REWM
2021-09-27,70.0,71.0,70.0,70.99,16500,False,REWM
2021-09-28,72.0,72.0,70.0,70.2,23500,False,REWM
2021-09-29,71.0,71.9,64.94,67.25,37000,False,REWM
2021-09-30,66.15,69.0,62.55,63.05,16000,False,REWM
2021-10-01,64.5,67.77,63.05,65.0,7500,False,REWM
2021-10-04,67.95,67.99,65.0,67.98,6000,False,REWM
2021-10-05,64.11,67.98,63.52,65.0,49500,False,REWM
2021-10-06,63.0,63.0,62.0,62.0,6000,False,REWM
2021-10-07,61.51,64.0,60.6,63.93,24000,False,REWM
2021-10-08,63.0,63.0,59.15,60.84,13000,False,REWM
2021-10-11,57.87,62.0,56.5,60.06,18500,False,REWM
2021-10-12,59.59,59.59,59.0,59.1,8000,False,REWM
2021-10-13,58.02,58.02,56.01,56.35,11000,False,REWM
2021-10-14,55.01,60.57,52.13,60.56,26500,False,REWM
2021-10-15,61.0,62.0,59.0,59.0,4000,False,REWM
2021-10-18,60.9,61.0,59.0,59.05,4000,False,REWM
2021-10-20,58.01,60.79,56.55,60.79,16000,False,REWM
2021-10-21,65.33,65.33,63.0,64.95,11000,False,REWM
2021-10-22,65.0,65.0,63.0,63.0,1500,False,REWM
2021-10-25,65.0,66.9,65.0,66.9,2500,False,REWM
2021-10-26,68.9,69.3,65.0,69.3,14000,False,REWM
2021-10-27,72.0,73.5,70.0,70.58,10500,False,REWM
2021-10-28,70.0,72.0,70.0,72.0,37000,False,REWM
2021-10-29,73.45,73.5,70.0,70.7,12500,False,REWM
2021-11-01,71.0,74.0,71.0,74.0,19000,False,REWM
2021-11-02,72.0,73.0,72.0,73.0,1000,False,REWM
2021-11-03,72.0,72.99,68.15,69.22,5500,False,REWM
2021-11-04,68.0,71.6,67.15,70.38,9500,False,REWM
2021-11-05,72.0,72.25,70.0,70.7,16000,False,REWM
2021-11-08,70.0,71.25,69.55,71.25,4500,False,REWM
2021-11-09,71.25,71.25,69.5,69.5,5500,False,REWM
2021-11-10,69.0,70.5,69.0,69.2,7000,False,REWM
2021-11-11,70.5,71.49,69.0,69.25,23000,False,REWM
2021-11-12,72.72,72.72,71.5,71.5,1500,False,REWM
2021-11-15,71.0,71.0,70.0,70.57,5000,False,REWM
2021-11-16,71.5,71.5,70.05,70.28,4500,False,REWM
2021-11-17,70.0,70.0,69.0,69.5,6000,False,REWM
2021-11-18,70.5,71.4,69.5,69.5,5500,False,REWM
2021-11-19,72.5,73.9,72.5,73.9,11000,False,REWM
2021-11-22,69.0,69.0,68.4,68.7,1000,False,REWM
2021-11-23,69.01,72.0,68.0,68.0,9500,False,REWM
2021-11-26,66.5,68.0,65.1,66.55,3500,False,REWM
2021-11-29,67.0,70.9,67.0,69.6,7500,False,REWM
2021-11-30,68.25,68.25,66.76,67.41,10500,False,REWM
2021-12-01,69.9,69.9,69.9,69.9,2000,False,REWM
2021-12-02,64.7,66.68,64.66,65.68,3000,False,REWM
2021-12-03,63.01,63.5,63.01,63.38,2000,False,REWM
2021-12-06,65.0,67.9,65.0,67.9,4500,False,REWM
2021-12-07,70.0,70.0,66.0,67.5,5000,False,REWM
2021-12-08,66.25,66.25,66.0,66.13,4000,False,REWM
2021-12-09,62.5,62.5,62.5,62.5,1500,False,REWM
2021-12-10,67.0,67.0,67.0,67.0,500,False,REWM
2021-12-14,62.11,62.11,62.05,62.05,1500,False,REWM
2021-12-15,66.7,66.7,66.7,66.7,6500,False,REWM
2021-12-16,65.01,65.99,65.0,65.99,9000,False,REWM
2021-12-17,63.28,63.28,63.28,63.28,500,False,REWM
2021-12-20,65.5,65.5,63.02,63.36,6000,False,REWM
2021-12-21,63.7,63.7,63.5,63.55,5500,False,REWM
2021-12-22,64.0,64.5,63.0,64.13,5500,False,REWM
2021-12-23,64.5,66.34,64.5,66.34,1000,False,REWM
2021-12-30,68.48,71.31,68.48,71.31,64000,False,REWM
2021-12-31,75.49,75.49,75.49,75.49,500,False,REWM
2022-01-03,70.25,73.8,70.0,71.0,7000,False,REWM
2022-01-04,73.0,74.0,72.7,74.0,4500,False,REWM
2022-01-05,72.0,72.0,72.0,72.0,2000,False,REWM
2022-01-07,71.5,71.5,70.5,70.5,5500,False,REWM
2022-01-10,73.0,73.0,70.25,72.74,3500,False,REWM
2022-01-11,71.0,71.0,71.0,71.0,500,False,REWM
2022-01-12,73.0,73.0,73.0,73.0,500,False,REWM
2022-01-13,70.75,70.75,70.0,70.46,5000,False,REWM
2022-01-14,73.5,73.5,73.5,73.5,500,False,REWM
2022-01-18,68.0,73.8,68.0,69.19,15000,False,REWM
2022-01-19,69.0,69.19,69.0,69.0,1000,False,REWM
2022-01-20,67.0,68.85,67.0,68.85,1000,False,REWM
2022-01-21,68.99,68.99,68.99,68.99,1500,False,REWM
2022-01-24,71.5,71.5,68.0,68.0,6500,False,REWM
2022-01-26,68.75,68.85,67.85,67.85,2500,False,REWM
