date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,31.7,33.13,31.0,33.13,36000,False,RUPL
2021-04-27,35.61,35.61,32.6,33.61,86000,False,RUPL
2021-04-28,32.3,33.0,32.1,32.53,9500,False,RUPL
2021-04-29,32.71,32.71,31.99,32.0,2500,False,RUPL
2021-05-03,29.61,31.0,29.61,30.5,3000,False,RUPL
2021-05-04,30.5,31.88,29.8,30.5,3500,False,RUPL
2021-05-17,31.7,31.9,31.7,31.83,4500,False,RUPL
2021-05-19,32.89,32.89,31.0,31.0,10000,False,RUPL
2021-05-20,32.49,33.32,32.25,33.32,23000,False,RUPL
2021-05-21,34.9,35.81,33.1,33.7,30500,False,RUPL
2021-05-24,34.0,34.3,34.0,34.0,4000,False,RUPL
2021-05-25,34.0,35.5,34.0,34.5,9000,False,RUPL
2021-05-26,34.5,36.0,34.5,36.0,5000,False,RUPL
2021-05-28,33.66,36.3,33.66,35.9,8500,False,RUPL
2021-05-31,38.1,38.25,34.5,35.17,24500,False,RUPL
2021-06-01,36.0,36.0,34.71,35.46,39500,False,RUPL
2021-06-02,33.1,36.9,33.1,35.1,22000,False,RUPL
2021-06-03,35.1,35.1,34.5,35.0,43000,False,RUPL
2021-06-04,35.0,35.0,35.0,35.0,12500,False,RUPL
2021-06-07,34.55,35.01,34.55,35.0,30000,False,RUPL
2021-06-08,34.01,34.79,34.0,34.79,3500,False,RUPL
2021-06-09,34.0,34.79,34.0,34.79,1000,False,RUPL
2021-06-10,34.5,34.5,34.05,34.05,1500,False,RUPL
2021-06-15,33.3,33.3,33.0,33.13,4000,False,RUPL
2021-06-16,33.0,33.0,33.0,33.0,7500,False,RUPL
2021-06-17,33.0,33.0,32.5,33.0,7000,False,RUPL
2021-06-18,33.0,34.87,32.03,34.54,9000,False,RUPL
2021-06-21,34.99,35.0,34.99,35.0,3000,False,RUPL
2021-06-22,35.0,35.5,34.0,34.21,14500,False,RUPL
2021-06-24,34.0,34.99,34.0,34.98,2000,False,RUPL
2021-06-25,33.11,33.11,33.11,33.11,1500,False,RUPL
2021-06-29,34.0,34.0,34.0,34.0,1000,False,RUPL
2021-06-30,34.0,34.0,34.0,34.0,3000,False,RUPL
2021-07-02,34.78,34.78,34.78,34.78,500,False,RUPL
2021-07-05,34.0,34.0,34.0,34.0,20500,False,RUPL
2021-07-06,34.49,34.5,34.49,34.5,6000,False,RUPL
2021-07-07,35.0,35.0,34.0,34.0,2500,False,RUPL
2021-07-08,34.8,35.0,34.8,35.0,4500,False,RUPL
2021-07-09,34.5,35.5,34.5,35.5,1500,False,RUPL
2021-07-12,35.5,35.5,35.4,35.4,3000,False,RUPL
2021-07-13,35.4,35.4,34.51,34.51,1000,False,RUPL
2021-07-14,34.0,35.0,34.0,35.0,5500,False,RUPL
2021-07-15,35.0,35.6,35.0,35.15,3000,False,RUPL
2021-07-16,35.74,37.78,35.15,37.09,6500,False,RUPL
2021-07-19,38.0,38.5,36.5,36.5,7500,False,RUPL
2021-07-23,38.0,38.0,38.0,38.0,500,False,RUPL
2021-07-26,37.0,38.5,37.0,37.5,12500,False,RUPL
2021-07-27,37.5,39.95,37.5,38.0,13500,False,RUPL
2021-08-02,39.0,39.89,39.0,39.3,1500,False,RUPL
2021-08-04,40.0,40.0,39.0,39.0,7000,False,RUPL
2021-08-09,41.5,41.5,39.0,39.0,2500,False,RUPL
2021-08-11,40.0,40.1,39.5,39.5,12500,False,RUPL
2021-08-12,38.0,38.0,38.0,38.0,1000,False,RUPL
2021-08-13,38.0,40.5,38.0,40.5,2500,False,RUPL
2021-08-16,38.5,38.5,38.5,38.5,500,False,RUPL
2021-08-24,38.0,38.0,38.0,38.0,1000,False,RUPL
2021-08-31,36.0,39.0,36.0,39.0,1000,False,RUPL
2021-09-03,40.0,41.9,40.0,41.9,2000,False,RUPL
2021-09-06,45.04,45.04,44.0,45.04,93000,False,RUPL
2021-09-07,47.7,48.41,45.04,48.41,146500,False,RUPL
2021-09-08,50.79,50.79,44.78,45.99,116500,False,RUPL
2021-09-09,45.0,45.99,42.55,42.55,123000,False,RUPL
2021-09-10,42.0,43.9,42.0,42.0,17500,False,RUPL
2021-09-13,41.75,41.75,40.0,40.0,70000,False,RUPL
2021-09-14,39.0,39.01,38.5,38.91,24000,False,RUPL
2021-09-15,38.1,38.5,38.0,38.18,8000,False,RUPL
2021-09-16,38.5,39.0,38.0,38.5,17000,False,RUPL
2021-09-20,38.6,40.0,37.0,39.1,11000,False,RUPL
2021-09-21,40.0,41.99,37.0,39.61,266500,False,RUPL
2021-09-22,38.55,41.0,38.55,39.7,125000,False,RUPL
2021-09-23,40.75,41.49,38.5,39.14,83000,False,RUPL
2021-09-24,38.5,38.8,38.1,38.8,15500,False,RUPL
2021-09-27,38.75,38.75,37.5,37.6,9000,False,RUPL
2021-09-28,37.04,38.0,37.0,37.0,11000,False,RUPL
2021-09-29,37.5,38.0,37.0,37.45,10000,False,RUPL
2021-09-30,37.5,37.95,37.5,37.77,5000,False,RUPL
2021-10-01,38.0,39.0,38.0,38.5,2500,False,RUPL
2021-10-04,38.51,40.48,38.51,40.09,10500,False,RUPL
2021-10-05,40.4,40.4,38.75,38.75,4000,False,RUPL
2021-10-06,39.5,39.5,39.5,39.5,1500,False,RUPL
2021-10-07,39.5,39.5,39.0,39.5,3000,False,RUPL
2021-10-08,39.5,39.8,39.5,39.8,1000,False,RUPL
2021-10-11,40.99,41.0,38.0,38.75,12000,False,RUPL
2021-10-12,37.0,39.95,35.86,39.51,8000,False,RUPL
2021-10-13,39.0,39.0,38.0,38.01,2500,False,RUPL
2021-10-14,38.0,39.5,38.0,39.0,15000,False,RUPL
2021-10-15,39.0,40.88,39.0,39.41,23000,False,RUPL
2021-10-18,39.41,40.4,38.3,40.01,26000,False,RUPL
2021-10-20,35.0,36.09,34.6,34.6,15500,False,RUPL
2021-10-21,35.78,35.78,34.0,34.0,2500,False,RUPL
2021-10-25,33.0,35.23,33.0,35.0,3000,False,RUPL
2021-10-26,34.5,34.5,34.5,34.5,2500,False,RUPL
2021-10-27,35.0,35.0,35.0,35.0,2500,False,RUPL
2021-10-28,36.88,36.88,35.2,35.21,11500,False,RUPL
2021-10-29,36.5,36.5,35.0,35.5,5500,False,RUPL
2021-11-01,37.0,37.0,36.0,36.33,8500,False,RUPL
2021-11-02,36.33,36.99,36.33,36.66,1000,False,RUPL
2021-11-03,35.62,36.66,35.62,36.0,5000,False,RUPL
2021-11-04,36.0,36.5,36.0,36.5,1500,False,RUPL
2021-11-05,36.25,36.25,36.25,36.25,500,False,RUPL
2021-11-08,36.25,36.25,36.0,36.0,2500,False,RUPL
2021-11-09,38.3,38.3,35.5,35.5,1500,False,RUPL
2021-11-11,35.51,35.51,35.5,35.5,10000,False,RUPL
2021-11-12,35.04,35.04,35.04,35.04,500,False,RUPL
2021-11-15,35.99,35.99,35.99,35.99,1500,False,RUPL
2021-11-17,35.5,35.5,35.0,35.5,5500,False,RUPL
2021-11-19,35.5,35.5,35.5,35.5,1500,False,RUPL
2021-11-24,32.85,34.04,32.85,34.04,2500,False,RUPL
2021-11-26,36.25,36.25,36.25,36.25,500,False,RUPL
2021-11-30,34.0,35.0,34.0,35.0,3000,False,RUPL
2021-12-01,35.0,35.0,35.0,35.0,500,False,RUPL
2021-12-02,34.0,34.0,32.5,32.51,3500,False,RUPL
2021-12-07,32.0,32.0,32.0,32.0,500,False,RUPL
2021-12-08,32.5,32.5,32.5,32.5,500,False,RUPL
2021-12-10,31.0,34.93,31.0,32.93,2500,False,RUPL
2021-12-15,35.39,35.39,34.5,34.5,1000,False,RUPL
2021-12-16,32.65,32.65,31.95,31.95,5500,False,RUPL
