date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,15.05,15.05,15.05,15.05,1000,False,SASML
2021-05-25,14.0,14.01,13.93,14.01,8000,False,SASML
2021-05-26,14.01,14.01,14.01,14.01,500,False,SASML
2021-06-02,14.5,14.5,14.5,14.5,500,False,SASML
2021-06-03,15.5,15.5,15.5,15.5,500,False,SASML
2021-06-08,14.6,14.6,14.6,14.6,1000,False,SASML
2021-06-14,15.0,15.0,15.0,15.0,500,False,SASML
2021-06-15,15.0,15.0,15.0,15.0,500,False,SASML
2021-06-30,15.5,15.5,15.5,15.5,500,False,SASML
2021-07-15,14.34,14.34,14.34,14.34,1000,False,SASML
2021-07-16,13.27,13.27,13.27,13.27,500,False,SASML
2021-07-19,14.27,14.27,14.27,14.27,1500,False,SASML
2021-07-26,15.3,15.34,15.3,15.34,2500,False,SASML
2021-07-27,16.45,16.45,15.34,16.45,1000,False,SASML
2021-07-28,15.3,15.3,15.3,15.3,1000,False,SASML
2021-07-30,14.16,14.16,14.16,14.16,3500,False,SASML
2021-08-03,14.16,14.16,14.16,14.16,2000,False,SASML
2021-08-04,13.25,13.25,13.25,13.25,500,False,SASML
2021-08-05,14.25,14.25,14.25,14.25,500,False,SASML
2021-08-17,15.29,15.29,15.29,15.29,500,False,SASML
2021-08-24,16.39,16.39,16.39,16.39,500,False,SASML
2021-09-01,17.58,17.59,15.18,15.18,4000,False,SASML
2021-09-06,14.05,14.05,14.05,14.05,500,False,SASML
2021-09-09,13.0,13.25,13.0,13.25,1000,False,SASML
2021-10-07,14.2,14.2,14.2,13.25,500,True,SASML
2021-10-18,0.0,0.0,0.0,12.25,0,True,SASML
2021-10-20,11.25,13.25,11.25,13.25,1500,False,SASML
2021-10-25,0.0,0.0,0.0,13.25,0,True,SASML
2021-10-29,14.0,14.0,14.0,14.0,1000,False,SASML
2021-11-01,14.75,14.75,14.75,14.0,500,True,SASML
2021-11-03,14.99,14.99,14.99,14.99,1500,False,SASML
2021-11-05,16.0,16.0,16.0,14.99,500,True,SASML
2021-11-23,13.87,13.87,13.87,13.87,500,False,SASML
2021-11-25,12.84,14.9,12.84,14.9,1000,False,SASML
2021-11-30,15.9,15.9,15.9,14.9,500,True,SASML
2021-12-15,15.89,15.89,15.89,15.89,500,False,SASML
2021-12-24,17.0,17.0,14.7,14.7,1000,False,SASML
2021-12-28,13.61,13.61,13.61,13.61,500,False,SASML
2022-01-13,14.6,14.6,14.6,14.6,500,False,SASML
2022-01-25,14.0,14.0,14.0,14.0,1500,False,SASML
2022-01-26,14.0,15.05,14.0,15.05,1500,False,SASML
2022-01-27,16.17,16.17,16.15,16.17,5500,False,SASML
2022-01-31,17.33,17.35,16.99,16.99,5500,False,SASML
2022-02-02,15.75,15.75,15.75,15.75,500,False,SASML
2022-02-03,14.61,16.49,14.6,16.49,3000,False,SASML
2022-02-04,17.7,17.7,17.7,17.7,500,False,SASML
2022-02-10,17.0,17.0,16.38,16.38,2500,False,SASML
2022-03-04,0.0,0.0,0.0,16.16,0,True,SASML
2022-03-30,14.96,14.96,14.96,14.96,500,False,SASML
2022-04-18,13.84,15.99,13.84,15.99,4500,False,SASML
2022-04-25,17.1,17.1,17.0,17.0,3000,False,SASML
2022-04-26,16.1,16.1,16.1,16.1,2000,False,SASML
2022-04-27,14.9,14.9,14.9,14.9,1000,False,SASML
2022-05-12,0.0,0.0,0.0,14.5,0,True,SASML
2022-05-25,15.58,15.58,15.58,15.58,500,False,SASML
2022-05-30,16.69,16.74,15.6,16.74,5500,False,SASML
2022-05-31,16.25,17.99,16.0,17.99,13500,False,SASML
2022-06-01,19.25,19.3,17.99,19.26,7000,False,SASML
2022-06-02,0.0,19.26,19.26,19.26,500,True,SASML
2022-06-10,0.0,0.0,0.0,18.9,0,True,SASML
2022-06-14,0.0,0.0,0.0,18.0,0,True,SASML
2022-06-20,17.0,17.0,17.0,17.0,1500,False,SASML
2022-08-01,0.0,0.0,0.0,16.93,0,True,SASML
2022-08-03,0.0,0.0,0.0,16.9,0,True,SASML
2022-08-04,0.0,0.0,0.0,15.64,0,True,SASML
2022-08-10,14.47,14.47,14.47,14.47,1000,False,SASML
2022-10-05,0.0,0.0,0.0,13.39,0,True,SASML
2022-10-25,0.0,0.0,0.0,13.0,0,True,SASML
2022-11-01,12.9,12.9,12.0,12.0,5500,False,SASML
2022-11-02,11.85,11.85,11.5,11.5,1000,False,SASML
2022-11-07,11.0,11.0,11.0,11.0,1000,False,SASML
2022-11-08,11.95,12.0,10.03,10.03,1500,False,SASML
2022-11-10,0.0,0.0,0.0,10.84,0,True,SASML
2022-11-14,0.0,0.0,0.0,11.66,0,True,SASML
2022-11-15,0.0,0.0,0.0,12.46,0,True,SASML
