date,open,high,low,close,volume,is_anomaly,ticker
2021-10-15,0.0,100.0,100.0,100.0,300,True,SBLTFC
2021-10-18,0.0,100.0,100.0,100.0,200,True,SBLTFC
2021-10-25,0.0,0.0,0.0,100.0,0,True,SBLTFC
2021-11-05,0.0,100.0,100.0,100.0,500,True,SBLTFC
2021-11-08,102.15,102.15,102.15,102.15,500,False,SBLTFC
2021-11-09,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-10,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-11,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-12,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-15,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-16,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-17,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-18,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-19,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-22,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-23,0.0,102.15,102.15,102.15,600,True,SBLTFC
2021-11-24,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-25,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-26,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-29,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-11-30,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-12-01,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-12-02,0.0,102.15,102.15,102.15,600,True,SBLTFC
2021-12-03,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-12-06,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-12-07,0.0,0.0,0.0,102.15,0,True,SBLTFC
2021-12-08,0.0,0.0,0.0,102.15,0,True,SBLTFC
2022-03-10,0.0,102.15,102.15,102.15,14,True,SBLTFC
2022-03-11,102.0,102.0,102.0,102.0,14,False,SBLTFC
2022-03-14,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-15,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-16,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-17,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-18,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-21,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-22,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-24,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-25,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-28,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-29,103.51,103.51,103.51,102.0,76,True,SBLTFC
2022-03-30,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-03-31,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-01,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-04,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-05,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-06,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-07,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-08,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-11,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-12,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-13,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-14,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-15,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-18,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-19,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-20,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-21,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-22,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-25,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-26,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-27,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-04-28,0.0,0.0,0.0,102.0,0,True,SBLTFC
2022-05-11,100.0,102.0,100.0,100.0,2400,False,SBLTFC
2022-05-12,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-13,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-16,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-17,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-18,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-19,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-20,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-23,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-24,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-25,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-26,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-27,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-30,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-05-31,0.0,0.0,0.0,100.0,0,True,SBLTFC
2022-06-01,0.0,100.5,100.0,100.36,4000,True,SBLTFC
2022-06-02,100.0,100.0,100.0,100.36,14,True,SBLTFC
2022-06-03,100.5,100.5,100.36,100.42,4000,False,SBLTFC
2022-06-06,0.0,100.42,100.42,100.42,500,True,SBLTFC
2022-06-07,0.0,100.42,100.42,100.42,2000,True,SBLTFC
2022-06-08,100.1,100.1,100.1,100.42,14,True,SBLTFC
2022-06-09,0.0,0.0,0.0,100.42,0,True,SBLTFC
2022-06-10,0.0,0.0,0.0,100.42,0,True,SBLTFC
2022-06-13,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-14,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-15,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-16,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-17,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-20,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-21,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-22,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-23,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-24,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-27,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-28,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-29,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-06-30,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-07-01,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-07-04,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-07-05,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-07-06,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-07-07,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-07-26,100.42,100.42,100.42,100.5,90,True,SBLTFC
2022-07-27,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-07-28,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-07-29,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-01,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-02,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-03,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-04,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-05,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-10,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-11,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-12,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-15,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-16,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-17,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-18,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-19,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-22,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-23,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-24,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-08-25,0.0,0.0,0.0,100.5,0,True,SBLTFC
2022-10-25,0.0,100.5,100.5,100.5,76,True,SBLTFC
2022-11-03,0.0,100.5,100.5,100.5,100,True,SBLTFC
2022-12-12,0.0,100.5,100.5,100.5,850,True,SBLTFC
2022-12-21,99.85,99.85,99.85,99.85,650,False,SBLTFC
2022-12-22,0.0,0.0,0.0,99.85,0,True,SBLTFC
2022-12-23,0.0,0.0,0.0,99.85,0,True,SBLTFC
2022-12-26,0.0,0.0,0.0,99.85,0,True,SBLTFC
2022-12-27,0.0,0.0,0.0,99.85,0,True,SBLTFC
2022-12-28,0.0,0.0,0.0,99.85,0,True,SBLTFC
2022-12-29,0.0,0.0,0.0,99.85,0,True,SBLTFC
2022-12-30,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-02,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-03,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-04,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-05,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-06,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-09,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-10,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-11,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-12,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-13,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-16,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-17,0.0,99.85,99.85,99.85,850,True,SBLTFC
2023-01-18,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-19,0.0,0.0,0.0,99.85,0,True,SBLTFC
2023-01-20,100.0,100.0,100.0,99.93,650,True,SBLTFC
2023-01-23,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-01-24,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-01-25,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-01-26,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-01-27,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-01-30,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-01-31,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-01,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-02,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-03,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-06,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-07,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-08,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-09,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-10,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-13,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-14,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-15,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-16,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-02-17,0.0,0.0,0.0,100.0,0,True,SBLTFC
2023-03-06,0.0,100.0,100.0,100.0,15,True,SBLTFC
2023-03-07,98.0,98.0,98.0,100.0,30,True,SBLTFC
