date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,232.0,252.61,231.0,252.61,882107,False,SEARL
2021-04-27,254.0,261.21,246.0,247.7,973902,False,SEARL
2021-04-28,238.0,245.0,234.26,239.66,760179,False,SEARL
2021-04-29,242.48,242.5,235.6,236.89,129690,False,SEARL
2021-04-30,237.9,238.0,226.0,227.71,311830,False,SEARL
2021-05-03,228.95,232.0,222.61,228.29,207580,False,SEARL
2021-05-04,231.98,232.0,228.0,228.64,127085,False,SEARL
2021-05-05,234.98,234.98,230.0,230.29,148341,False,SEARL
2021-05-06,231.95,232.0,228.5,230.46,125501,False,SEARL
2021-05-17,233.0,233.98,231.0,232.92,230686,False,SEARL
2021-05-18,234.0,242.0,231.13,236.68,648923,False,SEARL
2021-05-19,235.0,239.79,233.99,236.1,281466,False,SEARL
2021-05-20,236.51,247.5,236.51,241.43,983957,False,SEARL
2021-05-21,241.43,249.0,241.39,243.57,774714,False,SEARL
2021-05-24,246.0,246.0,239.5,240.74,292105,False,SEARL
2021-05-25,240.74,241.99,238.0,238.29,255397,False,SEARL
2021-05-26,239.1,242.0,238.67,239.19,262114,False,SEARL
2021-05-27,240.0,244.5,237.55,240.52,586207,False,SEARL
2021-05-28,241.0,242.03,238.01,238.47,244982,False,SEARL
2021-05-31,238.92,245.95,238.92,243.38,821205,False,SEARL
2021-06-01,245.0,251.5,243.12,247.96,1090733,False,SEARL
2021-06-02,248.1,251.9,246.01,249.65,437885,False,SEARL
2021-06-03,249.65,256.04,248.4,252.99,1076339,False,SEARL
2021-06-04,253.5,260.4,253.5,255.74,1191403,False,SEARL
2021-06-07,258.01,260.5,250.0,252.53,604523,False,SEARL
2021-06-08,251.99,253.5,248.11,251.59,652975,False,SEARL
2021-06-09,252.49,256.85,252.01,253.27,760889,False,SEARL
2021-06-10,253.5,258.14,253.5,256.05,1055390,False,SEARL
2021-06-11,257.5,259.0,253.05,256.98,453779,False,SEARL
2021-06-14,260.9,266.15,241.0,255.19,2410998,False,SEARL
2021-06-15,256.0,262.0,253.5,258.2,611794,False,SEARL
2021-06-16,257.26,260.9,254.05,255.75,403249,False,SEARL
2021-06-17,254.0,256.01,253.0,254.74,174811,False,SEARL
2021-06-18,254.0,257.48,253.0,255.68,132286,False,SEARL
2021-06-21,255.49,257.79,253.1,254.09,138452,False,SEARL
2021-06-22,254.0,259.0,251.5,252.03,419279,False,SEARL
2021-06-23,253.99,254.27,250.5,251.22,208112,False,SEARL
2021-06-24,251.5,253.5,250.0,252.84,233362,False,SEARL
2021-06-25,252.0,253.9,245.05,246.2,578284,False,SEARL
2021-06-28,244.99,245.0,239.0,240.14,427218,False,SEARL
2021-06-29,243.0,243.8,240.05,240.6,205927,False,SEARL
2021-06-30,242.99,247.0,242.0,242.62,244845,False,SEARL
2021-07-01,244.98,245.49,243.26,244.83,153872,False,SEARL
2021-07-02,246.0,246.0,242.5,242.94,132807,False,SEARL
2021-07-05,243.96,244.0,241.0,241.88,164939,False,SEARL
2021-07-06,242.99,243.01,240.01,240.83,178799,False,SEARL
2021-07-07,242.0,242.0,238.25,240.74,177190,False,SEARL
2021-07-08,242.0,246.0,241.0,244.57,233005,False,SEARL
2021-07-09,244.0,244.9,240.0,240.43,216771,False,SEARL
2021-07-12,239.55,242.99,238.01,238.21,87604,False,SEARL
2021-07-13,238.01,239.5,238.0,238.21,134477,False,SEARL
2021-07-14,239.93,240.99,238.05,240.08,137007,False,SEARL
2021-07-15,240.08,242.25,239.5,241.57,91740,False,SEARL
2021-07-16,240.0,242.0,240.0,241.52,64341,False,SEARL
2021-07-19,241.99,243.37,240.0,242.46,96717,False,SEARL
2021-07-23,242.5,244.0,239.49,241.24,258591,False,SEARL
2021-07-26,241.11,241.97,238.7,239.89,371267,False,SEARL
2021-07-27,240.0,242.5,239.0,241.64,610211,False,SEARL
2021-07-28,242.75,243.49,240.0,240.75,267877,False,SEARL
2021-07-29,238.12,240.99,238.11,239.49,187371,False,SEARL
2021-07-30,240.0,241.97,236.0,237.18,223849,False,SEARL
2021-08-02,239.5,245.74,237.5,242.98,526758,False,SEARL
2021-08-03,244.4,245.0,241.51,242.38,282169,False,SEARL
2021-08-04,243.9,244.98,240.0,241.0,228486,False,SEARL
2021-08-05,241.0,242.74,239.0,239.1,168682,False,SEARL
2021-08-06,240.0,240.0,238.25,239.58,98124,False,SEARL
2021-08-09,240.45,240.45,236.0,237.21,133547,False,SEARL
2021-08-10,239.85,239.85,235.1,238.82,76712,False,SEARL
2021-08-11,239.0,244.75,238.5,241.14,618966,False,SEARL
2021-08-12,241.0,242.99,238.21,240.49,98470,False,SEARL
2021-08-13,240.94,240.94,237.0,237.76,116223,False,SEARL
2021-08-16,238.99,238.99,232.52,235.17,121239,False,SEARL
2021-08-17,233.05,237.49,233.05,236.18,77428,False,SEARL
2021-08-20,238.0,238.75,235.65,236.63,171518,False,SEARL
2021-08-23,237.99,242.37,236.64,241.76,522550,False,SEARL
2021-08-24,242.0,242.0,237.78,238.18,173916,False,SEARL
2021-08-25,240.0,240.0,236.62,237.41,118517,False,SEARL
2021-08-26,238.9,238.9,233.6,234.21,236649,False,SEARL
2021-08-27,234.99,234.99,226.98,228.51,418917,False,SEARL
2021-08-30,229.9,231.85,228.4,229.2,245905,False,SEARL
2021-08-31,230.0,230.04,227.13,228.12,100590,False,SEARL
2021-09-01,229.94,229.95,226.0,226.4,193143,False,SEARL
2021-09-02,225.09,228.5,224.0,224.38,239147,False,SEARL
2021-09-03,224.84,226.98,223.5,224.27,93550,False,SEARL
2021-09-06,224.0,227.77,218.0,219.11,457227,False,SEARL
2021-09-07,219.11,220.5,214.0,215.72,305260,False,SEARL
