date,open,high,low,close,volume,is_anomaly,ticker
2021-05-05,14.75,14.75,14.71,14.71,1000,False,SEL
2021-05-06,15.69,15.69,15.69,15.69,1500,False,SEL
2021-05-26,15.59,15.59,15.2,15.2,3000,False,SEL
2021-05-27,15.98,15.98,15.98,15.98,500,False,SEL
2021-05-31,14.8,16.3,14.79,15.35,4500,False,SEL
2021-06-01,15.9,15.9,15.9,15.9,1500,False,SEL
2021-06-16,15.88,15.88,15.88,15.88,2000,False,SEL
2021-06-17,0.0,15.88,15.88,15.88,5000,True,SEL
2021-06-18,0.0,15.88,15.88,15.88,5000,True,SEL
2021-06-22,14.69,15.88,14.69,15.38,2000,False,SEL
2021-06-28,14.31,15.29,14.24,15.13,8000,False,SEL
2021-06-29,0.0,15.13,15.13,15.13,500,True,SEL
2021-06-30,0.0,15.13,15.13,15.13,2000,True,SEL
2021-07-01,14.11,15.2,14.11,14.83,30500,False,SEL
2021-07-02,14.8,14.8,14.8,14.8,500,False,SEL
2021-07-06,14.48,14.48,14.48,14.48,500,False,SEL
2021-07-07,14.25,14.5,14.25,14.5,5500,False,SEL
2021-07-08,14.2,14.69,14.2,14.53,2000,False,SEL
2021-07-12,0.0,14.53,14.53,14.53,500,True,SEL
2021-07-13,14.7,14.7,14.5,14.5,7000,False,SEL
2021-07-14,14.11,14.3,14.11,14.3,2000,False,SEL
2021-07-16,0.0,14.3,14.3,14.3,1500,True,SEL
2021-07-19,14.2,14.4,14.2,14.4,4000,False,SEL
2021-07-23,14.15,14.5,14.12,14.5,7500,False,SEL
2021-07-26,14.0,14.39,13.55,14.29,2500,False,SEL
2021-07-27,14.4,14.5,14.4,14.5,1500,False,SEL
2021-07-28,14.0,14.3,14.0,14.15,1000,False,SEL
2021-07-29,14.0,14.0,13.09,13.5,6000,False,SEL
2021-08-03,13.02,13.77,13.02,13.77,1000,False,SEL
2021-08-04,13.5,13.5,13.5,13.5,500,False,SEL
2021-08-05,13.5,13.5,13.5,13.5,500,False,SEL
2021-08-10,13.0,13.3,13.0,13.3,1000,False,SEL
2021-08-11,13.0,13.3,13.0,13.3,1000,False,SEL
2021-08-12,13.1,13.1,13.1,13.1,500,False,SEL
2021-08-13,13.3,13.3,13.3,13.3,500,False,SEL
2021-08-16,12.86,13.1,12.85,13.1,2000,False,SEL
2021-08-20,13.1,13.79,13.1,13.79,39500,False,SEL
2021-08-23,13.88,14.82,13.8,14.82,24500,False,SEL
2021-08-24,15.0,15.0,15.0,15.0,500,False,SEL
2021-09-01,15.0,15.98,15.0,15.12,4000,False,SEL
2021-09-02,15.0,15.0,15.0,15.0,500,False,SEL
2021-09-06,14.26,14.7,14.26,14.7,1000,False,SEL
2021-09-07,14.3,14.3,14.3,14.3,500,False,SEL
2021-09-08,14.11,14.49,14.01,14.49,2000,False,SEL
2021-09-09,14.1,14.1,14.01,14.01,1000,False,SEL
2021-09-14,14.5,15.06,14.5,15.06,25000,False,SEL
2021-09-15,16.18,16.18,15.55,15.97,32000,False,SEL
2021-09-16,15.0,16.49,15.0,16.49,1500,False,SEL
2021-09-17,15.5,15.5,15.26,15.31,8500,False,SEL
2021-09-20,14.85,15.49,14.85,15.49,1000,False,SEL
2021-09-21,15.49,15.49,15.49,15.49,2500,False,SEL
2021-09-29,14.35,15.99,14.35,15.44,1500,False,SEL
2021-10-01,0.0,15.44,15.44,15.44,97500,True,SEL
2021-10-04,14.35,15.65,14.35,15.65,1500,False,SEL
2021-10-06,15.65,15.65,15.65,15.65,2500,False,SEL
2021-10-07,14.5,15.87,14.5,15.87,4500,False,SEL
2021-10-08,14.68,15.99,14.68,15.34,1000,False,SEL
2021-10-11,16.27,16.27,16.27,16.27,500,False,SEL
2021-10-14,15.05,16.98,15.05,16.98,1000,False,SEL
2021-10-20,15.85,16.48,15.73,16.48,3500,False,SEL
2021-10-25,16.8,16.8,15.25,15.5,5500,False,SEL
2021-10-29,0.0,0.0,0.0,15.5,0,True,SEL
2021-11-03,15.51,15.51,15.51,15.51,500,False,SEL
