date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,15.72,15.72,15.72,15.72,2500,False,SERT
2021-04-27,16.89,16.89,16.45,16.45,18500,False,SERT
2021-04-28,16.98,16.98,15.3,16.14,37500,False,SERT
2021-04-30,15.01,16.5,14.93,16.5,27000,False,SERT
2021-05-03,16.99,17.4,16.0,16.0,20500,False,SERT
2021-05-04,16.88,16.88,16.88,16.88,500,False,SERT
2021-05-05,16.5,16.5,15.7,15.81,3500,False,SERT
2021-05-17,15.02,15.85,15.02,15.73,8500,False,SERT
2021-05-18,15.22,15.4,15.21,15.4,3500,False,SERT
2021-05-19,15.06,15.4,15.0,15.06,6000,False,SERT
2021-05-20,15.6,15.7,15.6,15.7,1500,False,SERT
2021-05-21,15.0,15.0,15.0,15.0,500,False,SERT
2021-05-26,15.1,15.85,15.0,15.85,2000,False,SERT
2021-05-27,15.48,15.8,15.48,15.8,6000,False,SERT
2021-05-28,15.1,15.8,15.1,15.8,2500,False,SERT
2021-05-31,15.01,16.1,15.01,15.9,44500,False,SERT
2021-06-01,16.0,16.5,16.0,16.45,20000,False,SERT
2021-06-02,16.45,17.4,16.4,17.07,13500,False,SERT
2021-06-03,17.5,18.35,16.66,17.77,46500,False,SERT
2021-06-04,18.25,18.25,18.18,18.25,5500,False,SERT
2021-06-07,18.3,18.8,18.25,18.26,17500,False,SERT
2021-06-08,18.25,18.26,17.9,17.9,4500,False,SERT
2021-06-10,18.75,18.75,17.05,17.5,7500,False,SERT
2021-06-11,17.02,18.4,17.02,18.4,13500,False,SERT
2021-06-14,18.29,18.29,18.29,18.29,500,False,SERT
2021-06-15,18.29,18.29,17.02,17.17,8500,False,SERT
2021-06-16,17.17,17.17,17.17,17.17,4500,False,SERT
2021-06-18,17.87,18.0,17.87,18.0,8500,False,SERT
2021-06-21,18.0,18.3,18.0,18.15,4500,False,SERT
2021-06-22,18.15,18.15,18.0,18.0,6000,False,SERT
2021-06-23,18.0,18.0,17.6,18.0,3500,False,SERT
