date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,16.0,16.14,16.0,16.0,1000,False,SHCM
2021-04-27,17.0,17.0,17.0,17.0,500,False,SHCM
2021-05-17,18.27,18.27,18.27,18.27,6000,False,SHCM
2021-05-19,16.9,16.9,16.9,16.9,500,False,SHCM
2021-05-20,18.15,18.16,18.15,18.16,9000,False,SHCM
2021-05-21,19.0,19.01,19.0,19.01,1500,False,SHCM
2021-05-24,20.43,20.43,20.25,20.42,3500,False,SHCM
2021-05-25,20.49,20.5,20.49,20.5,2500,False,SHCM
2021-05-27,19.0,19.0,19.0,19.0,10500,False,SHCM
2021-05-28,20.42,20.42,20.42,20.42,500,False,SHCM
2021-05-31,20.0,20.0,19.9,20.0,2500,False,SHCM
2021-06-01,21.45,21.5,20.0,21.5,7500,False,SHCM
2021-06-02,21.0,23.11,21.0,22.94,6000,False,SHCM
2021-06-03,24.66,24.66,24.0,24.66,3000,False,SHCM
2021-06-04,26.5,26.5,26.5,26.5,1000,False,SHCM
2021-06-07,28.48,28.48,28.48,28.48,1500,False,SHCM
2021-06-08,30.61,30.61,30.61,30.61,500,False,SHCM
2021-06-09,32.9,32.9,32.9,32.9,500,False,SHCM
2021-06-10,35.36,35.36,35.36,35.36,500,False,SHCM
2021-06-11,38.01,38.01,32.71,32.71,56500,False,SHCM
2021-06-14,30.29,30.29,30.26,30.26,15500,False,SHCM
2021-06-15,28.0,28.0,28.0,28.0,3500,False,SHCM
2021-06-16,25.9,28.0,25.9,25.9,1500,False,SHCM
2021-06-17,23.96,26.2,23.96,25.2,5000,False,SHCM
2021-06-18,27.08,27.08,26.8,26.8,6000,False,SHCM
2021-06-22,28.3,28.3,26.8,28.3,1000,False,SHCM
2021-06-23,26.18,29.9,26.18,29.9,21500,False,SHCM
2021-06-24,27.66,27.66,27.66,27.66,5000,False,SHCM
2021-07-01,28.72,28.72,28.72,28.72,1000,False,SHCM
2021-07-02,28.65,28.65,28.65,28.65,2000,False,SHCM
2021-07-08,27.01,27.01,27.01,27.01,1000,False,SHCM
2021-07-09,25.01,25.01,25.0,25.0,3500,False,SHCM
2021-07-19,23.13,23.15,23.13,23.15,1000,False,SHCM
2021-07-23,0.0,23.15,23.15,23.15,500,True,SHCM
2021-07-30,0.0,23.15,23.15,23.15,500,True,SHCM
2021-08-04,21.45,21.45,21.45,21.45,2000,False,SHCM
2021-08-05,20.05,20.05,20.05,20.05,500,False,SHCM
2021-08-09,18.55,18.55,18.55,18.55,500,False,SHCM
2021-08-10,18.5,18.5,17.5,17.5,1500,False,SHCM
2021-08-11,16.75,16.75,16.75,16.75,500,False,SHCM
2021-08-23,15.65,15.65,15.65,15.65,500,False,SHCM
2021-08-24,16.82,16.82,16.82,16.82,500,False,SHCM
2021-08-25,18.08,18.08,18.08,18.08,2000,False,SHCM
2021-08-26,19.43,19.43,18.08,19.43,2000,False,SHCM
2021-08-27,20.88,20.88,20.88,20.88,1500,False,SHCM
2021-08-30,22.44,22.44,22.44,22.44,6000,False,SHCM
2021-08-31,21.0,21.0,20.77,20.77,3000,False,SHCM
2021-09-03,19.22,20.0,19.22,20.0,2000,False,SHCM
2021-10-25,0.0,0.0,0.0,20.0,0,True,SHCM
2021-10-29,0.0,0.0,0.0,20.0,0,True,SHCM
2021-12-27,0.0,20.0,20.0,20.0,500,True,SHCM
2022-01-10,0.0,0.0,0.0,20.0,0,True,SHCM
2022-02-01,18.5,18.5,18.5,18.5,500,False,SHCM
2022-02-02,17.12,17.15,17.12,17.15,1000,False,SHCM
2022-02-09,15.87,16.0,15.87,16.0,1000,False,SHCM
2022-02-18,15.01,15.04,15.01,15.04,1000,False,SHCM
2022-03-21,0.0,0.0,0.0,14.8,0,True,SHCM
2022-03-22,0.0,0.0,0.0,14.75,0,True,SHCM
2022-04-06,0.0,0.0,0.0,14.5,0,True,SHCM
2022-04-11,0.0,14.5,14.5,14.5,1000,True,SHCM
2022-04-19,15.55,15.55,15.55,15.55,500,False,SHCM
2022-05-27,14.39,14.39,14.39,14.39,1000,False,SHCM
2022-05-30,13.5,13.5,13.5,13.5,500,False,SHCM
2022-06-01,0.0,0.0,0.0,13.13,0,True,SHCM
2022-06-09,0.0,0.0,0.0,12.75,0,True,SHCM
2022-06-13,0.0,0.0,0.0,12.1,0,True,SHCM
2022-06-14,0.0,0.0,0.0,12.0,0,True,SHCM
2022-06-15,0.0,0.0,0.0,11.0,0,True,SHCM
2022-06-17,10.5,10.5,10.5,10.5,2500,False,SHCM
2022-07-20,10.0,10.0,10.0,10.0,500,False,SHCM
2022-08-11,9.11,11.0,9.11,11.0,1500,False,SHCM
2022-08-16,12.0,12.0,12.0,12.0,500,False,SHCM
2022-08-17,12.98,12.98,12.98,12.98,500,False,SHCM
2022-08-19,13.98,13.98,13.98,13.98,500,False,SHCM
2022-08-22,14.99,14.99,14.99,14.99,500,False,SHCM
2022-08-23,13.87,16.08,13.87,14.98,1500,False,SHCM
2022-08-24,15.95,15.95,15.95,15.95,500,False,SHCM
2022-08-25,16.9,16.9,16.9,16.9,500,False,SHCM
2022-08-26,17.79,17.79,17.79,17.79,500,False,SHCM
2022-08-29,18.0,18.78,18.0,18.39,1000,False,SHCM
2022-08-30,19.0,19.0,19.0,19.0,500,False,SHCM
2022-09-01,20.2,20.2,20.2,20.2,500,False,SHCM
2022-09-02,21.4,21.4,21.4,21.4,500,False,SHCM
2022-09-05,22.75,22.75,19.81,21.0,3000,False,SHCM
2022-09-09,22.48,22.48,22.48,22.48,500,False,SHCM
2022-09-15,23.95,23.95,23.95,23.95,500,False,SHCM
2022-09-19,25.51,25.51,25.51,25.51,500,False,SHCM
2022-09-28,0.0,0.0,0.0,25.02,0,True,SHCM
2022-10-10,0.0,0.0,0.0,24.17,0,True,SHCM
2022-10-11,0.0,0.0,0.0,22.71,0,True,SHCM
2022-10-12,0.0,0.0,0.0,21.11,0,True,SHCM
2022-10-13,0.0,0.0,0.0,21.03,0,True,SHCM
