date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,28.75,28.75,28.75,28.75,2000,False,SHDT
2021-04-27,28.98,28.98,28.98,28.98,1000,False,SHDT
2021-04-28,29.0,30.0,29.0,29.88,7500,False,SHDT
2021-04-29,28.88,28.88,28.88,28.88,1000,False,SHDT
2021-05-04,27.1,28.0,27.1,28.0,3000,False,SHDT
2021-05-05,28.0,28.0,28.0,28.0,2500,False,SHDT
2021-05-17,28.0,29.0,28.0,29.0,1500,False,SHDT
2021-05-19,28.11,28.11,28.1,28.1,2000,False,SHDT
2021-05-20,28.26,28.26,28.25,28.25,1000,False,SHDT
2021-05-21,28.26,28.26,28.25,28.25,9500,False,SHDT
2021-05-25,28.26,28.26,27.9,27.95,2000,False,SHDT
2021-05-26,28.0,29.45,28.0,28.35,11000,False,SHDT
2021-05-27,28.4,28.4,28.25,28.25,1500,False,SHDT
2021-05-28,28.75,28.75,28.0,28.03,4500,False,SHDT
2021-05-31,28.99,28.99,27.55,28.01,18000,False,SHDT
2021-06-01,27.1,28.95,27.1,28.11,159000,False,SHDT
2021-06-02,28.75,29.99,28.75,29.38,62500,False,SHDT
2021-06-03,30.0,30.74,29.16,29.3,32000,False,SHDT
2021-06-04,29.12,29.3,29.12,29.3,1500,False,SHDT
2021-06-07,29.32,29.95,29.32,29.8,11000,False,SHDT
2021-06-08,29.25,29.8,29.0,29.8,2500,False,SHDT
2021-06-09,28.25,29.7,28.25,29.2,11000,False,SHDT
2021-06-10,29.2,29.8,29.15,29.79,6500,False,SHDT
2021-06-11,30.72,30.72,29.45,30.0,12500,False,SHDT
2021-06-14,29.98,32.0,29.9,30.5,36000,False,SHDT
2021-06-15,30.25,31.3,30.1,30.35,3500,False,SHDT
2021-06-16,30.35,30.35,30.0,30.35,6000,False,SHDT
2021-06-17,30.25,30.49,30.25,30.26,5000,False,SHDT
2021-06-18,30.2,31.6,28.0,29.74,92000,False,SHDT
2021-06-21,29.74,31.0,29.74,30.96,96500,False,SHDT
2021-06-22,31.25,31.5,30.15,30.16,24000,False,SHDT
2021-06-23,31.4,31.89,30.5,30.87,29500,False,SHDT
2021-06-24,30.6,31.0,30.5,30.62,5000,False,SHDT
2021-06-25,31.0,31.0,30.0,30.0,10000,False,SHDT
2021-06-28,29.5,29.5,29.22,29.5,8500,False,SHDT
2021-06-30,29.6,29.6,29.5,29.5,14000,False,SHDT
2021-07-01,30.0,30.0,29.8,29.9,4500,False,SHDT
2021-07-02,30.0,30.0,30.0,30.0,15000,False,SHDT
2021-07-05,30.0,30.0,30.0,30.0,2500,False,SHDT
2021-07-06,29.55,30.25,29.25,30.13,4000,False,SHDT
2021-07-07,29.51,29.51,29.51,29.51,1000,False,SHDT
2021-07-08,30.0,30.0,29.5,29.99,9000,False,SHDT
2021-07-09,29.45,30.0,29.45,29.75,3500,False,SHDT
2021-07-12,29.31,29.31,29.31,29.31,1000,False,SHDT
2021-07-13,29.5,30.25,29.5,30.25,2500,False,SHDT
2021-07-14,30.5,31.29,30.5,31.29,6000,False,SHDT
