date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,353.66,353.66,353.66,353.66,100,False,SHEZ
2021-04-27,364.0,364.0,327.14,327.14,2000,False,SHEZ
2021-04-28,302.62,314.0,302.61,311.53,1900,False,SHEZ
2021-04-29,331.0,331.0,331.0,331.0,100,False,SHEZ
2021-04-30,307.0,307.0,306.18,306.18,300,False,SHEZ
2021-05-03,300.0,300.0,300.0,300.0,100,False,SHEZ
2021-05-04,313.9,313.9,313.9,313.9,100,False,SHEZ
2021-05-05,328.0,328.0,300.0,300.0,300,False,SHEZ
2021-05-06,309.5,309.5,309.5,309.5,100,False,SHEZ
2021-05-17,316.5,316.5,316.5,316.5,100,False,SHEZ
2021-05-18,300.0,308.99,299.99,308.99,1000,False,SHEZ
2021-05-19,318.99,318.99,318.99,318.99,100,False,SHEZ
2021-05-20,296.0,297.5,295.07,295.38,2200,False,SHEZ
2021-05-21,284.1,309.0,284.1,309.0,700,False,SHEZ
2021-05-24,299.95,299.99,285.83,286.05,5600,False,SHEZ
2021-05-25,289.99,293.0,289.99,289.99,1700,False,SHEZ
2021-05-26,290.0,293.99,285.01,285.01,1900,False,SHEZ
2021-05-27,265.01,284.5,265.01,284.5,3500,False,SHEZ
2021-05-28,281.0,285.5,281.0,285.5,500,False,SHEZ
2021-05-31,289.0,289.01,285.0,285.0,600,False,SHEZ
2021-06-01,285.0,299.99,277.0,292.0,99100,False,SHEZ
2021-06-02,290.5,299.99,290.5,295.74,3900,False,SHEZ
2021-06-03,295.51,296.8,295.0,295.9,2700,False,SHEZ
2021-06-04,299.75,318.09,299.75,317.72,5000,False,SHEZ
2021-06-07,315.01,334.0,311.0,326.09,4700,False,SHEZ
2021-06-08,325.01,325.01,315.3,325.0,1500,False,SHEZ
2021-06-09,320.01,320.01,320.01,320.01,100,False,SHEZ
2021-06-10,324.98,324.98,323.0,323.0,200,False,SHEZ
2021-06-11,315.02,317.9,301.01,315.45,1300,False,SHEZ
2021-06-14,319.99,330.0,315.35,328.72,4800,False,SHEZ
2021-06-15,322.0,353.37,322.0,353.37,57500,False,SHEZ
2021-06-16,370.0,370.0,349.99,357.2,31300,False,SHEZ
2021-06-17,355.5,364.0,350.0,350.58,9700,False,SHEZ
2021-06-18,359.0,370.0,359.0,369.94,4200,False,SHEZ
2021-06-21,370.0,378.0,360.0,369.5,5600,False,SHEZ
2021-06-22,365.0,365.0,341.79,345.12,70000,False,SHEZ
2021-06-23,342.0,342.0,319.24,320.69,40600,False,SHEZ
2021-06-24,320.69,344.74,302.0,344.7,199700,False,SHEZ
2021-06-25,359.0,370.55,350.0,366.02,89000,False,SHEZ
2021-06-28,355.0,358.0,338.57,338.57,96700,False,SHEZ
2021-06-29,337.99,340.0,319.19,327.66,23300,False,SHEZ
2021-06-30,335.9,346.0,330.0,331.36,5000,False,SHEZ
2021-07-01,326.0,344.5,322.0,338.63,7300,False,SHEZ
2021-07-02,338.63,340.0,336.0,338.75,3500,False,SHEZ
2021-07-05,345.0,364.15,341.0,364.15,20200,False,SHEZ
2021-07-06,382.48,389.99,336.84,362.03,28600,False,SHEZ
2021-07-07,351.2,359.9,334.88,335.49,343900,False,SHEZ
2021-07-08,345.0,350.0,325.0,345.87,31300,False,SHEZ
2021-07-09,350.0,364.98,345.0,360.58,31400,False,SHEZ
2021-07-12,358.0,364.0,356.5,360.59,9100,False,SHEZ
2021-07-13,341.05,361.0,341.05,360.0,7100,False,SHEZ
2021-07-14,360.0,360.01,355.0,360.0,13600,False,SHEZ
2021-07-15,350.0,355.0,333.0,333.0,210800,False,SHEZ
2021-07-16,330.0,355.0,330.0,346.18,206500,False,SHEZ
2021-07-19,347.0,370.0,347.0,368.58,83700,False,SHEZ
2021-07-23,361.5,375.0,360.0,361.81,20400,False,SHEZ
2021-07-26,368.0,368.0,361.81,364.05,2600,False,SHEZ
2021-07-27,362.01,364.99,350.0,352.18,14100,False,SHEZ
2021-07-28,358.98,358.98,333.0,334.33,56700,False,SHEZ
2021-07-29,331.0,337.7,315.0,320.72,52100,False,SHEZ
2021-07-30,324.0,330.0,300.0,303.32,63000,False,SHEZ
2021-08-02,304.99,318.0,304.99,316.27,8100,False,SHEZ
2021-08-03,319.99,323.9,319.99,320.0,2000,False,SHEZ
2021-08-04,327.0,327.0,318.0,320.04,13700,False,SHEZ
2021-08-05,321.0,321.0,300.1,315.24,8000,False,SHEZ
2021-08-06,316.0,324.49,315.0,318.0,6000,False,SHEZ
2021-08-09,317.0,320.98,306.01,316.33,4200,False,SHEZ
2021-08-10,313.0,319.0,308.0,315.14,6600,False,SHEZ
