date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,82.5,82.5,81.0,81.0,2000,False,SHSML
2021-04-27,81.15,82.6,81.15,82.16,1000,False,SHSML
2021-04-28,85.0,85.0,82.0,82.0,3800,False,SHSML
2021-04-29,81.0,81.0,80.5,80.7,500,False,SHSML
2021-04-30,79.0,79.0,79.0,79.0,1500,False,SHSML
2021-05-03,79.21,79.21,79.21,79.0,300,True,SHSML
2021-05-04,80.2,82.44,80.2,80.83,1200,False,SHSML
2021-05-05,83.0,84.0,83.0,83.0,1600,False,SHSML
2021-05-06,85.0,85.0,84.0,84.75,400,False,SHSML
2021-05-17,82.0,83.99,82.0,83.66,1100,False,SHSML
2021-05-18,83.0,85.0,83.0,85.0,3000,False,SHSML
2021-05-19,84.6,84.6,82.8,83.08,500,False,SHSML
2021-05-20,83.85,87.0,83.85,85.41,2800,False,SHSML
2021-05-21,85.5,91.5,85.5,89.37,22600,False,SHSML
2021-05-24,90.0,90.5,86.99,88.0,30500,False,SHSML
2021-05-25,87.0,88.0,86.0,86.08,27100,False,SHSML
2021-05-26,87.0,92.5,82.0,84.82,53600,False,SHSML
2021-05-27,84.4,86.0,84.0,84.89,10600,False,SHSML
2021-05-28,85.0,88.99,85.0,85.5,25200,False,SHSML
2021-05-31,86.86,86.95,86.5,86.51,3400,False,SHSML
2021-06-01,86.51,86.87,86.0,86.79,3300,False,SHSML
2021-06-02,86.7,88.0,86.5,87.17,3000,False,SHSML
2021-06-03,86.5,87.49,86.5,87.0,4300,False,SHSML
2021-06-04,86.5,87.0,86.5,87.0,400,False,SHSML
2021-06-07,87.0,88.5,86.5,87.5,1600,False,SHSML
2021-06-08,88.49,88.49,84.0,85.51,7900,False,SHSML
2021-06-09,85.51,85.51,85.05,85.45,1200,False,SHSML
2021-06-10,84.51,86.45,84.01,85.1,3400,False,SHSML
2021-06-11,86.5,88.0,86.49,87.25,2800,False,SHSML
2021-06-14,89.0,89.0,86.0,86.31,4000,False,SHSML
2021-06-15,85.55,85.55,85.55,85.55,600,False,SHSML
2021-06-16,85.5,87.0,80.0,85.0,18400,False,SHSML
2021-06-17,85.1,85.1,85.0,85.1,2300,False,SHSML
2021-06-18,85.5,85.5,85.5,85.5,400,False,SHSML
2021-06-21,84.98,85.37,84.98,85.0,4000,False,SHSML
2021-06-22,85.0,85.0,85.0,85.0,600,False,SHSML
2021-06-23,88.99,88.99,85.0,85.0,600,False,SHSML
2021-06-24,84.01,85.0,84.01,84.5,5500,False,SHSML
2021-06-25,85.0,85.0,84.0,84.08,900,False,SHSML
2021-06-28,84.1,85.98,84.0,85.0,1500,False,SHSML
2021-06-29,85.0,85.0,84.78,84.92,2200,False,SHSML
2021-06-30,84.0,85.0,84.0,84.09,1100,False,SHSML
2021-07-01,85.99,86.5,85.99,86.5,2500,False,SHSML
2021-07-02,85.0,86.5,85.0,86.5,11000,False,SHSML
2021-07-05,86.07,87.5,86.0,86.2,7000,False,SHSML
2021-07-06,87.0,92.45,85.15,85.73,16000,False,SHSML
2021-07-07,87.0,88.0,85.0,86.0,9000,False,SHSML
2021-07-08,86.0,87.0,86.0,87.0,14500,False,SHSML
2021-07-09,88.0,89.5,86.01,86.01,2000,False,SHSML
2021-07-12,85.1,85.85,85.0,85.5,20500,False,SHSML
2021-07-14,84.0,84.0,84.0,84.0,500,False,SHSML
2021-07-15,85.5,85.5,84.0,85.5,8000,False,SHSML
2021-07-16,86.0,86.0,84.55,84.55,25000,False,SHSML
2021-07-19,85.0,85.85,85.0,85.0,9000,False,SHSML
2021-07-23,84.0,87.0,84.0,85.0,13000,False,SHSML
2021-07-26,85.6,89.95,85.0,85.43,55500,False,SHSML
2021-07-27,87.45,91.83,80.25,81.49,56500,False,SHSML
2021-07-28,83.0,83.65,79.1,80.5,7500,False,SHSML
2021-07-29,78.0,78.0,78.0,78.0,3000,False,SHSML
2021-07-30,79.3,79.5,78.99,79.0,4500,False,SHSML
2021-08-02,77.03,81.5,77.03,81.5,8500,False,SHSML
2021-08-03,82.0,82.0,79.02,80.23,3000,False,SHSML
2021-08-04,80.0,81.25,80.0,80.0,16000,False,SHSML
2021-08-05,81.0,81.0,80.0,80.0,2500,False,SHSML
2021-08-06,79.85,79.85,78.51,78.53,1500,False,SHSML
2021-08-09,79.0,79.0,78.31,78.41,11000,False,SHSML
2021-08-10,75.2,79.5,75.16,79.5,3500,False,SHSML
2021-08-11,81.34,81.34,79.0,80.8,2500,False,SHSML
2021-08-12,80.8,80.8,80.8,80.8,500,False,SHSML
2021-08-13,78.0,78.1,78.0,78.05,2500,False,SHSML
2021-08-16,78.0,78.0,76.02,77.0,2000,False,SHSML
2021-08-17,76.0,76.0,75.51,75.51,1000,False,SHSML
2021-08-20,81.17,81.17,75.51,77.01,3500,False,SHSML
2021-08-23,77.02,77.16,77.01,77.16,1500,False,SHSML
2021-08-24,77.22,78.0,77.2,77.6,1500,False,SHSML
2021-08-25,76.51,80.0,76.36,79.7,22000,False,SHSML
2021-08-26,81.0,85.67,81.0,81.5,40000,False,SHSML
2021-08-27,79.3,80.05,79.3,80.0,4500,False,SHSML
2021-08-30,79.0,81.99,79.0,80.5,3000,False,SHSML
2021-08-31,80.5,80.5,79.0,79.0,1000,False,SHSML
2021-09-01,80.0,80.0,80.0,80.0,500,False,SHSML
2021-09-02,80.0,82.0,80.0,81.0,4000,False,SHSML
2021-09-03,80.0,81.0,80.0,80.0,2500,False,SHSML
2021-09-06,79.1,79.1,78.0,78.0,24500,False,SHSML
2021-09-08,77.4,77.4,77.2,77.2,1000,False,SHSML
2021-09-09,80.0,81.0,80.0,81.0,36000,False,SHSML
2021-09-16,81.5,81.9,81.5,81.9,1000,False,SHSML
2021-09-17,80.0,80.0,80.0,80.0,500,False,SHSML
2021-09-20,79.0,79.0,79.0,79.0,500,False,SHSML
2021-09-22,77.0,77.0,77.0,77.0,1000,False,SHSML
2021-09-23,77.0,77.0,77.0,77.0,1500,False,SHSML
2021-09-24,74.01,74.01,74.0,74.01,1000,False,SHSML
2021-09-29,75.25,77.25,75.25,77.0,4000,False,SHSML
2021-09-30,77.0,78.0,77.0,78.0,1500,False,SHSML
2021-10-01,78.0,78.0,78.0,78.0,500,False,SHSML
2021-10-05,78.0,78.0,78.0,78.0,7500,False,SHSML
2021-10-07,78.5,78.5,78.5,78.5,500,False,SHSML
2021-10-08,81.9,81.9,79.0,79.0,2500,False,SHSML
2021-10-11,75.0,75.0,75.0,75.0,1500,False,SHSML
2021-10-25,75.0,75.0,75.0,75.0,1000,False,SHSML
2021-10-28,78.0,80.0,78.0,80.0,2000,False,SHSML
2021-10-29,0.0,0.0,0.0,80.0,0,True,SHSML
2021-11-01,82.5,82.75,82.35,82.5,3500,False,SHSML
2021-11-02,82.49,83.99,82.49,82.5,8000,False,SHSML
2021-11-03,82.5,83.0,82.5,83.0,4000,False,SHSML
2021-11-08,85.0,85.0,83.25,84.0,4000,False,SHSML
2021-11-09,83.0,83.0,83.0,83.0,1000,False,SHSML
2021-11-10,83.0,85.0,83.0,84.5,6000,False,SHSML
2021-11-11,84.0,84.0,84.0,84.0,5500,False,SHSML
2021-11-12,85.0,86.0,85.0,85.0,45500,False,SHSML
2021-11-15,85.0,85.0,85.0,85.0,34000,False,SHSML
2021-11-16,85.0,85.0,85.0,85.0,1000,False,SHSML
2021-11-17,85.0,85.0,85.0,85.0,1000,False,SHSML
2021-11-18,85.0,85.5,85.0,85.5,12500,False,SHSML
2021-11-19,86.0,88.0,86.0,87.88,58500,False,SHSML
2021-11-22,87.0,87.0,86.51,86.51,1500,False,SHSML
2021-11-23,86.0,87.0,86.0,87.0,13000,False,SHSML
2021-11-24,86.99,86.99,86.0,86.0,3000,False,SHSML
2021-11-25,86.99,87.2,86.0,87.0,8500,False,SHSML
2021-11-26,86.0,86.5,86.0,86.17,1500,False,SHSML
2021-11-29,86.0,86.0,86.0,86.0,7000,False,SHSML
2021-11-30,86.0,86.0,86.0,86.0,3000,False,SHSML
2021-12-01,86.0,87.9,86.0,87.9,4000,False,SHSML
2021-12-07,85.0,86.99,85.0,86.99,3500,False,SHSML
2021-12-08,86.0,86.0,83.0,85.0,5000,False,SHSML
2021-12-09,81.15,85.0,81.1,82.0,2500,False,SHSML
2021-12-10,85.0,87.75,85.0,87.75,1500,False,SHSML
2021-12-14,86.5,87.0,86.5,86.5,2500,False,SHSML
2021-12-20,85.0,87.0,85.0,86.58,4500,False,SHSML
2021-12-21,84.0,87.0,84.0,87.0,1500,False,SHSML
2021-12-22,88.0,93.52,88.0,91.52,5500,False,SHSML
2021-12-23,90.0,91.0,84.66,84.68,169500,False,SHSML
2021-12-24,81.51,82.74,80.5,82.74,5000,False,SHSML
2021-12-27,80.51,82.0,80.51,81.26,1000,False,SHSML
2021-12-28,81.5,81.5,81.5,81.5,500,False,SHSML
2021-12-29,80.0,80.0,80.0,80.0,500,False,SHSML
2021-12-30,78.55,78.55,78.0,78.21,5000,False,SHSML
2021-12-31,79.5,79.5,79.5,79.5,500,False,SHSML
2022-01-03,80.0,80.0,78.5,79.0,3000,False,SHSML
2022-01-05,79.0,79.0,79.0,79.0,3500,False,SHSML
2022-01-06,79.0,79.0,79.0,79.0,22000,False,SHSML
2022-01-10,80.0,80.0,78.0,78.67,4000,False,SHSML
2022-01-11,76.0,82.0,76.0,82.0,16000,False,SHSML
2022-01-12,82.3,83.0,82.3,82.82,2000,False,SHSML
2022-01-13,82.0,83.0,80.01,83.0,4500,False,SHSML
2022-01-14,80.5,81.0,80.21,80.23,3500,False,SHSML
2022-01-17,79.03,79.03,79.0,79.0,1500,False,SHSML
2022-01-18,78.5,78.5,78.1,78.1,2500,False,SHSML
2022-01-19,74.0,75.1,74.0,74.55,2500,False,SHSML
2022-01-20,74.6,77.0,74.6,77.0,2000,False,SHSML
2022-01-21,75.5,76.01,75.5,76.01,3000,False,SHSML
2022-01-25,76.0,76.0,76.0,76.0,3000,False,SHSML
2022-01-31,79.8,79.84,79.8,79.84,1000,False,SHSML
2022-02-07,79.5,79.8,79.5,79.8,2000,False,SHSML
2022-02-08,76.51,79.8,76.51,76.51,1000,False,SHSML
2022-02-09,77.0,77.0,75.0,75.0,5000,False,SHSML
2022-02-10,77.0,77.0,77.0,77.0,500,False,SHSML
2022-02-14,77.0,77.0,77.0,77.0,1000,False,SHSML
2022-02-15,76.98,76.98,76.98,76.98,2500,False,SHSML
2022-02-24,71.5,71.5,71.5,71.5,2500,False,SHSML
2022-02-25,75.0,75.0,75.0,75.0,500,False,SHSML
2022-02-28,75.0,75.0,75.0,75.0,500,False,SHSML
2022-03-01,73.11,76.5,73.11,74.81,1000,False,SHSML
2022-03-02,77.0,77.0,77.0,77.0,500,False,SHSML
2022-03-03,77.0,77.0,77.0,77.0,500,False,SHSML
2022-03-04,77.0,77.0,77.0,77.0,10500,False,SHSML
2022-03-07,79.0,79.0,77.0,77.5,6000,False,SHSML
2022-03-08,77.0,77.0,75.0,75.0,3000,False,SHSML
2022-03-09,76.0,76.0,74.0,74.0,2500,False,SHSML
2022-03-10,77.0,77.0,77.0,77.0,500,False,SHSML
2022-03-14,79.9,79.9,79.0,79.0,2000,False,SHSML
2022-03-15,80.0,80.0,80.0,80.0,23500,False,SHSML
2022-03-16,80.0,81.99,80.0,81.99,1500,False,SHSML
2022-03-17,80.0,80.0,80.0,80.0,3000,False,SHSML
2022-03-25,80.0,80.0,80.0,80.0,1000,False,SHSML
2022-04-01,74.01,80.0,74.01,80.0,2000,False,SHSML
2022-04-04,75.25,80.0,75.25,80.0,2000,False,SHSML
2022-04-05,78.0,78.0,78.0,78.0,500,False,SHSML
2022-04-06,78.0,81.6,78.0,81.2,8000,False,SHSML
