date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,7.0,7.0,7.0,7.0,500,False,SIBL
2021-04-27,7.0,7.0,7.0,7.0,500,False,SIBL
2021-05-05,7.0,7.0,7.0,7.0,500,False,SIBL
2021-05-06,7.0,7.0,7.0,7.0,500,False,SIBL
2021-05-21,7.5,7.5,7.5,7.5,500,False,SIBL
2021-06-02,7.5,8.0,7.4,8.0,8000,False,SIBL
2021-06-03,7.0,7.0,7.0,7.0,13000,False,SIBL
2021-06-04,7.01,7.01,7.0,7.01,3000,False,SIBL
2021-06-07,7.0,7.0,7.0,7.0,500,False,SIBL
2021-06-09,7.06,7.1,7.06,7.1,1000,False,SIBL
2021-06-10,7.2,7.5,7.0,7.0,6500,False,SIBL
2021-06-18,7.1,7.1,7.1,7.1,1000,False,SIBL
2021-06-21,7.0,7.5,7.0,7.5,11500,False,SIBL
2021-06-22,7.01,7.4,7.01,7.4,1500,False,SIBL
2021-06-23,7.33,7.4,7.33,7.37,1000,False,SIBL
2021-06-24,7.5,7.5,7.5,7.5,500,False,SIBL
2021-06-28,7.5,7.5,7.5,7.5,500,False,SIBL
2021-06-29,7.5,7.5,7.5,7.5,2500,False,SIBL
2021-06-30,7.5,7.5,7.1,7.25,7000,False,SIBL
2021-07-01,7.49,7.49,7.49,7.49,500,False,SIBL
2021-07-02,7.5,7.5,7.11,7.12,9500,False,SIBL
2021-07-05,7.25,7.25,7.2,7.2,1000,False,SIBL
2021-07-06,7.2,7.2,7.2,7.2,500,False,SIBL
2021-07-08,7.5,8.0,7.5,7.79,49000,False,SIBL
2021-07-12,7.4,7.4,7.4,7.4,1000,False,SIBL
2021-07-13,7.26,7.26,7.26,7.26,500,False,SIBL
2021-07-15,7.5,7.5,7.5,7.5,77000,False,SIBL
2021-07-16,7.99,8.0,7.25,7.5,6000,False,SIBL
2021-07-19,7.3,7.3,7.0,7.25,7000,False,SIBL
2021-07-26,7.25,7.28,7.25,7.28,9000,False,SIBL
2021-07-27,7.0,7.75,7.0,7.06,4500,False,SIBL
2021-07-28,7.01,7.01,6.3,6.44,11000,False,SIBL
2021-07-29,7.35,7.35,7.35,7.35,1000,False,SIBL
2021-07-30,7.4,7.4,7.0,7.33,4000,False,SIBL
2021-08-02,6.55,7.3,6.55,7.3,1500,False,SIBL
2021-08-05,6.62,6.62,6.5,6.52,7500,False,SIBL
2021-08-06,6.67,6.83,6.67,6.83,2500,False,SIBL
2021-08-09,6.66,7.0,6.66,7.0,2000,False,SIBL
2021-08-10,6.5,7.0,6.5,7.0,9500,False,SIBL
2021-08-20,6.15,7.4,6.15,6.5,3000,False,SIBL
2021-08-23,7.0,7.0,7.0,7.0,500,False,SIBL
2021-08-25,7.2,7.2,7.2,7.2,2000,False,SIBL
2021-08-27,7.3,7.3,6.45,6.45,1000,False,SIBL
2021-08-30,7.0,7.45,6.85,7.45,160500,False,SIBL
2021-08-31,7.89,7.9,7.4,7.42,18000,False,SIBL
2021-09-01,7.1,8.0,6.9,7.34,58500,False,SIBL
2021-09-02,7.0,7.4,7.0,7.39,2000,False,SIBL
2021-09-03,7.45,7.99,7.45,7.99,3500,False,SIBL
2021-09-06,7.8,7.8,7.0,7.46,22000,False,SIBL
2021-09-10,7.7,7.7,7.7,7.7,500,False,SIBL
2021-09-14,6.72,7.2,6.7,7.2,6500,False,SIBL
2021-09-15,0.0,7.2,7.2,7.2,6000,True,SIBL
2021-09-17,7.35,7.35,7.35,7.35,500,False,SIBL
2021-09-20,6.4,7.28,6.4,6.84,1000,False,SIBL
2021-09-22,6.0,7.0,6.0,6.06,25500,False,SIBL
2021-09-23,6.05,6.05,6.02,6.02,2000,False,SIBL
2021-09-24,6.9,6.9,6.9,6.9,500,False,SIBL
2021-09-27,6.54,6.54,6.54,6.54,2500,False,SIBL
2021-09-29,6.5,6.6,6.0,6.5,2500,False,SIBL
2021-10-08,6.7,7.29,6.7,7.29,1000,False,SIBL
2021-10-15,6.29,6.98,6.29,6.98,1000,False,SIBL
2021-10-22,7.5,7.5,7.5,7.5,500,False,SIBL
2021-10-25,0.0,0.0,0.0,7.5,0,True,SIBL
2021-10-29,8.0,8.0,8.0,8.0,1000,False,SIBL
2021-11-01,7.0,7.02,7.0,7.0,4000,False,SIBL
2021-11-04,7.4,7.4,7.4,7.4,500,False,SIBL
2021-11-09,6.4,7.3,6.4,7.3,1500,False,SIBL
2021-11-12,6.3,7.25,6.3,7.25,1000,False,SIBL
2021-12-02,6.25,6.26,6.25,6.25,11500,False,SIBL
2021-12-03,7.12,7.12,7.12,7.12,500,False,SIBL
2021-12-06,6.12,6.12,6.12,6.12,9500,False,SIBL
2021-12-09,5.17,5.55,5.12,5.18,18500,False,SIBL
2021-12-10,4.95,5.3,4.95,5.3,1000,False,SIBL
2021-12-15,4.75,4.75,4.75,4.75,500,False,SIBL
2021-12-16,5.75,5.75,5.69,5.7,3000,False,SIBL
2021-12-20,6.69,6.69,6.69,6.69,500,False,SIBL
2021-12-21,5.7,5.71,5.7,5.71,1500,False,SIBL
2021-12-23,5.34,5.34,5.34,5.34,500,False,SIBL
2021-12-27,5.99,6.0,5.99,6.0,3000,False,SIBL
2021-12-28,6.0,6.0,6.0,6.0,2000,False,SIBL
2021-12-30,5.25,5.25,5.25,5.25,500,False,SIBL
2021-12-31,5.0,6.0,4.52,5.51,16000,False,SIBL
2022-01-03,5.84,5.85,5.84,5.85,2500,False,SIBL
