date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,1.33,1.4,1.2,1.39,16096500,False,SILK
2021-04-27,1.35,1.4,1.35,1.39,2168000,False,SILK
2021-04-28,1.39,1.39,1.3,1.33,3437000,False,SILK
2021-04-29,1.36,1.36,1.31,1.34,3290500,False,SILK
2021-04-30,1.36,1.36,1.29,1.3,1533500,False,SILK
2021-05-03,1.26,1.34,1.25,1.32,2998000,False,SILK
2021-05-04,1.37,1.38,1.32,1.36,2558500,False,SILK
2021-05-05,1.39,1.41,1.33,1.39,4094000,False,SILK
2021-05-06,1.39,1.41,1.32,1.33,1756500,False,SILK
2021-05-17,1.4,1.4,1.35,1.36,1864500,False,SILK
2021-05-18,1.37,1.38,1.34,1.36,1104000,False,SILK
2021-05-19,1.31,1.35,1.27,1.31,2189500,False,SILK
2021-05-20,1.35,1.35,1.26,1.3,4115000,False,SILK
2021-05-21,1.32,1.42,1.31,1.39,10750500,False,SILK
2021-05-24,1.42,1.5,1.38,1.45,36611500,False,SILK
2021-05-25,1.48,1.48,1.41,1.45,8243500,False,SILK
2021-05-26,1.47,1.47,1.42,1.45,16488000,False,SILK
2021-05-27,1.5,1.69,1.46,1.52,126514500,False,SILK
2021-05-28,1.54,1.67,1.54,1.58,56306000,False,SILK
2021-05-31,1.62,1.7,1.6,1.64,71595000,False,SILK
2021-06-01,1.68,1.78,1.64,1.7,86096000,False,SILK
2021-06-02,1.73,1.73,1.64,1.65,20171500,False,SILK
2021-06-03,1.66,1.71,1.62,1.69,23784500,False,SILK
2021-06-04,1.66,1.7,1.65,1.67,14369500,False,SILK
2021-06-07,1.69,1.72,1.63,1.65,11101500,False,SILK
2021-06-08,1.68,1.68,1.56,1.59,16728500,False,SILK
2021-06-09,1.61,1.64,1.53,1.55,16485500,False,SILK
2021-06-10,1.56,1.62,1.52,1.56,7025000,False,SILK
2021-06-11,1.57,1.64,1.57,1.59,10722000,False,SILK
2021-06-14,1.7,1.72,1.58,1.6,11154000,False,SILK
2021-06-15,1.6,1.62,1.55,1.6,7485000,False,SILK
2021-06-16,1.58,1.63,1.56,1.57,9725500,False,SILK
2021-06-17,1.61,1.96,1.59,1.8,188568500,False,SILK
2021-06-18,1.9,1.92,1.71,1.83,44191000,False,SILK
2021-06-21,1.9,2.24,1.86,2.14,235101000,False,SILK
2021-06-22,2.21,2.25,2.03,2.08,75449500,False,SILK
2021-06-23,2.1,2.11,1.91,1.92,52282500,False,SILK
2021-06-24,1.94,1.95,1.77,1.79,33773500,False,SILK
2021-06-25,1.77,1.94,1.72,1.91,19125500,False,SILK
2021-06-28,1.88,1.99,1.86,1.89,22096000,False,SILK
2021-06-29,1.94,2.1,1.92,2.06,69193500,False,SILK
2021-06-30,2.07,2.15,1.97,2.01,44203000,False,SILK
2021-07-01,2.01,2.12,1.97,2.0,51438000,False,SILK
2021-07-02,2.04,2.04,1.93,1.95,19519000,False,SILK
2021-07-05,1.95,1.95,1.85,1.88,14504500,False,SILK
2021-07-06,1.91,1.95,1.88,1.92,17719000,False,SILK
2021-07-07,1.89,1.96,1.88,1.91,9964000,False,SILK
2021-07-08,1.95,2.0,1.92,1.95,14732500,False,SILK
2021-07-09,1.88,1.94,1.87,1.89,13037500,False,SILK
2021-07-12,1.9,1.93,1.84,1.87,15440000,False,SILK
2021-07-13,1.87,1.87,1.8,1.81,11365500,False,SILK
2021-07-14,1.82,1.83,1.75,1.77,9171500,False,SILK
2021-07-15,1.76,1.78,1.71,1.76,10638000,False,SILK
2021-07-16,1.75,1.84,1.75,1.81,3933500,False,SILK
2021-07-19,1.77,1.84,1.77,1.82,3280000,False,SILK
2021-07-23,1.8,1.85,1.8,1.82,3648500,False,SILK
2021-07-26,1.84,1.85,1.8,1.82,7108000,False,SILK
2021-07-27,1.81,1.87,1.8,1.84,9541000,False,SILK
2021-07-28,1.85,1.86,1.8,1.82,10234500,False,SILK
2021-07-29,1.8,1.8,1.7,1.71,9453500,False,SILK
2021-07-30,1.74,1.85,1.72,1.76,10097000,False,SILK
2021-08-02,1.75,1.82,1.73,1.75,5962000,False,SILK
2021-08-03,1.8,1.81,1.74,1.8,8019000,False,SILK
2021-08-04,1.82,1.91,1.75,1.84,11488500,False,SILK
2021-08-05,1.86,1.87,1.76,1.78,9505000,False,SILK
2021-08-06,1.75,1.79,1.72,1.73,5604000,False,SILK
2021-08-09,1.77,1.77,1.7,1.7,8837500,False,SILK
2021-08-10,1.74,1.74,1.64,1.7,3703500,False,SILK
2021-08-11,1.7,1.72,1.67,1.69,3086500,False,SILK
2021-08-12,1.69,1.69,1.65,1.68,3917500,False,SILK
2021-08-13,1.67,1.86,1.66,1.77,7674000,False,SILK
2021-08-16,1.74,1.82,1.72,1.77,6317000,False,SILK
2021-08-17,1.81,1.81,1.75,1.79,3912000,False,SILK
2021-08-20,1.8,1.86,1.78,1.82,9176000,False,SILK
2021-08-23,1.82,1.84,1.8,1.81,3782000,False,SILK
2021-08-24,1.81,1.82,1.75,1.76,4226000,False,SILK
2021-08-25,1.8,1.8,1.74,1.75,4720500,False,SILK
2021-08-26,1.77,1.77,1.71,1.72,4393000,False,SILK
2021-08-27,1.75,1.75,1.68,1.7,3546500,False,SILK
