date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,7.5,7.65,7.4,7.65,9000,False,SKRS
2021-04-27,7.45,7.47,7.31,7.31,17000,False,SKRS
2021-04-28,7.31,7.5,7.1,7.33,10500,False,SKRS
2021-04-29,7.31,7.31,7.05,7.05,15000,False,SKRS
2021-04-30,7.07,7.07,6.88,7.01,36500,False,SKRS
2021-05-03,6.76,7.13,6.75,6.99,32000,False,SKRS
2021-05-04,6.95,7.0,6.95,7.0,14000,False,SKRS
2021-05-05,7.14,7.14,6.9,6.9,7500,False,SKRS
2021-05-06,7.9,7.9,6.9,7.9,69000,False,SKRS
2021-05-17,8.9,8.9,8.5,8.89,416500,False,SKRS
2021-05-18,9.24,9.24,8.7,8.72,139000,False,SKRS
2021-05-19,8.55,8.7,8.35,8.53,147500,False,SKRS
2021-05-20,8.7,9.25,8.42,8.75,281000,False,SKRS
2021-05-21,8.91,8.91,8.32,8.46,69000,False,SKRS
2021-05-24,8.45,8.5,8.35,8.43,80500,False,SKRS
2021-05-25,8.6,8.6,8.12,8.24,100000,False,SKRS
2021-05-26,8.34,8.6,8.21,8.26,56000,False,SKRS
2021-05-27,8.24,8.25,8.0,8.03,430000,False,SKRS
2021-05-28,8.05,8.1,7.99,8.06,144000,False,SKRS
2021-05-31,8.15,8.9,8.1,8.5,247000,False,SKRS
2021-06-01,8.6,8.75,8.45,8.49,131500,False,SKRS
2021-06-02,8.49,8.75,8.49,8.52,142000,False,SKRS
2021-06-03,8.73,9.44,8.67,8.95,475000,False,SKRS
2021-06-04,8.81,9.39,8.81,9.16,310000,False,SKRS
2021-06-07,9.2,9.2,8.7,8.87,120500,False,SKRS
2021-06-08,8.8,8.99,8.8,8.8,140500,False,SKRS
2021-06-09,8.81,8.98,8.72,8.74,82500,False,SKRS
2021-06-10,8.72,8.85,8.62,8.72,29500,False,SKRS
2021-06-11,8.75,8.9,8.61,8.65,75500,False,SKRS
2021-06-14,8.98,9.4,8.71,9.04,413000,False,SKRS
2021-06-15,9.2,9.69,9.15,9.22,456000,False,SKRS
2021-06-16,9.35,9.55,9.16,9.28,208000,False,SKRS
2021-06-17,9.12,9.2,9.02,9.05,48000,False,SKRS
2021-06-18,9.0,9.08,8.92,9.06,66500,False,SKRS
2021-06-21,9.29,9.3,8.91,9.0,44500,False,SKRS
2021-06-22,8.83,8.95,8.81,8.9,51500,False,SKRS
2021-06-23,8.79,9.9,8.79,9.9,1701000,False,SKRS
2021-06-24,10.3,10.3,9.6,9.77,1790000,False,SKRS
2021-06-25,9.9,9.9,9.41,9.54,199000,False,SKRS
2021-06-28,9.79,10.3,9.79,9.86,1014500,False,SKRS
2021-06-29,9.9,10.86,9.9,10.86,2013000,False,SKRS
2021-06-30,11.4,11.86,11.2,11.86,1760500,False,SKRS
2021-07-01,12.49,12.86,12.25,12.86,800000,False,SKRS
2021-07-02,13.86,13.86,13.56,13.86,1250000,False,SKRS
2021-07-05,14.85,14.89,12.83,12.89,3377000,False,SKRS
2021-07-06,12.52,12.98,11.89,11.97,1742500,False,SKRS
2021-07-07,11.51,12.97,11.31,12.9,1172000,False,SKRS
2021-07-08,12.99,13.6,12.51,12.71,1775500,False,SKRS
2021-07-09,12.75,12.75,11.72,11.89,498500,False,SKRS
2021-07-12,12.1,12.89,11.89,12.8,1116000,False,SKRS
2021-07-13,13.0,13.45,12.5,12.84,1133500,False,SKRS
2021-07-14,12.8,13.0,12.3,12.33,228500,False,SKRS
2021-07-15,12.33,12.57,11.89,12.01,229000,False,SKRS
2021-07-16,12.29,12.35,11.99,12.19,141500,False,SKRS
2021-07-19,12.25,12.75,12.2,12.31,231500,False,SKRS
2021-07-23,12.36,12.51,12.01,12.07,61500,False,SKRS
2021-07-26,11.99,13.07,11.95,12.69,714000,False,SKRS
2021-07-27,12.9,13.4,12.6,12.72,267500,False,SKRS
2021-07-28,12.75,12.89,11.72,11.77,259000,False,SKRS
2021-07-29,11.5,11.79,11.5,11.68,118500,False,SKRS
2021-07-30,11.7,11.7,11.0,11.23,186000,False,SKRS
2021-08-02,11.01,11.75,10.85,11.57,295500,False,SKRS
2021-08-03,11.88,12.1,11.2,11.64,220000,False,SKRS
2021-08-04,11.96,11.96,11.5,11.57,106000,False,SKRS
