date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,1.4,1.44,1.36,1.4,132000,False,SMBL
2021-04-27,1.5,1.5,1.33,1.34,592000,False,SMBL
2021-04-28,1.38,1.4,1.36,1.38,62500,False,SMBL
2021-04-29,1.35,1.37,1.32,1.37,86000,False,SMBL
2021-04-30,1.37,1.4,1.33,1.38,62000,False,SMBL
2021-05-03,1.2,1.4,1.2,1.4,52500,False,SMBL
2021-05-04,1.21,1.4,1.21,1.37,78500,False,SMBL
2021-05-05,1.4,1.4,1.33,1.39,124500,False,SMBL
2021-05-06,1.39,1.4,1.34,1.4,86500,False,SMBL
2021-05-17,1.4,1.42,1.35,1.4,83500,False,SMBL
2021-05-18,1.35,1.4,1.35,1.4,145500,False,SMBL
2021-05-19,1.45,1.51,1.36,1.39,693500,False,SMBL
2021-05-20,1.57,1.6,1.4,1.59,920000,False,SMBL
2021-05-21,1.7,2.59,1.7,2.59,37909000,False,SMBL
2021-05-24,3.14,3.42,2.7,2.96,36491000,False,SMBL
2021-05-25,2.35,2.8,2.31,2.47,15966500,False,SMBL
2021-05-26,2.55,2.64,2.39,2.44,6145000,False,SMBL
2021-05-27,2.5,2.8,2.31,2.46,12033500,False,SMBL
2021-05-28,2.37,2.62,2.36,2.46,1801000,False,SMBL
2021-05-31,2.46,2.6,2.46,2.51,2776500,False,SMBL
2021-06-01,2.5,2.61,2.45,2.6,2851500,False,SMBL
2021-06-02,2.63,2.63,2.45,2.49,1305000,False,SMBL
2021-06-03,2.58,2.84,2.4,2.69,8415000,False,SMBL
2021-06-04,2.85,2.85,2.5,2.51,2346500,False,SMBL
2021-06-07,2.0,2.46,2.0,2.39,1130000,False,SMBL
2021-06-08,2.32,2.49,2.32,2.43,855000,False,SMBL
2021-06-09,2.49,2.51,2.4,2.46,1168500,False,SMBL
2021-06-10,2.43,2.5,2.4,2.41,759500,False,SMBL
2021-06-11,2.44,2.5,2.38,2.44,1091000,False,SMBL
2021-06-14,2.49,2.49,2.35,2.38,1028500,False,SMBL
2021-06-15,2.36,2.44,2.32,2.34,955000,False,SMBL
2021-06-16,2.45,2.53,2.3,2.32,1214500,False,SMBL
2021-06-17,2.41,2.59,2.3,2.4,4490500,False,SMBL
2021-06-18,2.4,2.48,2.38,2.42,1208000,False,SMBL
2021-06-21,2.47,2.6,2.4,2.51,2000000,False,SMBL
2021-06-22,2.58,2.59,2.42,2.45,1372000,False,SMBL
2021-06-23,2.42,2.5,2.4,2.45,1046000,False,SMBL
2021-06-24,2.51,2.51,2.44,2.45,1062000,False,SMBL
2021-06-25,2.45,2.48,2.3,2.44,1384500,False,SMBL
2021-06-28,2.4,2.47,2.25,2.3,1399500,False,SMBL
2021-06-29,2.33,2.45,2.28,2.3,733000,False,SMBL
2021-06-30,2.35,2.36,2.3,2.33,928000,False,SMBL
2021-07-01,2.42,2.46,2.32,2.34,2017500,False,SMBL
2021-07-02,2.33,2.4,2.25,2.34,894000,False,SMBL
2021-07-05,2.27,2.35,2.27,2.32,296500,False,SMBL
2021-07-06,2.3,2.65,2.3,2.52,2956500,False,SMBL
2021-07-07,2.63,2.63,2.48,2.52,696500,False,SMBL
2021-07-08,2.5,2.51,2.39,2.46,863500,False,SMBL
2021-07-09,2.53,2.53,2.39,2.5,409000,False,SMBL
2021-07-12,2.55,2.55,2.32,2.38,482500,False,SMBL
2021-07-13,2.33,2.47,2.3,2.34,397500,False,SMBL
2021-07-14,2.35,2.44,2.08,2.23,921500,False,SMBL
2021-07-15,2.22,2.36,2.22,2.31,267500,False,SMBL
2021-07-16,2.31,2.4,2.29,2.31,700500,False,SMBL
2021-07-19,2.35,2.41,2.26,2.38,560000,False,SMBL
2021-07-23,2.42,2.43,2.3,2.31,236000,False,SMBL
2021-07-26,2.31,2.37,2.26,2.31,210000,False,SMBL
2021-07-27,2.3,2.34,2.3,2.32,328000,False,SMBL
2021-07-28,2.3,2.34,2.25,2.26,289500,False,SMBL
2021-07-29,2.25,2.29,2.11,2.2,401500,False,SMBL
2021-07-30,2.16,2.94,2.16,2.33,618000,False,SMBL
2021-08-02,2.46,2.59,2.3,2.44,485500,False,SMBL
2021-08-03,2.35,2.48,2.35,2.44,408000,False,SMBL
2021-08-04,2.37,2.49,2.35,2.46,585500,False,SMBL
2021-08-05,2.4,2.49,2.37,2.45,634500,False,SMBL
2021-08-06,2.4,3.28,2.4,2.96,23511500,False,SMBL
2021-08-09,3.07,3.15,2.7,2.74,7225500,False,SMBL
2021-08-10,2.7,2.83,2.62,2.77,2078000,False,SMBL
2021-08-11,2.8,3.03,2.76,2.85,3240000,False,SMBL
2021-08-12,2.8,2.89,2.75,2.76,525000,False,SMBL
2021-08-13,2.81,2.84,2.7,2.71,736500,False,SMBL
2021-08-16,2.75,2.75,2.6,2.69,1203500,False,SMBL
2021-08-17,2.74,2.82,2.74,2.79,2529000,False,SMBL
2021-08-20,2.84,2.96,2.8,2.85,3874000,False,SMBL
2021-08-23,2.87,2.91,2.76,2.83,1978000,False,SMBL
2021-08-24,2.88,3.0,2.83,2.9,1173500,False,SMBL
2021-08-25,2.9,2.94,2.84,2.89,851500,False,SMBL
2021-08-26,2.84,2.88,2.8,2.8,733500,False,SMBL
2021-08-27,2.81,2.88,2.76,2.77,676500,False,SMBL
2021-08-30,2.8,2.83,2.73,2.74,395500,False,SMBL
2021-08-31,2.75,2.8,2.68,2.69,373500,False,SMBL
2021-09-01,2.75,3.0,2.71,2.74,639500,False,SMBL
2021-09-02,2.74,2.81,2.71,2.74,799500,False,SMBL
2021-09-03,2.77,2.84,2.71,2.79,124500,False,SMBL
2021-09-06,2.84,2.84,2.7,2.75,348500,False,SMBL
2021-09-07,2.78,2.78,2.7,2.71,190500,False,SMBL
2021-09-08,2.74,3.0,2.74,2.85,5587500,False,SMBL
2021-09-09,2.97,3.0,2.81,2.95,2002000,False,SMBL
2021-09-10,2.99,3.17,2.9,3.05,2543500,False,SMBL
2021-09-13,3.22,3.22,3.01,3.06,2371500,False,SMBL
2021-09-14,3.13,3.13,2.9,2.93,1616000,False,SMBL
2021-09-15,3.0,3.04,2.8,2.81,1111500,False,SMBL
2021-09-16,2.9,2.9,2.8,2.83,462500,False,SMBL
2021-09-17,2.86,2.92,2.8,2.84,1372000,False,SMBL
2021-09-20,2.84,2.84,2.78,2.79,815000,False,SMBL
2021-09-21,2.95,2.95,2.69,2.7,1218500,False,SMBL
2021-09-22,2.68,2.69,2.51,2.55,1899000,False,SMBL
2021-09-23,2.7,2.7,2.48,2.5,910000,False,SMBL
2021-09-24,2.51,2.6,2.41,2.41,524500,False,SMBL
2021-09-27,2.45,2.47,2.42,2.44,556000,False,SMBL
2021-09-28,2.5,2.55,2.44,2.49,1028500,False,SMBL
2021-09-29,2.72,2.72,2.41,2.54,658000,False,SMBL
2021-09-30,2.54,2.54,2.45,2.5,161000,False,SMBL
2021-10-01,2.75,2.75,2.4,2.6,1195500,False,SMBL
2021-10-04,2.74,3.29,2.6,2.94,14689500,False,SMBL
2021-10-05,3.08,3.08,2.76,2.78,3496000,False,SMBL
2021-10-06,2.9,2.98,2.67,2.75,880000,False,SMBL
2021-10-07,2.71,2.82,2.68,2.78,657500,False,SMBL
2021-10-08,2.75,2.85,2.6,2.73,738500,False,SMBL
2021-10-11,2.88,2.88,2.55,2.56,1055500,False,SMBL
2021-10-12,2.69,2.69,2.45,2.47,844500,False,SMBL
2021-10-13,2.61,2.62,2.27,2.41,1249000,False,SMBL
2021-10-14,2.4,2.5,2.4,2.46,1271500,False,SMBL
2021-10-15,2.45,2.55,2.45,2.45,536500,False,SMBL
2021-10-18,2.53,2.55,2.4,2.46,131500,False,SMBL
2021-10-20,2.5,2.5,2.45,2.47,188500,False,SMBL
2021-10-21,2.47,2.55,2.44,2.49,635500,False,SMBL
2021-10-22,2.45,2.6,2.4,2.44,403500,False,SMBL
2021-10-25,2.48,2.53,2.48,2.53,123500,False,SMBL
2021-10-26,2.55,2.63,2.52,2.57,325000,False,SMBL
2021-10-27,2.51,2.59,2.45,2.53,583000,False,SMBL
2021-10-28,2.47,2.54,2.46,2.48,108500,False,SMBL
2021-11-01,2.45,2.8,2.43,2.53,577500,False,SMBL
2021-11-02,2.69,2.69,2.5,2.54,139000,False,SMBL
2021-11-03,2.62,2.69,2.5,2.58,2321000,False,SMBL
2021-11-04,2.69,2.69,2.54,2.58,910500,False,SMBL
2021-11-05,2.7,2.7,2.5,2.51,612500,False,SMBL
2021-11-08,2.53,2.66,2.46,2.49,2169500,False,SMBL
2021-11-09,2.54,2.54,2.35,2.36,1655500,False,SMBL
2021-11-10,2.35,2.48,2.35,2.4,384500,False,SMBL
2021-11-11,2.4,2.4,2.33,2.35,133500,False,SMBL
2021-11-12,2.3,2.38,2.11,2.2,1318500,False,SMBL
2021-11-15,2.25,2.25,2.11,2.16,603000,False,SMBL
2021-11-16,2.24,2.29,2.2,2.24,452000,False,SMBL
2021-11-17,2.24,2.45,2.23,2.34,1854000,False,SMBL
2021-11-18,2.45,2.49,2.11,2.23,519000,False,SMBL
2021-11-19,2.39,2.39,2.23,2.32,928500,False,SMBL
2021-11-22,2.46,2.46,2.22,2.22,538500,False,SMBL
2021-11-23,2.37,2.37,2.19,2.2,254000,False,SMBL
2021-11-24,2.37,2.37,2.1,2.17,450500,False,SMBL
2021-11-25,2.29,2.29,2.1,2.11,134500,False,SMBL
2021-11-26,2.16,2.22,2.1,2.12,195500,False,SMBL
2021-11-29,2.14,2.25,2.12,2.13,574500,False,SMBL
2021-11-30,2.27,2.27,2.05,2.2,375000,False,SMBL
