date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,8.5,8.5,8.4,8.49,524500,False,SNBL
2021-04-27,8.41,8.73,8.41,8.45,26500,False,SNBL
2021-04-28,8.68,8.69,8.46,8.5,2814500,False,SNBL
2021-04-29,8.5,8.6,8.4,8.46,2790000,False,SNBL
2021-04-30,8.55,8.57,8.41,8.5,2146000,False,SNBL
2021-05-03,8.7,8.7,8.4,8.5,114000,False,SNBL
2021-05-04,8.52,8.73,8.5,8.7,1176000,False,SNBL
2021-05-05,8.55,8.76,8.55,8.75,628000,False,SNBL
2021-05-06,8.76,8.9,8.76,8.9,1307500,False,SNBL
2021-05-17,8.78,8.98,8.78,8.85,1578000,False,SNBL
2021-05-18,8.8,8.84,8.74,8.75,2135000,False,SNBL
2021-05-19,8.8,8.8,8.6,8.7,1641500,False,SNBL
2021-05-20,8.97,8.97,8.66,8.73,3202500,False,SNBL
2021-05-21,8.75,9.3,8.6,9.12,1893000,False,SNBL
2021-05-24,9.28,9.29,8.95,9.11,422500,False,SNBL
2021-05-25,9.03,9.15,8.97,9.09,435000,False,SNBL
2021-05-26,9.0,9.15,9.0,9.06,1342500,False,SNBL
2021-05-27,9.14,9.2,9.05,9.11,2092000,False,SNBL
2021-05-28,9.2,9.49,9.06,9.36,54000,False,SNBL
2021-05-31,9.26,9.29,9.2,9.2,70000,False,SNBL
2021-06-01,9.2,9.25,9.12,9.15,68500,False,SNBL
2021-06-02,9.15,9.21,9.01,9.1,154500,False,SNBL
2021-06-03,9.1,9.1,9.01,9.1,246500,False,SNBL
2021-06-04,9.02,9.13,9.02,9.08,365000,False,SNBL
2021-06-07,9.15,9.15,9.06,9.1,5432000,False,SNBL
2021-06-08,9.1,9.2,9.1,9.15,59000,False,SNBL
2021-06-09,9.05,9.1,9.05,9.07,113500,False,SNBL
2021-06-10,9.1,9.15,9.01,9.15,67500,False,SNBL
2021-06-11,9.2,9.2,9.11,9.19,3209500,False,SNBL
2021-06-14,9.19,9.22,9.0,9.19,3887000,False,SNBL
2021-06-15,9.3,9.3,9.08,9.2,55000,False,SNBL
2021-06-16,9.2,9.2,9.14,9.14,514500,False,SNBL
2021-06-17,9.17,9.19,9.0,9.11,903500,False,SNBL
2021-06-18,9.12,9.12,9.06,9.11,6000,False,SNBL
2021-06-21,9.1,9.23,9.05,9.2,13899000,False,SNBL
2021-06-22,9.2,9.26,9.12,9.21,78000,False,SNBL
2021-06-23,9.21,9.21,9.15,9.19,40000,False,SNBL
2021-06-24,9.15,9.17,9.11,9.15,34500,False,SNBL
2021-06-25,9.05,9.15,9.05,9.15,30000,False,SNBL
2021-06-28,9.2,9.2,9.06,9.2,87000,False,SNBL
2021-06-29,9.2,9.5,9.2,9.45,283500,False,SNBL
2021-06-30,9.49,10.0,9.4,9.8,880500,False,SNBL
2021-07-01,9.51,9.8,9.4,9.5,298500,False,SNBL
2021-07-02,9.6,9.6,9.35,9.35,7000,False,SNBL
2021-07-05,9.74,9.74,9.35,9.46,43500,False,SNBL
2021-07-06,9.5,9.5,9.4,9.4,28500,False,SNBL
2021-07-07,9.35,9.36,9.26,9.26,49000,False,SNBL
2021-07-08,9.32,9.39,9.32,9.32,104000,False,SNBL
2021-07-09,9.33,9.43,9.3,9.4,44500,False,SNBL
2021-07-12,9.31,9.38,9.25,9.25,206500,False,SNBL
2021-07-13,9.58,9.58,9.28,9.3,11000,False,SNBL
2021-07-14,9.3,9.3,9.23,9.24,520500,False,SNBL
2021-07-15,9.25,9.25,9.24,9.25,28500,False,SNBL
2021-07-16,9.27,9.27,9.2,9.22,44000,False,SNBL
2021-07-19,9.21,9.25,9.15,9.2,147000,False,SNBL
2021-07-23,9.2,9.4,9.2,9.26,190500,False,SNBL
2021-07-26,9.35,9.35,9.2,9.2,13500,False,SNBL
2021-07-27,9.15,9.2,9.01,9.15,25000,False,SNBL
2021-07-28,9.3,9.3,9.15,9.15,32500,False,SNBL
2021-07-29,9.19,9.2,9.15,9.2,300000,False,SNBL
2021-07-30,9.34,9.34,9.05,9.1,124500,False,SNBL
2021-08-02,9.3,9.3,9.08,9.11,81500,False,SNBL
2021-08-03,9.3,9.3,9.03,9.11,33500,False,SNBL
2021-08-04,9.15,9.18,9.1,9.13,53000,False,SNBL
2021-08-05,9.13,9.13,9.1,9.1,33000,False,SNBL
2021-08-06,9.11,9.4,9.05,9.37,310500,False,SNBL
2021-08-09,9.13,9.25,9.02,9.09,42000,False,SNBL
2021-08-10,9.1,9.21,9.03,9.06,29500,False,SNBL
2021-08-11,9.05,9.13,8.8,8.84,537500,False,SNBL
2021-08-12,9.0,9.0,8.75,9.0,772000,False,SNBL
2021-08-13,9.2,9.2,8.91,8.98,45500,False,SNBL
2021-08-16,8.9,8.98,8.84,8.9,116000,False,SNBL
2021-08-17,8.95,9.05,8.82,8.86,44000,False,SNBL
2021-08-20,8.95,9.0,8.86,8.9,127500,False,SNBL
2021-08-23,9.01,9.3,9.01,9.3,205000,False,SNBL
2021-08-24,9.01,9.35,9.01,9.12,660000,False,SNBL
2021-08-25,9.12,9.2,9.02,9.06,200500,False,SNBL
2021-08-26,9.29,9.29,9.07,9.07,13000,False,SNBL
2021-08-27,9.05,9.25,9.0,9.1,61500,False,SNBL
2021-08-30,9.0,9.13,8.91,9.0,84000,False,SNBL
2021-08-31,9.0,9.0,8.92,9.0,89500,False,SNBL
2021-09-01,9.0,9.2,9.0,9.01,449000,False,SNBL
2021-09-02,9.09,9.09,9.0,9.01,19500,False,SNBL
2021-09-03,9.01,9.09,9.0,9.08,6000,False,SNBL
2021-09-06,9.02,9.12,9.0,9.1,18000,False,SNBL
2021-09-07,8.92,9.02,8.92,9.01,21000,False,SNBL
2021-09-08,9.04,9.05,8.9,8.96,148500,False,SNBL
2021-09-09,9.15,9.19,9.0,9.0,19500,False,SNBL
2021-09-10,9.05,9.17,9.0,9.05,3500,False,SNBL
2021-09-13,9.0,9.17,9.0,9.15,32000,False,SNBL
2021-09-14,9.17,9.19,9.12,9.14,66000,False,SNBL
2021-09-15,9.15,9.45,9.15,9.2,6500,False,SNBL
2021-09-16,9.25,9.3,9.18,9.3,50000,False,SNBL
2021-09-17,9.28,9.39,9.25,9.26,85000,False,SNBL
2021-09-20,9.12,9.23,9.1,9.23,8500,False,SNBL
2021-09-21,9.25,9.43,9.25,9.39,12500,False,SNBL
2021-09-22,9.22,9.3,9.1,9.12,27000,False,SNBL
2021-09-23,9.45,9.45,9.0,9.0,92500,False,SNBL
2021-09-24,9.45,9.45,8.87,8.89,82000,False,SNBL
2021-09-27,8.88,9.03,8.88,8.99,29000,False,SNBL
2021-09-28,9.0,9.17,9.0,9.16,14500,False,SNBL
2021-09-29,9.2,9.2,8.9,9.1,118500,False,SNBL
2021-09-30,9.06,9.3,9.05,9.29,44000,False,SNBL
2021-10-01,9.34,9.5,9.0,9.33,94500,False,SNBL
2021-10-04,9.3,9.38,9.19,9.2,21500,False,SNBL
2021-10-05,9.37,9.37,9.3,9.3,17000,False,SNBL
2021-10-06,9.35,9.35,9.06,9.15,9000,False,SNBL
2021-10-07,9.17,9.3,9.15,9.22,184000,False,SNBL
2021-10-08,9.2,9.21,9.2,9.2,44500,False,SNBL
2021-10-11,9.2,9.2,9.0,9.15,36000,False,SNBL
2021-10-12,9.05,9.12,9.05,9.12,3500,False,SNBL
2021-10-13,9.15,9.15,9.15,9.15,1500,False,SNBL
