date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,38.01,40.98,38.01,39.8,244500,False,SPEL
2021-04-27,40.0,40.1,38.5,38.65,35000,False,SPEL
2021-04-28,39.98,39.98,38.5,38.51,26000,False,SPEL
2021-04-29,38.85,38.85,38.65,38.74,4500,False,SPEL
2021-04-30,38.74,38.95,38.0,38.82,52000,False,SPEL
2021-05-03,36.36,38.0,36.34,37.58,13000,False,SPEL
2021-05-04,38.15,39.0,38.0,38.23,56500,False,SPEL
2021-05-05,38.01,40.98,37.75,39.36,153500,False,SPEL
2021-05-06,39.25,40.0,39.02,39.7,100500,False,SPEL
2021-05-17,38.99,41.06,38.95,40.93,241000,False,SPEL
2021-05-18,41.0,41.25,40.0,40.0,110500,False,SPEL
2021-05-19,40.0,40.48,40.0,40.0,64000,False,SPEL
2021-05-20,40.0,41.0,40.0,40.48,124500,False,SPEL
2021-05-21,40.5,41.8,40.5,41.41,152500,False,SPEL
2021-05-24,42.0,42.82,42.0,42.16,71500,False,SPEL
2021-05-25,42.01,42.01,41.75,41.92,132000,False,SPEL
2021-05-26,42.0,42.99,42.0,42.24,350000,False,SPEL
2021-05-27,42.0,42.5,41.5,41.63,66500,False,SPEL
2021-05-28,41.26,42.0,41.0,41.56,25000,False,SPEL
2021-05-31,41.75,44.3,41.75,43.47,259000,False,SPEL
2021-06-01,43.6,46.73,43.55,46.73,968000,False,SPEL
2021-06-02,48.0,48.98,46.0,46.26,185000,False,SPEL
2021-06-03,46.98,47.01,46.1,46.35,81500,False,SPEL
2021-06-04,46.98,47.0,46.35,46.71,230500,False,SPEL
2021-06-07,47.0,48.97,46.01,47.45,399500,False,SPEL
2021-06-08,48.24,48.24,46.77,46.95,170000,False,SPEL
2021-06-09,47.47,47.47,46.0,46.14,70000,False,SPEL
2021-06-10,46.99,46.99,46.25,46.71,22500,False,SPEL
2021-06-11,46.91,47.49,46.5,46.55,116000,False,SPEL
2021-06-14,47.01,47.5,46.7,46.97,171500,False,SPEL
2021-06-15,45.6,47.0,45.6,46.47,13500,False,SPEL
2021-06-16,46.0,46.0,45.6,45.8,77000,False,SPEL
2021-06-17,45.55,46.1,45.5,45.55,23500,False,SPEL
2021-06-18,46.01,46.01,45.5,45.54,7500,False,SPEL
2021-06-21,45.51,46.8,44.0,44.69,62000,False,SPEL
2021-06-22,44.76,44.76,44.08,44.26,19000,False,SPEL
2021-06-23,44.5,45.0,44.5,45.0,1500,False,SPEL
2021-06-24,45.5,45.5,44.5,44.5,22000,False,SPEL
2021-06-25,44.5,44.5,43.5,43.5,49000,False,SPEL
2021-06-28,43.01,43.01,41.75,42.91,58500,False,SPEL
2021-06-29,43.0,44.0,42.9,43.08,112500,False,SPEL
2021-06-30,43.5,43.6,43.0,43.01,30500,False,SPEL
2021-07-01,43.5,43.85,42.8,43.0,78500,False,SPEL
2021-07-02,43.25,43.54,43.15,43.45,26000,False,SPEL
2021-07-05,43.51,43.6,43.48,43.53,187000,False,SPEL
2021-07-06,44.2,45.75,44.2,44.96,134500,False,SPEL
2021-07-07,45.0,45.0,44.0,44.79,16000,False,SPEL
2021-07-08,45.0,45.0,44.3,44.5,20500,False,SPEL
2021-07-09,44.5,47.0,44.5,46.31,97000,False,SPEL
2021-07-12,46.5,46.5,45.0,45.95,64000,False,SPEL
2021-07-13,45.03,46.0,44.9,44.9,98000,False,SPEL
2021-07-14,44.5,44.5,44.0,44.16,24500,False,SPEL
2021-07-15,44.3,46.01,44.3,45.0,59500,False,SPEL
2021-07-16,45.25,45.85,45.0,45.0,51000,False,SPEL
2021-07-19,45.04,46.0,44.5,45.62,29000,False,SPEL
2021-07-23,45.25,46.3,45.2,45.91,28000,False,SPEL
2021-07-26,46.0,46.0,45.25,45.37,21000,False,SPEL
2021-07-27,45.49,46.1,45.0,45.87,72500,False,SPEL
2021-07-28,45.5,45.5,44.4,44.66,24500,False,SPEL
2021-07-29,44.02,45.4,44.02,44.6,47500,False,SPEL
