date,open,high,low,close,volume,is_anomaly,ticker
2026-01-29,21.0,21.0,17.02,17.47,4853268,False,SRR
2026-01-30,18.0,18.0,15.81,16.88,2251130,False,SRR
2026-02-02,16.99,17.0,16.5,16.62,444538,False,SRR
2026-02-03,16.51,16.7,16.06,16.33,416989,False,SRR
2026-02-04,16.33,16.33,16.02,16.23,373485,False,SRR
2026-02-06,16.23,16.24,16.03,16.11,217808,False,SRR
2026-02-09,16.05,16.22,16.05,16.13,210670,False,SRR
2026-02-10,16.35,16.35,16.03,16.14,139580,False,SRR
2026-02-11,16.22,16.23,16.05,16.14,124568,False,SRR
2026-02-12,16.22,16.22,15.97,16.04,264932,False,SRR
2026-02-13,16.05,16.49,15.82,16.36,278077,False,SRR
2026-02-16,16.49,16.49,16.2,16.3,194451,False,SRR
2026-02-17,16.3,16.36,16.01,16.18,150338,False,SRR
2026-02-18,16.18,16.32,16.15,16.29,85806,False,SRR
2026-02-19,16.47,16.47,16.01,16.1,94251,False,SRR
2026-02-20,16.18,16.5,15.93,16.41,234043,False,SRR
2026-02-23,16.4,16.6,16.1,16.19,90398,False,SRR
2026-02-24,16.49,16.49,15.95,16.04,181747,False,SRR
2026-02-25,16.04,16.29,15.83,16.16,103441,False,SRR
2026-02-26,16.2,16.48,16.06,16.21,113062,False,SRR
2026-02-27,16.2,16.48,16.11,16.23,45435,False,SRR
2026-03-02,15.26,16.49,15.26,15.8,240470,False,SRR
2026-03-03,15.8,16.35,15.8,16.02,72653,False,SRR
2026-03-04,15.91,16.25,15.82,16.0,27789,False,SRR
2026-03-05,16.01,16.19,16.01,16.11,29136,False,SRR
2026-03-06,16.11,16.19,15.92,16.03,50463,False,SRR
2026-03-09,15.56,16.09,15.32,16.02,150692,False,SRR
2026-03-10,16.08,16.5,15.53,16.08,42270,False,SRR
2026-03-11,16.18,16.18,15.82,16.14,70673,False,SRR
2026-03-12,16.01,16.19,16.0,16.15,24014,False,SRR
2026-03-13,16.06,16.18,16.06,16.14,43169,False,SRR
2026-03-16,16.14,16.19,16.07,16.12,20161,False,SRR
2026-03-17,16.1,16.19,15.94,16.11,27923,False,SRR
2026-03-18,16.11,16.39,16.08,16.2,17623,False,SRR
2026-03-19,16.2,16.36,16.02,16.11,15773,False,SRR
2026-03-24,16.39,16.49,16.12,16.18,23264,False,SRR
2026-03-25,16.47,16.5,16.19,16.46,118788,False,SRR
2026-03-26,16.21,16.44,16.21,16.22,94003,False,SRR
2026-03-27,16.05,16.51,16.05,16.28,40660,False,SRR
2026-03-30,16.1,16.25,16.0,16.16,95721,False,SRR
2026-03-31,16.05,16.4,16.05,16.21,28828,False,SRR
2026-04-01,16.25,16.35,16.03,16.21,53784,False,SRR
2026-04-02,16.0,16.22,16.0,16.21,20492,False,SRR
2026-04-03,16.05,16.3,16.05,16.14,11541,False,SRR
2026-04-06,16.16,16.28,16.05,16.12,52017,False,SRR
2026-04-07,16.38,16.38,16.09,16.21,10493,False,SRR
2026-04-08,16.34,16.4,16.11,16.34,82388,False,SRR
2026-04-09,16.34,16.46,16.16,16.25,21927,False,SRR
2026-04-10,16.3,16.43,16.01,16.27,40917,False,SRR
2026-04-13,16.25,16.3,16.01,16.26,53138,False,SRR
2026-04-14,16.49,16.49,16.11,16.33,51838,False,SRR
2026-04-15,16.48,16.48,16.26,16.34,49654,False,SRR
2026-04-16,16.35,16.58,16.3,16.51,73157,False,SRR
2026-04-17,16.41,16.6,16.35,16.53,50824,False,SRR
2026-04-20,16.31,16.95,16.31,16.78,119885,False,SRR
2026-04-21,16.97,16.97,16.5,16.59,22029,False,SRR
2026-04-22,16.5,17.15,16.5,16.89,81748,False,SRR
2026-04-23,16.89,17.35,16.71,16.98,47579,False,SRR
2026-04-24,16.9,17.2,16.62,17.01,27024,False,SRR
