date,open,high,low,close,volume,is_anomaly,ticker
2021-04-26,23.1,24.5,23.06,24.42,389500,False,STCL
2021-04-27,24.74,24.85,24.61,24.62,54500,False,STCL
2021-04-28,24.65,25.49,24.29,25.08,1067000,False,STCL
2021-04-29,25.24,26.05,25.24,25.54,805500,False,STCL
2021-04-30,25.9,26.2,24.21,24.81,154500,False,STCL
2021-05-03,25.0,25.0,24.5,24.93,121500,False,STCL
2021-05-04,25.0,25.3,24.95,25.0,233500,False,STCL
2021-05-05,25.4,25.4,24.5,24.54,51500,False,STCL
2021-05-06,24.51,25.25,24.51,25.15,18500,False,STCL
2021-05-17,25.25,25.69,25.25,25.5,51000,False,STCL
2021-05-18,25.7,26.24,25.7,26.09,808500,False,STCL
2021-05-19,26.25,27.1,25.9,26.64,747500,False,STCL
2021-05-20,26.97,28.19,26.96,27.97,1367500,False,STCL
2021-05-21,28.0,28.5,27.65,27.9,514500,False,STCL
2021-05-24,28.1,28.35,27.0,27.92,1000500,False,STCL
2021-05-25,27.11,28.1,27.1,27.64,817000,False,STCL
2021-05-26,27.15,27.74,27.0,27.27,518500,False,STCL
2021-05-27,27.5,27.9,26.9,27.27,533500,False,STCL
2021-05-28,27.01,27.98,27.0,27.51,239500,False,STCL
2021-05-31,27.3,28.48,27.21,28.17,563500,False,STCL
2021-06-01,28.5,30.28,28.2,30.28,1023500,False,STCL
2021-06-02,31.48,32.55,31.45,32.55,2126000,False,STCL
2021-06-03,32.6,33.75,32.1,32.36,1808000,False,STCL
2021-06-04,32.25,33.75,31.9,33.46,1039000,False,STCL
2021-06-07,33.7,35.2,32.2,34.55,1100000,False,STCL
2021-06-08,34.55,35.0,32.0,33.78,823000,False,STCL
2021-06-09,34.4,34.9,33.5,33.67,741000,False,STCL
2021-06-10,33.55,34.1,33.0,33.25,225000,False,STCL
2021-06-11,33.5,35.2,32.9,34.89,804000,False,STCL
2021-06-14,35.5,35.5,33.86,34.02,462500,False,STCL
2021-06-15,34.02,34.02,33.0,33.0,224000,False,STCL
2021-06-16,33.0,33.44,32.5,32.69,144000,False,STCL
2021-06-17,32.6,33.4,31.5,32.5,282500,False,STCL
2021-06-18,32.5,34.12,32.5,33.47,253500,False,STCL
2021-06-21,33.47,33.49,32.51,32.87,75000,False,STCL
2021-06-22,32.52,33.5,32.03,33.34,159000,False,STCL
2021-06-23,32.9,33.48,32.55,33.06,68000,False,STCL
2021-06-24,32.61,32.81,32.2,32.53,649500,False,STCL
2021-06-25,32.84,32.99,32.25,32.54,88500,False,STCL
2021-06-28,32.54,32.54,31.32,31.65,1110000,False,STCL
2021-06-29,31.94,33.87,31.67,33.45,320000,False,STCL
2021-06-30,33.5,33.5,31.65,33.35,262500,False,STCL
2021-07-01,32.81,34.25,32.81,33.26,343000,False,STCL
2021-07-02,33.91,34.25,33.02,33.96,238500,False,STCL
2021-07-05,34.0,34.75,33.0,34.3,219000,False,STCL
2021-07-06,34.3,34.3,32.3,32.54,262500,False,STCL
2021-07-07,32.53,32.53,31.5,31.79,372500,False,STCL
2021-07-08,31.9,32.37,31.4,32.28,183500,False,STCL
2021-07-09,31.9,32.84,31.9,32.62,54000,False,STCL
2021-07-12,32.5,32.5,31.6,31.82,58000,False,STCL
2021-07-13,31.6,32.1,31.3,31.31,137000,False,STCL
