date,open,high,low,close,volume,is_anomaly,ticker
2021-05-04,44.0,44.0,44.0,44.0,1500,False,STML
2021-05-06,44.0,44.24,44.0,44.24,1000,False,STML
2021-05-17,46.0,47.55,46.0,47.55,6000,False,STML
2021-05-20,49.9,51.11,49.9,51.11,24500,False,STML
2021-05-21,54.75,54.94,54.75,54.94,7000,False,STML
2021-05-24,59.0,59.06,59.0,59.06,14500,False,STML
2021-05-25,63.4,63.48,63.4,63.48,7000,False,STML
2021-05-26,67.9,68.24,67.9,68.24,14500,False,STML
2021-05-27,73.35,73.35,68.05,68.51,7000,False,STML
2021-06-08,63.5,63.5,63.5,63.5,2500,False,STML
2021-06-16,58.76,68.0,58.76,66.83,3500,False,STML
2021-06-18,65.0,65.0,65.0,65.0,1000,False,STML
2021-06-21,69.79,69.8,69.79,69.8,2500,False,STML
2021-07-08,71.9,74.9,64.6,64.6,7000,False,STML
2021-07-12,65.0,65.0,65.0,65.0,2000,False,STML
2021-07-13,69.8,69.87,65.0,65.0,2500,False,STML
2021-07-14,65.0,65.0,65.0,65.0,2500,False,STML
2021-07-15,67.2,69.5,67.2,69.5,1000,False,STML
2021-07-23,70.02,70.02,70.02,70.02,500,False,STML
2021-08-03,71.99,73.9,71.99,72.12,39000,False,STML
2021-08-04,72.5,72.5,70.5,70.5,12000,False,STML
2021-08-05,71.0,73.0,71.0,73.0,3000,False,STML
2021-08-06,75.0,75.0,75.0,75.0,500,False,STML
2021-08-16,69.38,72.5,69.38,71.0,2000,False,STML
2021-08-17,0.0,71.0,71.0,71.0,2000,True,STML
2021-08-20,71.0,71.0,71.0,71.0,500,False,STML
2021-08-23,74.5,75.0,74.5,75.0,1000,False,STML
2021-08-25,70.0,75.0,70.0,74.38,9000,False,STML
2021-08-26,74.99,79.95,74.99,79.95,17000,False,STML
2021-08-27,80.0,80.0,80.0,80.0,1000,False,STML
2021-09-07,75.0,75.0,75.0,75.0,500,False,STML
2021-09-08,70.0,75.0,70.0,75.0,2000,False,STML
2021-09-14,70.1,70.25,69.38,69.38,6000,False,STML
2021-09-16,65.1,69.9,65.1,69.9,2000,False,STML
2021-09-17,70.0,70.0,70.0,70.0,10000,False,STML
2021-09-20,72.0,72.0,72.0,72.0,4500,False,STML
2021-09-21,75.9,75.9,73.0,73.0,10000,False,STML
2021-10-04,73.0,73.0,73.0,73.0,1000,False,STML
2021-10-07,68.1,68.1,68.1,68.1,500,False,STML
2021-10-08,65.0,65.0,65.0,65.0,2000,False,STML
2021-10-11,61.0,61.0,60.5,60.5,1500,False,STML
2021-10-12,60.5,64.5,60.5,64.5,4500,False,STML
2021-10-15,60.1,68.9,60.1,60.1,11500,False,STML
2021-10-18,62.35,62.35,58.1,62.35,500,False,STML
2021-10-20,62.5,67.02,62.5,67.02,14000,False,STML
2021-10-25,0.0,0.0,0.0,67.02,0,True,STML
2021-10-28,62.1,66.5,62.1,66.5,1000,False,STML
2021-10-29,62.1,68.9,61.51,62.6,5000,False,STML
2021-11-04,59.11,60.12,59.11,60.1,1500,False,STML
2021-11-05,63.57,63.57,63.57,63.57,500,False,STML
2021-11-08,59.1,59.1,59.0,59.0,1000,False,STML
2021-11-09,58.0,58.0,58.0,58.0,500,False,STML
2021-11-10,55.9,57.01,54.1,57.01,3500,False,STML
2021-11-11,55.01,59.95,53.19,56.35,23500,False,STML
2021-11-17,53.5,53.5,53.5,53.5,47000,False,STML
2021-11-18,52.5,56.55,52.5,52.5,29000,False,STML
2021-11-19,52.0,52.0,52.0,52.0,1000,False,STML
2021-11-22,49.0,54.0,49.0,53.0,2000,False,STML
2021-11-29,49.1,53.01,49.03,52.98,7500,False,STML
2021-11-30,52.0,56.2,52.0,56.05,2000,False,STML
2021-12-20,0.0,0.0,0.0,55.6,0,True,STML
2021-12-22,0.0,0.0,0.0,55.0,0,True,STML
2021-12-27,51.5,51.5,51.5,51.5,500,False,STML
2021-12-28,51.0,51.0,47.7,47.7,1000,False,STML
2021-12-30,44.16,51.27,44.16,51.27,8500,False,STML
2021-12-31,55.11,55.11,50.0,55.11,1500,False,STML
2022-01-03,59.24,59.24,59.24,59.24,500,False,STML
2022-01-04,63.68,63.68,54.8,54.91,12000,False,STML
2022-01-05,51.0,56.9,51.0,55.24,9500,False,STML
2022-01-06,57.9,57.9,55.0,56.89,8500,False,STML
2022-01-07,55.0,58.0,52.68,58.0,6500,False,STML
2022-01-10,55.0,59.0,55.0,57.15,8500,False,STML
2022-01-11,55.0,56.45,55.0,56.45,1000,False,STML
2022-01-14,54.1,56.9,54.0,56.9,1500,False,STML
2022-01-18,53.1,55.89,53.1,55.89,1000,False,STML
2022-01-20,53.0,56.89,53.0,56.89,1500,False,STML
2022-01-21,53.11,55.0,53.11,55.0,1500,False,STML
2022-01-24,51.11,55.89,51.1,55.39,2000,False,STML
2022-01-25,57.0,57.0,55.39,57.0,1500,False,STML
2022-01-27,53.75,53.75,53.75,53.75,500,False,STML
2022-01-28,56.0,57.78,56.0,57.78,1500,False,STML
2022-01-31,58.0,58.0,56.0,57.0,3000,False,STML
2022-02-01,61.25,61.25,61.25,61.25,1000,False,STML
2022-02-02,65.8,65.8,65.8,65.8,500,False,STML
2022-02-07,61.0,65.79,61.0,65.79,1000,False,STML
2022-02-08,60.95,64.39,60.95,64.39,1000,False,STML
2022-02-15,63.3,67.3,60.3,67.3,1500,False,STML
2022-02-16,67.0,67.0,67.0,67.0,1000,False,STML
2022-02-18,61.99,66.99,61.99,66.99,1000,False,STML
2022-02-23,61.99,65.99,61.99,65.99,2000,False,STML
2022-02-24,61.09,67.99,61.09,67.99,1000,False,STML
2022-02-25,62.99,66.99,62.99,66.99,1000,False,STML
2022-02-28,61.99,61.99,61.97,61.97,1500,False,STML
2022-03-02,57.39,61.05,57.39,61.05,1000,False,STML
2022-03-03,59.0,64.49,58.0,60.5,1500,False,STML
2022-03-04,55.99,64.95,55.99,61.31,1500,False,STML
2022-03-07,65.8,65.8,56.75,59.95,4500,False,STML
2022-03-08,55.59,61.39,55.59,61.39,1000,False,STML
2022-03-09,56.99,61.49,56.99,61.49,1000,False,STML
2022-03-10,56.99,59.95,56.99,59.95,1000,False,STML
2022-03-11,55.49,55.49,55.49,55.49,500,False,STML
2022-03-17,51.59,55.0,51.39,55.0,1500,False,STML
2022-03-18,50.99,58.95,50.99,58.95,1500,False,STML
2022-03-21,57.0,57.0,57.0,57.0,1000,False,STML
2022-03-24,52.8,57.85,52.8,57.85,1000,False,STML
2022-03-25,53.58,58.43,53.54,58.43,1500,False,STML
2022-03-29,54.09,59.84,54.09,59.84,1000,False,STML
2022-03-30,55.36,57.96,55.36,57.96,1000,False,STML
2022-03-31,53.64,57.94,53.64,57.94,1500,False,STML
2022-04-01,53.66,53.66,53.65,53.65,2000,False,STML
2022-04-04,50.05,50.05,50.0,50.0,2500,False,STML
2022-04-05,50.99,50.99,50.99,50.99,500,False,STML
2022-04-07,47.2,47.2,47.2,47.2,500,False,STML
2022-04-08,46.5,50.73,46.5,50.73,1500,False,STML
2022-04-11,50.5,54.49,50.5,54.49,1500,False,STML
2022-04-12,51.04,58.0,51.04,54.52,1000,False,STML
2022-04-13,50.46,57.95,50.46,57.95,2000,False,STML
2022-04-14,53.61,53.65,53.61,53.65,26500,False,STML
2022-04-18,49.85,50.01,49.85,50.01,1000,False,STML
2022-04-19,46.52,50.1,46.52,50.1,1000,False,STML
2022-04-20,46.5,50.01,46.5,50.01,1000,False,STML
2022-04-22,53.65,53.65,53.65,53.65,500,False,STML
2022-04-26,50.05,53.9,50.0,53.9,1500,False,STML
2022-04-27,50.0,50.0,50.0,50.0,1000,False,STML
2022-05-06,46.3,50.0,46.3,48.15,1000,False,STML
2022-05-09,44.62,44.62,44.62,44.62,500,False,STML
2022-05-10,41.35,47.96,41.35,47.96,9000,False,STML
2022-05-11,51.48,51.48,51.48,51.48,500,False,STML
2022-05-12,55.29,55.29,47.62,49.94,53500,False,STML
2022-05-13,53.33,53.33,53.33,53.33,500,False,STML
2022-05-16,57.3,57.3,57.3,57.3,500,False,STML
2022-05-18,60.9,60.9,60.9,60.9,500,False,STML
2022-05-20,65.0,65.0,56.34,59.92,1500,False,STML
2022-05-26,55.43,55.43,55.43,55.43,500,False,STML
2022-05-27,59.44,59.44,59.44,59.44,500,False,STML
2022-05-30,54.99,54.99,54.99,54.99,500,False,STML
2022-05-31,59.0,59.0,50.87,54.1,3500,False,STML
2022-06-01,58.13,58.13,50.25,52.06,2500,False,STML
2022-06-02,55.96,55.96,55.96,55.96,500,False,STML
2022-06-03,59.0,59.0,59.0,59.0,500,False,STML
2022-06-06,63.4,63.4,63.4,63.4,500,False,STML
2022-06-07,0.0,0.0,0.0,61.23,0,True,STML
2022-06-08,0.0,0.0,0.0,59.63,0,True,STML
2022-06-09,0.0,59.63,59.63,59.63,1000,True,STML
2022-06-10,0.0,0.0,0.0,56.14,0,True,STML
2022-06-13,60.34,60.34,60.34,60.34,500,False,STML
2022-06-14,0.0,0.0,0.0,58.69,0,True,STML
2022-06-15,0.0,0.0,0.0,55.33,0,True,STML
2022-06-16,59.35,59.35,59.35,59.35,500,False,STML
2022-06-17,54.9,62.99,54.9,56.16,41000,False,STML
